"item","topic","overall_status","manuscript_text_state","materialized_local_supplement_state","active_tex_carrier_state","public_persistent_release_state","manuscript_location","local_artifact","tex_carrier_location","public_location","remaining_gate","correction_ready_text"
"10b","Data items: other variables","READY","PRESENT","PRESENT","ACTIVE","LOCAL_ONLY","sections/03_REVIEW_METHOD_AND_EVIDENCE_BASE.tex:223-242","supplements/reporting/S_DATA_DICTIONARY_446.csv | supplements/st01/ST01_INCLUDED_STUDIES_206.csv","sections/03_REVIEW_METHOD_AND_EVIDENCE_BASE.tex:242","supplements/reporting/ | supplements/st01/","None.","Retain modality, architecture, function, validation, scenario, technology, application, missingness, and no-inference definitions."
"11","Study risk-of-bias assessment","JUSTIFIED_NA","EXPLICIT_NONPERFORMANCE","ALTERNATIVE_PRESENT","ACTIVE","LOCAL_ONLY","sections/03_REVIEW_METHOD_AND_EVIDENCE_BASE.tex:266-289 | sections/08_DISCUSSION_ROADMAP_AND_LIMITATIONS.tex:178-187","supplements/evidence/ST-18_STUDY_LEVEL_TQAF_206.csv","sections/03_REVIEW_METHOD_AND_EVIDENCE_BASE.tex:276-280","supplements/evidence/","None, provided TQAF is never relabelled as risk of bias.","No conventional study-level risk-of-bias instrument was applied. TQAF is a nonvalidated review-specific technical assessment and is not a risk-of-bias tool or GRADE."
"12","Effect measures","READY","PRESENT","PRESENT","ACTIVE","LOCAL_ONLY","sections/03_REVIEW_METHOD_AND_EVIDENCE_BASE.tex:220-264 | sections/05_PERFORMANCE_METRICS_AND_JOINT_DESIGN_TRADEOFFS.tex","supplements/evidence/ST-19_PRIMARY_METRIC_RESULTS_4779.csv","MANUSCRIPT_BODY_INPUTS.tex:11","supplements/evidence/","None.","Retain native metric definitions, units, planes, operating conditions, and the no-common-effect-size boundary."
"13a","Synthesis eligibility","READY","PRESENT","PRESENT","ACTIVE","LOCAL_ONLY","sections/03_REVIEW_METHOD_AND_EVIDENCE_BASE.tex:318-329","supplements/evidence/ST-22_EVIDENCE_BODY_MEMBERSHIP_4931.csv","sections/03_REVIEW_METHOD_AND_EVIDENCE_BASE.tex:318-329","supplements/evidence/","None.","Retain the seven-domain synthesis map and body-membership carrier."
"13b","Data preparation for synthesis","READY","PRESENT","PRESENT","ACTIVE","LOCAL_ONLY","sections/03_REVIEW_METHOD_AND_EVIDENCE_BASE.tex:220-264","supplements/reporting/S_DATA_DICTIONARY_446.csv | supplements/evidence/ST-19_PRIMARY_METRIC_RESULTS_4779.csv","sections/03_REVIEW_METHOD_AND_EVIDENCE_BASE.tex:220-264","supplements/reporting/ | supplements/evidence/","None.","Retain reported conditions, controlled missingness, conflict quarantine, and no averaging or inferred normalization."
"13c","Tabulation and visual display methods","PARTIAL","PARTIAL","PRESENT","PARTIAL","NOT_REQUIRED","sections/03_REVIEW_METHOD_AND_EVIDENCE_BASE.tex:164-218 | sections/03_REVIEW_METHOD_AND_EVIDENCE_BASE.tex:359-407 | sections/03_REVIEW_METHOD_AND_EVIDENCE_BASE.tex:430-482","supplements/evidence/OISAC_JOURNAL_EVIDENCE_SUPPLEMENTS_2026-08-13.xlsx | supplements/st01/ST01_INCLUDED_STUDIES_206.xlsx","MANUSCRIPT_BODY_INPUTS.tex | sections/03_REVIEW_METHOD_AND_EVIDENCE_BASE.tex","","Materialize the selected PRISMA flow and any retained appraisal/evidence displays, or remove unsupported future-display language.","Results are tabulated in electronic supplements by study, report, metric, condition, appraisal dimension, synthesis body, and source locator; the final manuscript display set is identified in the active figure and table captions."
"13d","Synthesis methods","READY","PRESENT","PRESENT","ACTIVE","LOCAL_ONLY","sections/03_REVIEW_METHOD_AND_EVIDENCE_BASE.tex:307-329","supplements/evidence/ | supplements/s7/ | supplements/related_synthesis/","MANUSCRIPT_BODY_INPUTS.tex:9-15","supplements/","None.","Retain structured narrative synthesis and no meta-analysis."
"13e","Exploration of heterogeneity","READY","PRESENT","PRESENT","ACTIVE","LOCAL_ONLY","sections/03_REVIEW_METHOD_AND_EVIDENCE_BASE.tex:307-316","supplements/evidence/ST-22_EVIDENCE_BODY_MEMBERSHIP_4931.csv | supplements/evidence/ST-19_PRIMARY_METRIC_RESULTS_4779.csv","sections/03_REVIEW_METHOD_AND_EVIDENCE_BASE.tex:307-316","supplements/evidence/","None.","Heterogeneity was examined descriptively across modality, architecture, metric role, measurement plane, scenario, operating condition, and validation setting; no causal moderator inference was made."
"13f","Sensitivity analysis methods","JUSTIFIED_NA","EXPLICIT_NONPERFORMANCE","NOT_APPLICABLE","ACTIVE","NOT_REQUIRED","sections/03_REVIEW_METHOD_AND_EVIDENCE_BASE.tex:310-312 | sections/03_REVIEW_METHOD_AND_EVIDENCE_BASE.tex:326-329","","sections/03_REVIEW_METHOD_AND_EVIDENCE_BASE.tex:310-312","","None.","Because no pooled or model-dependent primary effect was estimated, formal sensitivity analysis was not applicable; QA checks were not relabelled as sensitivity analyses."
"14","Assessment of missing-results bias","JUSTIFIED_NA","EXPLICIT_NONPERFORMANCE","NOT_APPLICABLE","ACTIVE","NOT_REQUIRED","sections/03_REVIEW_METHOD_AND_EVIDENCE_BASE.tex:313-316","","sections/03_REVIEW_METHOD_AND_EVIDENCE_BASE.tex:313-316","","None; retain that bias cannot be excluded.","No formal missing-results or publication-bias tool was applied because studies did not share a harmonized prespecified outcome set and source protocols were generally unavailable; selective reporting and publication bias cannot be excluded."
"15","Certainty assessment methods","READY","PRESENT","PRESENT","ACTIVE","LOCAL_ONLY","sections/03_REVIEW_METHOD_AND_EVIDENCE_BASE.tex:291-305","supplements/evidence/ST-22_EVIDENCE_BODY_CERTAINTY_115.csv | supplements/evidence/ST-22_EVIDENCE_BODY_MEMBERSHIP_4931.csv","sections/03_REVIEW_METHOD_AND_EVIDENCE_BASE.tex:291-305","supplements/evidence/","None; never call these GRADE ratings.","Retain the review-specific evidence-body rules, contributing-study memberships, and non-GRADE boundary."
"16a","Study selection results","PARTIAL","PRESENT","PRESENT","PARTIAL","NOT_REQUIRED","sections/03_REVIEW_METHOD_AND_EVIDENCE_BASE.tex:121-162","supplements/reporting/search/final_search_execution_log_2026-06-22.csv","sections/03_REVIEW_METHOD_AND_EVIDENCE_BASE.tex:164-218","","Materialize and activate the final PRISMA flow diagram, preserving records, reports, and studies as distinct units.","Figure X presents 1,733 records identified, 1,259 screened, 330 unique reports sought, 272 reports assessed, 227 eligible reports, and 206 unique studies; the 21-report difference reflects companion reports."
"16b","Excluded studies","READY","PRESENT","PRESENT","ACTIVE","LOCAL_ONLY","sections/03_REVIEW_METHOD_AND_EVIDENCE_BASE.tex:139-152","supplements/evidence/ST-16B_EXCLUDED_REPORTS_39.csv","sections/03_REVIEW_METHOD_AND_EVIDENCE_BASE.tex:149-152","supplements/evidence/ST-16B_EXCLUDED_REPORTS_39.csv","None for local submission packaging.","Electronic Supplement S-Exclusions lists all 39 full-text exclusions with a complete citation, one primary reason, and a report-specific evidence note."
"17","Included study characteristics","READY","PRESENT","PRESENT","ACTIVE","LOCAL_ONLY","sections/03_REVIEW_METHOD_AND_EVIDENCE_BASE.tex:154-162","supplements/st01/ST01_INCLUDED_STUDIES_206.csv | supplements/st01/ST01_INCLUDED_STUDIES_206.tex | supplements/st01/ST01_INCLUDED_STUDIES_206.xlsx | supplements/st01/ST01_ELIGIBLE_REPORT_LINEAGE_227.csv","sections/03_REVIEW_METHOD_AND_EVIDENCE_BASE.tex:160-162 | supplements/st01/ST01_SUPPLEMENT_INPUTS.tex | MANUSCRIPT_BODY_INPUTS.tex:20 | supplements/st01/INCLUDED_STUDIES_206_EXPLICIT_BIBLIOGRAPHY.tex","supplements/st01/","None for local-materialized Item 17. Public deposition remains an Item 27 gate.","Electronic Supplement ST-01 cites and characterizes all 206 included studies and preserves the 227-report lineage, including 206 primary reports and 21 eligible companion reports."
"18","Risk of bias in studies","JUSTIFIED_NA","EXPLICIT_NONPERFORMANCE","ALTERNATIVE_PRESENT","ACTIVE","LOCAL_ONLY","sections/03_REVIEW_METHOD_AND_EVIDENCE_BASE.tex:276-280 | sections/08_DISCUSSION_ROADMAP_AND_LIMITATIONS.tex:178-187","supplements/evidence/ST-18_STUDY_LEVEL_TQAF_206.csv","sections/03_REVIEW_METHOD_AND_EVIDENCE_BASE.tex:276-280","supplements/evidence/ST-18_STUDY_LEVEL_TQAF_206.csv","None; retain explicit nonapplicability and do not claim RoB results.","No conventional risk-of-bias results are reported because no such instrument was applied. Supplement S-Appraisal reports the separate nonvalidated TQAF technical assessment for 206 studies."
"19","Individual study results","READY","PRESENT","PRESENT","ACTIVE","LOCAL_ONLY","sections/03_REVIEW_METHOD_AND_EVIDENCE_BASE.tex:331-357 | sections/04_OPTICAL_PLATFORMS_AND_INTEGRATION_ARCHITECTURES.tex | sections/05_PERFORMANCE_METRICS_AND_JOINT_DESIGN_TRADEOFFS.tex","supplements/evidence/ST-19_PRIMARY_EVIDENCE_RESULTS_3020.csv | supplements/evidence/ST-19_PRIMARY_METRIC_RESULTS_4779.csv | supplements/evidence/ST-19_GOVERNED_TRADEOFFS_404.csv | supplements/evidence/ST-19_SUBSTANTIVE_TRADEOFFS_402.csv","sections/03_REVIEW_METHOD_AND_EVIDENCE_BASE.tex:346-351","supplements/evidence/","None for local submission packaging.","Electronic Supplement S-Evidence presents condition-bound individual-study evidence, metric, and tradeoff results with study/report identifiers and source locators."
"20a","Contributing-study characteristics","READY","PRESENT","PRESENT","ACTIVE","LOCAL_ONLY","sections/03_REVIEW_METHOD_AND_EVIDENCE_BASE.tex:291-305 | sections/03_REVIEW_METHOD_AND_EVIDENCE_BASE.tex:500-510","supplements/st01/ST01_INCLUDED_STUDIES_206.csv | supplements/evidence/ST-18_STUDY_LEVEL_TQAF_206.csv | supplements/evidence/ST-22_EVIDENCE_BODY_MEMBERSHIP_4931.csv","sections/03_REVIEW_METHOD_AND_EVIDENCE_BASE.tex:508-510","supplements/st01/ | supplements/evidence/","None for structured narrative synthesis; conventional RoB remains explicitly not assessed.","Supplement S-Bodies identifies every study contributing to each synthesis body; ST-01 supplies characteristics and S-Appraisal supplies the separate TQAF context."
"20b","Statistical synthesis results","JUSTIFIED_NA","EXPLICIT_NONPERFORMANCE","NOT_APPLICABLE","ACTIVE","NOT_REQUIRED","sections/03_REVIEW_METHOD_AND_EVIDENCE_BASE.tex:318-329","","sections/03_REVIEW_METHOD_AND_EVIDENCE_BASE.tex:318-329","","None.","No statistical synthesis or pooled effect was performed because tasks, units, reference planes, conditions, and validation designs did not support a common effect size."
"20c","Investigations of heterogeneity","READY","PRESENT","PRESENT","ACTIVE","LOCAL_ONLY","sections/03_REVIEW_METHOD_AND_EVIDENCE_BASE.tex:307-316 | sections/04_OPTICAL_PLATFORMS_AND_INTEGRATION_ARCHITECTURES.tex | sections/05_PERFORMANCE_METRICS_AND_JOINT_DESIGN_TRADEOFFS.tex | sections/06_VALIDATION_REPRODUCIBILITY_AND_BENCHMARK_READINESS.tex","supplements/evidence/ST-19_PRIMARY_METRIC_RESULTS_4779.csv | supplements/evidence/ST-22_EVIDENCE_BODY_MEMBERSHIP_4931.csv","MANUSCRIPT_BODY_INPUTS.tex:10-12","supplements/evidence/","None; interpret patterns descriptively rather than causally.","Descriptive differences are reported by modality, architecture, metric role, measurement plane, operating condition, scenario, and validation setting; no meta-regression or causal moderator estimate was performed."
"20d","Sensitivity-analysis results","JUSTIFIED_NA","EXPLICIT_NONPERFORMANCE","NOT_APPLICABLE","ACTIVE","NOT_REQUIRED","sections/03_REVIEW_METHOD_AND_EVIDENCE_BASE.tex:310-312","","sections/03_REVIEW_METHOD_AND_EVIDENCE_BASE.tex:310-312","","None.","No formal sensitivity result exists because the review estimated no pooled or model-dependent primary effect."
"21","Reporting-bias assessment results","JUSTIFIED_NA","EXPLICIT_NONPERFORMANCE","NOT_APPLICABLE","ACTIVE","NOT_REQUIRED","sections/03_REVIEW_METHOD_AND_EVIDENCE_BASE.tex:313-316 | sections/08_DISCUSSION_ROADMAP_AND_LIMITATIONS.tex:178-187","","sections/03_REVIEW_METHOD_AND_EVIDENCE_BASE.tex:313-316","","None; retain the limitation that bias cannot be excluded.","No formal missing-results or publication-bias assessment was performed; selective outcome reporting and publication bias remain unquantified and cannot be excluded."
"22","Certainty of evidence","READY","PRESENT","PRESENT","ACTIVE","LOCAL_ONLY","sections/03_REVIEW_METHOD_AND_EVIDENCE_BASE.tex:500-510","supplements/evidence/ST-22_EVIDENCE_BODY_CERTAINTY_115.csv | supplements/evidence/ST-22_EVIDENCE_BODY_MEMBERSHIP_4931.csv","sections/03_REVIEW_METHOD_AND_EVIDENCE_BASE.tex:508-510","supplements/evidence/","None; preserve review-specific/non-GRADE language.","Electronic Supplement S-Bodies reports 115 evidence-body ratings and 4,931 study-to-body memberships, including contributors, rules, and certainty labels."
"23a","Interpretation in context","READY","PRESENT","PRESENT","ACTIVE","NOT_REQUIRED","sections/08_DISCUSSION_ROADMAP_AND_LIMITATIONS.tex:5-53","supplements/related_synthesis/ST-RS1_CONTEXTUAL_SYNTHESES_38.csv","MANUSCRIPT_BODY_INPUTS.tex:14","","None.","Retain source-cited comparison with other evidence and avoid universal platform ranking."
"23b","Limitations of evidence","READY","PRESENT","PRESENT","ACTIVE","NOT_REQUIRED","sections/08_DISCUSSION_ROADMAP_AND_LIMITATIONS.tex:41-53 | sections/08_DISCUSSION_ROADMAP_AND_LIMITATIONS.tex:189-201","supplements/evidence/ | supplements/s7/","MANUSCRIPT_BODY_INPUTS.tex:14","","None.","Retain limits on field evidence, portability, artifacts, comparison, and worldwide-prevalence inference."
"23c","Limitations of review processes","READY","PRESENT","PRESENT","ACTIVE","LOCAL_ONLY","sections/08_DISCUSSION_ROADMAP_AND_LIMITATIONS.tex:166-201","supplements/reporting/S_REVIEW_CONDUCT_AND_REPORTING_BOUNDARIES.md | supplements/reporting/S_PROTOCOL_DEVIATIONS_2026-08-13.csv","MANUSCRIPT_BODY_INPUTS.tex:14","supplements/reporting/","None.","Retain six-source/English/date limits, retrieval gaps, retrospective registration, AI-assisted single-investigator process, and nonperformed analyses."
"23d","Implications","READY","PRESENT","PRESENT","ACTIVE","NOT_REQUIRED","sections/08_DISCUSSION_ROADMAP_AND_LIMITATIONS.tex:55-115 | sections/09_CONCLUSION.tex:22-29","sections/08_DISCUSSION_ROADMAP_AND_LIMITATIONS.tex","MANUSCRIPT_BODY_INPUTS.tex:14-15","","None.","Retain explicit implications for standards bodies, 6G programme coordinators, funding calls, measurement contracts, benchmarks, field protocols, and reproducible releases."
"24a","Registration","READY","PRESENT","PRESENT","ACTIVE","PUBLIC_PERSISTENT","sections/03_REVIEW_METHOD_AND_EVIDENCE_BASE.tex:25-39 | sections/00_ABSTRACT.tex:24-25","supplements/reporting/protocol/protocol_registration_lineage_correction_2026-08-07.md","sections/03_REVIEW_METHOD_AND_EVIDENCE_BASE.tex:25-29","https://doi.org/10.17605/OSF.IO/7F6WB","None.","Retain retrospective registration timing and the boundary that the predecessor 221-study state is not attrition to 206."
"24b","Protocol access","READY","PRESENT","PRESENT","ACTIVE","LOCAL_ONLY","sections/03_REVIEW_METHOD_AND_EVIDENCE_BASE.tex:35-39","supplements/reporting/protocol/protocol_initial_2026-06-17.md | supplements/reporting/protocol/protocol_amendment_actual_workflow_2026-08-04.md | supplements/reporting/protocol/protocol_registration_lineage_correction_2026-08-07.md | supplements/reporting/protocol/contextual_synthesis_positioning_update_2026-08-13.md","sections/03_REVIEW_METHOD_AND_EVIDENCE_BASE.tex:37-39","supplements/reporting/protocol/","None for local submission packaging; public deposition remains an Item 27 release gate.","The executed protocol and dated amendments are provided in electronic Supplement S-Protocol."
"24c","Protocol amendments","READY","PRESENT","PRESENT","ACTIVE","LOCAL_ONLY","sections/03_REVIEW_METHOD_AND_EVIDENCE_BASE.tex:29-39","supplements/reporting/S_PROTOCOL_DEVIATIONS_2026-08-13.csv | supplements/reporting/protocol/","sections/03_REVIEW_METHOD_AND_EVIDENCE_BASE.tex:37-39","supplements/reporting/","None for local submission packaging.","Electronic Supplement S-Protocol reports every material departure, its rationale, stage, and interpretive effect."
"25","Support","READY","PRESENT","PRESENT","ACTIVE","NOT_REQUIRED","sections/00_ABSTRACT.tex:23-24 | FRONT_MATTER_CANDIDATE_2026-08-13.md","FRONT_MATTER_CANDIDATE_2026-08-13.md","MANUSCRIPT_BODY_INPUTS.tex:6","","Integrate the longer role statement in final front matter when the driver is assembled; the PRISMA content itself is complete.","This review received no specific financial or nonfinancial support. No funder or sponsor had any role in the design, conduct, analysis, interpretation, manuscript preparation, or decision to submit."
"26","Competing interests","PARTIAL","CANDIDATE_ONLY","PRESENT","ABSENT","NOT_REQUIRED","FRONT_MATTER_CANDIDATE_2026-08-13.md","FRONT_MATTER_CANDIDATE_2026-08-13.md","","","Insert the confirmed declaration into final front matter/declarations.","The authors declare no competing interests."
"27","Availability of data, code, and materials","PARTIAL","CANDIDATE_ONLY","PRESENT","ABSENT","NOT_RELEASED","FRONT_MATTER_CANDIDATE_2026-08-13.md","supplements/st01/ | supplements/evidence/ | supplements/reporting/ | supplements/s7/ | supplements/related_synthesis/","","","For submission, activate an exact local-only or final repository availability statement. For public release, resolve creator/rights/license/repository/version/DOI decisions and deposit the sanitized package.","Structured study, report-lineage, exclusion, metric, tradeoff, TQAF, evidence-body, search, protocol, and data-dictionary materials are provided as electronic manuscript supplements. At the time of submission, [state exact public repository URL/DOI and license, or state that no persistent public release has yet been made]. Publisher full texts and restricted database exports are not redistributed."
