study_id,citation_key,title,year,modality,integration_mechanisms,validation_maturity_max,validation_types,application_domains,substantive_tradeoff_member,eligible_report_count,companion_eligible_report_count,eligible_report_ids,cited_in_main,prose_use_count,table_use_count,total_use_count,primary_narrative_home,all_main_locations,pending_human_row_count,canonical_integration_mechanisms,canonical_validation_types,canonical_enabling_technologies,canonical_application_domains,qa_status
STC-OCDM-THZ-OVER-FIBER-2024-2025,OISAC_SCR00993,THz-Over-Fiber System With Orthogonal Chirp Division Multiplexing for Integrated Sensing and Communication,2024,photonic_THz,shared_waveform; shared_resource_allocation,4,analytical; simulation; laboratory_experiment,6G_access,yes,2,1,RPT-SCR-00993-01; RPT-SCR-01149-01,yes,1,0,1,05_PERFORMANCE_METRICS_AND_JOINT_DESIGN_TRADEOFFS.tex:423 | PERFORMANCE METRICS AND JOINT DESIGN TRADEOFFS > How Communication and Sensing Performance Interact > Communication Reliability and Sensing Quality | prose,05_PERFORMANCE_METRICS_AND_JOINT_DESIGN_TRADEOFFS.tex:423:prose,0,shared_waveform|shared_resource_allocation,analytical|simulation|laboratory_experiment,OFDM|photonic_THz_generation,6G_access,PASS
STC-ODDM-PHOTONIC-MMW-2024-2025,OISAC_SCR00973,Photonics-Assisted mmWave Integrated Sensing and Communication System Enabled by ODDM Waveform,2026,photonic_THz,shared_waveform; shared_hardware; shared_resource_allocation,5,analytical; simulation; laboratory_experiment; prototype_testbed,6G_access,no,2,1,RPT-SCR-00973-01; RPT-SCR-01005-01,yes,1,0,1,04_OPTICAL_PLATFORMS_AND_INTEGRATION_ARCHITECTURES.tex:83 | OPTICAL PLATFORMS AND INTEGRATION ARCHITECTURES > Physical Platform Families > Photonics Assisted Terahertz Systems | prose,04_OPTICAL_PLATFORMS_AND_INTEGRATION_ARCHITECTURES.tex:83:prose,0,shared_waveform|shared_hardware|shared_resource_allocation,analytical|simulation|laboratory_experiment|prototype_testbed,photonic_THz_generation,6G_access,PASS
STC-OPA-OWISAC-BEAMFORMING-2024-2025,OISAC_SCR00940,Optical Wireless Integrated Sensing and Communication Based on Optical Phased Array: Performance Metric and Optimal Beamforming,2025,FSO,joint_design_or_optimization,3,analytical; numerical_analysis; simulation,6G_access; vehicular; environment_monitoring,yes,2,1,RPT-SCR-00940-01; RPT-SCR-00945-01,yes,4,0,4,05_PERFORMANCE_METRICS_AND_JOINT_DESIGN_TRADEOFFS.tex:145 | PERFORMANCE METRICS AND JOINT DESIGN TRADEOFFS > Metrics Across Functions > Sensing Metrics | prose,02_FOUNDATIONS_AND_COMPARISON_FRAMEWORK.tex:102:prose; 05_PERFORMANCE_METRICS_AND_JOINT_DESIGN_TRADEOFFS.tex:145:prose; 05_PERFORMANCE_METRICS_AND_JOINT_DESIGN_TRADEOFFS.tex:182:prose; 05_PERFORMANCE_METRICS_AND_JOINT_DESIGN_TRADEOFFS.tex:355:prose,0,joint_design_or_optimization,analytical|numerical_analysis|simulation,beamforming|OPA,6G_access|vehicular|environment_monitoring,PASS
STC-REALTIME-BIDIR-DMT-THZ-2024-2026,OISAC_SCR01054,Real-Time Integrated Sensing with 5.08 mm Range Resolution and 15.5 Gbps Bidirectional Wireless Communication Over a 270-Meter Outdoor Photonic-Assisted Terahertz Link,2026,photonic_THz,shared_waveform; shared_hardware,6,analytical; simulation; prototype_testbed; field_experiment,6G_access,yes,3,2,RPT-SCR-01054-01; RPT-SCR-01065-01; RPT-SCR-01184-01,yes,8,0,8,05_PERFORMANCE_METRICS_AND_JOINT_DESIGN_TRADEOFFS.tex:94 | PERFORMANCE METRICS AND JOINT DESIGN TRADEOFFS > Metrics Across Functions > Communication Metrics | prose,04_OPTICAL_PLATFORMS_AND_INTEGRATION_ARCHITECTURES.tex:65:prose; 04_OPTICAL_PLATFORMS_AND_INTEGRATION_ARCHITECTURES.tex:77:prose; 04_OPTICAL_PLATFORMS_AND_INTEGRATION_ARCHITECTURES.tex:102:prose; 05_PERFORMANCE_METRICS_AND_JOINT_DESIGN_TRADEOFFS.tex:94:prose; 05_PERFORMANCE_METRICS_AND_JOINT_DESIGN_TRADEOFFS.tex:191:prose; 05_PERFORMANCE_METRICS_AND_JOINT_DESIGN_TRADEOFFS.tex:264:prose; 06_VALIDATION_REPRODUCIBILITY_AND_BENCHMARK_READINESS.tex:31:prose; 06_VALIDATION_REPRODUCIBILITY_AND_BENCHMARK_READINESS.tex:85:prose,0,shared_waveform|shared_hardware,analytical|simulation|prototype_testbed|field_experiment,OFDM|coherent_optics|photonic_THz_generation,6G_access,PASS
STC-SELF-HOMODYNE-MCF-OFDR-2024-2025,OISAC_SCR01015,Integrated Sensing and Communication in Self-Homodyne MCF Transmission Systems With Linear Frequency Modulation,2026,fiber,shared_optical_carrier,4,analytical; laboratory_experiment,environment_monitoring; datacenter; healthcare,yes,2,1,RPT-SCR-01015-01; RPT-SCR-00984-01,yes,1,0,1,"05_PERFORMANCE_METRICS_AND_JOINT_DESIGN_TRADEOFFS.tex:275 | PERFORMANCE METRICS AND JOINT DESIGN TRADEOFFS > How Communication and Sensing Performance Interact > Bandwidth, Spectrum, and Resource Allocation | prose",05_PERFORMANCE_METRICS_AND_JOINT_DESIGN_TRADEOFFS.tex:275:prose,0,shared_optical_carrier,analytical|laboratory_experiment,fiber_DAS|FMCW,environment_monitoring|datacenter,PASS
STC-SEVENCORE-COMB-SH-DAS-2024-2025,OISAC_SCR00346,Integrating High-Capacity Self-Homodyne Transmission and High-Sensitivity Dual-Pulse ϕ-OTDR with an EO Comb over a 7-Core Fiber,2026,fiber,shared_hardware; shared_optical_carrier; shared_link_or_channel; shared_resource_allocation; joint_design_or_optimization,5,analytical; laboratory_experiment; prototype_testbed,6G_access; environment_monitoring; optical_access_network; smart_infrastructure,yes,2,1,RPT-SCR-00346-01; RPT-SCR-01031-01,yes,2,0,2,"05_PERFORMANCE_METRICS_AND_JOINT_DESIGN_TRADEOFFS.tex:350 | PERFORMANCE METRICS AND JOINT DESIGN TRADEOFFS > How Communication and Sensing Performance Interact > Power, Energy, and Dynamic Range | prose",05_PERFORMANCE_METRICS_AND_JOINT_DESIGN_TRADEOFFS.tex:350:prose; 07_ENABLING_TECHNOLOGIES_APPLICATIONS_AND_6G.tex:169:prose,0,shared_hardware|shared_optical_carrier|shared_link_or_channel|shared_resource_allocation|joint_design_or_optimization,analytical|laboratory_experiment|prototype_testbed,coherent_optics|photonic_integration|FMCW,6G_access|environment_monitoring|optical_access_network|smart_infrastructure,PASS
STC-SF-LFM-OFDM-THZ-2025-2026,OISAC_SCR00978,Photonics-Aided THz Integrated Sensing and Communication System Based on a Time-Frequency Efficient SF-LFM-OFDM Waveform,2026,photonic_THz,shared_waveform; shared_optical_carrier; shared_resource_allocation,4,analytical; simulation; laboratory_experiment,6G_access,yes,2,1,RPT-SCR-00978-01; RPT-SCR-01019-01,yes,1,0,1,05_PERFORMANCE_METRICS_AND_JOINT_DESIGN_TRADEOFFS.tex:419 | PERFORMANCE METRICS AND JOINT DESIGN TRADEOFFS > How Communication and Sensing Performance Interact > Communication Reliability and Sensing Quality | prose,05_PERFORMANCE_METRICS_AND_JOINT_DESIGN_TRADEOFFS.tex:419:prose,0,shared_waveform|shared_optical_carrier|shared_resource_allocation,analytical|simulation|laboratory_experiment,OFDM|photonic_THz_generation|FMCW,6G_access,PASS
STC-SINGLETON-SCR-00001,OISAC_SCR00001,High-Speed Flexible Near-Infrared Organic Photodetectors for Self-Powered Optical Integrated Sensing and Communications,2025,VLC_LiFi,shared_hardware; shared_application_scenario,5,laboratory_experiment; prototype_testbed,healthcare,yes,1,0,RPT-SCR-00001-01,yes,5,1,6,05_PERFORMANCE_METRICS_AND_JOINT_DESIGN_TRADEOFFS.tex:546 | PERFORMANCE METRICS AND JOINT DESIGN TRADEOFFS > How Communication and Sensing Performance Interact > Other Implementation Relationships | prose,02_FOUNDATIONS_AND_COMPARISON_FRAMEWORK.tex:117:prose; 04_OPTICAL_PLATFORMS_AND_INTEGRATION_ARCHITECTURES.tex:157:prose; 04_OPTICAL_PLATFORMS_AND_INTEGRATION_ARCHITECTURES.tex:351:prose; 05_PERFORMANCE_METRICS_AND_JOINT_DESIGN_TRADEOFFS.tex:546:prose; 06_VALIDATION_REPRODUCIBILITY_AND_BENCHMARK_READINESS.tex:28:prose; 07_ENABLING_TECHNOLOGIES_APPLICATIONS_AND_6G.tex:289:table,0,shared_hardware|shared_application_scenario,laboratory_experiment|prototype_testbed,photonic_integration,healthcare,PASS
STC-SINGLETON-SCR-00002,OISAC_SCR00002,Integrated Optical Sensing and Communication (IOSAC) System Based on Hybrid-Waveguide Structures,2024,fiber,shared_hardware; shared_optical_carrier; shared_link_or_channel; joint_design_or_optimization,5,numerical_analysis; laboratory_experiment; prototype_testbed,industrial; environment_monitoring,yes,1,0,RPT-SCR-00002-01,yes,2,0,2,"05_PERFORMANCE_METRICS_AND_JOINT_DESIGN_TRADEOFFS.tex:352 | PERFORMANCE METRICS AND JOINT DESIGN TRADEOFFS > How Communication and Sensing Performance Interact > Power, Energy, and Dynamic Range | prose",04_OPTICAL_PLATFORMS_AND_INTEGRATION_ARCHITECTURES.tex:299:prose; 05_PERFORMANCE_METRICS_AND_JOINT_DESIGN_TRADEOFFS.tex:352:prose,0,shared_hardware|shared_optical_carrier|shared_link_or_channel|joint_design_or_optimization,numerical_analysis|laboratory_experiment|prototype_testbed,photonic_integration,industrial|environment_monitoring,PASS
STC-SINGLETON-SCR-00007,OISAC_SCR00007,OFDM-based optical integrated sensing and communication framework using embedded pilot subcarriers,2026,fiber,shared_waveform; shared_link_or_channel; shared_resource_allocation,2,analytical; simulation,datacenter; optical_access_network,yes,1,0,RPT-SCR-00007-01,yes,7,2,9,05_PERFORMANCE_METRICS_AND_JOINT_DESIGN_TRADEOFFS.tex:98 | PERFORMANCE METRICS AND JOINT DESIGN TRADEOFFS > Metrics Across Functions > Communication Metrics | prose,04_OPTICAL_PLATFORMS_AND_INTEGRATION_ARCHITECTURES.tex:317:prose; 05_PERFORMANCE_METRICS_AND_JOINT_DESIGN_TRADEOFFS.tex:98:prose; 05_PERFORMANCE_METRICS_AND_JOINT_DESIGN_TRADEOFFS.tex:173:prose; 05_PERFORMANCE_METRICS_AND_JOINT_DESIGN_TRADEOFFS.tex:250:prose; 06_VALIDATION_REPRODUCIBILITY_AND_BENCHMARK_READINESS.tex:26:prose; 07_ENABLING_TECHNOLOGIES_APPLICATIONS_AND_6G.tex:95:prose; 07_ENABLING_TECHNOLOGIES_APPLICATIONS_AND_6G.tex:231:table; 07_ENABLING_TECHNOLOGIES_APPLICATIONS_AND_6G.tex:240:table; 07_ENABLING_TECHNOLOGIES_APPLICATIONS_AND_6G.tex:328:prose,0,shared_waveform|shared_link_or_channel|shared_resource_allocation,analytical|simulation,OFDM|coherent_optics,datacenter|optical_access_network,PASS
STC-SINGLETON-SCR-00008,OISAC_SCR00008,Enhanced single-fiber bi-directional FT-DVS using a 600-kHz linewidth DBR laser with LPN compensation for O-ISAC [Invited],2026,fiber,shared_hardware; shared_link_or_channel; shared_application_scenario,2,mixed,environment_monitoring; smart_infrastructure,yes,1,0,RPT-SCR-00008-01,yes,1,0,1,05_PERFORMANCE_METRICS_AND_JOINT_DESIGN_TRADEOFFS.tex:394 | PERFORMANCE METRICS AND JOINT DESIGN TRADEOFFS > How Communication and Sensing Performance Interact > Communication Reliability and Sensing Quality | prose,05_PERFORMANCE_METRICS_AND_JOINT_DESIGN_TRADEOFFS.tex:394:prose,0,shared_hardware|shared_link_or_channel|shared_application_scenario,mixed,coherent_optics|fiber_DAS,environment_monitoring|smart_infrastructure,PASS
STC-SINGLETON-SCR-00009,OISAC_SCR00009,Optical integrated sensing and communication (O-ISAC): A unified framework for 6G and AI-Powered intelligent networks,2026,hybrid_optical,shared_waveform; shared_hardware; shared_resource_allocation; joint_design_or_optimization,2,numerical_analysis; simulation,vehicular; industrial; healthcare; smart_infrastructure,yes,1,0,RPT-SCR-00009-01,yes,1,0,1,"05_PERFORMANCE_METRICS_AND_JOINT_DESIGN_TRADEOFFS.tex:451 | PERFORMANCE METRICS AND JOINT DESIGN TRADEOFFS > How Communication and Sensing Performance Interact > Rate, Resolution, Accuracy, and Range | prose",05_PERFORMANCE_METRICS_AND_JOINT_DESIGN_TRADEOFFS.tex:451:prose,0,shared_waveform|shared_hardware|shared_resource_allocation|joint_design_or_optimization,numerical_analysis|simulation,photonic_integration|ML_AI,vehicular|industrial|healthcare|smart_infrastructure,PASS
STC-SINGLETON-SCR-00011,OISAC_SCR00011,Retroreflective optical ISAC using OFDM: channel modeling and performance analysis,2024,FSO,shared_waveform; shared_hardware; shared_optical_carrier; shared_link_or_channel,4,analytical; simulation; laboratory_experiment,vehicular; industrial,yes,1,0,RPT-SCR-00011-01,yes,6,0,6,"05_PERFORMANCE_METRICS_AND_JOINT_DESIGN_TRADEOFFS.tex:258 | PERFORMANCE METRICS AND JOINT DESIGN TRADEOFFS > How Communication and Sensing Performance Interact > Bandwidth, Spectrum, and Resource Allocation | prose",04_OPTICAL_PLATFORMS_AND_INTEGRATION_ARCHITECTURES.tex:178:prose; 04_OPTICAL_PLATFORMS_AND_INTEGRATION_ARCHITECTURES.tex:183:prose; 04_OPTICAL_PLATFORMS_AND_INTEGRATION_ARCHITECTURES.tex:194:prose; 04_OPTICAL_PLATFORMS_AND_INTEGRATION_ARCHITECTURES.tex:301:prose; 04_OPTICAL_PLATFORMS_AND_INTEGRATION_ARCHITECTURES.tex:373:prose; 05_PERFORMANCE_METRICS_AND_JOINT_DESIGN_TRADEOFFS.tex:258:prose,0,shared_waveform|shared_hardware|shared_optical_carrier|shared_link_or_channel,analytical|simulation|laboratory_experiment,OFDM,vehicular|industrial,PASS
STC-SINGLETON-SCR-00012,OISAC_SCR00012,Single-Source optical integrated sensing and communication (O-ISAC) with sequential target recognition,2026,FSO,shared_optical_carrier; shared_link_or_channel; shared_resource_allocation; mixed,5,laboratory_experiment; prototype_testbed,industrial; security,yes,1,0,RPT-SCR-00012-01,yes,4,0,4,"05_PERFORMANCE_METRICS_AND_JOINT_DESIGN_TRADEOFFS.tex:258 | PERFORMANCE METRICS AND JOINT DESIGN TRADEOFFS > How Communication and Sensing Performance Interact > Bandwidth, Spectrum, and Resource Allocation | prose",04_OPTICAL_PLATFORMS_AND_INTEGRATION_ARCHITECTURES.tex:183:prose; 04_OPTICAL_PLATFORMS_AND_INTEGRATION_ARCHITECTURES.tex:194:prose; 04_OPTICAL_PLATFORMS_AND_INTEGRATION_ARCHITECTURES.tex:357:prose; 05_PERFORMANCE_METRICS_AND_JOINT_DESIGN_TRADEOFFS.tex:258:prose,0,shared_optical_carrier|shared_link_or_channel|shared_resource_allocation|mixed,laboratory_experiment|prototype_testbed,beamforming,industrial|security,PASS
STC-SINGLETON-SCR-00013,OISAC_SCR00013,On the coexistence of distributed fiber optic sensing and IM/DD transmission via digital subcarrier multiplexing,2026,fiber,shared_waveform; shared_hardware; shared_optical_carrier; shared_link_or_channel; joint_design_or_optimization,5,laboratory_experiment; prototype_testbed,industrial; environment_monitoring; smart_infrastructure,yes,1,0,RPT-SCR-00013-01,yes,5,0,5,"05_PERFORMANCE_METRICS_AND_JOINT_DESIGN_TRADEOFFS.tex:334 | PERFORMANCE METRICS AND JOINT DESIGN TRADEOFFS > How Communication and Sensing Performance Interact > Power, Energy, and Dynamic Range | prose",01_INTRODUCTION.tex:8:prose; 04_OPTICAL_PLATFORMS_AND_INTEGRATION_ARCHITECTURES.tex:126:prose; 04_OPTICAL_PLATFORMS_AND_INTEGRATION_ARCHITECTURES.tex:299:prose; 04_OPTICAL_PLATFORMS_AND_INTEGRATION_ARCHITECTURES.tex:381:prose; 05_PERFORMANCE_METRICS_AND_JOINT_DESIGN_TRADEOFFS.tex:334:prose,0,shared_waveform|shared_hardware|shared_optical_carrier|shared_link_or_channel|joint_design_or_optimization,laboratory_experiment|prototype_testbed,fiber_DAS,industrial|environment_monitoring|smart_infrastructure,PASS
STC-SINGLETON-SCR-00015,OISAC_SCR00015,Integrated optical covert sensing and communication,2025,fiber,shared_waveform; shared_hardware; shared_optical_carrier; shared_link_or_channel,5,analytical; laboratory_experiment; prototype_testbed,security; smart_infrastructure,no,1,0,RPT-SCR-00015-01,yes,1,0,1,04_OPTICAL_PLATFORMS_AND_INTEGRATION_ARCHITECTURES.tex:124 | OPTICAL PLATFORMS AND INTEGRATION ARCHITECTURES > Physical Platform Families > Fiber O-ISAC | prose,04_OPTICAL_PLATFORMS_AND_INTEGRATION_ARCHITECTURES.tex:124:prose,0,shared_waveform|shared_hardware|shared_optical_carrier|shared_link_or_channel,analytical|laboratory_experiment|prototype_testbed,fiber_DAS,security|smart_infrastructure,PASS
