Paper_ID,step_0_visual_inspection,step_1_concept_analysis,step_2_benchmark_verification,step_3_strategic_critique
O_ISAC_011,"The paper includes several figures, including Fig. 1, which illustrates the schematic diagram of a RO-ISAC system supporting 3D positioning. Fig. 2 shows the illustration of the reflected signal. Fig. 3 is a 3D illustration of the simulation setup. Fig. 4 compares the BER performance of different modulation orders. Fig. 5 shows the influence of the number of symbols used for cross-correlation calculation on the distance measurement RMSE. Fig. 6 indicates the distance measurement RMSE changes with transmitted SNR under different symbol numbers. Fig. 7 and Fig. 8 show the positioning RMSE distribution when two transmitters are located at different heights.","The proposed system is a retroreflective optical ISAC (RO-ISAC) system that uses OFDM for data transmission and positioning. The system uses a corner cube reflector (CCR) to reflect the optical signal back to the transmitter, which then uses cross-correlation calculation to measure the time delay and estimate the distance. The system also uses multiple LEDs to provide diversity gain for communication and improve positioning accuracy.","The paper reports a range resolution of 1cm and a maximum ranging distance. The simulation results show that the system can achieve a low distance measurement RMSE and positioning RMSE, indicating good physical consistency.","The proposed system solves the problem of achieving high-speed communication and positioning functions in indoor environments using a retroreflective optical ISAC system. However, the system's performance may be affected by the height difference between the transmitters and the receiver, and the system's complexity may be increased by the use of multiple LEDs and the cross-correlation calculation."
O_ISAC_012,"The paper includes several figures, including Fig. 1, which shows the schematic diagram and post-processing process of PC-FMCW, and Fig. 2, which shows the PC-FMCW simulation system. Fig. 3 shows the communication and sensing simulation results.","The system uses a phase-coded FMCW scheme for optical sensing and communication. The ISAC coupling mode is achieved through phase modulation, where communication codes are carried on the FMCW laser radar. Sensing and communication are achieved respectively through coherent detection and self-delayed coherent detection.","The paper reports a code rate of 1 Gbit/s and distances of 10, 20, and 30 m. The simulation results show that the scheme achieves the integration of optical sensing and communication without mutual interference. The reported metrics seem physically consistent.","The paper solves the problem of integrating optical sensing and communication without mutual interference. However, the open challenges include the potential impact of environmental factors, such as turbulence, on the system's performance, and the need for further research on the system's scalability and applicability in various scenarios."
O_ISAC_013,"The paper presents a single-ended > 100-km distributed vibration sensor based on OFDR using the Pearson correlation coefficient. The system uses a simple internal modulation OFDR without any amplifier, specialty optical fiber, and complex modulation techniques. The vibration events can be located by detecting changepoints in the Pearson-CC, and the amplitude of vibration events is proportional to the differential Pearson-CC.","The system mechanism is based on OFDR, which uses the Pearson correlation coefficient to evaluate the variation of Rayleigh backscattering spectra. The ISAC coupling mode is not explicitly mentioned, but it can be inferred that the system is designed for integrated sensing and communication in an optical fiber (ISAC-OF).","The reported metrics, such as the sensing range of 100.9 km, sensing spatial resolution of 15.3 m, and strain resolution of 868 pε, are physically consistent with the system design and experimental results. The differential Pearson-CC and amplitude of the vibration event have a good linear relationship, with an R-square of 0.9993.","The paper solves the problem of detecting vibration events over 100 km using a simple and effective method based on OFDR and the Pearson correlation coefficient. The remaining open challenges include improving the strain resolution, increasing the sensing range, and demonstrating the system's potential for multiple simultaneous vibration events."
O_ISAC_014,"The paper includes several figures, including Figure 1, which shows the experimental setup of the SSMF based PoF system, and Figure 3, which shows the collected optical power for PPC and the optical PTE versus the input optical power of HPLD in the PoF system.","The system uses a Power over Fiber (PoF) mechanism, where high optical power and data signals are transmitted simultaneously over a standard single-mode fiber (SSMF). The ISAC coupling mode is achieved through a customed 1064 nm/1310 nm single-mode wavelength division multiplexer (SM-WDM).","The paper reports an optical power transfer efficiency (PTE) of 49% and a data rate of 155 Mbit/s. These metrics seem physically consistent, given the experimental setup and the use of a high-power laser diode and a commercial SFP optical module.","The paper demonstrates the potential application of PoF technology for Power Grid systems, providing a solution for low-power consumption inline performance monitoring or electrical power supply under emergency rescue scenarios. However, the conversion efficiency of the photovoltaic power converter (PPC) is limited to 10%, which is lower than the theoretical efficiency of 35%."
O_ISAC_015,"The paper includes several figures, including Figure 1, which depicts a MAP-aided IVLCS system with communication and sensing users and non-user blockers. Figure 2 shows the aggregate sum rate and MI vs. number of users. Figure 3 illustrates the aggregate sum rate and MI vs. number of blockers. Figure 4 examines the impact of user mobility on aggregate sum rate and MI. Figure 5 displays the trade-off between MI and sum rate versus priority of communication users.","The system model for a MAP-aided integrated visible light communication and sensing (IVLCS) network is proposed. The MAPs use LEDs with narrow semiangle half-angle to emit highly directional and narrow beams. The system integrates MAP technology in an indoor environment to resolve issues related to LOS blockage, limited FOV, and random device orientation. The ISAC coupling mode is achieved through the joint optimization of MAP position and user association to maximize the aggregate sum rate and sensing mutual information (MI).","The paper reports that the proposed MAP-aided IVLCS system outperforms the traditional fixed AP system in terms of aggregate sum rate and MI, user mobility support, and overcoming LOS link blockages. The results are physically consistent, as the system's performance improves with increasing number of users, APs, and transmit power. The system's robustness against LOS link blockages is also demonstrated through simulations.","The paper solves the problems of LOS blockage, device orientation, limited FOV, and user mobility issues in IVLCS systems. However, open challenges remain, such as the need for further optimization of the system's parameters, the impact of interference on the system's performance, and the development of more efficient algorithms for joint optimization of MAP position and user association."
O_ISAC_016,"The paper includes several figures, including Fig. 1, which shows the schematic diagram of the proposed photonic sub-THz ISAC system, and Fig. 2, which shows the SNR and BER of the received ISAC signals and pure communication signals under different IOP of the UTC-PDs.","The system uses a photonic sub-THz ISAC transmitter, which generates a pair of sub-THz ISAC signals through photonic upconversion. The signals are then transmitted over a 10.3-m wireless distance and received by a communication receiver and a radar receiver. The ISAC coupling mode is based on frequency-division multiplexing (FDM).","The paper reports a real-time line rate of 251.03 Gbps and an offline sensing resolution of 2.5 cm. The reported metrics are physically consistent, as the system uses a high-speed photonic sub-THz ISAC transmitter and a radar receiver with a high-resolution sensing capability.","The paper solves the problem of achieving high-speed real-time communication and high-resolution sensing in a photonic sub-THz ISAC system. However, the system still faces challenges such as the impact of frequency offset and phase noise on the sensing function, and the need for further improvement in the communication and sensing performances."
O_ISAC_017,"The paper includes several figures, including Fig.1, which shows the detailed structure of the Double-effect DNN-based DBP scheme for ISAC, and Fig.2, which illustrates the optical fiber link settings for verifying the double-effect DNN-based DBP scheme for ISAC. Fig.3 and Fig.4 display the nonlinear interference mitigation effects and abnormal loss detection results, respectively.","The paper proposes a double-effect DNN-based DBP scheme for Integrated Sensing and Communications (ISAC). The scheme integrates communication and sensing by using a neural network to build the mathematical structure of DBP, which can mitigate nonlinear interference and estimate optical power distribution. The ISAC coupling mode is achieved through a double-effect DNN-based DBP scheme, where the signal is processed in two branches: one for nonlinear compensation and the other for sensing.",The paper reports the nonlinear interference mitigation effects and abnormal loss detection results. The results show that the proposed scheme can effectively mitigate nonlinear interference and detect abnormal loss points. The physical consistency of the reported metrics is validated through simulations and experiments.,"The paper solves the problem of nonlinear interference mitigation and abnormal loss detection in optical fiber communication systems. However, the remaining open challenges include the complexity of the proposed scheme, the requirement for large amounts of training data, and the need for further optimization of the neural network architecture."
O_ISAC_018,The paper presents a system model for the coexistence of distributed sensing and ultra-simple coherent RoF based front-haul for radio access networks. The system uses a commercially available coherent modulator to achieve signal modulation and remote up-conversion. The linear frequency modulated carrier enables distributed sensing while simultaneously serving as the beat tone of RoF communication.,The system mechanism is based on the use of a linear frequency modulated (LFM) carrier to enable distributed sensing and RoF communication. The LFM carrier is modulated using a commercially available coherent driver module (CDM) and is used as the beat tone for RoF communication. The system uses a probabilistic constellation shaping (PCS) QAM signal and a pre-compensation algorithm to optimize transmission performance.,The system achieves a distributed sensing detection sensitivity of 28 pε/√Hz and supports 1.6 GBaud 16 QAM radio transmission in the Ka-band of 28 GHz. The system also demonstrates robust communication performance for a wide range of CSPR values.,"The system solves the problem of integrating distributed sensing and RoF communication in a single system. However, the system still faces challenges such as nonlinear distortion and modulation-induced noise, which can impact transmission performance. The system also requires further optimization to improve its robustness and accuracy."
O_ISAC_019,"The paper includes several figures, including Fig. 1, which shows a schematic of the proposed microwave photonics-based full-duplex ISAC system. Fig. 2 illustrates the signal frequency allocation. Fig. 3 shows the optical spectrum of four-channel downlink phase modulation and uplink intensity modulation. Fig. 4 displays the waveform and RF spectrum of the downlink transmitted IF signal and the uplink received IF signal. Fig. 5 shows the overlapped spectrum of downlink signal at various frequencies. Fig. 6 depicts the experimental setup for demonstrating the ISAC system. Fig. 7 shows the spectrum diagram of the QPSK-LFM transmitted signal, radar 2D range-doppler map, and constellation diagrams of downlink and uplink communication signals.","The proposed system employs a microwave photonics-based full-duplex ISAC architecture, which separates signals using frequency division multiplexing (FDM). The system uses phase modulation for downlink transmission and intensity modulation for uplink transmission, enabling the reuse of the optical carrier over a single fiber for bidirectional transmission. This approach reduces system complexity and cost.","The paper reports a distance resolution of 1.5 cm and a communication data rate of 600 Mbit/s. The system's performance is validated through simulation and experimental results, which demonstrate the feasibility of the proposed approach. The reported metrics are physically consistent with the system's architecture and parameters.","The proposed system addresses the challenge of integrating sensing and communication functionalities in a single system, achieving full-duplex operation and reducing system complexity and cost. However, the system's performance is limited by the noise power and signal-to-noise ratio (SNR) in the uplink communication. Future work can focus on improving the SNR and exploring channel equalization algorithms to enhance the system's performance."
O_ISAC_020,"The paper presents a photonic integrated sensing and communication system using submarine fiber optic cables for coastal event monitoring. Figures 1-6 show the existing global submarine telecommunication optical cables, the photonic ISAC system, and the results of ocean wave analysis, earthquake detection, and ferry monitoring.","The system utilizes the existing monitoring channel of the commercial fiber optic communication system for sensing, realizing various maritime sensing and monitoring functions without affecting the ongoing optical communication. The photonic ISAC system uses phase-sensitive optical time-domain reflectometry (Phi-OTDR) technology to detect acoustic signals caused by geological and marine activities.","The system has been tested and validated through experiments, demonstrating its ability to detect and analyze ocean waves, earthquakes, and ferry movements. The results show that the system can detect ocean surface gravity waves and underwater seismic waves, and monitor ferry movements with high accuracy.","The photonic ISAC system has the potential to provide a new supplementary approach for conventional methods of geological and oceanic observation, with advantages such as low cost, versatility, and minimal impact on marine life and the environment. However, further research is needed to develop more advanced signal processing methods and AI algorithms to analyze and recognize different oceanic signals more accurately and automatically."
O_ISAC_021,"The paper includes several figures and tables that illustrate the concept of Optical Integrated Sensing and Communication (O-ISAC). Figure 1 shows the generalized system structure of O-ISAC, which includes a transmitter and receiver with shared modules for communication and sensing. Figure 2 highlights the three advantages of O-ISAC: increasing communication rate, enhancing sensing precision, and reducing interference. Figure 3 displays different waveform designs for O-ISAC, including pulsed waveform, constant-modulus waveform, and multi-carrier waveform. Figure 4 presents numerical results of O-ISAC based on DC-biased optical OFDM (DCO-OFDM), showing the bit error rate (BER) and root mean square error (RMSE) for target distance estimation. Figure 5 illustrates the future trends of O-ISAC integrated with other emerging technologies.","The system mechanism of O-ISAC involves the integration of free-space optical (FSO) communication and optical sensing. The ISAC coupling mode is based on the intensity modulation and direct detection (IM/DD) scheme, which allows for the sharing of optical frontends and baseband units. The O-ISAC signal is generated by modulating the transmitted optical signal, and the sensing receiver extracts the target information from the reflected signal.","The paper reports a communication rate of 100 Gbps at a distance of about 700 m using a 1550-nm laser. The distance resolution is inversely proportional to the signal bandwidth, and the optical band provides a wider bandwidth than the RF band, allowing for a higher distance resolution. The paper also reports a distance accuracy of ±2.2 cm using a frequency-modulated continuous-wave laser radar with a bandwidth of 5 GHz.","The paper solves the problem of integrating FSO communication and optical sensing into a single system, achieving a higher communication rate, enhancing sensing precision, and reducing interference. However, the paper also identifies several open challenges, including the need for advanced hardware, novel performance metrics, and the integration of emerging technologies like deep learning and hybrid RF and optical ISAC."
O_ISAC_022,"The paper proposes a joint visible light communication and sensing system using m-CAP modulation and RSS-based trilateration. The system consists of 9 access points (APs) installed on the ceiling of a 4m x 4m x 2.5m room, each using 4 Lumileds LUXEON LED chips. The system provides an illuminance between 300 and 500 lux over the whole room and achieves a positioning error lower than 7.17 cm in 90% of the cases, with a continuous data connectivity at 32 Mbps.","The system uses m-CAP modulation, which is a variant of CAP modulation that changes the conventional CAP into a multi-carrier format by separating the frequency spectrum into multiple sub-bands. The system also uses RSS-based trilateration for positioning, which estimates the distance between the UE and the APs based on the received signal strength.","The reported metrics, such as the positioning error and data rate, are physically consistent with the system architecture and parameters. The system's performance is also compared to other existing works, showing that it can provide a very interesting indoor positioning solution.","The system solves the problem of providing a joint visible light communication and sensing system with high accuracy and data rate. However, there are still open challenges, such as optimizing the AP layout, light sources parameters, and MAC cycle structure, as well as reducing the interdependence between communication and sensing."
O_ISAC_023,"The paper proposes a DCO-OFDM scheme for FSO-ISAC, which combines communication and sensing functionalities within an individual system. The system model is based on a LiDAR, which provides active sensing abilities for both cooperative and uncooperative targets. The DCO-OFDM signal model is introduced, and the clipping noise is modeled as additive colored Gaussian noise (ACGN) to elicit an equivalent frequency-selective channel for FSO-ISAC.","The system mechanism is based on the DCO-OFDM scheme, which adds a direct-current (DC) bias to the original OFDM signal to obtain a nonnegative signal. The ISAC coupling mode is achieved through the joint optimization of communication and sensing performance metrics, which are derived based on the equivalent frequency-selective channel model.","The paper provides numerical simulations to evaluate the proposed DCO-OFDM scheme for FSO-ISAC. The results demonstrate the effectiveness of the proposed algorithms and reveal the tradeoff between communication and sensing functionalities. The sensing precision is shown to be robust to channel variations, and the computational complexity of the proposed algorithms is analyzed.","The paper solves the problem of joint optimization of communication and sensing performance metrics for FSO-ISAC. However, open challenges remain, such as the extension of the proposed scheme to multitarget scenarios and the investigation of novel performance metrics for various sensing tasks. Additionally, the development of robust and cost-effective beamforming schemes for optical sensors is an open challenge."
O_ISAC_024,"The paper includes several figures, such as Fig. 1, which shows the time-domain waveform of the LFM signal before and after transmission, and the amplitude-frequency response of the LFM probe within the ISAC system. Fig. 2 depicts the experimental setup, while Fig. 3 shows the Rayleigh scattering traces of the LFM probe and pre-distorted probe, as well as the phase waterfall, phase variance, and PSD curves of the vibration with LFM probe and pre-distorted probe.","The system uses a digital subcarrier multiplexing (DSCM)-based integrated sensing and communication (ISAC) system, where the sensing probe is pre-compensated using the frequency response data from the forward communication link. The ISAC system consists of a narrow linewidth laser, an arbitrary waveform generator, and a coherent receiver. The sensing component comprises a continuous linear frequency-modulated (LFM) probe, while the communication payload consists of two 30 GBaud 16QAM DSCM signals.","The paper reports a spatial resolution of 1 m in a 40-km fiber link, with an SNR improvement of 2.4 dB in distributed sensing. The experimental results show that the pre-compensation enabled by forward communication information results in significant improvements in both SNR and spatial resolution. The reported metrics are physically consistent with the system description and experimental setup.","The paper solves the problem of frequency-dependent distortions in LFM probes used in distributed fiber optic sensing systems. The proposed ISAC system with pre-compensation enables simultaneous sensing and communication over a 40-km fiber link with minimal impact on both performances. However, the paper does not address the potential challenges of scaling up the system to longer distances or more complex network topologies."
O_ISAC_025,"The paper proposes an architecture for an optical transport network that supports integrated sensing and communication services. The system uses a distributed passive wireless radar principle, where 6G Base Stations generate communication signals that are reflected on objects in the surrounding area, creating IQ echo streams. These streams are transmitted to a multi-access edge computing node for storage and processing. A sensing app analyzes the quality of the IQ echo streams and decides which ones can be used for sensing. The app's output is passed to a network orchestrator that determines the optimal transport network configuration to support both communication and sensing services.",The system architecture exploits an optoelectronic transport network interconnecting the Radio Access Network with the core functions located at the MEC. The proposed architecture supports joint sensing and communication services using 3GPP compliant RF signals. The sensing app implements a passive OFDM-based radar that uses reflected signals to estimate object positions. The network orchestrator calculates the optimal resource allocation policy to accommodate both communication and sensing services.,"The paper presents numerical results for the proposed scheme, evaluating three different management policies: a) 'single' echo approach, b) 'optimal' dynamic approach, and c) 'all-active' approach. The results show that the 'optimal' approach has higher network requirements compared to the 'single' echo approach (~15%) and is 30% more efficient than the static 'all-active' approach. The 'optimal' scheme receives echoes of similar SNR with the 'all-active' approach, while requiring 50% less network resources.","The proposed architecture has the potential to optimize the operation of an optical transport network supporting ISAC services. The use of an all-optical switch allows for transparent transport of sensing flows, eliminating transmission delays introduced by optoelectronic devices. The 'optimal' approach has higher network requirements compared to the 'single' echo approach but is more efficient than the 'all-active' approach. The results demonstrate the feasibility of the proposed architecture in supporting joint sensing and communication services."
O_ISAC_026,"The paper includes several figures, including Figure 1, which shows the concept of adaptive photonic-based ISAC networks based on millimeter wave over fiber, and Figure 2, which shows the schematic of the experiment setup. Figure 3 shows the results of the received optical power on communication and radar sensing, and Figure 4 shows the spectra of the different de-chirped echoes and the measured distance error after calibration.","The proposed system is a photonic-based millimeter-wave integrated sensing and communication (ISAC) system. It uses a frequency-division multiplexed waveform, combining a linear frequency modulated (LFM) signal for radar sensing and a subcarrier modulated (SCM) signal for communication. The system has a simple structure and can adapt to the current communication network, achieving high-speed communication and high-resolution sensing simultaneously.","The paper reports a data rate of 48 Gbit/s in communication-only mode and 8 Gbit/s in ISAC mode, with a sensing resolution of 2.75 cm. The distance error of the system is less than 1 cm after external calibration. These metrics seem physically consistent with the proposed system and experiment setup.","The proposed system solves the problem of achieving high-speed communication and high-resolution sensing simultaneously in a photonic-based ISAC system. However, the system still faces challenges such as the need for external calibration to eliminate systematic errors and the potential for interference between the communication and sensing signals."
