"paper_id","gap_id","gap_label","coverage_score","justification_excerpt","source_locator","confidence"
"O_ISAC_006","G6","System-level co-design",1,"Discusses DAS integration but limited system-level analysis","Body","0.7"
"O_ISAC_006","G7","Systematic methodology",0,"Narrative review","Methodology","0.9"
"O_ISAC_021","G1","Terminology harmonization",2,"Explicitly uses O-ISAC terminology","Introduction","0.8"
"O_ISAC_021","G2","Metric normalization",2,"Distinguishes rate/resolution metrics; defines SNR vs RMSE","Section III","0.8"
"O_ISAC_021","G3","Cross-modality benchmarking",0,"FSO-focused; no cross-modality benchmarks","Full text","0.9"
"O_ISAC_021","G4","Cross-domain transfer",1,"Briefly mentions hybrid RF-optical but limited depth","Conclusions","0.7"
"O_ISAC_021","G5","Unified PHY framework/taxonomy",2,"Proposes 3-advantage framework for O-ISAC","Introduction","0.8"
"O_ISAC_021","G6","System-level co-design",2,"Discusses waveform design and future integration","Section IV","0.8"
"O_ISAC_021","G7","Systematic methodology",0,"Narrative overview","Methodology","0.9"
"O_ISAC_033","G1","Terminology harmonization",0,"Uses standard DAS terminology without unification","Introduction","0.7"
"O_ISAC_033","G2","Metric normalization",2,"Defines spatial resolution ~100pε/√Hz and strain sensitivity","L57","0.85"
"O_ISAC_033","G3","Cross-modality benchmarking",0,"Fiber-only focus; no VLC/FSO comparison","Full text","0.9"
"O_ISAC_033","G4","Cross-domain transfer",0,"No discussion of technique portability to wireless","Full text","0.9"
"O_ISAC_033","G5","Unified PHY framework/taxonomy",1,"Partial taxonomy: forward phase and DAS methods","L15-19","0.7"
"O_ISAC_033","G6","System-level co-design",2,"Discusses coherent network integration at system level","L57","0.8"
"O_ISAC_033","G7","Systematic methodology",0,"Narrative survey style","Methodology","0.9"
"O_ISAC_068","G1","Terminology harmonization",3,"Explicitly discusses JCS/ISAC/DFRC terminology aliases","Introduction","0.9"
"O_ISAC_068","G2","Metric normalization",1,"Discusses metrics but no explicit normalization proposal","Body","0.7"
"O_ISAC_068","G3","Cross-modality benchmarking",0,"VLC-focused; no cross-modality benchmarks","Full text","0.9"
"O_ISAC_068","G4","Cross-domain transfer",1,"Mentions interoperability needs but limited depth","Conclusions","0.7"
"O_ISAC_068","G5","Unified PHY framework/taxonomy",1,"Basic VLC-JCS categorization","Section II","0.7"
"O_ISAC_068","G6","System-level co-design",2,"Discusses system integration for commercial deployment","Section IV","0.8"
"O_ISAC_068","G7","Systematic methodology",0,"Narrative overview","Methodology","0.9"
"O_ISAC_327","G1","Terminology harmonization",1,"Uses VLC/VLC-IoE terms but no explicit harmonization","Introduction","0.7"
"O_ISAC_327","G2","Metric normalization",2,"Defines channel modeling metrics comprehensively","Section II","0.8"
"O_ISAC_327","G3","Cross-modality benchmarking",1,"Mentions need for 3GPP-style standard but VLC-only","L679","0.7"
"O_ISAC_327","G4","Cross-domain transfer",0,"VLC-focused; no fiber/FSO transfer discussion","Full text","0.9"
"O_ISAC_327","G5","Unified PHY framework/taxonomy",2,"Comprehensive VLC channel taxonomy","Section III","0.8"
"O_ISAC_327","G6","System-level co-design",1,"Discusses IoE applications at system level","Section IV","0.7"
"O_ISAC_327","G7","Systematic methodology",1,"More structured than typical narrative","Methodology","0.7"
"O_ISAC_039","G1","Terminology harmonization",0,"Standard VLC/VLP terminology without unification","Introduction","0.7"
"O_ISAC_039","G2","Metric normalization",1,"Defines localization error metrics","Section V","0.7"
"O_ISAC_039","G3","Cross-modality benchmarking",0,"VLC-only focus","Full text","0.9"
"O_ISAC_039","G4","Cross-domain transfer",1,"Notes VLC/VLP designed separately","Introduction","0.8"
"O_ISAC_039","G5","Unified PHY framework/taxonomy",1,"MTL framework for VLC-VLP integration","Section III","0.7"
"O_ISAC_039","G6","System-level co-design",1,"FL-based system design","Section IV","0.7"
"O_ISAC_039","G7","Systematic methodology",0,"Research article","Methodology","0.9"
"O_ISAC_161","G1","Terminology harmonization",2,"Lists RadCom/JRC/ISAC terminology in hardware context","Abstract","0.9"
"O_ISAC_161","G2","Metric normalization",1,"Hardware focus; limited metric standardization","Body","0.7"
"O_ISAC_161","G3","Cross-modality benchmarking",1,"Compares RF and optical hardware - partial benchmark","L47","0.7"
"O_ISAC_161","G4","Cross-domain transfer",2,"Discusses hardware abstraction across RF/optical domains","Section IV","0.8"
"O_ISAC_161","G5","Unified PHY framework/taxonomy",2,"Provides hardware-centric taxonomy across modalities","L47, L626","0.8"
"O_ISAC_161","G6","System-level co-design",3,"Strong coverage: hardware constraints, scalability, certification","Section VI","0.9"
"O_ISAC_161","G7","Systematic methodology",0,"Invited article; narrative review","Methodology","0.9"
"O_ISAC_142","G1","Terminology harmonization",1,"Uses IS terminology","Introduction","0.7"
"O_ISAC_142","G2","Metric normalization",1,"Limited metric discussion","Body","0.7"
"O_ISAC_142","G3","Cross-modality benchmarking",0,"Primarily RF-focused","Full text","0.8"
"O_ISAC_142","G4","Cross-domain transfer",1,"Discusses 6G wireless networks","Body","0.7"
"O_ISAC_142","G5","Unified PHY framework/taxonomy",2,"Overview of IS taxonomy for 6G","L9","0.8"
"O_ISAC_142","G6","System-level co-design",1,"Limited system-level depth","Body","0.7"
"O_ISAC_142","G7","Systematic methodology",0,"Narrative overview","Methodology","0.9"
"O_ISAC_150","G1","Terminology harmonization",1,"6G terminology","Body","0.7"
"O_ISAC_150","G2","Metric normalization",1,"Broad performance metrics","Body","0.7"
"O_ISAC_150","G3","Cross-modality benchmarking",0,"General 6G focus","Full text","0.8"
"O_ISAC_150","G4","Cross-domain transfer",1,"Discusses TN-NTN integration","Body","0.7"
"O_ISAC_150","G5","Unified PHY framework/taxonomy",1,"Vision-level taxonomy","L379","0.7"
"O_ISAC_150","G6","System-level co-design",1,"Vision-level system discussion","Body","0.7"
"O_ISAC_150","G7","Systematic methodology",0,"Narrative overview","Methodology","0.9"
"O_ISAC_162","G1","Terminology harmonization",1,"ISAC terminology","Body","0.7"
"O_ISAC_162","G2","Metric normalization",1,"Use cases focus","Body","0.7"
"O_ISAC_162","G3","Cross-modality benchmarking",0,"General ISAC focus","Full text","0.8"
"O_ISAC_162","G4","Cross-domain transfer",2,"Discusses TN-NTN-optical integration","L72","0.8"
"O_ISAC_162","G5","Unified PHY framework/taxonomy",1,"Overview taxonomy","Body","0.7"
"O_ISAC_162","G6","System-level co-design",2,"Channel models, PoC systems","L190","0.8"
"O_ISAC_162","G7","Systematic methodology",0,"Narrative overview","Methodology","0.9"
"O_ISAC_059","G1","Terminology harmonization",0,"Standard terminology","Body","0.7"
"O_ISAC_059","G2","Metric normalization",0,"Conceptual focus","Body","0.7"
"O_ISAC_059","G3","Cross-modality benchmarking",0,"TN-NTN focus only","Full text","0.8"
"O_ISAC_059","G4","Cross-domain transfer",1,"TN-NTN transfer discussion","L69","0.7"
"O_ISAC_059","G5","Unified PHY framework/taxonomy",0,"No taxonomy provided","Body","0.7"
"O_ISAC_059","G6","System-level co-design",1,"Architecture discussion","Body","0.7"
"O_ISAC_059","G7","Systematic methodology",0,"Narrative overview","Methodology","0.9"
"O_ISAC_064","G1","Terminology harmonization",1,"ISAC/DOFVS terminology","L13","0.7"
"O_ISAC_064","G2","Metric normalization",1,"Sensing metrics mentioned","Body","0.7"
"O_ISAC_064","G3","Cross-modality benchmarking",0,"Fiber-only focus","Full text","0.9"
"O_ISAC_064","G4","Cross-domain transfer",1,"Smart city application transfer","L13","0.7"
"O_ISAC_064","G5","Unified PHY framework/taxonomy",1,"Fiber ISAC methods listed","L13","0.7"
"O_ISAC_064","G6","System-level co-design",2,"WDM PON integration, deployed fibers","L13","0.8"
"O_ISAC_064","G7","Systematic methodology",0,"Conference overview","Methodology","0.9"
"O_ISAC_200","G1","Terminology harmonization",1,"VAE/Jones matrix terminology","L48","0.7"
"O_ISAC_200","G2","Metric normalization",2,"Defines PMD/PDL sensing metrics","L280","0.8"
"O_ISAC_200","G3","Cross-modality benchmarking",0,"Fiber/polarization focus only","Full text","0.9"
"O_ISAC_200","G4","Cross-domain transfer",1,"ML technique for sensing","L48","0.7"
"O_ISAC_200","G5","Unified PHY framework/taxonomy",1,"VAE+PML framework for fiber","L48","0.7"
"O_ISAC_200","G6","System-level co-design",1,"Channel estimation integration","Body","0.7"
"O_ISAC_200","G7","Systematic methodology",0,"Tutorial/conference paper","Methodology","0.9"
