"claim_id","subpoint_tag","paper_id","year","title","venue","doi","modality","evidence_type","authority_class","authority_score","relevance_score","where_in_paper","supporting_excerpt","why_it_supports","metric_terms","terminology_terms","cross_domain_note","confidence","source_path","source_locator"
"C1","aliasing","O_ISAC_068","2023","Joint Communication and Sensing Prospects: Potential Through Visible Light","Journal/Conference","DOI:10.1109/ACCESS.2023.3294091","VLC","Simulation","Research","0.6","0.4","Joint Communication and Sensing Prospects: Potenti","sensing.* ### I. INTRODUCTION Joint Communication and Sensing (JCS), also known as Integrated Sensing And Communication (ISAC), Sensing-Communication Integration (SCI) or Cooperative...","Explicit terminology aliasing detected with pattern 'also known as'.","","also known as","","0.9","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_068\O_ISAC_068.md","Joint Communication and Sensing Prospects: Potential Through Visible Light > I. INTRODUCTION (L15)"
"C1","inconsistent labels","O_ISAC_074","2025","Endogenous ISAC Enabled Interference Fading Free Sensing via Telecom Training Sequence","OECC/PSC","NR","Fiber","Experimental","Research","0.6","0.4","Endogenous ISAC Enabled Interference Fading Free S","and achieve distributed sensing simultaneously, dual polarization (DP) chirp TSs (or sensing probes) are inserted prior to the telecom payload, as illustrated...","Explicit terminology aliasing detected with pattern '(or '.","","","","0.9","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_074\O_ISAC_074.md","Endogenous ISAC Enabled Interference Fading Free Sensing via Telecom Training Sequence > I. INTRODUCTION > II. OPERATING PRINCIPLES (L23)"
"C2","reporting format","O_ISAC_013","2025","Single-Ended > 100-km Distributed Vibration Sensor Based on OFDR Using Pearson Correlation Coefficient","Journal of Lightwave Technology","10.1109/JSEN.2025.3554542","Fiber","Experimental","Research","0.6","0.4","Single-Ended > 100-km Distributed Vibration Sensor","amplitude level and number of vibration events, which can be expressed as $$\Delta R = \alpha \sum_{q} \varepsilon_{q} \tag{14}$$ where α is...","Defines/uses metric 'Δr' with specific formula or value.","Δr","","","0.85","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_013\O_ISAC_013.md","Single-Ended > 100-km Distributed Vibration Sensor Based on OFDR Using Pearson Correlation Coefficient > II. PRINCIPLE > III. NUMERICAL SIMULATION (L194)"
"C2","bounds(CRB/FIM)","O_ISAC_023","2024","Free-Space Optical Integrated Sensing and Communication Based on DCO-OFDM: Performance Metrics and Resource Allocation","","10.1109/ICC51166.2024.10622583].","FSO","Simulation","Research","0.6","0.4","Free-Space Optical Integrated Sensing and Communic","well studied in optical wireless communication, we focus on its sensing performance instead and define its root-mean-square error (RMSE) as $$\varepsilon_D =...","Defines/uses metric 'RMSE' with specific formula or value.","RMSE","","","0.85","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_023\O_ISAC_023.md","Free-Space Optical Integrated Sensing and Communication Based on DCO-OFDM: Performance Metrics and Resource Allocation > *C. Computational Complexity and Scalability* > D. Robustness to Channel Variations (L748)"
"C2","reporting format","O_ISAC_050","2022","Visible Light Communication-Enabled Simultaneous Position and Orientation Detection for Harnessing Multipath Interference and Random Fading","","10.1109/TITS.2023.3324361","VLC","Simulation","Research","0.6","0.4","A. Simulation Settings","received OFDM signals. Moreover, we adopt the Cramer-Rao lower bound (CRLB) in [70] as a performance benchmark of our method, where TOA...","Defines/uses metric 'Cramér-Rao' with specific formula or value.","Cramér-Rao","","","0.85","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_050\O_ISAC_050.md","A. Simulation Settings (L537)"
"C2","SNR-OSNR mismatch","O_ISAC_005","2024","Integrated Sensing and Communication for UAV Trajectory Optimization in Mixed FSO-RF Networks in Dynamic Weather Conditions","IEEE Journal","10.1109/JIoT.2024.3399153","FSO","Simulation","Research","0.6","0.2","III. PROBLEM FORMULATION AND RESOURCE ALLOCATION >","MHz. Note that the optical channel sensing is evaluated for two SNR threshold levels, $\Theta_{\rm th}$ , specifically at 10 dB and...","Defines/uses metric 'SNR' with specific formula or value.","SNR","","","0.85","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_005\O_ISAC_005.md","III. PROBLEM FORMULATION AND RESOURCE ALLOCATION > Algorithm 1: RL for UAV Trajectory Optimization > IV. RESULTS AND SYSTEM PERFORMANCE (L193)"
"C2","SNR-OSNR mismatch","O_ISAC_008","2025","Wide-steering Integrated Sensing and Communication OPA-based Lidar Design with Joint Waveform and Thinned Antenna","OECC/PSC 2025","NR","Other","Simulation","Research","0.6","0.2","**Wide-steering Integrated Sensing and Communicati","the communication RX, the optical power received by PD is -4.43dBm and the SNR is 14dB. Fig. 2. (b-c) shows the waveform...","Defines/uses metric 'SNR' with specific formula or value.","SNR","","","0.85","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_008\O_ISAC_008.md","**Wide-steering Integrated Sensing and Communication OPA-based Lidar Design with Joint Waveform and Thinned Antenna** > A. Principle of QPSK-FMCW Joint Waveform Design > B. Principle of Thinned Ring Antenna Design > A. ISAC Joint Waveform Evaluation (L69)"
"C2","bounds(CRB/FIM)","O_ISAC_009","2025","Integrated Positioning and Communication Relying on Wireless Optical OFDM","IEEE Journal on Selected Areas in Communications","10.1109/JSAC.2025.3543532","VLC","Simulation","Research","0.6","0.2","*A. Scenarios and Syste","functionality (LoS scenario): Ranging RMSE of VLPC-D-CO-OFDM for LED-User Pair A in LoS-only scenario. The subfigures are (a) M = 64, (b)...","Defines/uses metric 'RMSE' with specific formula or value.","RMSE","","","0.85","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_009\O_ISAC_009.md","*A. Scenarios and System Description* > A. Simulation Parameters (L510)"
"C2","SNR-OSNR mismatch","O_ISAC_010","2024","High-speed DMT signal and power-over-fiber simultaneous transmission over weakly-coupled multicore Fiber","Journal of Lightwave Technology","10.1109/JLT.2024.3391239","Fiber","Experimental","Research","0.6","0.2","High-speed DMT signal and power-over-fiber simulta","decision forward error correction (SD-FEC) threshold of 2E-2. In addition, the signal-tonoise ratio (SNR) of 50 GBaud is more than 22 dB...","Defines/uses metric 'SNR' with specific formula or value.","SNR","","","0.85","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_010\O_ISAC_010.md","High-speed DMT signal and power-over-fiber simultaneous transmission over weakly-coupled multicore Fiber > Wei Chen (L69)"
"C2","resolution-vs-RMSE","O_ISAC_011","2024","Retroreflective Optical ISAC Supporting 3D Positioning in Indoor Environments","Optics Letters","NR","RO-ISAC","Simulation","Research","0.6","0.2","C. Principle of sensing","= c\hat{\tau}/2$ , with c represents the speed of light. The range resolution and the maximum ranging distance are respectively given by...","Defines/uses metric 'range resolution' with specific formula or value.","range resolution","","","0.85","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_011\O_ISAC_011.md","C. Principle of sensing (L73)"
"C2","reporting format","O_ISAC_015","2024","Movable Access Point-Aided Integrated Visible Light Communication and Sensing Networks","IEEE Letters","10.1109/LWC.2024.3521192","VLC","Simulation","Research","0.6","0.2","IV. SIMULATION RESULTS","and sum rate versus priority of communication users. Finally, Fig. 5 shows the trade-off between MI and sum rate for different user...","Defines/uses metric 'trade-off' with specific formula or value.","trade-off","","","0.85","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_015\O_ISAC_015.md","IV. SIMULATION RESULTS (L186)"
"C2","SNR-OSNR mismatch","O_ISAC_021","2023","Optical Integrated Sensing and Communication: Architectures, Potentials and Challenges","IEEE Journal","10.1109/IOTM.001.2300196","FSO","Simulation","Research","0.6","0.2","Enhancing Sensing Precision > Waveform Design for","Numerical results of O-ISAC based on DCO-OFDM. The SNR is defined as the ratio between the transmitted power and the noise power...","Defines/uses metric 'SNR' with specific formula or value.","SNR","","","0.85","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_021\O_ISAC_021.md","Enhancing Sensing Precision > Waveform Design for O-ISAC > Pulsed Waveform (L131)"
"C2","reporting format","O_ISAC_022","2022","Joint Visible Light Sensing and Communication Using m-CAP Modulation","IEEE Transactions on Broadcasting","10.1109/TBC.2022.3201649","VLC","Simulation","Research","0.6","0.2","II. SYSTEM INTEREST, AR","$r_i$ are replaced by their estimates $\hat{r}_i$ . The root-mean square (RMS) localization error $\Delta_{\text{RMS}}$ is finally given by: $$\Delta_{\text{RMS}} = \sqrt{(\hat{x}_e...","Defines/uses metric 'localization error' with specific formula or value.","localization error","","","0.85","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_022\O_ISAC_022.md","II. SYSTEM INTEREST, ARCHITECTURE AND MODELING > D. The Optical Wireless Channel > E. m-CAP Data Transmission Principles > F. RSS-Based Localization Principles (L271)"
"C2","SNR-OSNR mismatch","O_ISAC_025","2024","Optical Transport Network Optimization Supporting Integrated Sensing and Communication Services","Journal/Conference Name","DOI Number","Other","Experimental","Research","0.6","0.2","2. System Architecture > 3. ISAC based transport n","model considers as input sensing streams captured by BSs with SNRs exceeding a predefined SNR threshold (SNRth). SNRth depends on several parameters...","Defines/uses metric 'SNR' with specific formula or value.","SNR","","","0.85","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_025\O_ISAC_025.md","2. System Architecture > 3. ISAC based transport network optimization (L33)"
"C3","non-comparability","O_ISAC_036","2025","Heterogeneous Integrated III-V-on-SOI Transmitter for 6G FiWi mmWave/FSO Integrated Sensing and Communication","Journal/Conference Name","DOI Number","FSO","Standard","Standard","1.0","0.4","Heterogeneous Integrated III-V-on-SOI Transmitter","# Heterogeneous Integrated III-V-on-SOI Transmitter for 6G FiWi mmWave/FSO Integrated Sensing and Communication Akeem Safiriyu (1) , Maria Vargemidou (2) , Chris...","Explicit fragmentation/siloing statement with cue 'Heterogeneous'.","","","Documents fragmentation in FSO","0.9","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_036\O_ISAC_036.md","Heterogeneous Integrated III-V-on-SOI Transmitter for 6G FiWi mmWave/FSO Integrated Sensing and Communication (L1)"
"C3","non-comparability","O_ISAC_080","2025","Integrated Communication and In-band Spectrum Polarization-Based Sensing via Fraction-Division Non-Orthogonal Multiple Access","Journal of Lightwave Technology","10.1109/JLT.2025.123456","Fiber","Standard","Standard","1.0","0.4","I. INTRODUCTION","on, attaining vibration localization error equivalent to 8 m. The sensitivity and the limit of detection (LoD) are $5.3 \times 10^{-3}$ rad/...","Explicit fragmentation/siloing statement with cue 'silo'.","","","Documents fragmentation in Fiber","0.9","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_080\O_ISAC_080.md","I. INTRODUCTION (L27)"
"C3","non-comparability","O_ISAC_082","2025","Signal-Signal Beating Interference: From Destructive to Constructive for Photonic THz Integrated Sensing and Communication System Using Self-Coherent OFDM","IEEE Transactions on Microwave Theory and Techniques","10.1109/TMTT.2025.3638469","Photo-THz","Standard","Standard","1.0","0.4","A. Communication Model > B. Sensing Model","ope detection, the baseband echo signal is processed in parallel by both the matched filter and the nonlinear matched filter. This approach...","Explicit fragmentation/siloing statement with cue 'heterogeneous'.","","","Documents fragmentation in Photo-THz","0.9","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_082\O_ISAC_082.md","A. Communication Model > B. Sensing Model (L172)"
"C3","siloing","O_ISAC_013","2025","Single-Ended > 100-km Distributed Vibration Sensor Based on OFDR Using Pearson Correlation Coefficient","Journal of Lightwave Technology","10.1109/JSEN.2025.3554542","Fiber","Survey","Survey","0.9","0.4","Single-Ended > 100-km Distributed Vibration Sensor","* located can be expressed as $$I_{\text{test}}(t) = 2E_0^2 \sqrt{R(\tau_{z_i})} \cos\left(2\pi \gamma \tau_{z_i} t + \varphi_{z_i} + \varphi_{\varepsilon}(l_i, t)\right) \\ * \frac{N}{2\pi}...","Explicit fragmentation/siloing statement with cue 'silo'.","","","Documents fragmentation in Fiber","0.9","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_013\O_ISAC_013.md","Single-Ended > 100-km Distributed Vibration Sensor Based on OFDR Using Pearson Correlation Coefficient > II. PRINCIPLE > *A. Basic Theory of OFDR* (L98)"
"C3","siloing","O_ISAC_032","2024","Temperature Compensation Method for Polarization-Multiplexed Fiber-Optic Vibration Sensing Unit","Journal of Lightwave Technology","10.1109/JSEN.2024.3501256","Fiber","Survey","Survey","0.9","0.4","Temperature Compensation Method for Polarization-M","separate the strain and temperature, giving the measurement results with a temperature accuracy of 0.071 °C and a strain accuracy of $0.45~\mu\varepsilon$...","Explicit fragmentation/siloing statement with cue 'silo'.","","","Documents fragmentation in Fiber","0.9","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_032\O_ISAC_032.md","Temperature Compensation Method for Polarization-Multiplexed Fiber-Optic Vibration Sensing Unit > I. INTRODUCTION (L29)"
"C3","siloing","O_ISAC_033","2022","Simultaneous Sensing and Communication in Optical Fibers","Journal of Lightwave Technology","10.1109/JLT.2021.3137768","Fiber","Survey","Survey","0.9","0.4","Simultaneous Sensing and Communication in Optical","r the flat region between 5 Hz to 47.6 Hz that is due to ASE noise. Measurand resolution in $\epsilon/\sqrt{\text{Hz}}$ can then...","Explicit fragmentation/siloing statement with cue 'silo'.","","","Documents fragmentation in Fiber","0.9","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_033\O_ISAC_033.md","Simultaneous Sensing and Communication in Optical Fibers > Introduction > **Event Localization by Data Transponders** > 1,007-km All-Raman Link DAS Monitoring (L47)"
"C3","siloing","O_ISAC_050","2022","Visible Light Communication-Enabled Simultaneous Position and Orientation Detection for Harnessing Multipath Interference and Random Fading","","10.1109/TITS.2023.3324361","VLC","Survey","Survey","0.9","0.4","C. Channel Model > D. Received OFDM Signal Model","e have $$\mathbf{z}_{m}^{(t)} = \mathbf{H}_{m}(\boldsymbol{\beta}_{\mathbf{A}}) \, \mathbf{a}_{m}^{(t)} + \boldsymbol{\epsilon}_{m}^{(t)}, \tag{18}$$ where $\boldsymbol{\beta}_{\mathrm{A}} \in \mathbb{C}^{4L'|\Omega_{\mathrm{R}}|+6} = [\mathbf{x}_{\mathrm{R}}; \mathbf{u}_{","Explicit fragmentation/siloing statement with cue 'silo'.","","","Documents fragmentation in VLC","0.9","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_050\O_ISAC_050.md","C. Channel Model > D. Received OFDM Signal Model (L184)"
"C3","siloing","O_ISAC_055","2023","Free Space Optical Integrated Sensing and Communication Based on LFM and CPM","IEEE Letters","10.1109/LCOMM.2023.3332658","FSO","Survey","Survey","0.9","0.4","C. CRB for Sensing","of $R_s$ , the CRB for the ToF estimation can be written as $$\operatorname{var}\left(\hat{\tau}_{0}\right) \geq \varepsilon_{\tau_{0}}^{2} = \int_{0}^{\infty} \frac{1}{I_{\tau_{0}}} p_{I}\left(I\right) dI, \tag{14}$$...","Explicit fragmentation/siloing statement with cue 'silo'.","","","Documents fragmentation in FSO","0.9","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_055\O_ISAC_055.md","C. CRB for Sensing (L147)"
"C3","siloing","O_ISAC_061","2025","Optical Wireless Integrated Sensing and Communication Based on Optical Phased Array: Performance Metric and Optimal Beamforming","IEEE Transactions on Wireless Communications","10.1109/TWC.2025.3559254","FSO","Survey","Survey","0.9","0.4","C. Performance Metric of Sensing Sub-System > IV.","higher probability, the gradient #### Algorithm 1 Barrier Method to Optimize PD Orientations ``` Input: Tolerance \varepsilon_{\phi}, optimization rounds N_d. Output: Optimal...","Explicit fragmentation/siloing statement with cue 'silo'.","","","Documents fragmentation in FSO","0.9","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_061\O_ISAC_061.md","C. Performance Metric of Sensing Sub-System > IV. OPTIMAL BEAMFORMING FOR OW-ISAC > A. Problem Formulation for Joint Optimization > Algorithm 1 Barrier Method to Optimize PD Orientations (L475)"
"C3","siloing","O_ISAC_062","2024","6-DoF Location-and-Pose Estimation Toward Integrated Visible Light Communication and Sensing: Algorithm Design and Performance Limits","IEEE Transactions on Signal Processing","10.1109/TSP.2024.3383285","VLC","Survey","Survey","0.9","0.4","6-DoF Location-and-Pose Estimation Toward Integrat","$\mathbf{z}_{n,m,k}^{(\kappa)} = \sum_{l=0:L'} \mathbf{a}_{m,k}^{(\kappa)} \alpha'_{l,n,m} \exp\left(-\mathbf{j}2\pi f_{m,k} \tau_{l,n,m}\right) + \epsilon_{n,m,k}^{(\kappa)},$$ where $\epsilon_{n,m,k}^{(\kappa)}$ is the noise, $f_{k,m}$ is the kth-subcarrier's baseband frequency of...","Explicit fragmentation/siloing statement with cue 'silo'.","","","Documents fragmentation in VLC","0.9","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_062\O_ISAC_062.md","6-DoF Location-and-Pose Estimation Toward Integrated Visible Light Communication and Sensing: Algorithm Design and Performance Limits > A. Research Motivation > II. SYSTEM MODEL > C. Received Signal Model (L199)"
"C3","non-comparability","O_ISAC_041","2024","Co-Route Fiber Recognition and Status Diagnosis Based on Integrated Sensing and Communication in 6G Transport Networks","IEEE Journal","10.1109/JIOT.2024.3414863","Fiber","Other","Research","0.6","0.6","REFERENCES","*, vol. 9, no. 3, pp. 2014–2024, Feb. 2022. - [\[8\]](#page-0-4) Q. Yao et al., ""Federated transfer learning framework for heterogeneous edge...","Explicit fragmentation/siloing statement with cue 'heterogeneous'.","","","Documents fragmentation in Fiber","0.9","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_041\O_ISAC_041.md","REFERENCES (L432)"
"C3","siloing","O_ISAC_005","2024","Integrated Sensing and Communication for UAV Trajectory Optimization in Mixed FSO-RF Networks in Dynamic Weather Conditions","IEEE Journal","10.1109/JIoT.2024.3399153","FSO","Experimental","Research","0.6","0.4","I. INTRODUCTION > II. SYSTEM MODEL > A. FSO Backha","$h_{\rm m}$ . The path loss (PL) for the LoS and NLoS links can be expressed as [14] $$\begin{cases} \mathcal{L}_{\mathrm{m}k}^{\mathrm{LoS}} = \Upsilon_{1}...","Explicit fragmentation/siloing statement with cue 'silo'.","","","Documents fragmentation in FSO","0.9","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_005\O_ISAC_005.md","I. INTRODUCTION > II. SYSTEM MODEL > A. FSO Backhaul Communication > C. UAV-User Communication (L70)"
"C4","interoperability gap","O_ISAC_068","2023","Joint Communication and Sensing Prospects: Potential Through Visible Light","Journal/Conference","DOI:10.1109/ACCESS.2023.3294091","VLC","Simulation","Research","0.8","0.8","IV. OUTLOOK AND CONCLUSIONS","standardization efforts and regulatory frameworks for facilitating the deployment and interoperability of JCSenabled systems in commercial and industrial settings are necessary to...","Strategic section discusses 'interoperability' indicating cross-domain transfer issue.","","","Discusses 'interoperability' in VLC","0.85","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_068\O_ISAC_068.md","IV. OUTLOOK AND CONCLUSIONS (L147)"
