"paper_id","old_excerpt","new_excerpt","kept_or_dropped","new_claim_if_relabelled","reason","source_locator"
"O_ISAC_005","$h_{\rm m}$ . The path loss (PL) for the LoS and NLoS links can be expressed as [14] $$\begin{cases}","$h_{\rm m}$ . The path loss (PL) for the LoS and NLoS links can be expressed as [14] $$\begin{cases} \mathcal{L}_{\mathrm{m}k}^{\mathrm{LoS}} = \Upsilon_{1}...","KEPT","","Contains valid C3 cue word","I. INTRODUCTION > II. SYSTEM MODEL > A. FSO Backhaul Communication > C. UAV-User Communication (L70)"
"O_ISAC_009","AC for 6G is that the combination of high-rate communication and highresolution sensing requires a l","AC for 6G is that the combination of high-rate communication and highresolution sensing requires a large bandwidth, which may not be available...","KEPT","","Contains valid C3 cue word","Integrated Positioning and Communication Relying on Wireless Optical OFDM > I. INTRODUCTION (L23)"
"O_ISAC_013","* located can be expressed as $$I_{\text{test}}(t) = 2E_0^2 \sqrt{R(\tau_{z_i})} \cos\left(2\pi \gam","* located can be expressed as $$I_{\text{test}}(t) = 2E_0^2 \sqrt{R(\tau_{z_i})} \cos\left(2\pi \gamma \tau_{z_i} t + \varphi_{z_i} + \varphi_{\varepsilon}(l_i, t)\right) \\ * \frac{N}{2\pi}...","KEPT","","Contains valid C3 cue word","Single-Ended > 100-km Distributed Vibration Sensor Based on OFDR Using Pearson Correlation Coefficient > II. PRINCIPLE > *A. Basic Theory of OFDR* (L98)"
"O_ISAC_013","Market Supervision and Administration under Grant 2023MK012. The associate editor coordinating the r","","DROPPED","","No valid C3 cue, no suitable relabel target","Abstract (L1-50)"
"O_ISAC_018","on performance over a 10-km fiber link and a 1-m wireless MMW channel. The system achieves a distrib","on performance over a 10-km fiber link and a 1-m wireless MMW channel. The system achieves a distributed sensing detection sensitivity of...","KEPT","","Contains valid C3 cue word","Coexistence of Distributed Sensing and Ultra-Simple Coherent RoF Based Front-Haul for Radio Access Network (L5)"
"O_ISAC_018","Hz, demonstrating its capability for precise environmental monitoring. # REFERENCES - [1] W.-C. Chie","Hz, demonstrating its capability for precise environmental monitoring. # REFERENCES - [1] W.-C. Chien, C.-F. Lai, M. S. Hossain, and G. Muhammad,...","KEPT","","Contains valid C3 cue word","REFERENCES (L218)"
"O_ISAC_022","ts,"" *Opt. Eng.*, vol. 53, no. 10, pp. 1–11, 2014. - [\[24\]](#page-1-3) L. Li, P. Hu, C. Peng, G. S","ts,"" *Opt. Eng.*, vol. 53, no. 10, pp. 1–11, 2014. - [\[24\]](#page-1-3) L. Li, P. Hu, C. Peng, G. Shen, and F....","KEPT","","Contains valid C3 cue word","REFERENCES (L455)"
"O_ISAC_023",". Constraint (32b) guarantees that Algorithm 1 BCD Algorithm for Communication-Centric Scenario **In",". Constraint (32b) guarantees that Algorithm 1 BCD Algorithm for Communication-Centric Scenario **Input:** Tolerance $\epsilon_c$ . Random initial solution $b^{(0)}$ and $\tilde{P}^{(0)}(k)$...","KEPT","","Contains valid C3 cue word","Free-Space Optical Integrated Sensing and Communication Based on DCO-OFDM: Performance Metrics and Resource Allocation > B. Channel Model > C. Communication Subsystem > A. Joint Power Allocation Problem (L310)"
"O_ISAC_027","rt by Chinese-Polish SHENG 3 under Grant 2023/48/Q/ST7/00242. The associate editor coordinating the ","","DROPPED","","No valid C3 cue, no suitable relabel target","Abstract (L1-50)"
"O_ISAC_032","separate the strain and temperature, giving the measurement results with a temperature accuracy of 0","separate the strain and temperature, giving the measurement results with a temperature accuracy of 0.071 °C and a strain accuracy of $0.45~\mu\varepsilon$...","KEPT","","Contains valid C3 cue word","Temperature Compensation Method for Polarization-Multiplexed Fiber-Optic Vibration Sensing Unit > I. INTRODUCTION (L29)"
"O_ISAC_032","River Talent Recruitment Program"" under Grant 2019ZT0808X340. The associate editor coordinating the ","","DROPPED","","No valid C3 cue, no suitable relabel target","Abstract (L1-50)"
"O_ISAC_033","r the flat region between 5 Hz to 47.6 Hz that is due to ASE noise. Measurand resolution in $\epsilo","r the flat region between 5 Hz to 47.6 Hz that is due to ASE noise. Measurand resolution in $\epsilon/\sqrt{\text{Hz}}$ can then...","KEPT","","Contains valid C3 cue word","Simultaneous Sensing and Communication in Optical Fibers > Introduction > **Event Localization by Data Transponders** > 1,007-km All-Raman Link DAS Monitoring (L47)"
"O_ISAC_033","the sensing probe signal on co-propagating data channels must be considered [6]. In this paper, we r","","DROPPED","","No valid C3 cue, no suitable relabel target","Abstract (L1-50)"
"O_ISAC_034","1835–1839, Sep. 2022. - [\[7\]](#page-0-6) M. A. Khalighi and M. Uysal, ""Survey on free space optica","","DROPPED","","No valid C3 cue, no suitable relabel target","Abstract (L1-50)"
"O_ISAC_036","# Heterogeneous Integrated III-V-on-SOI Transmitter for 6G FiWi mmWave/FSO Integrated Sensing and Co","# Heterogeneous Integrated III-V-on-SOI Transmitter for 6G FiWi mmWave/FSO Integrated Sensing and Communication Akeem Safiriyu (1) , Maria Vargemidou (2) , Chris...","KEPT","","Contains valid C3 cue word","Heterogeneous Integrated III-V-on-SOI Transmitter for 6G FiWi mmWave/FSO Integrated Sensing and Communication (L1)"
"O_ISAC_039","tion tasks. Multi-task learning (MTL) [21] is an emerging machine learning paradigm that jointly lea","","DROPPED","","No valid C3 cue, no suitable relabel target","Visible Light Integrated Positioning and Communication: A Multi-Task Federated Learning Framework > 1 Introduction (L35)"
"O_ISAC_041","*, vol. 9, no. 3, pp. 2014–2024, Feb. 2022. - [\[8\]](#page-0-4) Q. Yao et al., ""Federated transfer ","*, vol. 9, no. 3, pp. 2014–2024, Feb. 2022. - [\[8\]](#page-0-4) Q. Yao et al., ""Federated transfer learning framework for heterogeneous edge...","KEPT","","Contains valid C3 cue word","REFERENCES (L432)"
"O_ISAC_048","ilde{P}_c(k)$ . **Algorithm 1** Iterative Optimization Algorithm for Dual Variables in Communication","ilde{P}_c(k)$ . **Algorithm 1** Iterative Optimization Algorithm for Dual Variables in Communication-centric Scenarios **Input:** Tolerance $\varepsilon_{\mu}, \varepsilon_{\eta}$ for $\mu, \eta$ . **Output:**...","KEPT","","Contains valid C3 cue word","I. INTRODUCTION > C. Clipping Noise Statistics > III. OPTIMAL POWER ALLOCATION FOR DCO-OFDM > B. Power Allocation for Subcarriers (L201)"
"O_ISAC_049","l vibrations. Another recent work [32] investigates the load balancing problem and proposes a model-","l vibrations. Another recent work [32] investigates the load balancing problem and proposes a model-free reinforcement learning-based algorithm for a heterogeneous light...","KEPT","","Contains valid C3 cue word","Joint Optimization of Slot Selection and Power Allocation in Integrated Visible Light Communication and Sensing Systems > I. INTRODUCTION (L33)"
"O_ISAC_050","e have $$\mathbf{z}_{m}^{(t)} = \mathbf{H}_{m}(\boldsymbol{\beta}_{\mathbf{A}}) \, \mathbf{a}_{m}^{(","e have $$\mathbf{z}_{m}^{(t)} = \mathbf{H}_{m}(\boldsymbol{\beta}_{\mathbf{A}}) \, \mathbf{a}_{m}^{(t)} + \boldsymbol{\epsilon}_{m}^{(t)}, \tag{18}$$ where $\boldsymbol{\beta}_{\mathrm{A}} \in \mathbb{C}^{4L'|\Omega_{\mathrm{R}}|+6} = [\mathbf{x}_{\mathrm{R}}; \mathbf{u}_{","KEPT","","Contains valid C3 cue word","C. Channel Model > D. Received OFDM Signal Model (L184)"
"O_ISAC_050","r. 2018. - [\[45\]](#page-3-6) A. R. Ndjiongue and H. C. Ferreira, ""An overview of outdoor visible l","","DROPPED","","No valid C3 cue, no suitable relabel target","Abstract (L1-50)"
"O_ISAC_051","iDAR) is widely used as a non-contact ranging solution for autonomous driving, robotics, aerospace, ","","DROPPED","","No valid C3 cue, no suitable relabel target","Abstract (L1-50)"
"O_ISAC_052","= \frac{1}{2},\tag{20f}$$ **Algorithm 1** Iterative Algorithm for Joint Optimization of Resource All","= \frac{1}{2},\tag{20f}$$ **Algorithm 1** Iterative Algorithm for Joint Optimization of Resource Allocation for ADO-OFDM **Input:** Tolerance $\epsilon$ . Initial solution $\lambda_h^{(0)}$ ,...","KEPT","","Contains valid C3 cue word","I. INTRODUCTION > IV. ADAPTIVE RESOURCE ALLOCATION (L163)"
"O_ISAC_054","and a radius of ε. Therefore, the coordinates of the O-APs (hence the LEDs and pinhole cameras) are ","and a radius of ε. Therefore, the coordinates of the O-APs (hence the LEDs and pinhole cameras) are $$\mathbf{p}_{\mathrm{OAP},m} \triangleq (\varepsilon \cos...","KEPT","","Contains valid C3 cue word","II. RELATED WORK > III. PROBLEM FORMULATION (L75)"
"O_ISAC_055","of $R_s$ , the CRB for the ToF estimation can be written as $$\operatorname{var}\left(\hat{\tau}_{0}","of $R_s$ , the CRB for the ToF estimation can be written as $$\operatorname{var}\left(\hat{\tau}_{0}\right) \geq \varepsilon_{\tau_{0}}^{2} = \int_{0}^{\infty} \frac{1}{I_{\tau_{0}}} p_{I}\left(I\right) dI, \tag{14}$$...","KEPT","","Contains valid C3 cue word","C. CRB for Sensing (L147)"
"O_ISAC_055",", no. 4, pp. 1208–1211, Aug. 2019. - [12] M. A. Khalighi and M. Uysal, ""Survey on free space optical","","DROPPED","","No valid C3 cue, no suitable relabel target","Abstract (L1-50)"
"O_ISAC_056","ISAC-optimized CDFs across approaches confirms Theorem 3 and lemma 5, showing that stricter distorti","ISAC-optimized CDFs across approaches confirms Theorem 3 and lemma 5, showing that stricter distortion constraints shift probability mass to $X > \epsilon$...","KEPT","","Contains valid C3 cue word","IV. NUMERICAL RESULTS (L241)"
"O_ISAC_060","r. After $s_{cl}(t)$ passes through the matched filter, the signal can be expressed as $$y_{i} = \in","r. After $s_{cl}(t)$ passes through the matched filter, the signal can be expressed as $$y_{i} = \int_{-\infty}^{+\infty} s_{cl}(t)g^{*}(t - \varepsilon T_{c})dt =...","KEPT","","Contains valid C3 cue word","A Unified Waveform for Optical Wireless Integrated Sensing and Communication > I. INTRODUCTION > II. SYSTEM MODEL (L126)"
"O_ISAC_061","higher probability, the gradient #### Algorithm 1 Barrier Method to Optimize PD Orientations ``` Inp","higher probability, the gradient #### Algorithm 1 Barrier Method to Optimize PD Orientations ``` Input: Tolerance \varepsilon_{\phi}, optimization rounds N_d. Output: Optimal...","KEPT","","Contains valid C3 cue word","C. Performance Metric of Sensing Sub-System > IV. OPTIMAL BEAMFORMING FOR OW-ISAC > A. Problem Formulation for Joint Optimization > Algorithm 1 Barrier Method to Optimize PD Orientations (L475)"
"O_ISAC_061","l., ""Terahertz communications and sensing for 6G and beyond: A comprehensive review,"" *IEEE Commun. ","","DROPPED","","No valid C3 cue, no suitable relabel target","Abstract (L1-50)"
"O_ISAC_062","$\mathbf{z}_{n,m,k}^{(\kappa)} = \sum_{l=0:L'} \mathbf{a}_{m,k}^{(\kappa)} \alpha'_{l,n,m} \exp\left","$\mathbf{z}_{n,m,k}^{(\kappa)} = \sum_{l=0:L'} \mathbf{a}_{m,k}^{(\kappa)} \alpha'_{l,n,m} \exp\left(-\mathbf{j}2\pi f_{m,k} \tau_{l,n,m}\right) + \epsilon_{n,m,k}^{(\kappa)},$$ where $\epsilon_{n,m,k}^{(\kappa)}$ is the noise, $f_{k,m}$ is the kth-subcarrier's baseband frequency of...","KEPT","","Contains valid C3 cue word","6-DoF Location-and-Pose Estimation Toward Integrated Visible Light Communication and Sensing: Algorithm Design and Performance Limits > A. Research Motivation > II. SYSTEM MODEL > C. Received Signal Model (L199)"
"O_ISAC_062","| 6-DoF | RSS + TOA | LRM optimization | Scattering and fading | TABLE I SURVEY OF STATE-OF-THE-ART ","","DROPPED","","No valid C3 cue, no suitable relabel target","Abstract (L1-50)"
"O_ISAC_064","ong Polytechnic University, Hong Kong SAR, China* *Email: eeaptlau@polyu.edu.hk* **Abstract:** We re","","DROPPED","","No valid C3 cue, no suitable relabel target","Abstract (L1-50)"
"O_ISAC_065","/10.1038/nphoton.2007.3) - [3] A. S. Cacciapuoti, K. Sankhe, M. Caleffi, and K. R. Chowdhury, ""Beyon","/10.1038/nphoton.2007.3) - [3] A. S. Cacciapuoti, K. Sankhe, M. Caleffi, and K. R. Chowdhury, ""Beyond 5G: THz-based medium access protocol for mobile...","KEPT","","Contains valid C3 cue word","V. CONCLUSION > REFERENCES (L253)"
"O_ISAC_067","This survey/review provides comprehensive coverage of the field.","","DROPPED","","No valid C3 cue, no suitable relabel target","Abstract (L1-50)"
"O_ISAC_068","LC/VLS) domains, JCS offers unprecedented opportunities for seamless integration, resource optimizat","LC/VLS) domains, JCS offers unprecedented opportunities for seamless integration, resource optimization and intelligent decisionmaking in dynamic and heterogeneous wireless environments. However, several...","KEPT","","Contains valid C3 cue word","IV. OUTLOOK AND CONCLUSIONS (L143)"
"O_ISAC_075","Funds for the Central Universities under Grant 2024CDJXY020. The associate editor coordinating the r","","DROPPED","","No valid C3 cue, no suitable relabel target","Abstract (L1-50)"
"O_ISAC_076","& F_{2Y} \end{bmatrix}_{RX} = e^{j(\phi_{laser} + \phi_{vib} + 2\pi \int_0^t FO(\tau)d\tau)} \times ","& F_{2Y} \end{bmatrix}_{RX} = e^{j(\phi_{laser} + \phi_{vib} + 2\pi \int_0^t FO(\tau)d\tau)} \times \begin{bmatrix} \cos \theta & -\sin \theta e^{j\epsilon} \\ \sin \theta...","KEPT","","Contains valid C3 cue word","Integrated Communication and Enhanced Forward Phase-Based Sensing Based on Frequency-Domain Pilot Tones in DSCM Systems Using 100 kHz ECLs > I. INTRODUCTION > II. PRINCIPLES > A. FPTs' Transmission Model (L59)"
"O_ISAC_077","4042–4054, August 2019. - [2] A. S. Cacciapuoti, K. Sankhe, M. Caleffi, and K. R. Chowdhury, ""Beyond","4042–4054, August 2019. - [2] A. S. Cacciapuoti, K. Sankhe, M. Caleffi, and K. R. Chowdhury, ""Beyond 5G: THz-based medium access protocol...","KEPT","","Contains valid C3 cue word","V. CONCLUSION > REFERENCES (L123)"
"O_ISAC_079","proving inadequate for high-precision MPI and TL detection. The phase demodulation method in DAS als","proving inadequate for high-precision MPI and TL detection. The phase demodulation method in DAS also imposes amplitude limitations ( $< 1 \mu...","KEPT","","Contains valid C3 cue word","LFM Carrier Enabled Integrated Sensing and Communication in Self-homodyne Coherent Detection Transmission System > Introduction (L13)"
"O_ISAC_080","on, attaining vibration localization error equivalent to 8 m. The sensitivity and the limit of detec","on, attaining vibration localization error equivalent to 8 m. The sensitivity and the limit of detection (LoD) are $5.3 \times 10^{-3}$ rad/...","KEPT","","Contains valid C3 cue word","I. INTRODUCTION (L27)"
"O_ISAC_082","ope detection, the baseband echo signal is processed in parallel by both the matched filter and the ","ope detection, the baseband echo signal is processed in parallel by both the matched filter and the nonlinear matched filter. This approach...","KEPT","","Contains valid C3 cue word","A. Communication Model > B. Sensing Model (L172)"
"O_ISAC_088","rmance in comparison to 5G with regards to connectivity, peak data rates, latency, energy efficiency","rmance in comparison to 5G with regards to connectivity, peak data rates, latency, energy efficiency, etc. integrating together the most advanced and...","KEPT","","Contains valid C3 cue word","Optical Transport Networks Supporting Integrated Communications and Sensing in 6G > Introduction (L13)"
"O_ISAC_160","[5] Y. Zhu, B. Mao, and N. Kato, ""Intelligent reflecting surface in 6G vehicular communications: A s","","DROPPED","","No valid C3 cue, no suitable relabel target","Abstract (L1-50)"
"O_ISAC_161","centric review of ISAC transceiver technologies. We trace the historical evolution of ISAC systems, ","","DROPPED","","No valid C3 cue, no suitable relabel target","Abstract (L1-50)"
