claim_id,claim_short,paper_id,year,title,modality,evidence_type,where_in_paper,supporting_excerpt,why_it_supports,metric_terms,terminology_terms,cross_domain_note,confidence,source_path,source_locator
C1,Terminology usage,O_ISAC_021,20XX,,FSO,Text,Body,"...a and industry. Similar to the emergence of radio-frequency (RF) ISAC, the integration of free space optical communication and optical sensing yields optical ISAC (O-ISAC), which is regarded as a powerful complement to its RF counterpart. In this article, we first introduce the generalized system structure of O...",Uses term 'optical ISAC'.,,optical ISAC,,0.9,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_021\O_ISAC_021.md,char_offset_448
C1,Terminology usage,O_ISAC_022,20XX,,VLC,Text,Body,"... some general rules for the design of such a system. Index Terms—Multiband CAP (m-CAP), received signal strength (RSS), visible light communication (VLC), visible light positioning (VLP), joint sensing and communication. #### I. INTRODUCTION THE ENCOUNTER between mobile network technologies and broa...",Uses term 'VLC'.,,VLC,,0.9,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_022\O_ISAC_022.md,char_offset_1459
C1,Terminology usage,O_ISAC_023,20XX,,FSO,Text,Body,"...on. Technol. Lett.*, vol. 34, no. 14, pp. 757–760, Jul. 15, 2022. - <span id=""page-14-24""></span>[\[30\]](#page-1-11) Y. Cui et al., ""Retroreflective optical ISAC using OFDM: Channel modeling and performance analysis,"" *Opt. Lett.*, vol. 49, no. 15, pp. 4214–4217, Aug. 2024. - <span id=""page-14-25""></span>[\[31...",Uses term 'optical ISAC'.,,optical ISAC,,0.9,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_023\O_ISAC_023.md,char_offset_85046
C1,Terminology usage,O_ISAC_028,20XX,,VLC,Text,Body,"...FDM,"" IEEE Photonics Technol. Lett. 29(18), 1584–1587 (2017). - [21] J. He, J. He, J. Shi, ""An enhanced adaptive scheme with pairwise coding for OFDM-VLC system,"" IEEE Photonics Technol. Lett. 30 (13), 1254– 1257 (2018). - [22] J. Shi, J. He, Y. Hong, and L.-K. Chen, ""Performance-enhanced NOMA-VLC usin...",Uses term 'VLC'.,,VLC,,0.9,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_028\O_ISAC_028.md,char_offset_23175
C1,Terminology usage,O_ISAC_029,20XX,,Photo-THz,Text,Body,"... Processing*, 2nd ed., New York, NY, USA: McGraw-Hill, 2014. - <span id=""page-12-23""></span>[\[43\]](#page-8-3) M. U. Piracha et al., ""Range resolved LiDAR for long distance ranging with sub-millimeter resolution,"" *Opt. Exp.*, vol. 18, no. 7, p. 7184, Mar. 2010, doi: [10.1364/oe.18.007184.](http://dx.do...",Uses term 'LiDAR'.,,LiDAR,,0.9,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_029\O_ISAC_029.md,char_offset_74974
C1,Terminology usage,O_ISAC_030,20XX,,VLC,Text,Body,"...# <span id=""page-0-0""></span>ReflexGest: Recognizing Hand Gestures Under **VLC-Capable Lamps** Ziwei Liu<sup>®</sup>, Jifei Zhu<sup>®</sup>, Jiaqi Yang<sup>®</sup>, Yimao Sun<sup>®</sup>, Member, IEEE, Yanbing Yang<sup>®</sup>,...",Uses term 'VLC'.,,VLC,,0.9,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_030\O_ISAC_030.md,char_offset_75
C1,Terminology usage,O_ISAC_032,20XX,,Fiber,Text,Body,"...968–1971, Apr. 2007. - <span id=""page-7-18""></span>[\[28\]](#page-1-18) J. Huang et al., ""Multiple disturbance detection and intrusion recognition in distributed acoustic sensing,"" *Proc. SPIE*, vol. 10849, pp. 76–80, Dec. 2018. - <span id=""page-7-19""></span>[\[29\]](#page-1-19) T. Chang et al., ""Shallow seafloor seismic wave ...",Uses term 'distributed acoustic sensing'.,,distributed acoustic sensing,,0.9,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_032\O_ISAC_032.md,char_offset_40215
C1,Terminology usage,O_ISAC_033,20XX,,Fiber,Text,Body,"... a coherent receiver [12]. This allows modified coherent receivers to perform sensing as an auxiliary operation [13]. The second method we review is distributed acoustic sensing (DAS) [14,15] using chirp pulses as a ""code"", and frequency diversity [16] to improve the SNR of the backscatter. Multispan operation is enabled usin...",Uses term 'distributed acoustic sensing'.,,distributed acoustic sensing,,0.9,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_033\O_ISAC_033.md,char_offset_3038
C1,Terminology usage,O_ISAC_034,20XX,,VLC,Text,Body,"...e management [\[6\].](#page-4-5) <span id=""page-0-5""></span>Compared with the emerging research on RF-based ISAC, much less research is conducted on optical ISAC. However, since the optical spectrum has a much larger bandwidth than its RF counterpart, it can provide high-speed, short-range communication abilit...",Uses term 'optical ISAC'.,,optical ISAC,,0.9,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_034\O_ISAC_034.md,char_offset_4141
C1,Terminology usage,O_ISAC_035,20XX,,FSO,Text,Body,"...price, especially when the wide-bandwidth communications are required. Therefore, being inspired, we adopt the OCDM-FMCW philosophy in this paper for optical ISAC, where we invoke the low-cost optically designed FSO waveform. This eliminates the need for an additional RF synthesizer or mixer in the receiver, es...",Uses term 'optical ISAC'.,,optical ISAC,,0.9,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_035\O_ISAC_035.md,char_offset_10390
C1,Terminology usage,O_ISAC_036,20XX,,VLC,Text,Body,"...on monitoring [2]. Such ISAC applications request precise localization of a User Equipment (UE) or distance object, that has been so far performed in lidars/radars, stimulating a strong interest in sharing hardware with conventional communications to facilitate joint ISAC transmitters with reduced cost, ...",Uses term 'lidar'.,,lidar,,0.9,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_036\O_ISAC_036.md,char_offset_2070
C1,Terminology usage,O_ISAC_038,20XX,,Fiber,Text,Body,"...he conventional domains and exploit the abundant power margin. In this paper, we propose, for the first time, a NOMA based scheme for integration of distributed acoustic sensing (DAS) and coherent communication, with negligible communication penalties after the NOMA successive interference cancellation (SIC) procedure. The se...",Uses term 'distributed acoustic sensing'.,,distributed acoustic sensing,,0.9,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_038\O_ISAC_038.md,char_offset_2190
C1,Terminology usage,O_ISAC_039,20XX,,VLC,Text,Body,"... communication tasks by designing an effective ISAC mechanism [6]. In recent years, visible light positioning (VLP) and visible light communication (VLC) have been envisioned as promising candidates for the applications of indoor broadband access and high-precision positioning, because of the high pos...",Uses term 'VLC'.,,VLC,,0.9,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_039\O_ISAC_039.md,char_offset_3703
C1,Terminology usage,O_ISAC_040,20XX,,VLC,Text,Body,"...**TuP-B-21** OECC/PSC 2025 # **UAV-Aided Flying Retroreflective Optical ISAC with Angle Diversity Transmitters** Weiren Wang<sup>1</sup>, Haochuan Wang<sup>1</sup>, Zhihong Zeng<sup>1</sup>, Cuiwei He<sup>2</sup>, and Chen Ch...",Uses term 'Optical ISAC'.,,Optical ISAC,,0.9,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_040\O_ISAC_040.md,char_offset_65
C1,Terminology usage,O_ISAC_041,20XX,,Fiber,Text,Body,"...0.1109/JLT.2015.2421953.](http://dx.doi.org/10.1109/JLT.2015.2421953) - <span id=""page-10-9""></span>[\[41\]](#page-2-3) M. R. Fernández-Ruiz et al., ""Distributed acoustic sensing for seismic activity monitoring,"" *APL Photon.*, vol. 5, no. 3, 2020, Art. no. 30901. - <span id=""page-10-10""></span>[\[42\]](#page-2-4) Y. Yang, H. ...",Uses term 'Distributed acoustic sensing'.,,Distributed acoustic sensing,,0.9,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_041\O_ISAC_041.md,char_offset_61245
C1,Terminology usage,O_ISAC_042,20XX,,Fiber,Text,Body,...esolution vibration sensing and 60 GBaud 16-QAM data transmission with negligible crosstalk over 10 km fiber using a new integrated communication and distributed acoustic sensing scheme with shared spectrum and transmitter. © 2024 The Author(s) ## 1. Introduction Data center interconnects(DCI) continue to evolve with ever-in...,Uses term 'distributed acoustic sensing'.,,distributed acoustic sensing,,0.9,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_042\O_ISAC_042.md,char_offset_701
C1,Terminology usage,O_ISAC_046,20XX,,Fiber,Text,Body,"...# Co-wavelength-channel Integration of Ultra-lowfrequency Distributed Acoustic Sensing and High-Capacity Communication Long Gu(1,2,3) , Meng Xiang(1,2,3) , Zebing Zhang(1,2,3) , Chaocheng Liu(1,2,3) , Pengbai Xu(1,2,3) , Wei Sun(4) , J...",Uses term 'Distributed Acoustic Sensing'.,,Distributed Acoustic Sensing,,0.9,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_046\O_ISAC_046.md,char_offset_58
C1,Terminology usage,O_ISAC_047,20XX,,VLC,Text,Body,"...://dx.doi.org/10.1109/JPHOT.2020.2972587) - [21] Q. Chen, K. Liu, H. Wen, D. Mo, J. Ma, and M. Chen, ""Symbol cyclic shiftbased DFT precoding for OTFS-VLC systems,"" *Opt. Commun.*, vol. 560, Jun. 2024, Art. no. 130430, doi: [10.1016/J.OPTCOM.2024.130430.](https://dx.doi.org/10.1016/J.OPTCOM.2024.130430)...",Uses term 'VLC'.,,VLC,,0.9,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_047\O_ISAC_047.md,char_offset_32996
C1,Terminology usage,O_ISAC_048,20XX,,FSO,Text,Body,"...age scenarios of the sixth generation (6G) mobile communication system. Since an optical system can also provide communication and sensing abilities, optical ISAC has become a potential complement to radio-frequency (RF) ISAC. As orthogonal frequency division multiplexing (OFDM) has gained increasing interest i...",Uses term 'optical ISAC'.,,optical ISAC,,0.9,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_048\O_ISAC_048.md,char_offset_806
C1,Terminology usage,O_ISAC_049,20XX,,VLC,Text,Body,"... has emerged as a key technology for future wireless systems. This article considers a multislot integrated visible light communication and sensing (IVLCS) system. In the IVLCS system, the primary purpose is sensing, while the second purpose is communication. We formulate a joint slot selection and pow...",Uses term 'VLC'.,,VLC,,0.9,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_049\O_ISAC_049.md,char_offset_476
C1,Terminology usage,O_ISAC_050,20XX,,VLC,Text,Body,"...ted, which renders an efficient closed-form iteration rule for joint SPAO and diffuse channel estimation. Due to the cross-layer cooperation between ""VLC"" and ""ranging"", a robust SPAO solution against diffuse scattering and small-scale fading is achieved. It is corroborated by our simulations that the ...",Uses term 'VLC'.,,VLC,,0.9,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_050\O_ISAC_050.md,char_offset_1254
C1,Terminology usage,O_ISAC_051,20XX,,FSO,Text,Body,"...## Remote Phase-Shift LiDAR With Communication Yalong Hai<sup>®</sup>, Yufei Luo<sup>®</sup>, Chenxu Liu<sup>®</sup>, and Anhong Dang<sup>®</sup> Abstract—The integrated sensi...",Uses term 'LiDAR'.,,LiDAR,,0.9,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_051\O_ISAC_051.md,char_offset_22
C1,Terminology usage,O_ISAC_052,20XX,,VLC,Text,Body,"...To enable simultaneous communication and active sensing, various studies have been conducted on OW-ISAC schemes based on light detection and ranging (LiDAR) [3]. For instance, the boomerang transmission system combines automotive LiDAR with OWC for autonomous vehicles [4]. Similarly, the pulse sequence s...",Uses term 'LiDAR'.,,LiDAR,,0.9,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_052\O_ISAC_052.md,char_offset_2787
C1,Terminology usage,O_ISAC_053,20XX,,VLC,Text,Body,"...ications systems, please see [7]. Another communication technology, that is envisioned to play a decisive role in 6G is Visible Light Communication (VLC) [2,3]. VLC refers to the technology that utilizes the visible light spectrum, in the frequency range of ~400 THz to 800 THz for communication. The d...",Uses term 'VLC'.,,VLC,,0.9,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_053\O_ISAC_053.md,char_offset_3156
C1,Terminology usage,O_ISAC_054,20XX,,VLC,Text,Body,"...ion in research of the potential synergies and efficiencies that could be achieved by integrating these two essential functions, including both wired optical ISAC (O-ISAC), e.g., fiber-optic ISAC [\[17\]](#page-13-16), [\[22\]](#page-14-4), [\[23\]](#page-14-5), and wireless O-ISAC [\[24\]](#page-14-6), [\[25\]...",Uses term 'optical ISAC'.,,optical ISAC,,0.9,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_054\O_ISAC_054.md,char_offset_6518
C1,Terminology usage,O_ISAC_055,20XX,,FSO,Text,Body,"...0000-0002-6606-5822) *Fellow, IEEE* *Abstract*— Integrated sensing and communication (ISAC) is a crucial component of future wireless networks, with optical ISAC regarded as a promising complement to its radio-frequency counterpart. In this letter, an ISAC scheme combining linear frequency modulation (LFM) and...",Uses term 'optical ISAC'.,,optical ISAC,,0.9,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_055\O_ISAC_055.md,char_offset_464
C1,Terminology usage,O_ISAC_056,20XX,,VLC,Text,Body,"...# Optical ISAC: Fundamental Performance Limits and Transceiver Design Alireza Ghazavi Khorasgani , Mahtab Mirmohseni , Ahmed Elzanaty *5/6GIC, Institute for Commun...",Uses term 'Optical ISAC'.,,Optical ISAC,,0.9,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_056\O_ISAC_056.md,char_offset_2
C1,Terminology usage,O_ISAC_059,20XX,,FSO,Text,Body,"...am path. Notably, increasing the frequency can improve measurement accuracy until we reach the optical frequencies. In particular, Free Space Optics (FSO) could result much useful in sensing adopted for automatic driving [17] Therefore, networks adopting several radio transmissions at higher frequenci...",Uses term 'FSO'.,,FSO,,0.9,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_059\O_ISAC_059.md,char_offset_8357
C1,Terminology usage,O_ISAC_060,20XX,,FSO,Text,Body,"...the sensing resolution and data rate. However, the key challenge is to design a fully unified waveform that enables both light detection and ranging (LiDAR) and communication. To this issue, an ISAC-OW unified waveform is proposed based on quadrature phase shift keying (QPSK) and direct sequence spread s...",Uses term 'LiDAR'.,,LiDAR,,0.9,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_060\O_ISAC_060.md,char_offset_1032
C1,Terminology usage,O_ISAC_061,20XX,,FSO,Text,Body,"... Conf. Commun. (ICC)*, Denver, CO, USA, Jun. 2024, pp. 2408–2413. - <span id=""page-14-11""></span>[\[14\]](#page-0-13) Y. Cui et al., ""Retroreflective optical ISAC using OFDM: Channel modeling and performance analysis,"" *Opt. Lett.*, vol. 49, no. 15, pp. 4214–4217, Aug. 2024. - <span id=""page-14-12""></span>[\[15...",Uses term 'optical ISAC'.,,optical ISAC,,0.9,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_061\O_ISAC_061.md,char_offset_83959
C1,Terminology usage,O_ISAC_062,20XX,,VLC,Text,Body,"... , Member, IEEE, Xin Wang, Student Member, IEEE, Yuan Shen, Senior Member, IEEE, and Pingzhi Fan, Fellow, IEEE Abstract—Visible light communication (VLC) is envisioned as an important technique for short-range communications, but its potential for user device (UD) localization is not fully exploited, ...",Uses term 'VLC'.,,VLC,,0.9,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_062\O_ISAC_062.md,char_offset_300
C1,Terminology usage,O_ISAC_067,20XX,,VLC,Text,Body,"...y tracing (RT) simulations using the open-source tool Sionna. The objective is to validate a model obtained from precise light detection and ranging (LiDAR) scans. The measurements emulated a sensing system in a situation of blockage by a forklift truck in an industrial scenario. The results show, despit...",Uses term 'LiDAR'.,,LiDAR,,0.9,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_067\O_ISAC_067.md,char_offset_691
C1,Terminology usage,O_ISAC_068,20XX,,VLC,Text,Body,"...sing technologies also include many diverse technologies ranging from infrared, ultrasonic waves, image sensors, inertial measurement units, radar to Lidar [6]. Finally, while the traditional communication technologies provide limited capabilities for accurate sensing, modern technologies provide approac...",Uses term 'Lidar'.,,Lidar,,0.9,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_068\O_ISAC_068.md,char_offset_3338
C1,Terminology usage,O_ISAC_069,20XX,,Fiber,Text,Body,"...g seismic and other signal using various artificial intelligence algorithms. Moreover, based on the global telecommunication fiber-optic network with photonic ISAC technology, we expect more DAS implementations for seismology worldwide. This will help us create a database for sharing the seismic information and ...",Uses term 'photonic ISAC'.,,photonic ISAC,,0.9,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_069\O_ISAC_069.md,char_offset_49343
C1,Terminology usage,O_ISAC_070,20XX,,Photo-THz,Text,Body,...onclusions and challenges are given in Section V. # II. ADVANCES IN PHOTONIC MMW/THZ WAVEFORMS AND SYSTEMS Table I summarizes recent representative photonic ISAC demonstrations in the millimeter-wave (mmW) and THz bands enabled by integrated waveforms. Owing to the advancement of distinct orthogonal frequency ...,Uses term 'photonic ISAC'.,,photonic ISAC,,0.9,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_070\O_ISAC_070.md,char_offset_14413
C1,Terminology usage,O_ISAC_071,20XX,,VLC,Text,Body,"...1-9705-2701) *Fellow, IEEE* *Abstract*—Integrated sensing and communication (ISAC) using light has attracted attention recently, and retroreflective optical ISAC (RO-ISAC) realizes passive sensing by equipping the target with a corner cube reflector (CCR) to enhance light reflection. In this Letter, we propose...",Uses term 'optical ISAC'.,,optical ISAC,,0.9,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_071\O_ISAC_071.md,char_offset_502
C1,Terminology usage,O_ISAC_072,20XX,,Fiber,Text,Body,"...l.*, vol. 40, no. 5, pp. 1472–1482, Mar. 2022. - [2] S. Han *et al.*, ""Deep learning-based intrusion detection and impulsive event classification for distributed acoustic sensing across telecom networks,"" *J. Lightw. Technol.*, vol. 42, no. 12, pp. 4167–4176, Jun. 2024. - [3] H. He *et al.*, ""Integrated sensing and communicati...",Uses term 'distributed acoustic sensing'.,,distributed acoustic sensing,,0.9,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_072\O_ISAC_072.md,char_offset_10826
C1,Terminology usage,O_ISAC_074,20XX,,Fiber,Text,Body,"... Light Sci. Appl. Vol. 12, no. 1, 2023. - [8] Z. Hu, M. Zhang, Y. Li, J. Chen, W. Li, Y. Xiong, L. Zhao, C. Zhao, and Ming Tang. ""Enabling endogenous distributed acoustic sensing in a digital subcarrier coherent transmission system,"" Opt. Lett., vol. 49, no. 11, pp.3166-3169, 2024. - [9] H. Zhou, X. Li, M. Tang, et al., ""Joint...",Uses term 'distributed acoustic sensing'.,,distributed acoustic sensing,,0.9,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_074\O_ISAC_074.md,char_offset_15026
