"claim_id","claim_short","paper_id","year","title","venue","doi","modality","evidence_type","where_in_paper","supporting_excerpt","why_it_supports","metric_terms","terminology_terms","cross_domain_note","confidence","source_path","source_locator"
"C5","Framework/benchmark need","O_ISAC_006","2024","Recent Advancements and Challenges in Integrated Sensing and Communication in Optical Fiber","Journal of Lightwave Technology","10.1109/JLT.2024.3391234","Fiber","Experimental","*C. Solution Utilizing the Structure of Communicat","a significant challenge. #### V. CONCLUSION In this paper, we categorize the solutions of ISAC-OF into two types: those based on forward transmitted light","Discusses 'categorization' in context of need/lack/proposal.","","","","0.85","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_006\O_ISAC_006.md","*C. Solution Utilizing the Structure of Communication Data Frames* > D. Solution based on DSCM > IV. COMPARISON OF SCHEMES AND DEVELOPMENT TRENDS > V. CONCLUSION (L134)"
"C4","Cross-domain gap","O_ISAC_007","2024","Miniaturized optical fiber displacement probe with large-collection-angle","Measurement","NR","Fiber","Simulation","I. INTRODUCTION > II. PRINCIPLE","probe. ### II. PRINCIPLE The sensing probe consists of Single Mode Fiber (SMF), air gap, Gradient-Index lenses (GRIN-lens), and single lens with a permeability-enhancing","Strategic section discusses 'gap' indicating cross-domain transfer issue.","","","Discusses 'gap' in Fiber","0.85","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_007\O_ISAC_007.md","I. INTRODUCTION > II. PRINCIPLE (L23)"
"C2","Metric definition/usage","O_ISAC_008","2025","Wide-steering Integrated Sensing and Communication OPA-based Lidar Design with Joint Waveform and Thinned Antenna","OECC/PSC 2025","NR","Other","Simulation","**Wide-steering Integrated Sensing and Communicati","the communication RX, the optical power received by PD is -4.43dBm and the SNR is 14dB. Fig. 2. (b-c) shows the waveform and eye","Defines/uses metric 'SNR' with specific formula or value.","SNR","","","0.85","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_008\O_ISAC_008.md","**Wide-steering Integrated Sensing and Communication OPA-based Lidar Design with Joint Waveform and Thinned Antenna** > A. Principle of QPSK-FMCW Joint Waveform Design > B. Principle of Thinned Ring Antenna Design > A. ISAC Joint Waveform Evaluation (L69)"
"C2","Metric definition/usage","O_ISAC_009","2025","Integrated Positioning and Communication Relying on Wireless Optical OFDM","IEEE Journal on Selected Areas in Communications","10.1109/JSAC.2025.3543532","VLC","Simulation","<span id=""page-2-0""></span>*A. Scenarios and Syste","functionality (LoS scenario): Ranging RMSE of VLPC-D-CO-OFDM for LED-User Pair A in LoS-only scenario. The subfigures are (a) M = 64, (b) M =","Defines/uses metric 'RMSE' with specific formula or value.","RMSE","","","0.85","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_009\O_ISAC_009.md","<span id=""page-2-0""></span>*A. Scenarios and System Description* > <span id=""page-9-1""></span>A. Simulation Parameters (L510)"
"C2","Metric definition/usage","O_ISAC_009","2025","Integrated Positioning and Communication Relying on Wireless Optical OFDM","IEEE Journal on Selected Areas in Communications","10.1109/JSAC.2025.3543532","VLC","Simulation","<span id=""page-2-0""></span>*A. Scenarios and Syste","m2 area. ![](_page_13_Figure_6.jpeg) Fig. 18. Positioning functionality: Average localization error of VLPC-DCO-OFDM in multipath scenario, where we have Pt = −20dBm. The subfigures are","Defines/uses metric 'localization error' with specific formula or value.","localization error","","","0.85","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_009\O_ISAC_009.md","<span id=""page-2-0""></span>*A. Scenarios and System Description* > <span id=""page-12-0""></span>*E. Overall Illumination Functionality* (L609)"
"C2","Metric definition/usage","O_ISAC_009","2025","Integrated Positioning and Communication Relying on Wireless Optical OFDM","IEEE Journal on Selected Areas in Communications","10.1109/JSAC.2025.3543532","VLC","Simulation","<span id=""page-2-0""></span>*A. Scenarios and Syste","\omega_M^{\overline{m}(l-l_p)}|_{l=l_p}$ in the delay domain by OFDM radar sensing, leading to an improved SNR for peak detection. Therefore, the proposed VLPC-DCO-OFDM sensing is more","Defines/uses metric 'SNR' with specific formula or value.","SNR","","","0.85","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_009\O_ISAC_009.md","<span id=""page-2-0""></span>*A. Scenarios and System Description* > <span id=""page-5-2""></span>B. Optical OFDM Radar Sensing (L340)"
"C2","Metric definition/usage","O_ISAC_009","2025","Integrated Positioning and Communication Relying on Wireless Optical OFDM","IEEE Journal on Selected Areas in Communications","10.1109/JSAC.2025.3543532","VLC","Simulation","<span id=""page-2-0""></span>*A. Scenarios and Syste","= N_0^{\rm shot} + N_0^{\rm thermal}$ . Explicitly, the variance of shot noise is given by $N_0^{\rm shot} = 2eR_pP_rB + 2eI_{bg}I_2B$ , where","Defines/uses metric 'shot noise' with specific formula or value.","shot noise","","","0.85","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_009\O_ISAC_009.md","<span id=""page-2-0""></span>*A. Scenarios and System Description* > <span id=""page-3-3""></span>D. Noise Modelling (L174)"
"C2","Metric definition/usage","O_ISAC_009","2025","Integrated Positioning and Communication Relying on Wireless Optical OFDM","IEEE Journal on Selected Areas in Communications","10.1109/JSAC.2025.3543532","VLC","Simulation","<span id=""page-2-0""></span>*A. Scenarios and Syste","(28)-(31) demonstrate that the data rates will always increase with the bandwidth. This unique tradeoff observed for DCO-OFDM has not been exploited before, which","Defines/uses metric 'trade-off' with specific formula or value.","trade-off","","","0.85","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_009\O_ISAC_009.md","<span id=""page-2-0""></span>*A. Scenarios and System Description* > <span id=""page-7-1""></span>C. Hybrid Radar-RSS Sensing > V. VLPC-DCO-OFDM COMMUNICATION > <span id=""page-8-2""></span>D. Maximum Achievable Rates (L496)"
"C3","Cross-modality contrast","O_ISAC_009","2025","Integrated Positioning and Communication Relying on Wireless Optical OFDM","IEEE Journal on Selected Areas in Communications","10.1109/JSAC.2025.3543532","VLC","Simulation","<span id=""page-2-0""></span>*A. Scenarios and Syste","indices $l_p = \frac{\tau_p}{T}$ encountered in RF systems [48], [68], [69]. However, unlike RF systems that rely on pulse shaping based waveforms, IM/DD-based optical","VLC paper explicitly contrasts with other, evidencing siloed research.","","","VLC vs other","0.8","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_009\O_ISAC_009.md","<span id=""page-2-0""></span>*A. Scenarios and System Description* > <span id=""page-4-3""></span>B. PD Signal Reception (L255)"
"C4","Cross-domain gap","O_ISAC_009","2025","Integrated Positioning and Communication Relying on Wireless Optical OFDM","IEEE Journal on Selected Areas in Communications","10.1109/JSAC.2025.3543532","VLC","Simulation","<span id=""page-0-17""></span>Integrated Positioning","highresolution sensing requires a large bandwidth, which may not be available in the fragmented RF spectrum. By contrast, the bandwidths available in the unlicensed","Strategic section discusses 'fragmented' indicating cross-domain transfer issue.","","","Discusses 'fragmented' in VLC, mentions Photo-THz","0.85","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_009\O_ISAC_009.md","<span id=""page-0-17""></span>Integrated Positioning and Communication Relying on Wireless Optical OFDM > <span id=""page-0-5""></span><span id=""page-0-4""></span><span id=""page-0-3""></span><span id=""page-0-2""></span><span id=""page-0-1""></span>I. INTRODUCTION (L23)"
"C5","Framework/benchmark need","O_ISAC_009","2025","Integrated Positioning and Communication Relying on Wireless Optical OFDM","IEEE Journal on Selected Areas in Communications","10.1109/JSAC.2025.3543532","VLC","Simulation","<span id=""page-0-17""></span>Integrated Positioning","as the best-performing DD-domain CSI estimation [\[51\], b](#page-16-4)ut the DD-domain CSI estimation benchmark requires multiple OFDM pilot symbols. - Our simulation results demonstrate that","Discusses 'benchmark' in context of need/lack/proposal.","","","","0.85","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_009\O_ISAC_009.md","<span id=""page-0-17""></span>Integrated Positioning and Communication Relying on Wireless Optical OFDM > <span id=""page-0-5""></span><span id=""page-0-4""></span><span id=""page-0-3""></span><span id=""page-0-2""></span><span id=""page-0-1""></span>I. INTRODUCTION (L60)"
"C2","Metric definition/usage","O_ISAC_010","2024","High-speed DMT signal and power-over-fiber simultaneous transmission over weakly-coupled multicore Fiber","Journal of Lightwave Technology","10.1109/JLT.2024.3391239","Fiber","Experimental","High-speed DMT signal and power-over-fiber simulta","decision forward error correction (SD-FEC) threshold of 2E-2. In addition, the signal-tonoise ratio (SNR) of 50 GBaud is more than 22 dB within the","Defines/uses metric 'SNR' with specific formula or value.","SNR","","","0.85","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_010\O_ISAC_010.md","High-speed DMT signal and power-over-fiber simultaneous transmission over weakly-coupled multicore Fiber > Wei Chen (L69)"
"C1","Terminology variant usage","O_ISAC_011","2024","Retroreflective Optical ISAC Supporting 3D Positioning in Indoor Environments","Optics Letters","NR","RO-ISAC","Simulation","Retroreflective Optical ISAC Supporting 3D Positio","Chongqing, China liumin@cqu.edu.cn *Abstract***—A retroreflective optical ISAC (RO-ISAC) system supporting 3D positioning is proposed. This system used the transmitted signal and the reflected signal","Uses distinctive O-ISAC terminology variant 'RO-ISAC'.","","RO-ISAC","","0.85","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_011\O_ISAC_011.md","Retroreflective Optical ISAC Supporting 3D Positioning in Indoor Environments (L15)"
"C2","Metric definition/usage","O_ISAC_011","2024","Retroreflective Optical ISAC Supporting 3D Positioning in Indoor Environments","Optics Letters","NR","RO-ISAC","Simulation","C. Principle of sensing","= c\hat{\tau}/2$ , with c represents the speed of light. The range resolution and the maximum ranging distance are respectively given by $\Delta d","Defines/uses metric 'range resolution' with specific formula or value.","range resolution","","","0.85","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_011\O_ISAC_011.md","C. Principle of sensing (L73)"
"C1","Terminology variant usage","O_ISAC_013","2025","Single-Ended > 100-km Distributed Vibration Sensor Based on OFDR Using Pearson Correlation Coefficient","Journal of Lightwave Technology","10.1109/JSEN.2025.3554542","Fiber","Experimental","Single-Ended > 100-km Distributed Vibration Sensor","is an ideal technology for integrated sensing and communication in an optical fiber (ISAC-OF), which can be widely applied to urban structure health monitoring,","Uses distinctive O-ISAC terminology variant 'ISAC-OF'.","","ISAC-OF","","0.85","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_013\O_ISAC_013.md","Single-Ended > 100-km Distributed Vibration Sensor Based on OFDR Using Pearson Correlation Coefficient (L7)"
"C2","Metric definition/usage","O_ISAC_013","2025","Single-Ended > 100-km Distributed Vibration Sensor Based on OFDR Using Pearson Correlation Coefficient","Journal of Lightwave Technology","10.1109/JSEN.2025.3554542","Fiber","Experimental","Single-Ended > 100-km Distributed Vibration Sensor","Pearson-CC variation higher than noise can be identified. TH is defined as the RMSE of the Pearson-CC, it is commonly used to characterize the","Defines/uses metric 'RMSE' with specific formula or value.","RMSE","","","0.85","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_013\O_ISAC_013.md","Single-Ended > 100-km Distributed Vibration Sensor Based on OFDR Using Pearson Correlation Coefficient > II. PRINCIPLE > *E. Steps of PELT* (L162)"
"C2","Metric definition/usage","O_ISAC_013","2025","Single-Ended > 100-km Distributed Vibration Sensor Based on OFDR Using Pearson Correlation Coefficient","Journal of Lightwave Technology","10.1109/JSEN.2025.3554542","Fiber","Experimental","IV. EXPERIMENT AND DISCUSSION > *A. OFDR System Co","FUT in the spatial domain is shown in Fig. 5(a). The SNR at the end of 102.42-km FUT is about 10 dB. Balancing the","Defines/uses metric 'SNR' with specific formula or value.","SNR","","","0.85","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_013\O_ISAC_013.md","IV. EXPERIMENT AND DISCUSSION > *A. OFDR System Configuration* > *B. Vibration Event Localization* (L218)"
"C2","Metric definition/usage","O_ISAC_013","2025","Single-Ended > 100-km Distributed Vibration Sensor Based on OFDR Using Pearson Correlation Coefficient","Journal of Lightwave Technology","10.1109/JSEN.2025.3554542","Fiber","Experimental","Single-Ended > 100-km Distributed Vibration Sensor","amplitude level and number of vibration events, which can be expressed as $$\Delta R = \alpha \sum_{q} \varepsilon_{q} \tag{14}$$ where α is the calibration","Defines/uses metric 'Δr' with specific formula or value.","Δr","","","0.85","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_013\O_ISAC_013.md","Single-Ended > 100-km Distributed Vibration Sensor Based on OFDR Using Pearson Correlation Coefficient > II. PRINCIPLE > III. NUMERICAL SIMULATION (L194)"
"C1","Terminology aliasing","O_ISAC_015","2024","Movable Access Point-Aided Integrated Visible Light Communication and Sensing Networks","IEEE Letters","10.1109/LWC.2024.3521192","VLC","Simulation","IV. SIMULATION RESULTS","system model and algorithm is compared with a fixed AP system, referred to as ""Benchmark"", that has the same number of APs in an","Explicit terminology aliasing detected with pattern 'referred to as'.","","referred to as","","0.9","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_015\O_ISAC_015.md","IV. SIMULATION RESULTS (L160)"
"C2","Metric definition/usage","O_ISAC_015","2024","Movable Access Point-Aided Integrated Visible Light Communication and Sensing Networks","IEEE Letters","10.1109/LWC.2024.3521192","VLC","Simulation","IV. SIMULATION RESULTS","and sum rate versus priority of communication users. Finally, Fig. 5 shows the trade-off between MI and sum rate for different user priorities. In","Defines/uses metric 'trade-off' with specific formula or value.","trade-off","","","0.85","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_015\O_ISAC_015.md","IV. SIMULATION RESULTS (L186)"
"C5","Framework/benchmark need","O_ISAC_015","2024","Movable Access Point-Aided Integrated Visible Light Communication and Sensing Networks","IEEE Letters","10.1109/LWC.2024.3521192","VLC","Simulation","IV. SIMULATION RESULTS","and algorithm is compared with a fixed AP system, referred to as ""Benchmark"", that has the same number of APs in an array at","Discusses 'benchmark' in context of need/lack/proposal.","","","","0.85","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_015\O_ISAC_015.md","IV. SIMULATION RESULTS (L160)"
"C4","Cross-domain gap","O_ISAC_019","2023","Full-duplex Integrated Sensing and Communication System Based on Microwave Photonics","Journal/Conference","DOI:10.1109/JOURNAL.2023.3265234","Fiber","Experimental","Full-duplex Integrated Sensing and Communication S","demultiplexer into N channels and injected into an optical delay time network unit. This unit independently adjusts the delay of each channel, enabling beamforming","Strategic section discusses 'independently' indicating cross-domain transfer issue.","","","Discusses 'independently' in Fiber","0.85","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_019\O_ISAC_019.md","Full-duplex Integrated Sensing and Communication System Based on Microwave Photonics > I. INTRODUCTION > II. PRINCIPLE > A. Downlink (L49)"
"C5","Framework/benchmark need","O_ISAC_019","2023","Full-duplex Integrated Sensing and Communication System Based on Microwave Photonics","Journal/Conference","DOI:10.1109/JOURNAL.2023.3265234","Fiber","Experimental","IV. EXPERIMENT SETUP","SNR can be further improved through channel equalization algorithms and tight filtering in the future work. Accordingly, the uplink and downlink communication can work","Discusses 'future direction' in context of need/lack/proposal.","","","","0.85","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_019\O_ISAC_019.md","IV. EXPERIMENT SETUP (L108)"
"C1","Terminology variant usage","O_ISAC_020","2022","Photonic Integrated Sensing and Communication System Harnessing Submarine Fiber Optic Cables for Coastal Event Monitoring","Journal of Lightwave Technology","10.1109/JLT.2022.3149119","Fiber","Experimental","Photonic Integrated Sensing and Communication Syst","In this article, we propose the idea of photonic photonic ISAC and summarize the work on the photonic ISAC system for monitoring different coastal","Uses distinctive O-ISAC terminology variant 'photonic ISAC'.","","photonic ISAC","","0.85","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_020\O_ISAC_020.md","Photonic Integrated Sensing and Communication System Harnessing Submarine Fiber Optic Cables for Coastal Event Monitoring > Introduction (L29)"
"C1","Terminology variant usage","O_ISAC_021","2023","Optical Integrated Sensing and Communication: Architectures, Potentials and Challenges","IEEE Journal","10.1109/IOTM.001.2300196","FSO","Simulation","Optical Integrated Sensing and Communication: Arch","free space optical communication and optical sensing yields optical ISAC (O-ISAC), which is regarded as a powerful complement to its RF counterpart. In this","Uses distinctive O-ISAC terminology variant 'O-ISAC'.","","O-ISAC","","0.85","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_021\O_ISAC_021.md","Optical Integrated Sensing and Communication: Architectures, Potentials and Challenges > ABSTRACT (L7)"
"C2","Metric definition/usage","O_ISAC_021","2023","Optical Integrated Sensing and Communication: Architectures, Potentials and Challenges","IEEE Journal","10.1109/IOTM.001.2300196","FSO","Simulation","Enhancing Sensing Precision > Waveform Design for ","Numerical results of O-ISAC based on DCO-OFDM. The SNR is defined as the ratio between the transmitted power and the noise power at the","Defines/uses metric 'SNR' with specific formula or value.","SNR","","","0.85","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_021\O_ISAC_021.md","Enhancing Sensing Precision > Waveform Design for O-ISAC > Pulsed Waveform (L131)"
"C5","Framework/benchmark need","O_ISAC_021","2023","Optical Integrated Sensing and Communication: Architectures, Potentials and Challenges","IEEE Journal","10.1109/IOTM.001.2300196","FSO","Simulation","Optical Integrated Sensing and Communication: Arch","of O-ISAC, which are expected to provide some valuable directions for future research. #### INTRODUCTION Future mobile networks are anticipated to provide both large","Discusses 'future direction' in context of need/lack/proposal.","","","","0.85","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_021\O_ISAC_021.md","Optical Integrated Sensing and Communication: Architectures, Potentials and Challenges > ABSTRACT (L7)"
"C2","Metric definition/usage","O_ISAC_022","2022","Joint Visible Light Sensing and Communication Using m-CAP Modulation","IEEE Transactions on Broadcasting","10.1109/TBC.2022.3201649","VLC","Simulation","<span id=""page-1-0""></span>II. SYSTEM INTEREST, AR","$r_i$ are replaced by their estimates $\hat{r}_i$ . The root-mean square (RMS) localization error $\Delta_{\text{RMS}}$ is finally given by: $$\Delta_{\text{RMS}} = \sqrt{(\hat{x}_e - x_e)^2","Defines/uses metric 'localization error' with specific formula or value.","localization error","","","0.85","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_022\O_ISAC_022.md","<span id=""page-1-0""></span>II. SYSTEM INTEREST, ARCHITECTURE AND MODELING > <span id=""page-3-0""></span>D. The Optical Wireless Channel > <span id=""page-4-0""></span>E. m-CAP Data Transmission Principles > <span id=""page-5-0""></span>F. RSS-Based Localization Principles (L271)"
