paper_id,caption,columns
COMST_013,TABLE II UPDATED COMPARISON OF REPRESENTATIVE SURVEYS ON WI-FI EVOLUTION AND AI/ML APPLICATIONS,"['Category', 'Ref.', 'Publication<br>year/Type', 'Target Standard', 'Theme', 'Technical Focus', 'Contribution', 'Limitations']"
COMST_020,"<span id=""page-1-5""></span>The remainder of this paper is structured as follows, and can also be seen in Fig. [2:](#page-2-1) In Section [II,](#page-2-2) we provide an overview of relevant surveys on emerging WLANs. In Section [III,](#page-5-0) we present a comprehensive survey on the architectures of MAP-Co network design, as well as a taxonomy of different processes for data transmission by MAP-Co. We also provide a summary of the lessons learned. Following that, in Section [IV,](#page-7-0) we provide an overview of the latest developments in multi-AP channel sounding, along with a summary of the lessons learned. In Section [V,](#page-12-0) we discuss various MAP-Co scheduling","['Current WLAN', 'Single AP Communication', 'MAP-Co based Communication']"
COMST_023,"<span id=""page-13-0""></span>","['Category', 'Ref', 'Туре', 'App', 'Tech', 'Su', 'Dy', 'Ca', 'PP', 'Sc', 'Ro', 'СО', 'so', 'Ex', 'UA', 'Limitations']"
COMST_023,"<span id=""page-20-0""></span>","['Category', 'Ref', 'Туре', 'App', 'Tech', 'Su', 'Dy', 'Ca', 'PP', 'Sc', 'Ro', 'СО', 'so', 'Ex', 'UA', 'Limitations']"
COMST_023,"<span id=""page-27-0""></span>","['Category', 'Ref', 'Type', 'App', 'Tech', 'Su', 'Dy', 'Ca', 'PP', 'Sc', 'Ro', 'CO', 'so', 'Ex', 'UA', 'Limitations']"
COMST_025,"<span id=""page-15-0""></span>TABLE IV SUMMARY OF PROTOCOL VULNERABILITIES IN TOR (IDENTIFIED IN SECTION [III-A\)](#page-14-1) INVOLVING THEIR LOCATIONS, RELATED ALGORITHMS/MECHANISMS, TREATMENT STATES, AND ROOT CAUSES","['Location', 'Algorithm/mechanism', 'Index', 'Crypto', 'R', 'oot ca', 'use', 'State']"
COMST_025,TABLE X SUMMARY OF DEFENSES ON AS/STATE-LEVEL ADVERSARY IN TOR (IDENTIFIED IN SECTION [V-C\)](#page-33-0),"['Defense target', 'Ref', 'Year', 'Main focus', 'Evaluation approach', 'Adversary Type']"
COMST_025,"<span id=""page-42-0""></span>TABLE XII COMPARISONS WITH VULNERABILITIES (ATTACKS) ACROSS DIFFERENT ANONYMITY NETWORKS SURVEYED IN THIS PAPER","['Tor', 'I2P', 'Freenet']"
COMST_026,"<span id=""page-21-1""></span>TABLE IV LITERATURE ON CONNECTIVITY, RELIABILITY, ROUTING, AND LOCALIZATION ASPECTS OF OPTO-ACOUSTIC IOWT NETWORKS","['Ref.', 'Year', 'Topic', 'Network', 'Description']"
COMST_027,TABLE I LIST OF REPRESENTATIVE OVERVIEW/SURVEY/TUTORIAL PAPERS ON BD-RIS,"['Ref.', 'Type', 'Highlights']"
COMST_027,TABLE VI BD-RIS LITERATURE ON CHANNEL ESTIMATION,"['Ref.‡', 'Estimate Type', 'Overhead†', 'Highlights']"
COMST_027,LITERATURE ON APPLICATIONS OF BD-RIS,"['Ref.', 'Application', 'Architecture', 'Mode', 'Metric']"
COMST_028,TABLE I SUMMARY OF IMPORTANT ACRONYMS,"['Notation', 'Definition', 'Notation', 'Definition']"
COMST_029,"Comparison Between Our Survey and Previously Published Surveys. ✓ Represents Full In-Depth Discussion, ★ Represents Discussions in Section/Part, ▲ Represents Scattered Discussions, and ● Represents Limited Discussions","['Refere', 'Reference Details', 'ning Ap', 'proach', 'Issue in CR', 'Application']"
COMST_029,"<span id=""page-27-1""></span>TABLE VI SUMMARY OF CHALLENGES AND POTENTIAL SOLUTIONS IN IMPLEMENTING ML-DRIVEN CR SYSTEMS","['Challenge', 'Description', 'Potential Solutions']"
COMST_031,"TABLE I: Comparison of Wireless Positioning Survey Papers (✓: Yes, ✗: No, ●: Partial)","['Ref.', 'Year', 'Main Focus', 'AI/ML<br>Related', '3GPP<br>Standards', 'Dataset', 'Cellular<br>Positioning']"
COMST_031,TABLE VI: Comparison of AI/ML-Based Positioning Deployment Scenarios,"['Case 1', 'Case 2a', 'Case 2b', 'Case 3a', 'Case 3b']"
COMST_031,TABLE VII: Summary of LOS/NLOS Classification Works,"['Backbone', 'Algorithm', 'Input Feature', 'Key Insight']"
COMST_031,TABLE IX: Summary of Angle Estimation Works,"['Backbone', 'Algorithm', 'Input Feature', 'Key Insight']"
COMST_039,"<span id=""page-1-0""></span>TABLE I SURVEY STRUCTURE AND CONTENT COMPARISON WITH THE EXISTING SURVEYS AND TUTORIALS (PARTIALLY COVERED: ∂, COVERED: ✓)","['Reference $\\rightarrow$', '[6]', '[7]', '[8]', '[9]', '[10]', '[11]', '[12]', '[13]']"
COMST_040,"<span id=""page-45-1""></span>*Other Comparisons and Summary*: Beyond the above comparisons, various differences between HMIMO and mMIMO arise and the full potential of HMIMO communications is on the way to be unveiled. To present a more panoramic view, we list a complete comparison table between HMIMO and mMIMO in Table [XI.](#page-46-0) Besides the mostly mentioned differences in aperture, mutual coupling and antenna array gain, we would like to emphasize that the beam modes supported in HMIMO systems will be much more abundant than mMIMO, tending to support from conventional polarization modes to newly OAM modes owing to the powerful capabilities of HMIMO surfaces in EM wave manipulations. This will contribute to the revolution of wireless communications from mMIMO to massive modes, enhancing system capacity significantly in specific situations [\[325\]](#page-58-0), [\[326\]](#page-58-1). In addition, the modeling of HMIMO communication systems should encompass physical phenomena, such as, EM wave propagation, mutual coupling, which are generally neglected in mMIMO modeling. For example, mMIMO channel modeling is mostly",['TABLE XI<br>COMPARISON BETWEEN HMIMO AND MMIMO']
COMST_042,"<span id=""page-2-0""></span>SUMMARY OF ML WORKS IN NETWORKING DOMAIN. NOTE THAT THE WORKS IN COLUMN NEURAL NETWORK REFER TO ARTIFICIAL NEURAL NETWORKS (ANN) IN GENERAL WHILE THE WORKS IN COLUMNS BAYESIAN NETWORK AND RECURRENT NEURAL NETWORK FOCUS ON THE APPLICATIONS OF THESE TWO NETWORK ARCHITECTURES, RESPECTIVELY. THIS TABLE SHOWS A SUBSET OF THE WORKS IN EACH AREA","['ML<br>Algorithms', 'Support Vector<br>Machines', 'Naïve<br>Bayes', 'k-Nearest<br>Neighbors', 'K-means', 'Decision<br>Tree', 'Ensemble<br>Trees', 'Neural<br>Network', 'Bayesian<br>Network', 'Recurrent<br>Neural Network', 'Q-Learning']"
COMST_042,"<span id=""page-5-2""></span>SUMMARY OF NETWORK-ASSISTED ML ALGORITHMS. THE ALGORITHMS IN THE TOP PART OF THE TABLE FOCUS ON EXTRACTING INFORMATION IN THE DATA PLANE, TO ASSIST THE CLASSIFICATION EXECUTED ON THE END-HOST. THE ALGORITHMS IN THE BOTTOM PART OF THE TABLE FOCUS ON ACCELERATING HOST-BASED ML TRAINING PROCESS THROUGH IN-NETWORK AGGREGATION","['Scheme', 'Category', 'Algorithm', 'Language', 'Platform', 'ML Location <sup>1</sup>']"
COMST_042,"<span id=""page-20-0""></span>TABLE V A COMPARISON OF FOUR DIFFERENT APPROACHES TO REDUCE EXACT TABLE ENTRIES (EACH TABLE ENTRY: KEY - LABEL)","['ID', 'Exact', 'LPM', 'Ternary', 'Range', '${\\sf Default}^1$']"
COMST_043,"<span id=""page-11-0""></span>TABLE V: Summary of research on 5G-TSN integration frameworks and performance analysis, categorized by Architectural Focus, Delay Modeling, Scheduling, Reliability, and Edge Optimization (Section IV-A)","['Study', 'Key Focus', 'Framework/Model', 'Simulation<br>Tool Used', 'Primary Metrics<br>Evaluated', 'Findings/Recommendations']"
COMST_043,"<span id=""page-14-0""></span>TABLE VI: Summary of Time Synchronization studies in 5G-TSN networks, categorized by wireless methods, 3GPP Release 16+ mechanisms, Frequency Offset Management, and Delay Estimation (Section [IV-B\)](#page-13-1)","['Study', 'Synchronization<br>Method', 'Research Focus', 'Key Findings<br>Challenges Identified', 'Suggested Improvements']"
COMST_043,"<span id=""page-22-1""></span>TABLE XII: IEC 61850 protocols with corresponding TSN class and Ethernet priority [\[137\]](#page-32-35)","['IEC 61850 Protocol', 'TSN Class', 'Ethernet Priority']"
COMST_044,| COMPARISON OF TYPICAL SONAR AND UWA COMMUNICATION TECHNOLOGIES |,"['Waveform<br>Type', 'Doppler<br>Resistance', 'Delay<br>Resistance', 'Max.<br>unamb.<br>range', 'Max.<br>unamb.<br>velocity', 'Range<br>Resolution', 'Velocity<br>Resolution', 'Data Rate', 'PAPR', 'Frequency<br>Band', 'Working<br>Principle', 'System<br>Components']"
COMST_044,TABLE III COMPARISON OF THE RELATED SURVEYS,"['Survey', 'System Type', 'Main Focus', 'Relation to ISC', 'Limitation Compared with This Work']"
COMST_046,"This research study is believed to be the first work that discusses in detail Metaverse-enabled smart city applications. A comparison of available review articles and this survey paper is provided in Table [I.](#page-5-0) The rest of the paper is organized as follows: Section [II](#page-5-1) provides a comprehensive overview of the Metaverse concept, covering the standards, architecture, key characteristics, enabling technologies, and modern prototypes. Section [III](#page-10-0) discusses the communication and networking procedures that are related to this evolving concept. The existing threats to the privacy and security of the Metaverse and their possible countermeasures are covered in Section [IV.](#page-17-0) Section [V](#page-22-0) sheds light on the modern concept of Metaverse for smart cities. Existing Metaverse projects are discussed in Section [VI](#page-26-0) and open research challenges and future research directions are identified in Section [VII.](#page-31-0) Section [VIII](#page-32-0) includes future direction and Section [IX](#page-34-18) concludes this paper.","['Reference', 'Year', 'Contributions']"
COMST_046,TABLE IV SUMMARY OF CURRENT/FUTURE SECURITY COUNTERMEASURES IN THE METAVERSE,"['Ref.', 'Type of Threat', 'Security Threat', 'Employed technologies', 'Advantages', 'Limitations']"
COMST_048,"<span id=""page-25-1""></span>TABLE XII OPTIMAL NUMBER OF BEAMS IN MULTI-BEAM SYSTEM AS FUNCTION OF CELL RADIUS, MMWAVE RAT PRIORITY: MMWAVE – <sup>μ</sup>*<sup>m</sup>* = 3, <sup>μ</sup>WAVE – <sup>μ</sup>*<sup>µ</sup>* = 0","['Number', '0 beams', '1 beam', '2 beams', '3 beams']"
COMST_049,"TABLE I: A comparison between the definition and capabilities of LLM, Generative AI, and FM.","['Concepts', 'Definition', 'Capabilities', 'Examples']"
COMST_049,TABLE IV: A summary of existing FMs for time-series prediction or frameworks for developing FMs for time-series prediction.,"['Model Name', 'Model Input', 'Main Architecture', 'Training Method', 'Data Source', 'Capabilities']"
COMST_050,"<span id=""page-7-1""></span>TABLE V PROPOSED WORK DIFFERENCES IN LITERATURE W.R.T. ENERGY HARVESTING, SENSING TECHNOLOGY, AND INDUSTRIAL INTERFACE","['Indexes', 'Energy<br>Harvesting', 'Sensing<br>Technology', 'Industrial<br>Interface']"
COMST_051,"<span id=""page-4-0""></span>COMPARISON OF THIS WORK WITH EXISTING MAGAZINE/SURVEY/TUTORIAL PAPERS ON NFC. HERE, - AND REFER TO ""DISCUSSED IN DETAIL"" AND ""MENTIONED BUT NOT CONSIDERED IN DETAIL,"" RESPECTIVELY. MOREOVER, ""EDOF"" REFERS TO ""EFFECTIVE DOFS,"" ""NLOS"" REFERS TO ""NON-LOS,"" ""SPD"" REFERS TO ""SPATIALLY-DISCRETE"", AND ""CAP"" REFERS TO ""CONTINUOUS-APERTURE."" THE EXISTING PAPERS ARE LISTED IN CHRONOLOGICAL ORDER","['Existing Works', 'Maga', 'zine Paj', 'pers (H', 'igh-Lev', 'el Over', 'views)', 'Tutor', 'ials (Ste', 'p-by-St', 'ep Teac', 'hing M', '(aterials', 'Surve', 'ys (Lite', 'rature Survey)']"
COMST_052,"<span id=""page-45-0""></span>","['Ref', 'Advantages', 'Drawbacks']"
COMST_056,SUMMARY OF SYSTEM MODEL PARAMETERS,"['Parameter', 'Definition']"
COMST_057,"<span id=""page-3-1""></span>TABLE I COMPARISON OF THIS PAPER WITH RELATED MAGAZINE PAPERS, SURVEYS, AND TUTORIALS. HERE, ""(A)"" REFERS TO CONVENTIONAL BACKCOM TECHNIQUE, ""(B)"" RIS TECHNIQUE, ""(C)"" REFERS TO RIS-BACKCOM NETWORKS, AND ""(D)"" REFERS TO RIS-ASSISTED BACKCOM NETWORKS",['Contribution']
COMST_058,"<span id=""page-3-0""></span>","['Ref.', 'Year', 'Focus', 'Quantum<br>AI', 'IoT', 'Fog', 'Privacy', 'Security']"
COMST_058,TABLE III COMPARISON OF AI AGENTS AND NEUROSYMBOLIC AI AGENTS IN CYBERSECURITY,"['Feature', 'AI Agents', 'Neurosymbolic AI Agents']"
COMST_059,"<span id=""page-7-3""></span>TABLE IV COMPARISON OF PREFERABLE INTERFERENCE LEVELS OF DIFFERENT MA SCHEMES","['Interference levels', 'Low', 'Medium', 'High']"
COMST_060,"<span id=""page-1-0""></span>TABLE I TOPIC WISE COMPARISON WITH RECENT LOCALIZATION AND RIS-ASSISTED LOCALIZATION SURVEYS AND TUTORIALS","['Article', 'Article Type', 'Transn', 'nission ba', 'nds', 'Envir', 'onment', 'Applications']"
COMST_060,"<span id=""page-2-0""></span>TABLE II RESEARCH QUESTIONS BASED COMPARISON O WITH EXISTING SURVEYS, TUTORIALS AND REVIEW STUDIES WITH - FOR FULLY ADDRESSED, ∂ FOR PARTIALLY ADDRESSED AND × OF NOT ADDRESSED QUESTIONS","['Reference', 'Q1', 'Q2', 'Q3', 'Type of study']"
COMST_060,"<span id=""page-16-0""></span>TABLE V SUMMARY OF RIS-ASSISTED OUTDOOR AND FAR-FIELD LOCALIZATION ARTICLES AT HIGH FREQUENCY BANDS. HERE ""R"" REFERS TO ""REFLECTIVE RIS"", ""S"" REFERS TO ""STAR RIS"", ""A"" REFERS TO ""ACTIVE RIS""","['RIS', 'Ref', '$f_c$', 'Link', 'Purpose', 'Technique', 'Performance metric']"
COMST_060,"<span id=""page-17-0""></span>TABLE VI SUMMARY OF RIS-ASSISTED OUTDOOR AND FAR-FIELD LOCALIZATION ARTICLES AT HIGH FREQUENCY BANDS. HERE ""R"" REFERS TO ""REFLECTIVE RIS"", ""H"" REFERS TO ""HYBRID RIS"", ""A"" REFERS TO ""ACTIVE RIS"", ""S"" REFERS TO ""STAR RIS""","['RIS', 'Ref', '$f_c$', 'Link', 'Purpose', 'Technique', 'Performance metric']"
COMST_061,"<span id=""page-19-1""></span><span id=""page-19-0""></span>TABLE II.A SUMMARY OF RIS-ASSISTED PLS ADOPTED SYSTEM MODELS IN RF COMMUNICATION SYSTEMS",['164']
COMST_061,TABLE II.B SUMMARY OF RIS-ASSISTED PLS ADOPTED SYSTEM MODELS IN RF COMMUNICATION SYSTEMS,"['r#1', 'System related', 'content', 'RIS rela', 'ted content', 'Security rela', 'ated content', 'Performance']"
COMST_061,"• The literature on RIS-assisted PLS VLC confirms that increasing the number of RIS elements improves the overall security performance of VLC systems. Specifically, additional RIS elements enable spatial BF and nulling,","['[#]', 'Sys', 'tem related conte', 'ent', 'RIS', 'related con', 'tent', 'Security relate', 'ed content', 'Performance']"
COMST_061,TABLE IV SUMMARY OF SECRECY RATE MAXIMIZATION RELATED LITERATURE FOR RIS-ASSISTED PLS SYSTEMS,"['[#]', 'Phase-shift resolution', 'Optimization variables', 'Optimization techniques', 'Constraints']"
COMST_066,"<span id=""page-2-0""></span>TABLE I CONTRAST WITH PREVIOUSLY CONDUCTED SURVEYS","['Reference', 'Year', 'Main Contributions', 'LITNets<br>fundamen-<br>tals', 'Spectrum<br>sharing and<br>interference<br>scenarios', 'IBI', 'ISI', 'LTI', 'AI and spectrum sharing']"
COMST_067,"<span id=""page-9-0""></span>TABLE IV A SURVEY OF THZ APPLICATIONS AND USE CASES FOR 6G AND BEYOND","['THz Communications', 'THz Sensing']"
COMST_067,"<span id=""page-19-0""></span>","['Methods', 'Year', 'References', 'Contributions']"
COMST_067,"<span id=""page-35-0""></span>","['Category', 'Year', 'Authors', 'Contributions']"
COMST_067,"<span id=""page-38-0""></span>","['Ref.', 'Year', 'Freq.[GHz]', 'BW[GHz]', 'Rate[Gbps]', 'Distance [m]', 'Contributions']"
COMST_067,"implementation perspective. Although there is a long journey to go before the success of THz communications and sensing in 6G and beyond cellular systems, this survey might be able to speed up a bit the research endeavors.","['LIST OF ACRONYMS', 'DMIMO', 'distributed MIMO']"
COMST_068,TABLE I RELATED SURVEYS,"['Ref', 'Year', 'Focus', 'Main Contributions', 'Limitations']"
COMST_069,"<span id=""page-1-0""></span>TABLE I RELATED SURVEYS AND REVIEWS ON RESOURCE ALLOCATION (RA)","['Year', 'Reference', 'Technology', 'Research Topic', 'Methodology', 'Scenario', 'Optimization-based']"
COMST_070,"<span id=""page-4-0""></span>TABLE III COMPARISON OF RELATED SURVEY PAPERS ON UAVS AND EH TECHNIQUES WITH THIS WORK","['Key Technologies', '[27]', '[28]', '[29]', '[30]', '[31]', '[32]', 'This']"
COMST_070,"<span id=""page-14-0""></span>","['Energy<br>source', 'Technique', 'Application<br>Scenario', 'Key<br>Features', 'Benefits', 'Drawbacks', 'Power<br>Density', 'Reference']"
COMST_071,TABLE I SUMMARY OF RELATED WORKS VERSUS OUR SURVEY,"['Year', 'Ref.', 'Contributions', 'AIGC<br>Algorithms', 'AIGC<br>Applications', 'Edge<br>Intelligence']"
COMST_072,TABLE III COMPARISONS BETWEEN TRADITIONAL VANETS AND THE SCCSI SERVICE NETWORK,"['Traditional VANETs', 'SCCSI Service Network']"
COMST_072,"TABLE IV RELATED WORKS ON DISTRIBUTED MACHINE LEARNING OVER VEHICLES. IN THESE WORKS, VEHICLES COLLABORATIVELY TRAIN AI MODELS OR PERFORM MODEL INFERENCE BY UTILIZING THEIR DISTRIBUTED RESOURCES","['References', 'Type Description', 'Highlights']"
COMST_073,"<span id=""page-32-0""></span>Visible light positioning (VLP) based on light emitting diodes (LEDs) is growing in popularity for indoor positioning applications such as smart cities, health, agriculture, retail, etc., thanks to the benefits offered by LEDs, such as consuming a low amount of power, not generating radio interference, having a long lifespan of up to ten years, and having low maintenance costs. In this tutorial, we provide a detailed overview of VLP. A comprehensive taxonomy of indoor positioning technologies is given, highlighting the novelty and potential of VLP. The paper also reviews the VLP from a technical standpoint, presenting the components of LED-based positioning systems. Next, this study discussed how positioning approaches such as RSS, TOA, TDOA, and AOA are used in the context of VLP. Moreover, an extensive overview is provided of the positioning algorithms that are being used, and as a concrete case, the realization of a standalone RSS-based VLP system with a single PD is elaborated on. Finally, this study surveyed open issues, challenges, and future research directions in VLP positioning systems.","[']', 'LIST OF ABBREVIATIONS']"
COMST_075,"<span id=""page-7-1""></span>TABLE VI SUMMARY OF ADVANCED SET OF APPLICATIONS [\[40\]](#page-31-26)","['Category', 'Max. Latency', 'Min. Frequency', 'Payload', 'Data Rate', 'Reliability', 'Communication Range']"
COMST_076,TABLE II AN OVERVIEW OF THE MENTIONED FREQUENCIES THAT CAN BE EMPLOY FOR WIRELESS BACKHAUL AND THEIR CHARACTERISTICS. WIRED ALTERNATIVES ARE PROVIDED FOR COMPARISON PURPOSES [\[51\]](#page-49-24),"['Frequency', 'Range', 'Strengths', 'Weaknesses']"
