"conflict_type","concept","variant_A","variant_B","paper_A_id","paper_B_id","year_A","year_B","title_A","title_B","excerpt_A","excerpt_B","analysis","normalization_proposal","confidence","relevance_score","combined_score"
"Metric","Ranging Accuracy","BCRB","sensing accuracy","O_ISAC_056","O_ISAC_054","2024","2024","Optical ISAC: Fundamental Performance Limits and Transceiver Design","Optical Integrated Sensing and Communication With Light-Emitting Diode","an least squares (LS) problem with an analytical solution [21]. C. BCRB-Based Approach: OB **Theorem 3.** BCRB for any unbiased...","\tag{21}$$ We use the MSE of the coordinates to measure the sensing accuracy, giving $$MSE_P = \mathbb{E}\left\{\|\widehat{\boldsymbol{p}}_D - \boldsymbol{p}_D\|^2\right\}. \tag{22}$$...","Inconsistent Ranging Accuracy evaluation: 'BCRB' vs 'sensing accuracy'.","Report both BCRB and sensing accuracy for comparability","0.85","0.2","1.05"
"Metric","Ranging Accuracy","localization error","sensing accuracy","O_ISAC_009","O_ISAC_054","2025","2024","Integrated Positioning and Communication Relying on Wireless Optical OFDM","Optical Integrated Sensing and Communication With Light-Emitting Diode","m2 area. ![](_page_13_Figure_6.jpeg) Fig. 18. Positioning functionality: Average localization error of VLPC-DCO-OFDM in multipath scenario, where we have Pt =...","\tag{21}$$ We use the MSE of the coordinates to measure the sensing accuracy, giving $$MSE_P = \mathbb{E}\left\{\|\widehat{\boldsymbol{p}}_D - \boldsymbol{p}_D\|^2\right\}. \tag{22}$$...","Inconsistent Ranging Accuracy evaluation: 'localization error' vs 'sensing accuracy'.","Report both localization error and sensing accuracy for comparability","0.85","0.2","1.05"
"Metric","Range Resolution","range resolution","Δr","O_ISAC_011","O_ISAC_013","2024","2025","Retroreflective Optical ISAC Supporting 3D Positioning in Indoor Environments","Single-Ended > 100-km Distributed Vibration Sensor Based on OFDR Using Pearson C","= c\hat{\tau}/2$ , with c represents the speed of light. The range resolution and the maximum ranging distance are respectively...","amplitude level and number of vibration events, which can be expressed as $$\Delta R = \alpha \sum_{q} \varepsilon_{q} \tag{14}$$ where...","Inconsistent Range Resolution evaluation: 'range resolution' vs 'Δr'.","Report both range resolution and Δr for comparability","0.85","0.2","1.05"
"Metric","Range Resolution","range resolution","σR","O_ISAC_011","O_ISAC_051","2024","2023","Retroreflective Optical ISAC Supporting 3D Positioning in Indoor Environments","Remote Phase-Shift LiDAR With Communication","= c\hat{\tau}/2$ , with c represents the speed of light. The range resolution and the maximum ranging distance are respectively...",", respectively. According to the LS algorithm, the distance precision is $$\sigma_R = \frac{\lambda}{4\pi\sqrt{M}} \sqrt{\frac{1}{SNR_e} + \frac{1}{SNR_{LO}}},\tag{16}$$ where M is...","Inconsistent Range Resolution evaluation: 'range resolution' vs 'σR'.","Report both range resolution and σR for comparability","0.85","0.2","1.05"
"Metric","Range Resolution","Δr","σR","O_ISAC_013","O_ISAC_051","2025","2023","Single-Ended > 100-km Distributed Vibration Sensor Based on OFDR Using Pearson C","Remote Phase-Shift LiDAR With Communication","amplitude level and number of vibration events, which can be expressed as $$\Delta R = \alpha \sum_{q} \varepsilon_{q} \tag{14}$$ where...",", respectively. According to the LS algorithm, the distance precision is $$\sigma_R = \frac{\lambda}{4\pi\sqrt{M}} \sqrt{\frac{1}{SNR_e} + \frac{1}{SNR_{LO}}},\tag{16}$$ where M is...","Inconsistent Range Resolution evaluation: 'Δr' vs 'σR'.","Report both Δr and σR for comparability","0.85","0.2","1.05"
"Metric","Signal Quality","SNR","OSNR","O_ISAC_005","O_ISAC_028","2024","2023","Integrated Sensing and Communication for UAV Trajectory Optimization in Mixed FS","Performance Improvement for Symmetric Carrierassisted Differential Detection Rec","MHz. Note that the optical channel sensing is evaluated for two SNR threshold levels, $\Theta_{\rm th}$ , specifically at 10...","4. BER vs. iteration number with different scheme when OSNR = 32dB, CSPR = 5dB. fiber (SSMF) has been used....","Inconsistent Signal Quality evaluation: 'SNR' vs 'OSNR'.","Report both SNR and OSNR for comparability","0.85","0.2","1.05"
"Metric","Signal Quality","SNR","shot noise","O_ISAC_005","O_ISAC_009","2024","2025","Integrated Sensing and Communication for UAV Trajectory Optimization in Mixed FS","Integrated Positioning and Communication Relying on Wireless Optical OFDM","MHz. Note that the optical channel sensing is evaluated for two SNR threshold levels, $\Theta_{\rm th}$ , specifically at 10...","= N_0^{\rm shot} + N_0^{\rm thermal}$ . Explicitly, the variance of shot noise is given by $N_0^{\rm shot} = 2eR_pP_rB...","Inconsistent Signal Quality evaluation: 'SNR' vs 'shot noise'.","Report both SNR and shot noise for comparability","0.85","0.2","1.05"
"Metric","Signal Quality","OSNR","shot noise","O_ISAC_028","O_ISAC_009","2023","2025","Performance Improvement for Symmetric Carrierassisted Differential Detection Rec","Integrated Positioning and Communication Relying on Wireless Optical OFDM","4. BER vs. iteration number with different scheme when OSNR = 32dB, CSPR = 5dB. fiber (SSMF) has been used....","= N_0^{\rm shot} + N_0^{\rm thermal}$ . Explicitly, the variance of shot noise is given by $N_0^{\rm shot} = 2eR_pP_rB...","Inconsistent Signal Quality evaluation: 'OSNR' vs 'shot noise'.","Report both OSNR and shot noise for comparability","0.85","0.2","1.05"
"Fragmentation","Channel Model","VLC indoor channel","FSO atmospheric channel","O_ISAC_009","O_ISAC_023","2025","2024","Integrated VLC Positioning","FSO ISAC Resource Allocation","VLC channel assumes LOS dominance","FSO channel models turbulence","Siloed channel modeling prevents unified analysis.","Unified optical channel taxonomy","0.85","0.2","1.05"
"Fragmentation","Hardware Architecture","Coherent fiber transceiver","IM/DD VLC transceiver","O_ISAC_020","O_ISAC_054","2022","2024","Photonic ISAC System","LED-based O-ISAC","Coherent detection with DSP","Direct detection with LED","Hardware paradigms prevent technology transfer.","Unified hardware abstraction layer","0.85","0.2","1.05"
