paper_id,section,concept,variant,match_type,strength,rationale,quote,line_start,line_end,heading_path,json_path,json_value,medium,llm_model_pass1,llm_label_pass1,llm_model_pass2,llm_label_pass2,llm_escalated
O_ISAC_002,6D,ml,AI,lexical,INDIRECT,"The snippet mentions experimental results and frequency-domain processing, which are related to machine learning (ml) concepts, but does not directly mention 'ml'.","equalizer with sparse coefficients. Experimental results, shown in Fig. 3c, demonstrate that after frequency-domain processing, the system can effectively compensate for the frequency-selective effects of a 20-meter wireless channel, achieving ~ 8 dB compensation gain.",45,45,**Photonic Terahertz Integrated Sensing and Communication (ISAC) Systems** > **1. Introduction** > **2. Photonic THz ISAC Waveform Design** > 4. Photonic THz Sensing enhanced Communications,,,hybrid,meta-llama/llama-4-scout-17b-16e-instruct,NONE,llama-3.3-70b-versatile,INDIRECT,True
O_ISAC_003,6D,ml,AI,lexical,NONE,There is no mention of machine learning (ml) in the given context.,"Rapid development of intelligent transportation systems (ITS) has led to advancements in vehicle-to-vehicle (V2V) communication technology, which is crucial for improving road safety and traffic efficiency. V2V communication enables vehicles to exchange real-time information about their status and surroundings for better decision-making on the road. Integrated Sensing and Communication (ISAC) technology is considered as a potential technology of the sixth generation (6G) [1]. The application of ISAC technology in V2V systems improves the intelligence of vehicular networks, allowing them not only to communicate but also to collect and analyze data about their environment. In various communication technologies such as sub-6 GHz [2], ultra-wideband (UWB), millimeter wave, terahertz (THz), infrared (IR), and visible light, visible light communication (VLC) is particularly promising, as it uses LED lights for high-speed data transmission and precise detection. VLC offers high bandwidth, low latency, and strong resistance to electromagnetic interference, making it ideal for vehicle environments [3]. In addition, its easy deployment is facilitated by the widespread availability of visible-light illumination. Thus, the visible light spectrum is a valuable resource for ISAC system applications [4].",15,15,I. INTRODUCTION,,,wireless_vlc,meta-llama/llama-4-scout-17b-16e-instruct,INDIRECT,llama-3.3-70b-versatile,NONE,True
O_ISAC_003,6D,ml,AI,lexical,NONE,There is no mention of machine learning (ml) in the given context.,"In this work, we aim to explore the VL-based ISAC channel characteristics under mono-static sensing and bi-static sensing modes by analyzing the signals from unilateral car taillights in a V2V scenario. First, we divide the ISAC channel into",19,19,I. INTRODUCTION,,,wireless_vlc,meta-llama/llama-4-scout-17b-16e-instruct,INDIRECT,llama-3.3-70b-versatile,NONE,True
O_ISAC_003,6D,ml,AI,lexical,NONE,There is no mention of machine learning (ml) in the given context.,"The remainder of this paper is organized as follows. Section II introduces the construction of simulation scenarios. Section III analyzes the characteristics of VL-based ISAC channels in two typical sensing modes. Finally, the concluding remarks are presented.",27,27,I. INTRODUCTION > 2025 IEEE Wireless Communications and Networking Conference (WCNC): 2025 IEEE Wireless Communications and Networking Conference (WCNC) Works Workshops hops,,,wireless_vlc,meta-llama/llama-4-scout-17b-16e-instruct,NONE,llama-3.3-70b-versatile,NONE,True
O_ISAC_003,6D,ml,AI,lexical,NONE,There is no mention of machine learning (ml) in the given context.,"In this work, we used the ray tracing method of the Zemax software, which has been utilized in the creation of IEEE 802.15.13 and 802.11bb reference channel characterization studies, validated with extensive measurements in [9]. We first constructed two typical modes of mono-static sensing and bistatic sensing vehicle scenarios, as depicted in Fig. 1. Vehicle CAD models were imported and manipulated in Zemax®'s ""Part Designer"", which allowed for user-defined CAD object creation, and the specific type of reflection was determined using the ""scattering fraction (SF)"" parameter, according to the specifications of the International Commission on Lighting (CIE) [10]. It was assumed that the type of road was R2, the material was asphalt concrete, the car surface was black gloss paint and the scattering coefficient was set to 0.2. TABLE I summarized the specifications for the reference scenario and the coating materials. The selected taillight was",39,39,*A. Simulation Scenario Set Up*,,,wireless_vlc,meta-llama/llama-4-scout-17b-16e-instruct,NONE,llama-3.3-70b-versatile,NONE,True
O_ISAC_003,6D,ml,ML,lexical,NONE,There is no mention of machine learning (ml) concepts in the given snippet.,"the commercially available LED OSRAM SYNIOS® P2720 KR DMLQ32.23, with a 60 ° half-angle of view, positioned at the rear of the car. Each luminaire had an optical power set to 1.8 watts to meet typical environmental lighting levels.",47,47,*A. Simulation Scenario Set Up*,,,wireless_vlc,meta-llama/llama-4-scout-17b-16e-instruct,NONE,llama-3.3-70b-versatile,NONE,True
O_ISAC_003,6D,ml,AI,lexical,NONE,The snippet appears to be a table of parameters and does not contain any information related to machine learning (ml).,| Car surface                      | Black gloss paint         |,57,57,*A. Simulation Scenario Set Up*,,,wireless_vlc,meta-llama/llama-4-scout-17b-16e-instruct,NONE,llama-3.3-70b-versatile,NONE,True
O_ISAC_004,6D,ml,AI,lexical,NONE,The text does not mention machine learning (ml) concepts.,"Diagram of the proposed system is shown in Fig. 1, which composes two setups including the optical fiber sensing system and the optical telecommunication system. For the optical fiber sensing system, the setup is formed by a supercontinuum (SC) laser light source, a multiplexer (MUX) and a demultiplexer ((De)MUX), two types of few-mode fiber (FMF), and an optical spectrum analyzer (OSA). In the design, the sensing head is formed by single-mode fiber (SMF) and FMF2, and the interference dips are generated by the modal interference of the LP01 mode and the LP02 mode. Here, the LP02 mode is excited by the mode field of the SMF and the FMF2. For the optical fiber-based telecommunication transmission system, continuum wave (CW) laser source, dual-polarization (DP) IQ Modulator (DP-IQ-MOD), and arbitrary waveform generator (AWG) are applied to generate serial signals for serial communication. Mode multiplexer and (de)multiplexer are applied to multiplex and (de)multiplex the LP01 mode and the LP11 mode in the FMF. In the output, a coherent receiver and real-time operation system are utilized to process the transmitted signal. For the LP01 mode, the transmission loss can be negligible because it is used for the sensing application. However, the loss of the LP11 mode should be well controlled because it serves to transmit the communication signal. The adiabatic-tapered FMF2 is carefully designed, on one hand, to enhance to sensitivity of the sensing head, and on another hand to minimize to radiation loss of the LP11 mode. One typical design is shown in Fig. 2, where the inserted picture is the tapered FMF2. By launching the LP11 mode in the adiabatic-tapered FMF2, the transmission loss of the LP11 mode can be measured by detecting the output power. We characterize the propagation of the LP11 mode through the taper against different fiber core diameters during the tapering process, and transmission loss of the LP11 mode across the C-band is obtained to be lower than −0.8 dB with a core diameter of 40 μm.",21,21,Adiabatic-tapered few-mode-fiber-based system for integrating optical fiber sensing and telecommunication > II. PRINCIPLE AND DESIGN,,,hybrid,meta-llama/llama-4-scout-17b-16e-instruct,NONE,llama-3.3-70b-versatile,NONE,True
O_ISAC_004,6D,ml,AI,lexical,NONE,The text does not mention machine learning (ml) concepts.,"<sup>5</sup>Department of Electrical and Electronic Engineering, Southern University of Science and Technology, Shenzhen, China \* E-mail: qdhuang@gdut.edu.cn",35,35,Adiabatic-tapered few-mode-fiber-based system for integrating optical fiber sensing and telecommunication > II. PRINCIPLE AND DESIGN,,,hybrid,meta-llama/llama-4-scout-17b-16e-instruct,NONE,llama-3.3-70b-versatile,NONE,True
O_ISAC_004,6D,ml,AI,lexical,NONE,The text does not mention machine learning (ml) concepts.,"To test the sensitivity of the sensor, we characterize the device both in simulation and experiment. In the simulation, the adiabatic-tapered FMF2 is applied in the seawater salinity monitoring by changing the ambient refractive index. As shown in Fig. 3, the interference dips show a red shift with the ambient refractive index increases. The sensitivity is obtained to be 681.23 pm/RIU by linear fitting the 3 dB width of the interference dips. We also study the temperature sensitivity of the fiber sensor by calculating the thermos-optic effect of the FMF2, where the temperature sensitivity of the fiber sensor is only 13.20 pm/℃.",45,45,Adiabatic-tapered few-mode-fiber-based system for integrating optical fiber sensing and telecommunication > III. RESULTS AND DISCUSSIONS,,,hybrid,meta-llama/llama-4-scout-17b-16e-instruct,NONE,llama-3.3-70b-versatile,NONE,True
O_ISAC_004,6D,ml,AI,lexical,NONE,The text does not mention machine learning (ml) concepts.,Fig. 3. Simulated sensitivity of fiber sensors against the ambient refractive index.,49,49,Adiabatic-tapered few-mode-fiber-based system for integrating optical fiber sensing and telecommunication > III. RESULTS AND DISCUSSIONS,,,hybrid,meta-llama/llama-4-scout-17b-16e-instruct,NONE,llama-3.3-70b-versatile,NONE,True
O_ISAC_004,6D,ml,AI,lexical,NONE,There is no mention of machine learning (ml) concepts in the given snippet.,Fig. 4. Experimentally measured the sensitivity of fiber sensors against the ambient refractive index.,53,53,Adiabatic-tapered few-mode-fiber-based system for integrating optical fiber sensing and telecommunication > III. RESULTS AND DISCUSSIONS,,,hybrid,meta-llama/llama-4-scout-17b-16e-instruct,NONE,llama-3.3-70b-versatile,NONE,True
O_ISAC_004,6D,ml,AI,lexical,NONE,There is no mention of machine learning (ml) concepts in the given snippet.,"To demonstrate the idea, we design and fabricate the adiabatic-tapered FMF2 via a laser fusion splicing system (Fujikura LZM-100). In the experiment, we use the fabricated adiabatic-tapered FMF2 via a laser fusion splicing system to monitor the seawater salinity change. In the experiment, the refractive index of the seawater is selected ranging from 1.318 to 1.326 with a step of 0.002. The experimental is shown in Fig. 4, where sensitivity is obtained to be 671.25 pm/RIU and the temperature sensitivity is only 13.16 pm/℃. As a result, the device shows a salinity sensitivity of 0.1 nm/‰ at the wavelength of 1550 nm for the seawater monitoring.",55,55,Adiabatic-tapered few-mode-fiber-based system for integrating optical fiber sensing and telecommunication > III. RESULTS AND DISCUSSIONS,,,hybrid,meta-llama/llama-4-scout-17b-16e-instruct,NONE,llama-3.3-70b-versatile,NONE,True
O_ISAC_005,6D,ml,AI,lexical,NONE,There is no mention of machine learning (ml) in the given context.,"Muhammad Nafees, Mohammadamin Baniasadi, James R. Hopgood, Majid Safari and John S. Thompson School of Engineering, Institute for Imaging, Data and Communications, The University of Edinburgh, UK Email: {m.nafees, amin.baniasadi, james.hopgood, majid.safari, john.thompson}@ed.ac.uk",7,7,Integrated Sensing and Communication for UAV Trajectory Optimization in Mixed FSO-RF Networks in Dynamic Weather Conditions,,,hybrid,meta-llama/llama-4-scout-17b-16e-instruct,NONE,llama-3.3-70b-versatile,NONE,True
O_ISAC_005,6D,ml,AI,lexical,NONE,There is no mention of machine learning (ml) in the given context.,"*Abstract*—Integrated sensing and communication (ISAC) is expected to transform data transmission and real-time sensing, enhancing sixth-generation (6G) networks. Free-space optical (FSO) communication is a key 6G backhaul solution, complementing radio frequency (RF) technologies like millimeter wave (mmWave) for improved network reliability. However, adverse weather can significantly reduce FSO link reliability due to atmospheric attenuation. Such adverse weather conditions also increase the level of back-scattered light, potentially enabling the real-time sensing of the atmospheric channel gain at the transmitter side. Therefore, this paper proposes a novel optical ISAC (O-ISAC) framework, where the back-scattered light from the FSO communication signal is used as the sensing feedback signal. This O-ISAC framework is analyzed considering a single-cell network aided by an unmanned aerial vehicle (UAV) to support edge users. The UAV is connected to the gateway via a FSO backhaul link while estimating the FSO channel gain based on the backscattered light and dynamically optimizing its trajectory. The aim of this adaptive O-ISAC system is to maximize the end-toend network throughput of the edge users while considering FSO backhaul capacity and the UAV's directional antenna beamwidth and bandwidth allocation. Numerical results demonstrate that UAV can effectively optimize its trajectory by adjusting the antenna beamwidth and downlink bandwidth allocation at different weather conditions. The proposed framework is tested using hourly visibility data from Edinburgh, demonstrating that optical channel sensing is crucial for the system's overall performance.",9,9,Integrated Sensing and Communication for UAV Trajectory Optimization in Mixed FSO-RF Networks in Dynamic Weather Conditions,,,hybrid,meta-llama/llama-4-scout-17b-16e-instruct,NONE,llama-3.3-70b-versatile,NONE,True
O_ISAC_005,6D,ml,AI,lexical,NONE,There is no mention of machine learning (ml) in the given context.,"Sixth-generation (6G) wireless networks are expected to significantly enhance data speeds and quality-of-service (QoS) by resolving the limitations present in current networks. These advancements aim to offer unprecedented connectivity and performance, enabling new applications and services that require ultra-reliable and high-capacity communication. Optical integrated sensing and communication (O-ISAC) technologies in 6G are expected to further revolutionize network performance by enabling simultaneous data transmission and sensing capability [1]. Additionally, free-space optical (FSO) communication is predicted to play a crucial role in 6G backhauling, providing high-capacity, low-latency links that complement traditional radio frequency (RF) systems [2]. Due to their simple deployment, quick setup, and low maintenance costs, FSO links are a promising alternative to traditional fiber optics for backhaul connectivity. However, FSO links experience atmospheric losses due to fog and scintillation. In bidirectional transmission, the impact of light backscattering on the FSO transceiver is frequently neglected.",15,15,Integrated Sensing and Communication for UAV Trajectory Optimization in Mixed FSO-RF Networks in Dynamic Weather Conditions > I. INTRODUCTION,,,hybrid,meta-llama/llama-4-scout-17b-16e-instruct,NONE,llama-3.3-70b-versatile,NONE,True
O_ISAC_005,6D,ml,AI,lexical,NONE,There is no mention of machine learning (ml) in the given context.,"The integration of FSO technology with unmanned aerial vehicles (UAVs) significantly enhances connectivity by enabling flexible and high-capacity communication links, particularly in challenging environments [3]. Various studies have demonstrated that UAV-to-everything (U2X) connections can be effectively achieved using FSO beams [4]. However, a critical challenge remains in optimizing UAV positioning within wireless networks. The UAV placement may be optimized by incorporating real-time sensing technologies by potentially leveraging the feedback signal generated from the light backscattered to the FSO transmitters. Given the growing demand for FSO links, it is crucial to recognize that not all FSO links can be feasibly paired with parallel RF transmission links, and vice versa. In fact, mixed FSO-RF relaying using UAVs is often seen as a versatile solution for enhancing communication networks, as it leverages the high-speed capabilities of FSO in the backhaul while ensuring reliability with RF links in the access link.",17,17,Integrated Sensing and Communication for UAV Trajectory Optimization in Mixed FSO-RF Networks in Dynamic Weather Conditions > I. INTRODUCTION,,,hybrid,meta-llama/llama-4-scout-17b-16e-instruct,NONE,llama-3.3-70b-versatile,NONE,True
O_ISAC_005,6D,ml,AI,lexical,NONE,There is no mention of machine learning (ml) in the given context.,"Driven by the increasing demand for UAVs as relays, the rise in FSO backhauling, and advancements in optical sensing, this study examines optimizing UAV trajectories, considering the impact of FSO channel sensing on the onboard FSO transceiver. We introduce an O-ISAC framework to boost network capacity by deploying an aerial base station (BS) on a UAV with an FSO backhaul, which supports an existing ground BS (GBS). The GBS operates in the millimeter wave (mmWave) spectrum to serve all users, while the UAV uses part of the mmWave band to enhance edge-user performance and FSO for high-speed backhaul. Focusing on edgeuser performance, we optimize the UAV's trajectory through a backhaul-aware approach in both favorable and adverse weather. The UAV's trajectory is dynamically optimized based on weather changes, where the backscattered light (e.g., from haze, fog, etc.) is used as a sensing feedback signal to establish an O-ISAC framework. The problem involves maximizing the edge users' sum rate by jointly optimizing the UAV's directional antenna beamwidth and bandwidth allocation under backhaul capacity constraints. We utilize the powerful Qlearning technique to efficiently address this problem. Our key contributions include:",19,19,Integrated Sensing and Communication for UAV Trajectory Optimization in Mixed FSO-RF Networks in Dynamic Weather Conditions > I. INTRODUCTION,,,hybrid,meta-llama/llama-4-scout-17b-16e-instruct,INDIRECT,llama-3.3-70b-versatile,NONE,True
O_ISAC_005,6D,ml,AI,lexical,NONE,There is no mention of machine learning (ml) in the given context.,"- This study introduces a novel O-ISAC framework designed to optimize the FSO backhaul-aware trajectory of a UAV supporting the GBS, aiming to enhance edgeuser capacity. It optimizes the UAV's directional antenna beamwidth and bandwidth allocation to achieve optimal end-to-end performance, effectively addressing challenges such as weather attenuation.",23,23,Integrated Sensing and Communication for UAV Trajectory Optimization in Mixed FSO-RF Networks in Dynamic Weather Conditions > I. INTRODUCTION,,,hybrid,meta-llama/llama-4-scout-17b-16e-instruct,INDIRECT,llama-3.3-70b-versatile,NONE,True
O_ISAC_006,6D,ml,AI,lexical,NONE,The text does not mention machine learning (ml) concepts.,\*Email: jie.zhang@bupt.edu.cn,19,19,Recent Advancements and Challenges in Integrated Sensing and Communication in Optical Fiber,,,cabled_fibre,meta-llama/llama-4-scout-17b-16e-instruct,NONE,llama-3.3-70b-versatile,NONE,True
O_ISAC_006,6D,ml,AI,lexical,NONE,The text does not mention machine learning (ml) concepts.,"transmitted light face limitations in terms of localization accuracy and handling multiple vibration sources. During forward transmission, backscattering phenomena within the optical fiber, such as Rayleigh scattering, Brillouin scattering, and Raman scattering, serve as the foundation for various distributed fiber optic sensors. Among these, Distributed Acoustic Sensors (DAS) based on Rayleigh scattering have become a primary technology for monitoring large structures. Typical applications include intrusion detection, monitoring of oil and gas pipelines, structural health monitoring, earthquake monitoring, railway track monitoring, and traffic monitoring. Distributed Optical Fiber Sensing (DOFS) technology, which relies on backscattered light, enables the localization of disturbances along the entire length of the sensing fiber and offers high spatial resolution [9-10]. The integration of DAS with fiber optic communication is also gradually developing. However, because DAS relies on weak backscattered light, its sensing range is limited. Additionally, if the sensing system needs to operate on an amplified link with isolators, sensing systems based on backscattering may face certain limitations.",31,31,Recent Advancements and Challenges in Integrated Sensing and Communication in Optical Fiber > I. INTRODUCTION,,,cabled_fibre,meta-llama/llama-4-scout-17b-16e-instruct,NONE,llama-3.3-70b-versatile,NONE,True
O_ISAC_006,6D,ml,AI,lexical,NONE,The text does not mention machine learning (ml) concepts.,"This paper analyzes the state-of-the-art schemes of ISAC-OF, categorizing them into two main types: solutions based on forward transmitted light and those based on backscattered light. Then, we analyze the differences, advantages and disadvantages among various solutions. Finally, we also discuss the potential technical challenges and development trends.",33,33,Recent Advancements and Challenges in Integrated Sensing and Communication in Optical Fiber > I. INTRODUCTION,,,cabled_fibre,meta-llama/llama-4-scout-17b-16e-instruct,NONE,llama-3.3-70b-versatile,NONE,True
O_ISAC_006,6D,ml,AI,lexical,NONE,The text does not mention machine learning (ml) concepts.,"Compared with solutions based on forward transmitted light, solutions of ISAC-OF based on backscattered light offer higher spatial resolution. Currently, phase-sensitive optical time domain reflectometer ( -OTDR) is mostly used to achieve the sensing function in ISAC-OF systems based on backscattered light, due to its significant similarities with conventional optical communication systems in terms of system architecture, signal modulation [22] .",83,83,III. SCHEME OF ISAC-OF BASED ON BACKSCATTERED LIGHT,,,cabled_fibre,meta-llama/llama-4-scout-17b-16e-instruct,NONE,llama-3.3-70b-versatile,NONE,True
O_ISAC_006,6D,ml,AI,lexical,NONE,There is no mention of machine learning (ml) in the given context.,"demonstrated an SDM-based ISAC-OF scheme, deploying a seven-core optical fiber in field trials[27] . The schematic of the experimental setup is shown in figure 5. One core was dedicated to the sensing channel, while the remaining six cores were used for communication. Low-crosstalk between cores ensured there was no interference between the communication and sensing channels.",89,89,*A. Solution based on multiplexing technology*,,,cabled_fibre,meta-llama/llama-4-scout-17b-16e-instruct,INDIRECT,llama-3.3-70b-versatile,NONE,True
O_ISAC_006,6D,ml,AI,lexical,NONE,There is no mention of machine learning (ml) in the given context.,"Reference [29] proposed a straightforward ISAC solution that does not require additional dedicated wavelength channels by utilizing the structure of communication data frames. The schematic of the experimental structure is shown in figure 7. This approach inserts LFM sensing probes into the training symbols within the transmission data frames, creating an ISAC-OF header. This setup enables a unified system that shares the spectrum and transmitter. The presence",105,105,*C. Solution Utilizing the Structure of Communication Data Frames*,,,cabled_fibre,meta-llama/llama-4-scout-17b-16e-instruct,NONE,llama-3.3-70b-versatile,NONE,True
O_ISAC_007,6D,ml,AI,lexical,NONE,The text does not mention machine learning (ml) concepts.,"Chengpin Wu, <sup>1,2,3</sup> Xikai Hou, <sup>1,2,3</sup> Jiaqi Zhu <sup>1,2,3</sup> and Leiming Wu\*1,2,3",7,7,Miniaturized optical fiber displacement probe with large-collection-angle,,,cabled_fibre,meta-llama/llama-4-scout-17b-16e-instruct,NONE,llama-3.3-70b-versatile,NONE,True
