"relative_path","role","bytes","sha256"
"evidence/README.md","governed_evidence_and_appraisal","2946","583357863e1d1e3cc7c5a440c3f19619438b71d801c7304f97862acf86d7b668"
"evidence/ST-16B_EXCLUDED_REPORTS_39_FOR_REPORTING.csv","governed_evidence_and_appraisal","28306","9449470a5805abf13d31648afb9fa7c6e3d14ade3ae805eecb8a2ee651048155"
"evidence/ST-18_STUDY_LEVEL_TQAF_206.csv","governed_evidence_and_appraisal","78716","0cd727981c0f7f8bd3cd02bfb632524243f02118e068b49f1ef2a7db867b5350"
"evidence/ST-19_GOVERNED_TRADEOFFS_404.csv","governed_evidence_and_appraisal","346288","0b9d01b7cad074550f5518b8424921060381ff83af6a0134e88c1b63d286d24b"
"evidence/ST-19_PRIMARY_EVIDENCE_RESULTS_3020.csv","governed_evidence_and_appraisal","1779744","2700697f3765848bdfe8d4e8cf76dd09a817d8aadc0f85a37674742697d236d6"
"evidence/ST-19_PRIMARY_METRIC_RESULTS_4779.csv","governed_evidence_and_appraisal","2888427","dac20625ef18c97bac289f6aa05c2e2a75172e14cc76745780ddedf9b689c539"
"evidence/ST-19_SUBSTANTIVE_TRADEOFFS_402.csv","governed_evidence_and_appraisal","345142","7f317accdc26bef51e8416fc5fbcb13bce453eb45654a694a51dfb7295122c73"
"evidence/ST-22_EVIDENCE_BODY_CERTAINTY_115.csv","governed_evidence_and_appraisal","165325","8701e39d4c9a6b674764430dfdf05ae0ea05a8c88186da189ab8d2c5fed79e51"
"evidence/ST-22_EVIDENCE_BODY_MEMBERSHIP_4931.csv","governed_evidence_and_appraisal","540647","019a994d84973581ac1b621a9d20aa5fc6ffd352af071c92f64635643ebba60e"
"related_synthesis/README.md","contextual_positioning","766","c4e3a9b22b179b0e4d008de5727c0f77171d7e42fa64d213aa1bdccc867b86c6"
"related_synthesis/ST-RS1_CONTEXTUAL_SYNTHESES_38.csv","contextual_positioning","61309","110cefb758d33531694132756444cfa4b95c46d43ea5dd6ad84779c45082b6c4"
"related_synthesis/ST-RS1_CONTEXTUAL_SYNTHESES_38.xlsx","contextual_positioning","40965","cdfbb8918a57e68fd12fd6e27875a4368183bf2b31fd85678c5611993f5ff7be"
"s7/README.md","paired_function_validation","970","e6d28b0cd88d8d8b496062451f287cf877df8934c4f9e97a34193f9a859ed4eb"
"s7/S7_CANONICAL_JOIN_206.csv","paired_function_validation","17432","bf09e9614fa029c68c3193f7b76afb7dd9347b07ec4d1dd00660212ed3f89671"
"s7/S7_PAIRED_FUNCTION_VALIDATION_12.csv","paired_function_validation","22516","219c307e117cb598de857910244407782fb9f3626e479a8ac50e41401318d1e3"
"s7/S7_PAIRED_FUNCTION_VALIDATION_12.xlsx","paired_function_validation","27550","6076047aa8344f93f554a9e157cab9e3ad7467ef76d0bca04d2cb221da7f3e6c"
"reporting/README.md","reporting_contract","1424","5cb7df0592de68de1b4bbd8eafc47c02f3dea4c3d93ebf31464da20c5e470a1b"
"reporting/MANIFEST.json","reporting_contract","4768","e3f22e20e9513dbfa66bdd93a50f83c5afef852cf2c577c924787a0e22d602b4"
"reporting/S_DATA_DICTIONARY_446.csv","reporting_contract","142246","dc51c7120a7316aaeb25aee8727979ad734a2b1a94f700bb0ffc2f23416f43fc"
"reporting/S_PROTOCOL_DEVIATIONS_2026-08-13.csv","reporting_contract","3301","5efb7cceddb35db3f07880d905ae38bf7dc89859c845b6f963d6cc1598ba6ae5"
"reporting/S_REVIEW_CONDUCT_AND_REPORTING_BOUNDARIES.md","reporting_contract","1588","be04f2260f082ade650a3638f1b69e333e1953bc02974b347a0e6ec043eb95eb"
"reporting/protocol/contextual_synthesis_positioning_update_2026-08-13.md","protocol_and_amendment","2755","0195733085bcaa87237c12861db103c1b0b99d3f3e1f0c045b1241b37c14f0af"
"reporting/protocol/protocol_amendment_actual_workflow_2026-08-04.md","protocol_and_amendment","4148","44e09c6e54102e753900eca4dc4ad863ca54ec0f290b5e52722291915421f592"
"reporting/protocol/protocol_initial_2026-06-17.md","protocol_and_amendment","20888","cc20c2ccaa3bcbc5ef0c56857915281ed9c59d8e332444cf3c5e2f2182489143"
"reporting/protocol/protocol_registration_lineage_correction_2026-08-07.md","protocol_and_amendment","2851","790d141d30acdef798622c298751852218e63fe46c1e283af2774b8d3f72b559"
"reporting/search/README.md","executed_search_record","1184","8bb74322144f5e1fbdfd77eef0ae8cab2440bb17c97aa67adcf1cb6371365bdf"
"reporting/search/FINAL_SEARCH_EXECUTION_AND_STRATEGIES_FOR_REPORTING_2026-08-14.csv","executed_search_record","12152","a187f0bb1a599f75a17ab78f823662714381ba1b6a8652df0a9d44e45309ff5a"
"reporting/search/FINAL_SEARCH_METHODS_AND_EXECUTION_FOR_REPORTING_2026-08-14.md","executed_search_record","2742","2ca5b441274cb7e961ae818f97936721686199d93125c4f6201731b8365fc571"
