claim_id,claim_key,section,paper_id,concept,variant,match_type,strength,rationale,quote,line_start,line_end,heading_path,json_path,json_value,claim_supported
5201a4991c41,4A|json:link_topology,4A,O_ISAC_001,json:link_topology,nan,json,DIRECT,Structured classification field,nan,,,nan,study_level.classification.link_topology,point_to_point,True
a90603502dd7,4A|json:mobility_context,4A,O_ISAC_001,json:mobility_context,nan,json,DIRECT,Structured classification field,nan,,,nan,study_level.classification.mobility_context,static,True
ba85a5531ad9,4A|json:oisac_medium_class,4A,O_ISAC_002,json:oisac_medium_class,nan,json,DIRECT,Structured classification field,nan,,,nan,study_level.classification.oisac_medium_class,hybrid,True
35bdf27b274e,4A|json:carrier_band,4A,O_ISAC_002,json:carrier_band,nan,json,DIRECT,Structured classification field,nan,,,nan,study_level.classification.carrier_band,terahertz,True
bb39815f71bd,4A|json:operational_environment,4A,O_ISAC_002,json:operational_environment,nan,json,DIRECT,Structured classification field,nan,,,nan,study_level.classification.operational_environment,indoor,True
5201a4991c41,4A|json:link_topology,4A,O_ISAC_002,json:link_topology,nan,json,DIRECT,Structured classification field,nan,,,nan,study_level.classification.link_topology,monostatic,True
a90603502dd7,4A|json:mobility_context,4A,O_ISAC_002,json:mobility_context,nan,json,DIRECT,Structured classification field,nan,,,nan,study_level.classification.mobility_context,static,True
234b0b62b711,4A|sensing task type,4A,O_ISAC_003,sensing task type,sensing type,fuzzy:85.71428571428572,DIRECT,"The snippet directly discusses 'sensing task type' by mentioning and comparing 'mono-static sensing' and 'bi-static sensing' scenarios, which are types of sensing tasks.","sensing effect, so the effective sensing distance for bi-static sensing is the distance between TX and RXS in the range of 5-10 m.",131,131,*A. Simulation Scenario Set Up* > III. VL-BASED ISAC CHANNEL CHARACTERIZATION > A. VL-based ISAC channel model > C. Optical Path Loss,nan,nan,True
785389c9ae7d,4A|measurement plane,4A,O_ISAC_003,measurement plane,reference plane,fuzzy:85.71428571428572,NONE,"The snippet does not mention the concept of a measurement plane. It appears to be a funding acknowledgement and reference section, unrelated to the concept.",# REFERENCES,184,184,REFERENCES,nan,nan,True
ba85a5531ad9,4A|json:oisac_medium_class,4A,O_ISAC_003,json:oisac_medium_class,nan,json,DIRECT,Structured classification field,nan,,,nan,study_level.classification.oisac_medium_class,wireless_vlc,True
35bdf27b274e,4A|json:carrier_band,4A,O_ISAC_003,json:carrier_band,nan,json,DIRECT,Structured classification field,nan,,,nan,study_level.classification.carrier_band,visible,True
bb39815f71bd,4A|json:operational_environment,4A,O_ISAC_003,json:operational_environment,nan,json,DIRECT,Structured classification field,nan,,,nan,study_level.classification.operational_environment,outdoor,True
5201a4991c41,4A|json:link_topology,4A,O_ISAC_003,json:link_topology,nan,json,DIRECT,Structured classification field,nan,,,nan,study_level.classification.link_topology,monostatic,True
a90603502dd7,4A|json:mobility_context,4A,O_ISAC_003,json:mobility_context,nan,json,DIRECT,Structured classification field,nan,,,nan,study_level.classification.mobility_context,quasi_static,True
ba85a5531ad9,4A|json:oisac_medium_class,4A,O_ISAC_004,json:oisac_medium_class,nan,json,DIRECT,Structured classification field,nan,,,nan,study_level.classification.oisac_medium_class,hybrid,True
35bdf27b274e,4A|json:carrier_band,4A,O_ISAC_004,json:carrier_band,nan,json,DIRECT,Structured classification field,nan,,,nan,study_level.classification.carrier_band,C-band,True
bb39815f71bd,4A|json:operational_environment,4A,O_ISAC_004,json:operational_environment,nan,json,DIRECT,Structured classification field,nan,,,nan,study_level.classification.operational_environment,lab,True
5201a4991c41,4A|json:link_topology,4A,O_ISAC_004,json:link_topology,nan,json,DIRECT,Structured classification field,nan,,,nan,study_level.classification.link_topology,point_to_point,True
a90603502dd7,4A|json:mobility_context,4A,O_ISAC_004,json:mobility_context,nan,json,DIRECT,Structured classification field,nan,,,nan,study_level.classification.mobility_context,static,True
ba85a5531ad9,4A|json:oisac_medium_class,4A,O_ISAC_005,json:oisac_medium_class,nan,json,DIRECT,Structured classification field,nan,,,nan,study_level.classification.oisac_medium_class,hybrid,True
35bdf27b274e,4A|json:carrier_band,4A,O_ISAC_005,json:carrier_band,nan,json,DIRECT,Structured classification field,nan,,,nan,study_level.classification.carrier_band,C-band,True
bb39815f71bd,4A|json:operational_environment,4A,O_ISAC_005,json:operational_environment,nan,json,DIRECT,Structured classification field,nan,,,nan,study_level.classification.operational_environment,outdoor,True
5201a4991c41,4A|json:link_topology,4A,O_ISAC_005,json:link_topology,nan,json,DIRECT,Structured classification field,nan,,,nan,study_level.classification.link_topology,bistatic,True
a90603502dd7,4A|json:mobility_context,4A,O_ISAC_005,json:mobility_context,nan,json,DIRECT,Structured classification field,nan,,,nan,study_level.classification.mobility_context,mobile,True
6c7a88a6c36f,4A|detection type,4A,O_ISAC_006,detection type,detection method,lexical,INDIRECT,"The text discusses the feasibility of extracting the state of polarization (SOP) and optical phases from digital coherent transponders for vibration detection, but does not directly mention the detection type.","Sensing technology based on forward transmitted light has played a significant role in monitoring submarine optical fiber cables. Early research has demonstrated the feasibility of extracting the state of polarization (SOP) and optical phases from digital coherent transponders for vibration detection. At present, compared to SOP-based vibration detection methods, optical phase-based methods offer higher",37,37,II. SCHEME OF ISAC-OF BASED ON FORWARD TRANSMITTED LIGHT,nan,nan,True
6c7a88a6c36f,4A|detection type,4A,O_ISAC_006,detection type,detection type,fuzzy:85.71428571428572,DIRECT,"The text explicitly mentions 'anomaly detection digital signal processing (DSP) schemes' and 'fracture detection experiments', directly referring to detection type.","ISAC-OF schemes based on forward transmitted light can be used not only for monitoring and predicting natural disasters such as earthquakes and tsunamis but also for detecting abnormal vibrations, ensuring information security. In the latest schemes for extracting SOPs, Minelli et al.[15] proposed two anomaly detection digital signal processing (DSP) schemes for extraction SOP, demonstrating that SOPpower spectral density gap exhibits greater sensitivity to subtle anomalies. The flowcharts for the two proposed DSP schemes are shown in figure 1. Mazur et al. [16] conducted fracture detection experiments on a 524 km optical fiber link, showing that coherent DSP can effectively identify significant changes in the fiber environment. This capability enhances the stability of future optical networks by controlling proactive rerouting and mitigating potential disruptions.",47,47,A. Solution based on SOP,nan,nan,True
6c7a88a6c36f,4A|detection type,4A,O_ISAC_006,detection type,detection kind,fuzzy:85.71428571428572,INDIRECT,"The text describes a scheme for anomaly detection in SOP extraction and perturbation localization, but does not explicitly state the detection type.",Fig.1 Two DSP schemes for anomaly detection in SOP extraction proposed,51,51,A. Solution based on SOP,nan,nan,True
6c7a88a6c36f,4A|detection type,4A,O_ISAC_006,detection type,detection kind,fuzzy:85.71428571428572,INDIRECT,"The text shows an experimental setup for demonstrating vibration detection and localization, but does not directly mention the detection type.",Fig.3 Experimental setup for demonstrating vibration detection and localization based on forward transmitted light in scheme [18].,65,65,Solution based on optical phases,nan,nan,True
6c7a88a6c36f,4A|detection type,4A,O_ISAC_006,detection type,detection kind,fuzzy:85.71428571428572,INDIRECT,"The text discusses the comparison of two approaches (phase-based and SOP-based) for vibration detection in optical fiber networks, but does not directly describe the detection type itself. Instead, it provides experimental results and comparisons of the two methods, indicating an indirect relationship to the concept of detection type.","Ezra Ip et al. [18] conducted a lab demonstration to confirm the feasibility of using optical phase and SOP in vibration detection, with the experimental setup shown in figure 3. Their results demonstrate that the phase-based approach exhibits higher sensitivity and a broader detection bandwidth compared to the SOP-based approach, enabling more precise vibration localization. Lorenzo Andrenacci et al. [19] further compared the performance of these two approaches in different environmental settings. In their study, data transmission occurred over urban optical fiber networks, representing more challenging transmission environments. The experimental setup in the city of Turin is shown in figure 4. They intentionally introduced weaker excitation amplitudes to test the sensing capabilities of both methods under various interference and noise conditions. The results indicate that the SOP-based approach demonstrates greater robustness in",71,71,Solution based on optical phases,nan,nan,True
234b0b62b711,4A|sensing task type,4A,O_ISAC_006,sensing task type,sensing task,fuzzy:85.71428571428572,INDIRECT,"The text discusses sensing technology and vibration detection methods, which are related to the concept of sensing task type, but it does not directly mention or define the concept of sensing task type.","Sensing technology based on forward transmitted light has played a significant role in monitoring submarine optical fiber cables. Early research has demonstrated the feasibility of extracting the state of polarization (SOP) and optical phases from digital coherent transponders for vibration detection. At present, compared to SOP-based vibration detection methods, optical phase-based methods offer higher",37,37,II. SCHEME OF ISAC-OF BASED ON FORWARD TRANSMITTED LIGHT,nan,nan,True
785389c9ae7d,4A|measurement plane,4A,O_ISAC_006,measurement plane,reference plane,fuzzy:85.71428571428572,NONE,"The snippet does not mention the concept of a measurement plane, it appears to be a reference citation and does not contain relevant information related to the concept.",# REFERENCES,158,158,REFERENCES,nan,nan,True
ba85a5531ad9,4A|json:oisac_medium_class,4A,O_ISAC_006,json:oisac_medium_class,nan,json,DIRECT,Structured classification field,nan,,,nan,study_level.classification.oisac_medium_class,cabled_fibre,True
35bdf27b274e,4A|json:carrier_band,4A,O_ISAC_006,json:carrier_band,nan,json,DIRECT,Structured classification field,nan,,,nan,study_level.classification.carrier_band,C-band,True
bb39815f71bd,4A|json:operational_environment,4A,O_ISAC_006,json:operational_environment,nan,json,DIRECT,Structured classification field,nan,,,nan,study_level.classification.operational_environment,indoor,True
5201a4991c41,4A|json:link_topology,4A,O_ISAC_006,json:link_topology,nan,json,DIRECT,Structured classification field,nan,,,nan,study_level.classification.link_topology,point_to_point,True
a90603502dd7,4A|json:mobility_context,4A,O_ISAC_006,json:mobility_context,nan,json,DIRECT,Structured classification field,nan,,,nan,study_level.classification.mobility_context,static,True
785389c9ae7d,4A|measurement plane,4A,O_ISAC_007,measurement plane,reference plane,fuzzy:85.71428571428572,NONE,"The snippet does not mention the concept of a measurement plane. It appears to be a reference or citation section, and the provided text does not contain any relevant information related to the concept.",# REFERENCES,156,156,REFERENCES,nan,nan,True
ba85a5531ad9,4A|json:oisac_medium_class,4A,O_ISAC_007,json:oisac_medium_class,nan,json,DIRECT,Structured classification field,nan,,,nan,study_level.classification.oisac_medium_class,cabled_fibre,True
bb39815f71bd,4A|json:operational_environment,4A,O_ISAC_007,json:operational_environment,nan,json,DIRECT,Structured classification field,nan,,,nan,study_level.classification.operational_environment,indoor,True
5201a4991c41,4A|json:link_topology,4A,O_ISAC_007,json:link_topology,nan,json,DIRECT,Structured classification field,nan,,,nan,study_level.classification.link_topology,point_to_point,True
a90603502dd7,4A|json:mobility_context,4A,O_ISAC_007,json:mobility_context,nan,json,DIRECT,Structured classification field,nan,,,nan,study_level.classification.mobility_context,static,True
10ea29395ff0,4A|integration mechanism,4A,O_ISAC_008,integration mechanism,integration process,fuzzy:89.47368421052632,NONE,"The text discusses antenna design and optimization using genetic algorithms, but does not mention an integration mechanism.","where  $\theta$  is the azimuthal angle and  $\psi$  is the elevation angle.  $f(\theta, \psi)$  denotes the emission envelope of single antenna,  $A_{m,n}$  denotes the amplitude of (m, n)-th element and  $R_m$  is the radius of m-th ring. The GA-based antenna design method used in our previous linear thinned antenna in [6] has been extended and adopted into the proposed ring antenna design. Different from the linear thinned antenna, a set of randomly-generated angles  $d_{m,n}$  instead of the element pitches is set as both the initial population and FoM calculation in proposed ring antenna. The FoM function is set to the SMSR of  $20\log_{10}(E_{main}/E_{side})$ , where  $E_{main}$  and  $E_{side}$  are the intensity of main lobe and the maximum side lobe, respectively. During the optimization, the GA iteration process including selection, crossover and mutation is repeated for the population update, until an optimum element position distribution of each ring is reached for a targeted improved SMSR.",67,67,B. Principle of Thinned Ring Antenna Design,nan,nan,True
6c7a88a6c36f,4A|detection type,4A,O_ISAC_008,detection type,detection kind,fuzzy:85.71428571428572,INDIRECT,"The concept of detection type is related to the discussion of Lidar systems and waveform design, but it is not explicitly mentioned as a detection type.","Silicon-based Optical Phased Array (OPA) is a very promising integrated solid-state solution for both Light detection and ranging (Lidar) and optical wireless communication (OWC) systems [1-9]. Recently, Lidar systems with Integrated Sensing and Communication (ISAC) capability have attracted extensive attention in 5/6G era [3]. In ISAC Lidar systems, waveform design plays an essential role that determines the ISAC performance. Y. Li et al. [4] design a joint waveform utilizing Dual Pulse Interval Modulation (DPIM) to implement an ISAC ToF OPA-based Lidar for automobile. However, the communication rate is severely restricted by the ToF pulse at kbps, because the pulse period should be larger than the round-trip time for a detection range up to 200m. C. Poulton et al. [5] adopts two different waveforms of Frequency Modulated Continuous Wave (FMCW) and OOK to achieve ISAC function, but has to use one transmitter OPA chip to alternately implement sensing and communication. Therefore, it is very challenging to design an efficient joint waveform to implement simultaneous sensing and communication without sacrificing any performance.",19,19,**Wide-steering Integrated Sensing and Communication OPA-based Lidar Design with Joint Waveform and Thinned Antenna** > **I. INTRODUCTION**,nan,nan,True
6c7a88a6c36f,4A|detection type,4A,O_ISAC_008,detection type,detection kind,fuzzy:85.71428571428572,INDIRECT,"Similar to the first snippet, the concept of detection type is implied through the discussion of Lidar systems and optical wireless communication, but it is not directly stated.","Meanwhile, performance of optical antenna in 2D plane OPAs should be further optimized to increase both the detection and communication ranges. However, the steering range is limited by high-level side lobes and narrow antenna emission envelopes in the OPA designs. Sparse antenna designs have been used to suppress the side lobes [7, 8]. However, unit spacings required by the sparse method are constrained to be integer multiples of half-wavelength, which limits Side-Mode Suppression Ratio (SMSR) improvement. Besides, the widely used sector grating structure of single antenna element results in a relatively narrow emission envelope, further limiting the steering range below 30° in [8].",21,21,**Wide-steering Integrated Sensing and Communication OPA-based Lidar Design with Joint Waveform and Thinned Antenna** > **I. INTRODUCTION**,nan,nan,True
ba85a5531ad9,4A|json:oisac_medium_class,4A,O_ISAC_008,json:oisac_medium_class,nan,json,DIRECT,Structured classification field,nan,,,nan,study_level.classification.oisac_medium_class,hybrid,True
35bdf27b274e,4A|json:carrier_band,4A,O_ISAC_008,json:carrier_band,nan,json,DIRECT,Structured classification field,nan,,,nan,study_level.classification.carrier_band,other,True
bb39815f71bd,4A|json:operational_environment,4A,O_ISAC_008,json:operational_environment,nan,json,DIRECT,Structured classification field,nan,,,nan,study_level.classification.operational_environment,indoor,True
5201a4991c41,4A|json:link_topology,4A,O_ISAC_008,json:link_topology,nan,json,DIRECT,Structured classification field,nan,,,nan,study_level.classification.link_topology,monostatic,True
a90603502dd7,4A|json:mobility_context,4A,O_ISAC_008,json:mobility_context,nan,json,DIRECT,Structured classification field,nan,,,nan,study_level.classification.mobility_context,static,True
01bdb2a18d09,4A|signal dimension,4A,O_ISAC_009,signal dimension,dimensionality,fuzzy:85.71428571428572,NONE,"The provided snippet does not mention the concept of signal dimension. It appears to be a list of references related to indoor localization systems using various technologies, including visible light and LEDs, but does not directly or indirectly discuss signal dimensions.","- <span id=""page-15-24""></span>[\[26\]](#page-1-11) S.-H. Yang, H.-S. Kim, Y.-H. Son, and S.-K. Han, ""Three-dimensional visible light indoor localization using AOA and RSS with multiple optical receivers,"" *J. Lightw. Technol.*, vol. 32, no. 14, pp. 2480–2485, Jul. 15, 2014.",708,708,"<span id=""page-14-3""></span>G. Overall Communication Functionality > VII. CONCLUSION AND FUTURE OPPORTUNITIES > REFERENCES",nan,nan,True
01bdb2a18d09,4A|signal dimension,4A,O_ISAC_009,signal dimension,dimensionality,fuzzy:85.71428571428572,DIRECT,The context directly relates to signal dimensions through references discussing MIMO (Multiple Input Multiple Output) channel capacity of multidimensional signal sets (reference [76]). MIMO systems directly involve concepts of signal dimensions as they deal with multiple signals transmitted and received across multiple antennas.,"- <span id=""page-16-29""></span>[\[76\]](#page-8-12) S. X. Ng and L. Hanzo, ""On the MIMO channel capacity of multidimensional signal sets,"" *IEEE Trans. Veh. Technol.*, vol. 55, no. 2, pp. 528–536, Mar. 2006.",762,762,"<span id=""page-14-3""></span>G. Overall Communication Functionality > VII. CONCLUSION AND FUTURE OPPORTUNITIES > REFERENCES",nan,nan,True
6c7a88a6c36f,4A|detection type,4A,O_ISAC_009,detection type,detection kind,fuzzy:85.71428571428572,INDIRECT,"The concept of detection type is related to the discussion of radar sensing resolution and communication data rate in RF systems, but it is not directly mentioned.","- <span id=""page-1-29""></span><span id=""page-1-28""></span><span id=""page-1-27""></span>• We propose a new VLPC scheme using DCO-OFDM (VLPC-DCO-OFDM), where OFDM radar[1](#page-1-1) is applied for the sake of improving the resolution and quality of estimated Channel Impulse Response (CIRs). In the absence of Doppler detection in IM/DD, only a single OFDM pilot symbol is required for facilitating OFDM radar sensing in the delay domain, which is capable of improving both the VLP accuracies and the CSI for VLC data detection, hence realizing ISAC in the optical band.",61,61,"<span id=""page-0-5""></span><span id=""page-0-4""></span><span id=""page-0-3""></span><span id=""page-0-2""></span><span id=""page-0-1""></span>I. INTRODUCTION",nan,nan,True
6c7a88a6c36f,4A|detection type,4A,O_ISAC_009,detection type,detection kind,fuzzy:85.71428571428572,INDIRECT,"The concept of detection type is related to the method of ranging performed by IFFT, but it is not directly mentioned as a detection type.","Therefore, our VLPC-DCO-OFDM scheme assumes that the first VLPC-DCO-OFDM symbol associated with n=0 is a pilot transmission, and the subsequent symbols associated with n>0 carry user data. We note that this method can also be applied to light detection and ranging (LiDar) based on the signal bounced back to the transmitter, which may no longer require pilots but additional receivers have to be installed for the illumination infrastructure. Finally, the ranging is performed by IFFT over  $\overline{m}$  as follows:",334,334,"IV. VLPC-DCO-OFDM SENSING > <span id=""page-5-1""></span>A. Conventional VLP Based on RSS > <span id=""page-5-2""></span>B. Optical OFDM Radar Sensing",nan,nan,True
6c7a88a6c36f,4A|detection type,4A,O_ISAC_009,detection type,detection kind,fuzzy:85.71428571428572,DIRECT,"The snippet explicitly mentions 'peak detection' and a 'threshold for peak detection', which directly relates to the concept of detection type.","where  $\mathcal{T}$  refers to threshold for peak detection. Finally, the distance between LED and PD is estimated as:",352,352,"IV. VLPC-DCO-OFDM SENSING > <span id=""page-5-1""></span>A. Conventional VLP Based on RSS > <span id=""page-5-2""></span>B. Optical OFDM Radar Sensing",nan,nan,True
6c7a88a6c36f,4A|detection type,4A,O_ISAC_009,detection type,testing method,fuzzy:85.71428571428572,DIRECT,"The concept of detection type is directly related to the discussion of Radar-estimated LoS path and RSS-estimated LoS path, which implies a detection type.","Property 3 may be instrumental for fingerprinting-based VLP [25], [26], [52], [53], where the minimum bandwidth requirement may be pre-determined based on the topology of the environment. Without the topology knowledge, we have to make sure that the Radar-estimated LoS path and the RSS-estimated LoS path have the same integer delay index. Otherwise, the radar-based range estimation is leveraged. More explicitly, the hybrid Radar-RSS sensing method is proposed as follows:",401,401,"<span id=""page-7-1""></span>C. Hybrid Radar-RSS Sensing",nan,nan,True
6c7a88a6c36f,4A|detection type,4A,O_ISAC_009,detection type,detection kind,fuzzy:85.71428571428572,INDIRECT,"The concept of detection type is related to the subsequent optical OFDM data detection, but it is not explicitly mentioned in the given snippet, hence it's indirect.","In this section, the proposed sensing-aided channel estimation is presented in Sec. V-A. The subsequent optical OFDM data detection is devised in Sec. V-C. The maximum achievable rates are analysed in Sec. V-D.",423,423,"<span id=""page-7-1""></span>C. Hybrid Radar-RSS Sensing > V. VLPC-DCO-OFDM COMMUNICATION",nan,nan,True
234b0b62b711,4A|sensing task type,4A,O_ISAC_009,sensing task type,task sensing,fuzzy:85.71428571428572,INDIRECT,"The concept of sensing task type is related to the discussion of hybrid Radar-RSS sensing, which is an indirect indication of the sensing task type.","# <span id=""page-7-1""></span>C. Hybrid Radar-RSS Sensing",395,395,"<span id=""page-7-1""></span>C. Hybrid Radar-RSS Sensing",nan,nan,True
234b0b62b711,4A|sensing task type,4A,O_ISAC_009,sensing task type,sensing task,fuzzy:85.71428571428572,INDIRECT,"The context mentions the performance of the hybrid Radar-RSS scheme in LoS and NLoS scenarios, which is an indirect indication of the sensing task type.","sensing scheme exhibits poor sensing performance in both LoS and NLoS scenarios. Moreover, Fig. [10](#page-10-5) demonstrates that the hybrid Radar-RSS scheme performs similarly to the Radaraided sensing scheme, when n<sup>D</sup> is unknown. This is due to the fact that the hybrid Radar-RSS scheme adopts the RSS estimation only when the Radar-estimated LoS path and the RSS-estimated LoS path have the same integer delay index, as discussed in Sec. [IV-C.](#page-7-1)",599,599,"<span id=""page-9-1""></span>A. Simulation Parameters > <span id=""page-10-0""></span>B. CIR Analysis > <span id=""page-10-1""></span>C. Positioning Accuracy",nan,nan,True
ba85a5531ad9,4A|json:oisac_medium_class,4A,O_ISAC_009,json:oisac_medium_class,nan,json,DIRECT,Structured classification field,nan,,,nan,study_level.classification.oisac_medium_class,wireless_vlc,True
35bdf27b274e,4A|json:carrier_band,4A,O_ISAC_009,json:carrier_band,nan,json,DIRECT,Structured classification field,nan,,,nan,study_level.classification.carrier_band,visible,True
bb39815f71bd,4A|json:operational_environment,4A,O_ISAC_009,json:operational_environment,nan,json,DIRECT,Structured classification field,nan,,,nan,study_level.classification.operational_environment,indoor,True
5201a4991c41,4A|json:link_topology,4A,O_ISAC_009,json:link_topology,nan,json,DIRECT,Structured classification field,nan,,,nan,study_level.classification.link_topology,bi-static,True
a90603502dd7,4A|json:mobility_context,4A,O_ISAC_009,json:mobility_context,nan,json,DIRECT,Structured classification field,nan,,,nan,study_level.classification.mobility_context,static,True
234b0b62b711,4A|sensing task type,4A,O_ISAC_010,sensing task type,sensing task,fuzzy:85.71428571428572,INDIRECT,"The context mentions 'sensing' as part of a laboratory name, indicating a relation to sensing tasks but not directly describing a sensing task type.","Sensing and Communication,",14,14,High-speed DMT signal and power-over-fiber simultaneous transmission over weakly-coupled multicore Fiber > Wei Chen,nan,nan,True
