paper_id,section,concept,category,severity,reason,quote,line_start,heading_path
O_ISAC_142,4A,detection type,METRIC_ALIASING,MAJOR,Resolution and accuracy co-occur without explicit separation context.,"positioning accuracy of the future dual-functional radar and communication (DFRC) base station (BS) [\[40\],](#page-30-39) [\[41\],](#page-30-40) as well as mounted on targets like automobiles or UAVs to enlarge their radar cross section (RCS) for high-resolution detection and highly accurate real-time tracking [\[30\],](#page-30-29) [\[41\].](#page-30-40) In addition to the above, ISs can assist in many other applications, such as enhancing the physical-layer security [\[42\],](#page-30-41) [\[43\],](#page-30-42) [\[44\],](#page-30-43) [\[45\]](#page-30-44) and boosting both the communication rate and the energy transmission efficiency for simultaneous wireless information and power transfer (SWIPT) as well as wireless powered communications [\[46\],](#page-30-45) [\[47\],](#page-30-46) [\[48\],](#page-31-0) [\[49\],](#page-31-1) [\[50\],](#page-31-2) [\[51\],](#page-31-3) [\[52\].](#page-31-4)",107,"**A. Overview of 6G** > <span id=""page-1-1""></span>**B. Overview of ISs**"
O_ISAC_152,4A,measurement plane,METRIC_ALIASING,MAJOR,Resolution and accuracy co-occur without explicit separation context.,"For communications, uneven signal amplitude may occur in received waveforms under harsh transmission conditions. Some methods should be implemented to perform compensation. For ranging and sensing, the Tri-LFM signal with larger sweep bandwidth significantly enhances ranging accuracy and expand spectral measurement range [19]. Considering that 3.2MHz is a rather satisfactory resolution for spectrum sensing compared with other previous work [15][20], we do not proceed with additional experiments. And the introduction of deep neural network can reduce average errors in spectrum measurement [27].",185,IV. DISCUSSION AND CONCLUSION
O_ISAC_158,4A,resolution versus accuracy,METRIC_ALIASING,MAJOR,Resolution and accuracy co-occur without explicit separation context.,"The next article, ""Positioning and Sensing in 6G: Gaps, Challenges, and Opportunities,"" is by Ali Behravan et al. [A3]. The authors provide a selected set of 6G use cases and determine their positioning and sensing requirements to identify the gaps against state-of-the-art technologies. Focusing on positioning, the article shows that between the three key performance indicators (KPIs) (accuracy, latency, and availability), there is a significant gap between the 5G capability and the 6G requirements. Similarly, sensing analysis shows gaps in certain KPIs (accuracy and resolution) between current and future sensing requirements. The authors also present a framework for positioning in future 6G radios, considering technical enablers and predefined challenges in real deployments.",37,*From the Guest Editors* > 6G Fabric Compiles Microdomains for Sophisticated Service Delivery
O_ISAC_161,4A,resolution versus accuracy,METRIC_ALIASING,MAJOR,Resolution and accuracy co-occur without explicit separation context.,"Another essential aspect of ISAC system design is reconfigurability—the capability to dynamically adapt operational modes based on evolving environmental conditions or specific application needs. This adaptability may include switching between high-resolution and/or high-accuracy sensing and high-throughput communication modes or dynamically reallocating spectral and beamforming resources to optimize performance across both functionalities [45], [46]. Note that resolution and accuracy are generally distinct parameters that characterize sensing performance. Such flexibility can be achieved through various multiplexing strategies, including time, frequency, polarization, and code division, among others.",139,**FUNDAMENTALS AND DEFINITIONS**
O_ISAC_162,4A,sensing task type,METRIC_ALIASING,MAJOR,Resolution and accuracy co-occur without explicit separation context.,"The sensing task of ISAC presents the same challenges studied by the legacy radar literature. The major KPIs of interest here are defined as: 1) accuracy and capability of detecting an isolated object; and 2) resolution of the system. The latter is defined as the capability of *resolving* two close objects without misclassifying them as a single one, or worse, not detecting anything at all. The two classes of KPIs depend on distinct system parameters and are thoroughly discussed in realistic future deployments in [3]. In what follows, we summarize the most sensitive quantities that determine the abovementioned KPIs, focusing on the most prominent ISAC use case of drone detection.",222,"A Unified Future: Integrated Sensing and Communication (ISAC) in 6G > LB, WAVEFORM DESIGN, BEAMFORMING ASPECTS, AND HARDWARE ISSUES FOR ISAC"
O_ISAC_245,4A,detection type,METRIC_ALIASING,MAJOR,Resolution and accuracy co-occur without explicit separation context.,"*Abstract*—This paper presents a Markov chain Monte Carlo (MCMC)-based sparse Bayesian learning (SBL) algorithm for super-resolution receiver design, aimed at joint target detection and parameter estimation in integrated sensing and communication (ISAC) systems. Unlike traditional compressed sensing (CS) approaches that rely on large sensing matrices and are limited by on-grid estimation accuracy, our proposed method treats both sparse variables and their associated parameters as random variables, enabling gridless estimation with superresolution and high precision. By leveraging MCMC techniques, our approach avoids the computational burden of matrix inversion while enhancing estimation performance in high-dimensional parameter spaces. Additionally, we introduce a refined MCMC proposal distribution that leverages mini-batch gradients and the Adam optimizer, significantly enhancing convergence while ensuring robust target detection and parameter estimation across varying SNR conditions. Simulation results demonstrate that the proposed algorithm accomplishes an estimation accuracy on the order of 10<sup>−</sup><sup>1</sup> m for range, 10<sup>−</sup><sup>1</sup> m/s for velocity, and 10<sup>−</sup><sup>2</sup> degree for angle, under conditions where the SNR exceeds 10 dB. It achieves superior accuracy and efficiency compared to traditional CS methods, especially in low-SNR ISAC environments.",5,MCMC-Based Sparse Bayesian Learning for Super-Resolution Receiver in ISAC Systems
O_ISAC_245,4A,detection type,METRIC_ALIASING,MAJOR,Resolution and accuracy co-occur without explicit separation context.,"Signal processing on the receiver side of the ISAC system is of paramount importance, and it has garnered increasing attention in recent research. The 3D FFT-based algorithm for joint estimation of these three parameters is developed in [3], while the sampling rate fundamentally constrains the accuracy of FFT-based estimation. Recent studies employ compressed sensing (CS) techniques to achieve simultaneous superresolution target detection and three-dimensional parameters estimation [4]. On-grid CS algorithms are often utilized due to their simplicity. Sparse Bayesian learning (SBL) is a typical on-grid CS technique that treats the variables to be estimated as random variables with sparsity-promoting priors and employs variational inference for parameter estimation. However, these algorithms require the construction of large sensing matrices, particularly when multiple estimation parameters are involved, or when high accuracy is demanded, leading to substantial computational and memory consumption. While certain offgrid approaches aim to minimize the size of the sensing matrix by reducing estimation errors on a coarse grid, this strategy sharply increases algorithmic complexity [4], [5]. The atomic norm minimization algorithm enables gridless CS with infinite precision. However, even though this method translates into a convex optimization problem, the computational complexity increases significantly when dealing with large-scale problems and its sensitivity to noise.",13,MCMC-Based Sparse Bayesian Learning for Super-Resolution Receiver in ISAC Systems > I. INTRODUCTION
O_ISAC_245,4A,detection type,METRIC_ALIASING,MAJOR,Resolution and accuracy co-occur without explicit separation context.,"This study proposes a gridless MCMC-based SBL algorithm for ISAC receiver design, intended to achieve super-resolution target detection and infinite-precision parameter estimation while avoiding the construction of large sensing matrices. Additionally, we introduce structural enhancement into the MCMC proposal distribution to develop a highly efficient algorithm. Experimental results demonstrate that our proposed method dramatically outperforms traditional CS methods in estimation accuracy, especially in low-SNR systems. Furthermore, our method achieves lower algorithmic complexity and robustness across various SNR levels.",21,MCMC-Based Sparse Bayesian Learning for Super-Resolution Receiver in ISAC Systems > I. INTRODUCTION
O_ISAC_276,4A,detection type,METRIC_ALIASING,MAJOR,Resolution and accuracy co-occur without explicit separation context.,"The above was all oriented onto detecting typical telecom fiber link faults such as fiber ruptures, dirty connectors, fiber bends, degrading fiber splices etc. But photonic technologies are also known for its great sensing potential. Conditions of the environment surrounding the optical fiber or a local photonic sensor connected in the fiber-optic transmission line can be immediately detected with high accuracy and resolution",38,Parallel Path Effect-Free Remote Monitoring and Sensing in Live XGS-PON Using Legacy Optical Time Domain Reflectometry > *A. Sensing in Passive Optical Networks*
O_ISAC_276,4A,resolution versus accuracy,METRIC_ALIASING,MAJOR,Resolution and accuracy co-occur without explicit separation context.,"The above was all oriented onto detecting typical telecom fiber link faults such as fiber ruptures, dirty connectors, fiber bends, degrading fiber splices etc. But photonic technologies are also known for its great sensing potential. Conditions of the environment surrounding the optical fiber or a local photonic sensor connected in the fiber-optic transmission line can be immediately detected with high accuracy and resolution",38,Parallel Path Effect-Free Remote Monitoring and Sensing in Live XGS-PON Using Legacy Optical Time Domain Reflectometry > *A. Sensing in Passive Optical Networks*
O_ISAC_286,4A,detection type,METRIC_ALIASING,MAJOR,Resolution and accuracy co-occur without explicit separation context.,"is inherently linked to the transmitted signal bandwidth when using fast Fourier transform (FFT) to generating ranging spectrum [\[20](#page-10-16)[–22\]](#page-10-17). Enhancing the signal bandwidth is considered as the most straightforward method to improve ranging resolution. However, the approach of expanding signal bandwidth for improved ranging resolution leads to a significant increase in system cost. Therefore, exploring high ranging resolution scheme under narrow signal bandwidth is crucial. Peak sidelobe ratio (PSLR) is another important metric for evaluating radar performance, which represents the signal-to-noise ratio performance of a radar receiver. The higher the PSLR, the stronger the target extraction ability of the sensing function, which can better distinguish between the target peak and the background noise from ranging spectrum, thereby improving the accuracy and reliability of target detection and tracking. In our previous research, Chirp-Z transform (CZT) is explored to replace FFT to generate and refine the spectrum, thereby enhancing the velocity resolution [\[23\]](#page-10-18). The utilization of CZT can enhance range resolution due to the similarity in processing schemes. However, CZT can only improve the spectrum resolution, without enhancing the PSLR of the spectrum. Apart from the ranging resolution, communication function performance is also essential for the photonics-assisted ISAC system. Nonlinearities in ISAC system, induced by modulation, amplifier, and detection, will seriously distort the performance of the transmitted wireless signal [\[24,](#page-10-19)[25\]](#page-10-20). At present, the Volterra nonlinear equalizer (VNLE) is recognized as an effective approach for addressing those nonlinear impairments and it has been widely employed in high-speed optical communication and fiber-wireless systems [\[26](#page-10-21)[–28\]](#page-10-22). The Time-domain Volterra nonlinear equalizer (TD-VNLE) is utilized to compensated the nonlinear distortion in a photonics-assisted Orthogonal Chirp Division Multiplexing (OCDM) ISAC [\[29\]](#page-10-23). Frequency-domain Volterra nonlinear equalizer (FD-VNLE) which compensates the nonlinear distortion of OFDM signal at subcarriers level leads to computational complexity reduction [\[30\]](#page-10-24). However, there are no studies to investigate the FD-VNLE in ISAC system to improve the performance of communication function.",31,**1. Introduction**
O_ISAC_288,4A,sensing task type,METRIC_ALIASING,MAJOR,Resolution and accuracy co-occur without explicit separation context.,"- DSSS has inherent properties that enhance both communication and sensing performance. For communication, the spreading gain of DSSS improves the signal-to-noise ratio (SNR) and provides robustness against jamming and interference, which is advantageous for reliable communication. Meanwhile, the same spreading gain can enhance the resolution and accuracy in sensing tasks using radars.",46,*1.1. Preliminaries*
O_ISAC_288,4A,resolution versus accuracy,METRIC_ALIASING,MAJOR,Resolution and accuracy co-occur without explicit separation context.,"- DSSS has inherent properties that enhance both communication and sensing performance. For communication, the spreading gain of DSSS improves the signal-to-noise ratio (SNR) and provides robustness against jamming and interference, which is advantageous for reliable communication. Meanwhile, the same spreading gain can enhance the resolution and accuracy in sensing tasks using radars.",46,*1.1. Preliminaries*
O_ISAC_348,4A,detection type,METRIC_ALIASING,MAJOR,Resolution and accuracy co-occur without explicit separation context.,"based on backscattered light (including Rayleigh<sup>9-11</sup>, Brillouin 12,13, and Raman 14) take into account both the measurement accuracy and sensing distance, hence attracting much attention and intensive study over the last few decades. For these techniques, not only the intrinsic fibre characteristics (length, attenuation, breakpoints<sup>15</sup>, and optical fibre diameter<sup>16</sup>) but also a variety of physical parameters (such as temperature<sup>17</sup>, strain<sup>18</sup>, pressure<sup>19</sup>, seismic wave<sup>20,21</sup>, and refractive index<sup>22,23</sup>) can be measured with high resolution. At present, singlemode fibre (SMF) is a commonly used medium in DOFS (as the sensing medium) and fibre-optic transmission (as the transmission medium). Moreover, various optical communication technologies have been introduced into DOFS to demodulate sensing information and improve sensing performance<sup>24</sup>. The high similarity of DOFS to a fibre-optic communication system in terms of architecture, signal detection, and signal demodulation makes it ideal for integration into a fibre-optic transmission system for simultaneous data transmission and environment monitoring<sup>25</sup>.",27,Integrated sensing and communication in an optical fibre > **Abstract** > Introduction
O_ISAC_351,4A,resolution versus accuracy,METRIC_ALIASING,MAJOR,Resolution and accuracy co-occur without explicit separation context.,"Integrated communication and sensing based on ToF imaging system is a novel research field for the future wireless network industry, which utilizes the same waveform and hardware resources. But most existing IToF imaging systems exploit sinusoid or square wave as modulation function [[22,](#page-8-24)[30\]](#page-8-25), which, although easy to implement, has limited depth resolution in the scenarios of low signal-to-noise ratio (SNR). In parallel, other specific coding schemes, such as triangular functions, ramp functions, and pseudo-random binary sequences [\[31](#page-8-26)[–33](#page-8-27)] are also sub-optimal in terms of achieving depth resolution. Thus, high-performance coding scheme that could provide higher accuracy is desirable. The Hamiltonian coding, adopted in present paper, is proved to be optimal based on spatial coding theory [[34\]](#page-8-28). Besides, there still exists the typical problem of phase ambiguity because the scene depth value is calculated indirectly by measuring the phase shift of per-pixel, efforts to remove measurement ambiguity include, for example, reducing the modulation frequency, pseudo-noise modulation and multi-frequency fusion algorithms [[35–](#page-9-0)[37\]](#page-9-1). Nonetheless, previous researches focused more on improving the resolution, accuracy and depth range of TOF imaging system, no prior works have studied the implementation of both communication and 3D sensing function using a single waveform based on ToF imaging system.",38,**1. Introduction**
O_ISAC_006,4B,fiber,METRIC_ALIASING,MAJOR,Resolution and accuracy co-occur without explicit separation context.,"transmitted light face limitations in terms of localization accuracy and handling multiple vibration sources. During forward transmission, backscattering phenomena within the optical fiber, such as Rayleigh scattering, Brillouin scattering, and Raman scattering, serve as the foundation for various distributed fiber optic sensors. Among these, Distributed Acoustic Sensors (DAS) based on Rayleigh scattering have become a primary technology for monitoring large structures. Typical applications include intrusion detection, monitoring of oil and gas pipelines, structural health monitoring, earthquake monitoring, railway track monitoring, and traffic monitoring. Distributed Optical Fiber Sensing (DOFS) technology, which relies on backscattered light, enables the localization of disturbances along the entire length of the sensing fiber and offers high spatial resolution [9-10]. The integration of DAS with fiber optic communication is also gradually developing. However, because DAS relies on weak backscattered light, its sensing range is limited. Additionally, if the sensing system needs to operate on an amplified link with isolators, sensing systems based on backscattering may face certain limitations.",31,Recent Advancements and Challenges in Integrated Sensing and Communication in Optical Fiber > I. INTRODUCTION
O_ISAC_006,4B,vlc,METRIC_ALIASING,MAJOR,Resolution and accuracy co-occur without explicit separation context.,"transmitted light face limitations in terms of localization accuracy and handling multiple vibration sources. During forward transmission, backscattering phenomena within the optical fiber, such as Rayleigh scattering, Brillouin scattering, and Raman scattering, serve as the foundation for various distributed fiber optic sensors. Among these, Distributed Acoustic Sensors (DAS) based on Rayleigh scattering have become a primary technology for monitoring large structures. Typical applications include intrusion detection, monitoring of oil and gas pipelines, structural health monitoring, earthquake monitoring, railway track monitoring, and traffic monitoring. Distributed Optical Fiber Sensing (DOFS) technology, which relies on backscattered light, enables the localization of disturbances along the entire length of the sensing fiber and offers high spatial resolution [9-10]. The integration of DAS with fiber optic communication is also gradually developing. However, because DAS relies on weak backscattered light, its sensing range is limited. Additionally, if the sensing system needs to operate on an amplified link with isolators, sensing systems based on backscattering may face certain limitations.",31,Recent Advancements and Challenges in Integrated Sensing and Communication in Optical Fiber > I. INTRODUCTION
O_ISAC_006,4B,photonic_thz,METRIC_ALIASING,MAJOR,Resolution and accuracy co-occur without explicit separation context.,"transmitted light face limitations in terms of localization accuracy and handling multiple vibration sources. During forward transmission, backscattering phenomena within the optical fiber, such as Rayleigh scattering, Brillouin scattering, and Raman scattering, serve as the foundation for various distributed fiber optic sensors. Among these, Distributed Acoustic Sensors (DAS) based on Rayleigh scattering have become a primary technology for monitoring large structures. Typical applications include intrusion detection, monitoring of oil and gas pipelines, structural health monitoring, earthquake monitoring, railway track monitoring, and traffic monitoring. Distributed Optical Fiber Sensing (DOFS) technology, which relies on backscattered light, enables the localization of disturbances along the entire length of the sensing fiber and offers high spatial resolution [9-10]. The integration of DAS with fiber optic communication is also gradually developing. However, because DAS relies on weak backscattered light, its sensing range is limited. Additionally, if the sensing system needs to operate on an amplified link with isolators, sensing systems based on backscattering may face certain limitations.",31,Recent Advancements and Challenges in Integrated Sensing and Communication in Optical Fiber > I. INTRODUCTION
O_ISAC_009,4B,vlc,METRIC_ALIASING,MAJOR,Resolution and accuracy co-occur without explicit separation context.,"*Abstract*— Visible Light Positioning and Communication (VLPC) is a promising candidate for implementing Integrated Sensing And Communication (ISAC) in the unlicensed 400 THz to 800 THz band. The current Visible Light Positioning (VLP) systems mainly operate based on the Received Signal Strength (RSS) of the Line-of-Sight (LoS) path. However, its accuracy is degraded by interferences from Non-LoS (NLoS) paths. Furthermore, in Visible Light Communication (VLC) systems, the estimation of Channel State Information (CSI) also becomes challenging, when the optical channel becomes dispersive. Against this background, we propose a new VLPC scheme using Direct Current (DC) biased Optical Orthogonal Frequency-Division Multiplexing (VLPC-DCO-OFDM), where OFDM-based sensing is applied for the sake of improving the resolution of the estimated Channel Impulse Response (CIRs) exploited for positioning functionality. The CIRs estimated by sensing are further exploited to provide enhanced CSI for communication data detection. Moreover, we propose a hybrid Radar-RSS based solution, where the conventional RSS-aided VLP method is invoked for the sake of refining OFDM radar. Our simulation results demonstrate that the proposed VLPC-DCO-OFDM scheme – which simultaneously supports the triple functionalities of illumination, bi-static sensing and communication – is capable of achieving centimeter-level positioning accuracy and Giga-bits-per-second data rate.",9,"<span id=""page-0-17""></span>Integrated Positioning and Communication Relying on Wireless Optical OFDM"
