paper_id,subdomain_label,addresses_G1,addresses_G2,addresses_G3,addresses_G4,addresses_G5,addresses_G6,addresses_G7,evidence_excerpt,locator
O_ISAC_044,VLC_positioning,No,Yes,Yes,No,Yes,Yes,No,Their relationship can be expressed as $$\delta_r = c/2B_r \tag{6}$$ $$DIR = B_c \log_2(1 + SNR) \ta,II. CLASSIFICATION AND ANALYSIS OF PHOTONIC-BASED MMW ISAC SYSTEMS > A. Flexible TFDM ISAC Waveforms Design (L127)
O_ISAC_047,VLC_positioning,No,Yes,Yes,No,No,No,No,Communication Performance To evaluate the robustness of the OTFS waveform against frequency-selectiv,Zero-Padding 2D-DFT Scheme for Photonics-Assisted W-Band Fiber-Wireless ISAC Sys > III. OTFS-BASED PHOTONICS-ASSISTED W-BAND FIBER-WIRELESS ISAC SYSTEM > A. Communication Performance (L152)
O_ISAC_053,VLC_positioning,No,Yes,Yes,No,Yes,Yes,No,"Furthermore, we show a simple and effective method to compensate the impacts of additional ambient l",Integrated Sensing and Communication in the Visible Spectral Range: A Novel Clos (L7)
O_ISAC_054,VLC_positioning,No,Yes,Yes,No,Yes,Yes,No,Synergies Between Optical Sensing and Optical Communication and Two-Phase Operation Mechanism Drawin,A. Synergies Between Optical Sensing and Optical Communication and Two-Phase Ope (L283)
O_ISAC_058,FSO_channel,No,Yes,Yes,No,Yes,Yes,Yes,"On the other hand, the DR of communication can be expressed as DR = *B<sup>c</sup>* log<sup>2</sup> ",Photonic-Based Flexible Integrated Sensing and Communication With Multiple Targe > II. PRINCIPLE (L117)
O_ISAC_060,FSO_channel,No,Yes,No,No,Yes,Yes,No,2 shows the BER of received ISAC-OW signals versus signal-to-noise ratio (SNR) with and without spec,A Unified Waveform for Optical Wireless Integrated Sensing and Communication > I. INTRODUCTION > A. BER Performance (L171)
O_ISAC_062,VLC_positioning,No,Yes,Yes,Yes,Yes,Yes,No,Performance Metric of SLAP Detection We use mean squared error (MSE) as performance metric of UD loc,6-DoF Location-and-Pose Estimation Toward Integrated Visible Light Communication > IV. ASYMPTOTIC PERFORMANCE LIMITS OF VLC-ENABLED SLAP DETECTION > A. Performance Metric of SLAP Detection (L421)
O_ISAC_063,Optical_transmission,No,Yes,Yes,No,No,Yes,No,"](#page-7-0) It has been identified that, the signal to noise ratio (SNR) penalty induced by AFR, PF",I. INTRODUCTION (L25)
O_ISAC_068,VLC_positioning,Yes,Yes,Yes,No,Yes,Yes,No,"Definition of VLC and VLS and Benefits of JCS* On one hand, VLC utilizes visible light for data tran",A. Sender Approaches > A. Definition of VLC and VLS and Benefits of JCS (L87)
O_ISAC_070,Optical_transmission,No,Yes,Yes,No,Yes,Yes,No,"In addition to the DIR, the PAPR is another important metric, particularly for the traditional OFDM ",C. Metrics for Integrated Waveform Design (L127)
O_ISAC_076,Optical_transmission,No,Yes,Yes,No,No,Yes,No,"It is evident that a low PSR results in a low signal-to-noise ratio (SNR) for the extracted FPTs, wh",C. FPTs-Based Carrier Phase Estimation and Vibration Sensing > III. SIMULATIONS (L126)
O_ISAC_077,Optical_transmission,No,Yes,Yes,No,No,No,No,"As we know, compared to the electronic schemes [3], the photonic THz ISAC systems provide some techn",THz-over-fiber system with orthogonal chirp division multiplexing for integrated > I. INTRODUCTION (L17)
O_ISAC_081,VLC_positioning,No,Yes,Yes,No,No,Yes,No,"In addition, the topology results in interference between the two respective antenna beams for radar",Traveling Wave Antenna-on-Display featuring Simultaneous 2-D Phase and Frequency > I. INTRODUCTION (L13)
O_ISAC_084,VLC_positioning,No,Yes,Yes,No,Yes,Yes,Yes,"- Stability Evaluation: Uses relative standard deviation to assess the signal stability, which impac",LumiPane: Intelligent Interaction through Gesture Sensing and Ambient Light Comm > B. Related Works > B. Algorithm Implementation (L89)
O_ISAC_089,VLC_positioning,No,Yes,Yes,Yes,Yes,Yes,No,"Besides, the evaluation indicators of ISAC should be adjusted according to the specific task to meet",Future Trends andOpen Issues > IntegratedSensingandCommunication (L157)
O_ISAC_090,DFOS_DAS,No,Yes,No,Yes,Yes,No,No,1 kHz linewidth were employed to obtain sufficient phase perturbation signal to noise ratio (SNR).,Demonstration of High Sensitivity Detection and High Precision Localization of V > I. INTRODUCTION (L27)
O_ISAC_093,VLC_positioning,No,Yes,No,Yes,Yes,Yes,Yes,Their performance in complicated dynamic contexts is inadequate because to the constraints of percep,Multi-Modal Integrated Sensing and Communication in Internet of Things With Larg > ABSTRACT (L7)
O_ISAC_160,VLC_positioning,No,Yes,Yes,Yes,Yes,Yes,No,"SIMULATIONS AND RESULTS In this section, we evaluate the performance of our proposed model through v",B. ARCHITECTURE > Algorithm 1: Generative Adversarial Algorithm. > IV. SIMULATIONS AND RESULTS (L198)
O_ISAC_161,VLC_positioning,Yes,Yes,Yes,Yes,Yes,Yes,No,While this definition may be subject to debate—given that some JRC implementations involve partial o,FUNDAMENTALS AND DEFINITIONS (L107)
O_ISAC_171,FSO_channel,No,Yes,Yes,Yes,No,Yes,No,"This increase is primarily due to the reduced energy per bit at higher symbol rates, leading to a lo",Frequency-comb-steered ultrawideband quasi-true-time-delay beamformer for integr > Principle of frequency-comb-steered linear quasi-TTD beamformer > Frequency-comb-steered two-dimensional quasi-TTD beamformer > Integrated radar imaging and communication (L150)
O_ISAC_187,Optical_transmission,No,Yes,Yes,Yes,Yes,Yes,No,The BER performance under strong Doppler shifts is the key metric for evaluating the Doppler robustn,4.3. Communication performance (L331)
O_ISAC_189,DFOS_DAS,No,Yes,Yes,No,No,Yes,No,"Our goal is to find the maximum of the metric $\Lambda$ and therefore the time index d, which can be",APPENDIX B: THE OPERATION THEORY OF SYNCHRONIZATION AND FINE FOE SEQUENCE (L288)
O_ISAC_199,FSO_channel,Yes,Yes,Yes,Yes,Yes,Yes,No,"<span id=""page-1-0""></span> | Nomenclature | | Pr | Received optical power | |--------------|-------","Engineering Science and Technology, an International Journal > 1. Introduction (L39)"
O_ISAC_218,VLC_positioning,No,Yes,Yes,Yes,Yes,Yes,Yes,"4a, enhances the uplink's signal-to-noise ratio (SNR) without compromising the overall illumination ",C. Successive Interference Cancellation for Multi-Region Signal Separation > A. LED Light Source Design and Setup (L158)
O_ISAC_219,VLC_positioning,No,Yes,Yes,Yes,No,No,No,"Han, ""Optical wireless integrated sensing and communication based on optical phased array: Performan",III. EXPERIMENTS AND DISCUSSIONS > IV. CONCLUSION > REFERENCES (L294)
O_ISAC_252,FSO_channel,No,Yes,Yes,Yes,Yes,Yes,No,"2, under level VIII turbulence, only BPSK meets the requirements when the signal-to-noise ratio (SNR",C. Adaptive control strategy. (L84)
O_ISAC_280,VLC_positioning,No,Yes,Yes,Yes,Yes,Yes,Yes,"Radar imaging has lower requirements for echo signal-to-noise ratio (SNR) than communication, and SN","Integration of endogenous sensing and communication based on photonics-enabled c > YANG ZHAO, JUN WAN, SHAOFU XU, AND WEIWEN ZOU\ > 2.3. Feasibility of cellular BS imaging (L110)"
O_ISAC_300,Optical_transmission,No,Yes,Yes,No,Yes,No,No,"We denote the amplitude ratio by $\rho = (\beta_u/\beta_d)^{1/2}$ , thus, the signal-to-noise ratio ",Preamble-Free Synchronization Based on Dual-chirp Waveforms for Photonic THz-ISA > B. Dual-Chirp-Based Integrated Waveform Consideration (L113)
O_ISAC_310,VLC_positioning,No,Yes,Yes,No,Yes,No,No,4 Measured BER (blue) and SNR (orange) at different PMI.,A. Demonstration of Communication Function > B. Radar Function Demonstration (L137)
O_ISAC_327,VLC_positioning,No,Yes,Yes,Yes,Yes,Yes,No,"To enhance the received power and consequently achieve a better signal-to-noise ratio (SNR), a PA is","<span id=""page-2-11""></span>II. VLC CHANNEL MODELING METHODS > B. VLC Channel Modeling Based on Stochastic Theory (L177)"
O_ISAC_349,Optical_transmission,No,Yes,Yes,No,Yes,Yes,No,"The CRLB is defined as the lower bound of estimation error variance for unbiased estimators [22], [2","<span id=""page-0-10""></span>Radar-Centric Photonic Terahertz Integrated Sensing  > II. OPERATION PRINCIPLE (L105)"
O_ISAC_351,VLC_positioning,No,Yes,Yes,No,Yes,Yes,No,"But most existing IToF imaging systems exploit sinusoid or square wave as modulation function [[22,]",1. Introduction (L38)
O_ISAC_368,Optical_transmission,No,Yes,Yes,No,No,Yes,No,The MoF architecture for ISAC Photonics assistance plays a vital part in optimizing communication an,A. Photonics-Assisted Technique (L39)
O_ISAC_377,Optical_transmission,No,Yes,Yes,No,Yes,Yes,No,We can see that the mmW ISAC signal with more than 30-dB signal to noise ratio (SNR) is centered at,3.1. mmW ISAC signal generation (L150)
