"source_metric_record_id","canonical_study_cluster_id","canonical_source_report_id","canonical_condition_set_id","canonical_tradeoff_id","canonical_metric_domain","canonical_metric_family_code","canonical_metric_name_reported","canonical_measurement_plane_code","canonical_validation_type_code","canonical_result_representation","canonical_comparison_operator","canonical_value_numeric","canonical_value_low","canonical_value_high","canonical_uncertainty_type","canonical_uncertainty_value","canonical_unit_reported","canonical_value_status","canonical_value_origin","canonical_scenario_summary","canonical_baseline_comparator","canonical_comparison_group_id","canonical_metric_comparability_class","canonical_metric_comparison_admissibility_class","canonical_pdf_page","canonical_section_heading","canonical_table_id","canonical_figure_id","canonical_equation_id","canonical_final_survey_use_class","canonical_final_comparison_admissibility","canonical_cross_study_quantitative_comparison_allowed","canonical_final_reason_code","canonical_independent_human_status","canonical_source_workbook_sha256","register_final_comparison_admissibility","register_cross_study_flag","register_independent_human_status","reviewer_code","review_date_utc","reviewed_source_report_title","reviewed_source_report_doi","reviewed_companion_relationship","reviewed_source_pdf_sha256","source_pdf_opened","source_identity_decision","reviewed_pdf_page","reviewed_section_heading","reviewed_table_id","reviewed_figure_id","reviewed_equation_id","source_locator_decision","reviewed_metric_name","reviewed_metric_definition","reviewed_comparison_operator","reviewed_value_numeric","reviewed_value_low","reviewed_value_high","reviewed_uncertainty_type","reviewed_uncertainty_value","reviewed_unit_reported","reviewed_measurement_plane_code","reviewed_reference_point","reviewed_communication_task","reviewed_sensing_task","reviewed_objective","reviewed_scenario_summary","reviewed_geometry","reviewed_condition_set_id","reviewed_baseline_comparator","reviewed_validation_type_code","reviewed_value_origin","reviewed_comparison_group_id","comparison_decision","comparison_decision_rationale","survey_use_decision","verification_outcome","reviewer_notes","reviewer_lock_status","reviewer_signature_or_form_hash"
"MET-SCR00036-G2-005","STC-SINGLETON-SCR-00036","SCR-00036","COND-SCR00036-20GBPS-16QAM","","communication","data_rate","Communication data rate","system","laboratory_experiment","scalar","eq","20","","","","","Gbps","reported","reported","5-GBaud integrated 21-26-GHz OFDM-FMCW signal.","","CG-SCR00036-DATA-RATE","conditionally_comparable","conditionally_admissible","6","2.2 Implementation of ISAC Based on the Phased-Array Chip","","Fig. 4(f)","","eligible_quantitative","conditionally_admissible","yes_with_conditions","source_supported_scope_conditioned","not_documented","e0ea51c332483f0e7150b25ecfae9a1b1c19232a74b1f484d1277fd8a46da55c","conditionally_admissible","yes_with_conditions","not_documented","FULL-HR-01","2026-09-01","Millimeter-Wave Integrated Sensing and Communication System Based on a Photonics-Assisted Phased Array","10.1002/lpor.202502350","only_report_in_phase_g_source_set","E20C735D16C6D25519FB3FE684B889EA6026F1FDA7DA62D12ED2562A7558075A","yes","match","6","2.2 Implementation of ISAC Based on the Phased-Array Chip","NR","Fig. 4(f)","NR","match","Communication data rate","NR","eq","20","NR","NR","NR","NR","Gbps","system","NR","source_reported_communication_function","NR","NR","5-GBaud integrated 21-26-GHz OFDM-FMCW signal.","NR","COND-SCR00036-20GBPS-16QAM","NR","laboratory_experiment","reported","CG-SCR00036-DATA-RATE","analysis_pending","Source verification complete; comparison grouping is intentionally separated and recorded in the G6 analysis files.","analysis_pending","verified_as_reported","Independent analog source-PDF review completed. Source identity, locator, value, unit, condition, and comparator role were approved. Main-text use remains a separate author decision.","COMPLETE_LOCKED","ANONYMOUS_HUMAN_ATTESTATION_FULL-HR-01_2026-09-01"
"MET-SCR00036-G2-006","STC-SINGLETON-SCR-00036","SCR-00036","COND-SCR00036-20GBPS-16QAM","","communication","BER","Best BER","system","laboratory_experiment","scalar","eq","0.000076","","","","","BER","reported","reported","20-Gbps 16-QAM; varying optical input power to the chip.","7% HD-FEC threshold.","CG-SCR00036-BER","conditionally_comparable","conditionally_admissible","6","2.2 Implementation of ISAC Based on the Phased-Array Chip","","Fig. 4(f)","","eligible_quantitative","conditionally_admissible","yes_with_conditions","source_supported_scope_conditioned","not_documented","e0ea51c332483f0e7150b25ecfae9a1b1c19232a74b1f484d1277fd8a46da55c","conditionally_admissible","yes_with_conditions","not_documented","FULL-HR-01","2026-09-01","Millimeter-Wave Integrated Sensing and Communication System Based on a Photonics-Assisted Phased Array","10.1002/lpor.202502350","only_report_in_phase_g_source_set","E20C735D16C6D25519FB3FE684B889EA6026F1FDA7DA62D12ED2562A7558075A","yes","match","6","2.2 Implementation of ISAC Based on the Phased-Array Chip","NR","Fig. 4(f)","NR","match","Best BER","NR","eq","0.000076","NR","NR","NR","NR","BER","system","NR","source_reported_communication_function","NR","NR","20-Gbps 16-QAM; varying optical input power to the chip.","NR","COND-SCR00036-20GBPS-16QAM","7% HD-FEC threshold.","laboratory_experiment","reported","CG-SCR00036-BER","analysis_pending","Source verification complete; comparison grouping is intentionally separated and recorded in the G6 analysis files.","analysis_pending","verified_as_reported","Independent analog source-PDF review completed. Source identity, locator, value, unit, condition, and comparator role were approved. Main-text use remains a separate author decision.","COMPLETE_LOCKED","ANONYMOUS_HUMAN_ATTESTATION_FULL-HR-01_2026-09-01"
"MET-SCR00036-G2-007","STC-SINGLETON-SCR-00036","SCR-00036","COND-SCR00036-BEAM-STEERING","","joint","other","Beam-steering switching time","device_component","laboratory_experiment","scalar","eq","23","","","","","us","reported","reported","Thermo-optic switch/time-delay network.","","CG-SCR00036-STEERING-SPEED","conditionally_comparable","conditionally_admissible","4;6","2.1 Design and Characterization; 3 Conclusion","Table 1","Fig. 3","","eligible_quantitative","conditionally_admissible","yes_with_conditions","source_supported_scope_conditioned","not_documented","e0ea51c332483f0e7150b25ecfae9a1b1c19232a74b1f484d1277fd8a46da55c","conditionally_admissible","yes_with_conditions","not_documented","FULL-HR-01","2026-09-01","Millimeter-Wave Integrated Sensing and Communication System Based on a Photonics-Assisted Phased Array","10.1002/lpor.202502350","only_report_in_phase_g_source_set","E20C735D16C6D25519FB3FE684B889EA6026F1FDA7DA62D12ED2562A7558075A","yes","match","4;6","2.1 Design and Characterization; 3 Conclusion","Table 1","Fig. 3","NR","match","Beam-steering switching time","NR","eq","23","NR","NR","NR","NR","us","device_component","NR","source_reported_communication_function","source_reported_sensing_function","NR","Thermo-optic switch/time-delay network.","NR","COND-SCR00036-BEAM-STEERING","NR","laboratory_experiment","reported","CG-SCR00036-STEERING-SPEED","analysis_pending","Source verification complete; comparison grouping is intentionally separated and recorded in the G6 analysis files.","analysis_pending","verified_as_reported","Independent analog source-PDF review completed. Source identity, locator, value, unit, condition, and comparator role were approved. Main-text use remains a separate author decision.","COMPLETE_LOCKED","ANONYMOUS_HUMAN_ATTESTATION_FULL-HR-01_2026-09-01"
"MET-SCR00038-G2-001","STC-SINGLETON-SCR-00038","SCR-00038","COND-SCR00038-COMM-2KM","","communication","other","64QAM symbol rate","device_component","laboratory_experiment","scalar","eq","10","","","","","GBaud","reported","reported","2-km coherent link; sensing probes embedded in the standard symbol stream.","","CG-SCR00038-COMM","conditionally_comparable","conditionally_admissible","2","Experimental Setup","","Fig. 2","","eligible_quantitative","conditionally_admissible","yes_with_conditions","source_supported_scope_conditioned","not_documented","e0ea51c332483f0e7150b25ecfae9a1b1c19232a74b1f484d1277fd8a46da55c","conditionally_admissible","yes_with_conditions","not_documented","FULL-HR-01","2026-09-01","Native and Reconfigurable Distributed Acoustic Sensing Integrated with Single-carrier 64QAM Transmission Signal","10.1364/ofc.2025.th2a.29","only_report_in_phase_g_source_set","CBD9BCA53301017984EDCA6E3F2E13FFE24E4A9DEAAE030CD7000B2ECE4CC7E1","yes","match","2","Experimental Setup","NR","Fig. 2","NR","match","64QAM symbol rate","NR","eq","10","NR","NR","NR","NR","GBaud","device_component","NR","source_reported_communication_function","NR","NR","2-km coherent link; sensing probes embedded in the standard symbol stream.","NR","COND-SCR00038-COMM-2KM","NR","laboratory_experiment","reported","CG-SCR00038-COMM","analysis_pending","Source verification complete; comparison grouping is intentionally separated and recorded in the G6 analysis files.","analysis_pending","verified_as_reported","Independent analog source-PDF review completed. Source identity, locator, value, unit, condition, and comparator role were approved. Main-text use remains a separate author decision.","COMPLETE_LOCKED","ANONYMOUS_HUMAN_ATTESTATION_FULL-HR-01_2026-09-01"
"MET-SCR00038-G2-002","STC-SINGLETON-SCR-00038","SCR-00038","COND-SCR00038-COMM-2KM","","communication","other","Required received optical power at SD-FEC threshold","system","laboratory_experiment","scalar","eq","-27","","","","","dBm","reported","reported","10-GBaud 64QAM after 2-km transmission.","Back-to-back curve is reported as almost unchanged.","CG-SCR00038-COMM","conditionally_comparable","conditionally_admissible","2","Experimental Results","","Fig. 3(a)","","eligible_quantitative","conditionally_admissible","yes_with_conditions","source_supported_scope_conditioned","not_documented","e0ea51c332483f0e7150b25ecfae9a1b1c19232a74b1f484d1277fd8a46da55c","conditionally_admissible","yes_with_conditions","not_documented","FULL-HR-01","2026-09-01","Native and Reconfigurable Distributed Acoustic Sensing Integrated with Single-carrier 64QAM Transmission Signal","10.1364/ofc.2025.th2a.29","only_report_in_phase_g_source_set","CBD9BCA53301017984EDCA6E3F2E13FFE24E4A9DEAAE030CD7000B2ECE4CC7E1","yes","match","2","Experimental Results","NR","Fig. 3(a)","NR","match","Required received optical power at SD-FEC threshold","NR","eq","-27","NR","NR","NR","NR","dBm","system","NR","source_reported_communication_function","NR","NR","10-GBaud 64QAM after 2-km transmission.","NR","COND-SCR00038-COMM-2KM","Back-to-back curve is reported as almost unchanged.","laboratory_experiment","reported","CG-SCR00038-COMM","analysis_pending","Source verification complete; comparison grouping is intentionally separated and recorded in the G6 analysis files.","analysis_pending","verified_as_reported","Independent analog source-PDF review completed. Source identity, locator, value, unit, condition, and comparator role were approved. Main-text use remains a separate author decision.","COMPLETE_LOCKED","ANONYMOUS_HUMAN_ATTESTATION_FULL-HR-01_2026-09-01"
"MET-SCR00038-G2-003","STC-SINGLETON-SCR-00038","SCR-00038","COND-SCR00038-COMM-2KM","","communication","link_budget","Power budget","link","laboratory_experiment","scalar","eq","31","","","","","dB","reported","reported","2-km link at the reported SD-FEC threshold.","","CG-SCR00038-COMM","conditionally_comparable","conditionally_admissible","2","Experimental Results","","Fig. 3(a)","","eligible_quantitative","conditionally_admissible","yes_with_conditions","source_supported_scope_conditioned","not_documented","e0ea51c332483f0e7150b25ecfae9a1b1c19232a74b1f484d1277fd8a46da55c","conditionally_admissible","yes_with_conditions","not_documented","FULL-HR-01","2026-09-01","Native and Reconfigurable Distributed Acoustic Sensing Integrated with Single-carrier 64QAM Transmission Signal","10.1364/ofc.2025.th2a.29","only_report_in_phase_g_source_set","CBD9BCA53301017984EDCA6E3F2E13FFE24E4A9DEAAE030CD7000B2ECE4CC7E1","yes","match","2","Experimental Results","NR","Fig. 3(a)","NR","match","Power budget","NR","eq","31","NR","NR","NR","NR","dB","link","NR","source_reported_communication_function","NR","NR","2-km link at the reported SD-FEC threshold.","NR","COND-SCR00038-COMM-2KM","NR","laboratory_experiment","reported","CG-SCR00038-COMM","analysis_pending","Source verification complete; comparison grouping is intentionally separated and recorded in the G6 analysis files.","analysis_pending","verified_as_reported","Independent analog source-PDF review completed. Source identity, locator, value, unit, condition, and comparator role were approved. Main-text use remains a separate author decision.","COMPLETE_LOCKED","ANONYMOUS_HUMAN_ATTESTATION_FULL-HR-01_2026-09-01"
"MET-SCR00038-G2-004","STC-SINGLETON-SCR-00038","SCR-00038","COND-SCR00038-K1","","sensing","resolution","Spatial resolution at probe interval k=1","system","laboratory_experiment","scalar","eq","1.6","","","","","m","reported","reported","1-kHz PZT vibration; native 64QAM probe interval k=1.","","CG-SCR00038-PROBE-INTERVAL","directly_comparable","conditionally_admissible","3","Experimental Results; Conclusion","","Fig. 3(b)-(f)","","eligible_quantitative","conditionally_admissible","yes_with_conditions","source_supported_scope_conditioned","not_documented","e0ea51c332483f0e7150b25ecfae9a1b1c19232a74b1f484d1277fd8a46da55c","conditionally_admissible","yes_with_conditions","not_documented","FULL-HR-01","2026-09-01","Native and Reconfigurable Distributed Acoustic Sensing Integrated with Single-carrier 64QAM Transmission Signal","10.1364/ofc.2025.th2a.29","only_report_in_phase_g_source_set","CBD9BCA53301017984EDCA6E3F2E13FFE24E4A9DEAAE030CD7000B2ECE4CC7E1","yes","match","3","Experimental Results; Conclusion","NR","Fig. 3(b)-(f)","NR","match","Spatial resolution at probe interval k=1","NR","eq","1.6","NR","NR","NR","NR","m","system","NR","NR","source_reported_sensing_function","NR","1-kHz PZT vibration; native 64QAM probe interval k=1.","NR","COND-SCR00038-K1","NR","laboratory_experiment","reported","CG-SCR00038-PROBE-INTERVAL","analysis_pending","Source verification complete; comparison grouping is intentionally separated and recorded in the G6 analysis files.","analysis_pending","verified_as_reported","Independent analog source-PDF review completed. Source identity, locator, value, unit, condition, and comparator role were approved. Main-text use remains a separate author decision.","COMPLETE_LOCKED","ANONYMOUS_HUMAN_ATTESTATION_FULL-HR-01_2026-09-01"
"MET-SCR00038-G2-005","STC-SINGLETON-SCR-00038","SCR-00038","COND-SCR00038-K2","","sensing","resolution","Spatial resolution at probe interval k=2","system","laboratory_experiment","scalar","eq","3.2","","","","","m","reported","reported","1-kHz PZT vibration; probe interval k=2.","","CG-SCR00038-PROBE-INTERVAL","directly_comparable","conditionally_admissible","3","Experimental Results; Conclusion","","Fig. 3(b)-(f)","","eligible_quantitative","conditionally_admissible","yes_with_conditions","source_supported_scope_conditioned","not_documented","e0ea51c332483f0e7150b25ecfae9a1b1c19232a74b1f484d1277fd8a46da55c","conditionally_admissible","yes_with_conditions","not_documented","FULL-HR-01","2026-09-01","Native and Reconfigurable Distributed Acoustic Sensing Integrated with Single-carrier 64QAM Transmission Signal","10.1364/ofc.2025.th2a.29","only_report_in_phase_g_source_set","CBD9BCA53301017984EDCA6E3F2E13FFE24E4A9DEAAE030CD7000B2ECE4CC7E1","yes","match","3","Experimental Results; Conclusion","NR","Fig. 3(b)-(f)","NR","match","Spatial resolution at probe interval k=2","NR","eq","3.2","NR","NR","NR","NR","m","system","NR","NR","source_reported_sensing_function","NR","1-kHz PZT vibration; probe interval k=2.","NR","COND-SCR00038-K2","NR","laboratory_experiment","reported","CG-SCR00038-PROBE-INTERVAL","analysis_pending","Source verification complete; comparison grouping is intentionally separated and recorded in the G6 analysis files.","analysis_pending","verified_as_reported","Independent analog source-PDF review completed. Source identity, locator, value, unit, condition, and comparator role were approved. Main-text use remains a separate author decision.","COMPLETE_LOCKED","ANONYMOUS_HUMAN_ATTESTATION_FULL-HR-01_2026-09-01"
"MET-SCR00038-G2-006","STC-SINGLETON-SCR-00038","SCR-00038","COND-SCR00038-K4","","sensing","resolution","Spatial resolution at probe interval k=4","system","laboratory_experiment","scalar","eq","6.4","","","","","m","reported","reported","1-kHz PZT vibration; probe interval k=4.","","CG-SCR00038-PROBE-INTERVAL","directly_comparable","conditionally_admissible","3","Experimental Results; Conclusion","","Fig. 3(b)-(f)","","eligible_quantitative","conditionally_admissible","yes_with_conditions","source_supported_scope_conditioned","not_documented","e0ea51c332483f0e7150b25ecfae9a1b1c19232a74b1f484d1277fd8a46da55c","conditionally_admissible","yes_with_conditions","not_documented","FULL-HR-01","2026-09-01","Native and Reconfigurable Distributed Acoustic Sensing Integrated with Single-carrier 64QAM Transmission Signal","10.1364/ofc.2025.th2a.29","only_report_in_phase_g_source_set","CBD9BCA53301017984EDCA6E3F2E13FFE24E4A9DEAAE030CD7000B2ECE4CC7E1","yes","match","3","Experimental Results; Conclusion","NR","Fig. 3(b)-(f)","NR","match","Spatial resolution at probe interval k=4","NR","eq","6.4","NR","NR","NR","NR","m","system","NR","NR","source_reported_sensing_function","NR","1-kHz PZT vibration; probe interval k=4.","NR","COND-SCR00038-K4","NR","laboratory_experiment","reported","CG-SCR00038-PROBE-INTERVAL","analysis_pending","Source verification complete; comparison grouping is intentionally separated and recorded in the G6 analysis files.","analysis_pending","verified_as_reported","Independent analog source-PDF review completed. Source identity, locator, value, unit, condition, and comparator role were approved. Main-text use remains a separate author decision.","COMPLETE_LOCKED","ANONYMOUS_HUMAN_ATTESTATION_FULL-HR-01_2026-09-01"
"MET-SCR00038-G2-007","STC-SINGLETON-SCR-00038","SCR-00038","COND-SCR00038-K5","","sensing","resolution","Spatial resolution at probe interval k=5","system","laboratory_experiment","scalar","eq","8","","","","","m","reported","reported","1-kHz PZT vibration; probe interval k=5.","","CG-SCR00038-PROBE-INTERVAL","directly_comparable","conditionally_admissible","3","Experimental Results; Conclusion","","Fig. 3(b)-(f)","","eligible_quantitative","conditionally_admissible","yes_with_conditions","source_supported_scope_conditioned","not_documented","e0ea51c332483f0e7150b25ecfae9a1b1c19232a74b1f484d1277fd8a46da55c","conditionally_admissible","yes_with_conditions","not_documented","FULL-HR-01","2026-09-01","Native and Reconfigurable Distributed Acoustic Sensing Integrated with Single-carrier 64QAM Transmission Signal","10.1364/ofc.2025.th2a.29","only_report_in_phase_g_source_set","CBD9BCA53301017984EDCA6E3F2E13FFE24E4A9DEAAE030CD7000B2ECE4CC7E1","yes","match","3","Experimental Results; Conclusion","NR","Fig. 3(b)-(f)","NR","match","Spatial resolution at probe interval k=5","NR","eq","8","NR","NR","NR","NR","m","system","NR","NR","source_reported_sensing_function","NR","1-kHz PZT vibration; probe interval k=5.","NR","COND-SCR00038-K5","NR","laboratory_experiment","reported","CG-SCR00038-PROBE-INTERVAL","analysis_pending","Source verification complete; comparison grouping is intentionally separated and recorded in the G6 analysis files.","analysis_pending","verified_as_reported","Independent analog source-PDF review completed. Source identity, locator, value, unit, condition, and comparator role were approved. Main-text use remains a separate author decision.","COMPLETE_LOCKED","ANONYMOUS_HUMAN_ATTESTATION_FULL-HR-01_2026-09-01"
"MET-SCR00038-G2-008","STC-SINGLETON-SCR-00038","SCR-00038","COND-SCR00038-K1","","sensing","other","Phase noise floor at k=1","system","laboratory_experiment","scalar","approx","-64.5","","","","","dB rad^2/Hz","reported","reported","PSD of recovered 1-kHz vibration.","","CG-SCR00038-PROBE-INTERVAL","directly_comparable","conditionally_admissible","3","Experimental Results; Conclusion","","Fig. 3","","eligible_quantitative","conditionally_admissible","yes_with_conditions","source_supported_scope_conditioned","not_documented","e0ea51c332483f0e7150b25ecfae9a1b1c19232a74b1f484d1277fd8a46da55c","conditionally_admissible","yes_with_conditions","not_documented","FULL-HR-01","2026-09-01","Native and Reconfigurable Distributed Acoustic Sensing Integrated with Single-carrier 64QAM Transmission Signal","10.1364/ofc.2025.th2a.29","only_report_in_phase_g_source_set","CBD9BCA53301017984EDCA6E3F2E13FFE24E4A9DEAAE030CD7000B2ECE4CC7E1","yes","match","3","Experimental Results; Conclusion","NR","Fig. 3","NR","match","Phase noise floor at k=1","NR","approx","-64.5","NR","NR","NR","NR","dB rad^2/Hz","system","NR","NR","source_reported_sensing_function","NR","PSD of recovered 1-kHz vibration.","NR","COND-SCR00038-K1","NR","laboratory_experiment","reported","CG-SCR00038-PROBE-INTERVAL","analysis_pending","Source verification complete; comparison grouping is intentionally separated and recorded in the G6 analysis files.","analysis_pending","verified_as_reported","Independent analog source-PDF review completed. Source identity, locator, value, unit, condition, and comparator role were approved. Main-text use remains a separate author decision.","COMPLETE_LOCKED","ANONYMOUS_HUMAN_ATTESTATION_FULL-HR-01_2026-09-01"
"MET-SCR00038-G2-009","STC-SINGLETON-SCR-00038","SCR-00038","COND-SCR00038-K2","","sensing","other","Phase noise floor at k=2","system","laboratory_experiment","scalar","approx","-59","","","","","dB rad^2/Hz","reported","reported","PSD of recovered 1-kHz vibration.","","CG-SCR00038-PROBE-INTERVAL","directly_comparable","conditionally_admissible","3","Experimental Results; Conclusion","","Fig. 3","","eligible_quantitative","conditionally_admissible","yes_with_conditions","source_supported_scope_conditioned","not_documented","e0ea51c332483f0e7150b25ecfae9a1b1c19232a74b1f484d1277fd8a46da55c","conditionally_admissible","yes_with_conditions","not_documented","FULL-HR-01","2026-09-01","Native and Reconfigurable Distributed Acoustic Sensing Integrated with Single-carrier 64QAM Transmission Signal","10.1364/ofc.2025.th2a.29","only_report_in_phase_g_source_set","CBD9BCA53301017984EDCA6E3F2E13FFE24E4A9DEAAE030CD7000B2ECE4CC7E1","yes","match","3","Experimental Results; Conclusion","NR","Fig. 3","NR","match","Phase noise floor at k=2","NR","approx","-59","NR","NR","NR","NR","dB rad^2/Hz","system","NR","NR","source_reported_sensing_function","NR","PSD of recovered 1-kHz vibration.","NR","COND-SCR00038-K2","NR","laboratory_experiment","reported","CG-SCR00038-PROBE-INTERVAL","analysis_pending","Source verification complete; comparison grouping is intentionally separated and recorded in the G6 analysis files.","analysis_pending","verified_as_reported","Independent analog source-PDF review completed. Source identity, locator, value, unit, condition, and comparator role were approved. Main-text use remains a separate author decision.","COMPLETE_LOCKED","ANONYMOUS_HUMAN_ATTESTATION_FULL-HR-01_2026-09-01"
"MET-SCR00038-G2-010","STC-SINGLETON-SCR-00038","SCR-00038","COND-SCR00038-K4","","sensing","other","Phase noise floor at k=4","system","laboratory_experiment","scalar","approx","-53.3","","","","","dB rad^2/Hz","reported","reported","PSD of recovered 1-kHz vibration.","","CG-SCR00038-PROBE-INTERVAL","directly_comparable","conditionally_admissible","3","Experimental Results; Conclusion","","Fig. 3","","eligible_quantitative","conditionally_admissible","yes_with_conditions","source_supported_scope_conditioned","not_documented","e0ea51c332483f0e7150b25ecfae9a1b1c19232a74b1f484d1277fd8a46da55c","conditionally_admissible","yes_with_conditions","not_documented","FULL-HR-01","2026-09-01","Native and Reconfigurable Distributed Acoustic Sensing Integrated with Single-carrier 64QAM Transmission Signal","10.1364/ofc.2025.th2a.29","only_report_in_phase_g_source_set","CBD9BCA53301017984EDCA6E3F2E13FFE24E4A9DEAAE030CD7000B2ECE4CC7E1","yes","match","3","Experimental Results; Conclusion","NR","Fig. 3","NR","match","Phase noise floor at k=4","NR","approx","-53.3","NR","NR","NR","NR","dB rad^2/Hz","system","NR","NR","source_reported_sensing_function","NR","PSD of recovered 1-kHz vibration.","NR","COND-SCR00038-K4","NR","laboratory_experiment","reported","CG-SCR00038-PROBE-INTERVAL","analysis_pending","Source verification complete; comparison grouping is intentionally separated and recorded in the G6 analysis files.","analysis_pending","verified_as_reported","Independent analog source-PDF review completed. Source identity, locator, value, unit, condition, and comparator role were approved. Main-text use remains a separate author decision.","COMPLETE_LOCKED","ANONYMOUS_HUMAN_ATTESTATION_FULL-HR-01_2026-09-01"
"MET-SCR00038-G2-011","STC-SINGLETON-SCR-00038","SCR-00038","COND-SCR00038-K5","","sensing","other","Phase noise floor at k=5","system","laboratory_experiment","scalar","approx","-48.9","","","","","dB rad^2/Hz","reported","reported","PSD of recovered 1-kHz vibration.","","CG-SCR00038-PROBE-INTERVAL","directly_comparable","conditionally_admissible","3","Experimental Results; Conclusion","","Fig. 3","","eligible_quantitative","conditionally_admissible","yes_with_conditions","source_supported_scope_conditioned","not_documented","e0ea51c332483f0e7150b25ecfae9a1b1c19232a74b1f484d1277fd8a46da55c","conditionally_admissible","yes_with_conditions","not_documented","FULL-HR-01","2026-09-01","Native and Reconfigurable Distributed Acoustic Sensing Integrated with Single-carrier 64QAM Transmission Signal","10.1364/ofc.2025.th2a.29","only_report_in_phase_g_source_set","CBD9BCA53301017984EDCA6E3F2E13FFE24E4A9DEAAE030CD7000B2ECE4CC7E1","yes","match","3","Experimental Results; Conclusion","NR","Fig. 3","NR","match","Phase noise floor at k=5","NR","approx","-48.9","NR","NR","NR","NR","dB rad^2/Hz","system","NR","NR","source_reported_sensing_function","NR","PSD of recovered 1-kHz vibration.","NR","COND-SCR00038-K5","NR","laboratory_experiment","reported","CG-SCR00038-PROBE-INTERVAL","analysis_pending","Source verification complete; comparison grouping is intentionally separated and recorded in the G6 analysis files.","analysis_pending","verified_as_reported","Independent analog source-PDF review completed. Source identity, locator, value, unit, condition, and comparator role were approved. Main-text use remains a separate author decision.","COMPLETE_LOCKED","ANONYMOUS_HUMAN_ATTESTATION_FULL-HR-01_2026-09-01"
"MET-SCR00052-G2-007","STC-SINGLETON-SCR-00052","SCR-00052","COND-SCR00052-QPSK-UNSHAPED","","communication","BER","High-OSNR BER floor","system","laboratory_experiment","scalar","eq","5.2e-8","","","","","BER","reported","reported","QPSK with conventional CC-OTDR on.","","CG-SCR00052-QPSK-BER","conditionally_comparable","conditionally_admissible","2","III Experimental Results","","Fig. 2","","eligible_quantitative","conditionally_admissible","yes_with_conditions","source_supported_scope_conditioned","not_documented","e0ea51c332483f0e7150b25ecfae9a1b1c19232a74b1f484d1277fd8a46da55c","conditionally_admissible","yes_with_conditions","not_documented","FULL-HR-01","2026-09-01","Cc-Otdr Sequence Shaping Enabling Joint Co-Directional Sensing and Communication","10.1109/ipc65510.2025.11282039","only_report_in_phase_g_source_set","9BDD344FD31AAA03D823BC7569E5BAF6997565F49994FB4609E3B61EC2129E69","yes","match","2","III Experimental Results","NR","Fig. 2","NR","match","High-OSNR BER floor","NR","eq","5.2e-8","NR","NR","NR","NR","BER","system","NR","source_reported_communication_function","NR","NR","QPSK with conventional CC-OTDR on.","NR","COND-SCR00052-QPSK-UNSHAPED","NR","laboratory_experiment","reported","CG-SCR00052-QPSK-BER","analysis_pending","Source verification complete; comparison grouping is intentionally separated and recorded in the G6 analysis files.","analysis_pending","verified_as_reported","Independent analog source-PDF review completed. Source identity, locator, value, unit, condition, and comparator role were approved. Main-text use remains a separate author decision.","COMPLETE_LOCKED","ANONYMOUS_HUMAN_ATTESTATION_FULL-HR-01_2026-09-01"
"MET-SCR00052-G2-008","STC-SINGLETON-SCR-00052","SCR-00052","COND-SCR00052-SENSING-SHAPED","TRD-SCR00052-G2-001","sensing","other","Recovered phase variation amplitude","system","laboratory_experiment","scalar","eq","3.9","","","","","rad peak-to-peak","reported","reported","115-Hz, 125-mV peak-to-peak PZT drive; shaped probe; co-propagating 16-QAM.","","CG-SCR00052-SENSING","conditionally_comparable","conditionally_admissible","2","III Experimental Results","","Fig. 3","","eligible_quantitative","conditionally_admissible","yes_with_conditions","source_supported_scope_conditioned","not_documented","e0ea51c332483f0e7150b25ecfae9a1b1c19232a74b1f484d1277fd8a46da55c","conditionally_admissible","yes_with_conditions","not_documented","FULL-HR-01","2026-09-01","Cc-Otdr Sequence Shaping Enabling Joint Co-Directional Sensing and Communication","10.1109/ipc65510.2025.11282039","only_report_in_phase_g_source_set","9BDD344FD31AAA03D823BC7569E5BAF6997565F49994FB4609E3B61EC2129E69","yes","match","2","III Experimental Results","NR","Fig. 3","NR","match","Recovered phase variation amplitude","NR","eq","3.9","NR","NR","NR","NR","rad peak-to-peak","system","NR","NR","source_reported_sensing_function","NR","115-Hz, 125-mV peak-to-peak PZT drive; shaped probe; co-propagating 16-QAM.","NR","COND-SCR00052-SENSING-SHAPED","NR","laboratory_experiment","reported","CG-SCR00052-SENSING","analysis_pending","Source verification complete; comparison grouping is intentionally separated and recorded in the G6 analysis files.","analysis_pending","verified_as_reported","Independent analog source-PDF review completed. Source identity, locator, value, unit, condition, and comparator role were approved. Main-text use remains a separate author decision.","COMPLETE_LOCKED","ANONYMOUS_HUMAN_ATTESTATION_FULL-HR-01_2026-09-01"
