Paper_ID,Title,Scenario,Bitrate_Gbps,Resolution_m,Distance_m,Wavelength_nm
O_ISAC_062,6-DoF Location-and-Pose Estimation Toward Integrated Visible Light Communication and Sensing: Algorithm Design and Performance Limits,wireless_vlc,NR,NR,NR,NR
O_ISAC_063,Simple and Precise Characterization of Full-Field Frequency Response for Coherent TOSA,cabled_fibre,NR,NR,NR,NR
O_ISAC_064,Integrated Sensing and Communications for Metropolitan Environments,cabled_fibre,NR,NR,NR,NR
O_ISAC_065,THz-Over-Fiber System With Orthogonal Chirp Division Multiplexing for Integrated Sensing and Communication,hybrid,NR,NR,NR,NR
O_ISAC_066,Pre-Distortion of Soliton Collision in Dual-Polarization Interaction-Tolerant Soliton Transmission,hybrid,NR,NR,NR,NR
O_ISAC_067,Measurement-based Validation of Ray-tracing Model at sub-THz for ISAC Applications of Blockage in Industrial Scenario,wireless_fso,NR,NR,NR,NR
O_ISAC_068,Joint Communication and Sensing Prospects: Potential Through Visible Light,hybrid,NR,NR,NR,NR
O_ISAC_069,Advanced Signal Processing in Distributed Acoustic Sensors Based on Submarine Cables for Seismology Applications,hybrid,NR,NR,NR,NR
O_ISAC_070,Exploring Photonic THz-ISAC Systems with Integrated Waveforms,hybrid,NR,NR,NR,NR
O_ISAC_071,Full-Duplex RO-ISAC System: Wavelength Division Duplexing and Hybrid Waveform Design,hybrid,0.125,0.01,1,450
O_ISAC_072,Integrated Vibration Sensing in DSCM Systems Under ECLs Based on ANN and Digital Twin,cabled_fibre,32,NR,NR,1550
O_ISAC_073,Clock and Carrier Synchronization Using Optical Frequency Combs in Radio Access Networks,hybrid,NR,NR,NR,NR
O_ISAC_074,Endogenous ISAC Enabled Interference Fading Free Sensing via Telecom Training Sequence,cabled_fibre,50,1,10400.0,1550.12
O_ISAC_075,Flexible Waveform Design for RO-ISAC Based on OFDM-Embedded Maximum Length Sequence,retroreflective_optical,0.0625,0.06,1,450
O_ISAC_076,Integrated Communication and Enhanced Forward Phase-Based Sensing Based on Frequency-Domain Pilot Tones in DSCM Systems Using 100 kHz ECLs,cabled_fibre,NR,NR,NR,NR
O_ISAC_077,THz-over-fiber system with orthogonal chirp division multiplexing for integrated sensing and communication,hybrid,32,0.01875,3.14,1552
O_ISAC_078,O-Band DML Enabled 4×100G Short-Reach Photonic Interconnections With Weighted Decision Aided Recurrent Neural Network,cabled_fibre,NR,NR,NR,NR
O_ISAC_079,LFM Carrier Enabled Integrated Sensing and Communication in Self-homodyne Coherent Detection Transmission System,cabled_fibre,NR,NR,NR,NR
O_ISAC_080,Integrated Communication and In-band Spectrum Polarization-Based Sensing via Fraction-Division Non-Orthogonal Multiple Access,cabled_fibre,NR,NR,NR,NR
O_ISAC_081,Traveling Wave Antenna-on-Display featuring Simultaneous 2-D Phase and Frequency Beam Scanning for Integrated Sensing and Communication,hybrid,10,1,10,10
O_ISAC_082,Signal-Signal Beating Interference: From Destructive to Constructive for Photonic THz Integrated Sensing and Communication System Using Self-Coherent OFDM,hybrid,NR,NR,NR,NR
O_ISAC_083,Towards Efficient Confluent Edge Networks,hybrid,NR,NR,NR,NR
O_ISAC_084,LumiPane: Intelligent Interaction through Gesture Sensing and Ambient Light Communication,wireless_vlc,6e-05,0.1,1,650
O_ISAC_085,Flexible Vibration Sensing Using Kalman Smoother Integrated in ECL-Based Communication Systems,cabled_fibre,NR,NR,NR,NR
O_ISAC_086,Photonics-assisted Millimeter-Wave Multiband Integrated Sensing and Communication System Using Coherent Receiving,hybrid,NR,NR,NR,NR
O_ISAC_088,Optical Transport Networks Supporting Integrated Communications and Sensing in 6G,hybrid,NR,NR,NR,NR
O_ISAC_089,"Free Space Optical Communication for Inter-Satellite Link: Architecture, Potentials and Trends",cabled_fibre,10,10,1000,1550
O_ISAC_090,Demonstration of High Sensitivity Detection and High Precision Localization of Vibrations in Bidirectional Coherent Transmission Systems Enabled by Carrier Laser Phase Noise Retrieval,cabled_fibre,NR,NR,NR,NR
O_ISAC_091,Optimal Beamforming for Optical Wireless Integrated Sensing and Communication Based on Optical Phased Array,wireless_fso,NR,NR,NR,NR
O_ISAC_092,PAM Waveform Design for Joint Communication and Sensing Based on Visible Light,visible_light,NR,NR,NR,NR
O_ISAC_093,Multi-Modal Integrated Sensing and Communication in Internet of Things With Large Language Models,hybrid,NR,NR,NR,NR
O_ISAC_094,Perception-Enhanced Multitask Multimodal Semantic Communication for UAV-Assisted Integrated Sensing and Communication System,hybrid,NR,NR,NR,NR
O_ISAC_095,A Spectrum-Efficient MoF Architecture for Joint Sensing and Communication in B5G,hybrid,NR,NR,NR,NR
O_ISAC_096,Nanoantennas and Nanoradars: The Future of Integrated Sensing and Communication at the Nanoscale,hybrid,NR,NR,NR,NR
O_ISAC_097,Microwave Photonic Integrated Sensing and Communication Based on Polarization Multiplexing and Frequency-to-Time Mapping,hybrid,NR,NR,NR,NR
O_ISAC_098,Optical Integrated Sensing and Communication System Based on Combination of OIRS and PD Array for Mobile Scenarios,wireless_fso,NR,NR,NR,NR
O_ISAC_099,Bidirectional Retroreflective Optical ISAC Using Time Division Duplexing and Clipped OFDM,retroreflective,1,0.1,1,650
O_ISAC_100,Optical Wireless Integrated Sensing and Communication Based on EADO-OFDM: A Flexible Resource Allocation Perspective,hybrid,NR,NR,NR,NR
O_ISAC_101,Intent and Context-Aware Optical Networks,cabled_fibre,NR,NR,NR,NR
O_ISAC_102,Machine Learning-Enhanced Multi-Pump RFA for High-Performance Optical Backbone in Low-Altitude Sensing and Communication,cabled_fibre,NR,NR,NR,NR
O_ISAC_103,Simultaneous Transmission and Sensing Emulation Using Interconnected Counter-Propagating Recirculating Loops,cabled_fibre,NR,NR,NR,NR
O_ISAC_104,Joint communication and sensing in access networks for anthropic activities monitoring and real-time safety surveillance,cabled_fibre,NR,NR,NR,NR
O_ISAC_105,Multi-Channel Photonic THz-ISAC System Based on Integrated LFM-QAM Waveform,hybrid,NR,NR,NR,NR
O_ISAC_106,Retroreflective Optical ISAC Using OFDM and Corner Cube Reflector,wireless_retroreflective,10,0.1,10,1550
O_ISAC_107,Experimental Demonstration of Integrated Optical Wireless Sensing and Communication,hybrid,NR,NR,NR,NR
O_ISAC_108,Optical Integrated Sensing and Communication with Light-Emitting Diode,wireless_vlc,1,0.1,10,650
O_ISAC_109,LiDAR aided Simulation Pipeline for Wireless Communication in Vehicular Traffic Scenarios,hybrid,NR,NR,NR,NR
O_ISAC_110,Joint Optical Wireless Communication and Sensing using Neuromorphic Cameras,wireless_vlc,0.01,0.1,1.3,650
O_ISAC_111,A Sub-THz ISAC System with Simultaneous Real-Time 125.516-Gbps Communication Rate and Offline 10-mm Sensing Resolution Enabled by Photonics,hybrid,125.516,0.01,0.82,1550
O_ISAC_112,Optical IRS-Aided Indoor Visible Light Fingerprint Localization,hybrid,NR,NR,NR,NR
O_ISAC_113,Advanced Integration of Sensing and Communication With High DSP Compatibility for SMART Network,cabled_fibre,160,0,100000.0,1550
O_ISAC_114,"Revolutionizing 6G: Experimental Validation of an Optical Integrated Communication, Sensing, and Power Transfer System",hybrid,NR,NR,NR,NR
O_ISAC_115,Integrated Sensing and Communication in 6G: The Deterministic Channel Models for THz Imaging,wireless_fso,0,0.01,0.9,2.14
O_ISAC_116,Enhanced Room Coverage With Photon-Level NLOS Ultraviolet Optical Wireless Communication,wireless_uv,0.002,0.1,2.2,265
O_ISAC_117,Integrated Design of OFDM-LFM Lidar Communication in IoV Environment,hybrid,NR,NR,NR,NR
O_ISAC_118,On the Feasibility of Cyclist Detection Using MIMO-Radar for Long-Range ISAC Scenarios,wireless,1,1,200,1.55
O_ISAC_119,Integration of Sensing and Communication in a W-Band Fiber-Wireless Link Enabled by Electromagnetic Polarization Multiplexing,hybrid,NR,NR,NR,NR
O_ISAC_120,A Reconfigurable Phase-Time Array Transmitter Achieving Keyless Secured Transmission and Multi-Receiver Localization for Low-Latency Joint Communication and Sensing,wireless_fso,NR,NR,NR,NR
O_ISAC_121,All-optical Computing for Direction-of-arrival Estimation Beyond Diffraction Limits,other,NR,NR,NR,NR
O_ISAC_122,All-optical computing for super-resolution direction of arrival estimation,other,NR,NR,NR,NR
O_ISAC_123,Optical Integrated Sensing and Communication for Cooperative Mobile Robotics: Design and Experiments,hybrid,NR,NR,NR,NR
O_ISAC_124,Antenna-on-Display with EH1-mode Wide Spatial Beam Scanning for User-Centric Sensing and Vehicle-to-Everything Communication,hybrid,NR,NR,NR,NR
O_ISAC_125,Low-Profile Broadband 1-Bit Randomly Encoded Folded Reflectarray Co-Aperture Transceiver for Frequency-Diverse Microwave Imaging,wireless,NR,NR,NR,NR
O_ISAC_126,A General 6G Large-scale Fading Channel Model for Multiple Frequency Bands and Scenarios,hybrid,10,1,1000,1550
O_ISAC_127,Adaptive RIS Optimization for Secure Underwater Optical Communications,wireless_fso,NR,NR,NR,NR
O_ISAC_128,Dual comb enabled simultaneously multi-path sensing and communication over fiber access network,cabled_fibre,92,0.5,353.0,1550
O_ISAC_129,VehicleTalk: Lightweight V2V Network Enabled by Optical Wireless Communication and Sensing,wireless_vlc,0.005,0.1,5,850
O_ISAC_130,Microalgae Density Measurement Using Quantum-Dot-Integrated Sensing and Communication System,hybrid,NR,NR,NR,NR
O_ISAC_131,Joint Lambertian Model Calibration and Positioning of Photodiode Devices towards Integrated Optical Wireless Communication and Sensing,wireless_vlc,NR,NR,NR,NR
O_ISAC_132,Broadband Photon-Assisted Terahertz Communication and Sensing,hybrid,NR,NR,NR,NR
O_ISAC_133,Passive Sensing Technique Using Cyclic Prefix in Power-Constrained Optical Wireless Communication Systems,wireless_fso,NR,NR,NR,NR
O_ISAC_134,Radar-LiDAR Fusion-Aided RF Beams Prediction for Vehicular Communications,hybrid,NR,NR,NR,NR
O_ISAC_135,Multisatellite Multisensor Observations of a Sub-Plinian Volcanic Eruption: The 2015 Calbuco Explosive Event in Chile,hybrid,NR,NR,NR,NR
O_ISAC_136,New Paradigm for Integrated Sensing and Communication with Rydberg Atomic Receiver,hybrid,NR,NR,NR,NR
O_ISAC_137,CONTINUOUS EVENT RECORDING TECHNOLOGY FOR INTEGRATED SENSING AND COMMUNICATIONS IN SPACE,wireless_fso,NR,NR,NR,NR
O_ISAC_138,MPFusionNet: Transformer-Based Multi-Modal Perception Fusion for Predictive Beamforming in Low-Altitude UAV Communication Networks,hybrid,NR,NR,NR,NR
O_ISAC_139,Sensing Assisted Localization Services for Indoor Environments,wireless,NR,NR,NR,NR
O_ISAC_140,RF2LiDAR: Enabling Digital Twin Using MIMO RF Signals,wireless,,,,
O_ISAC_141,Electromagnetic Field Exposure-Aware AI Framework for Integrated Sensing and Communications-Enabled Ambient Backscatter Wireless Networks,wireless,NR,NR,NR,NR
O_ISAC_142,Intelligent Surfaces Empowered Wireless Network: Recent Advances and the Road to 6G,hybrid,NR,NR,NR,NR
O_ISAC_143,PoseFly: On-site Pose Parsing of Swarming Drones via 4-in-1 Optical Camera Communication,wireless_vlc,NR,NR,NR,NR
O_ISAC_144,Multichannel Wind-Signal Driven Digital Twin for a 50 m^2 Heliostat,hybrid,NR,NR,NR,NR
O_ISAC_145,Secrecy Energy Efficiency of Hybrid Wireless Body Area Networks,hybrid,NR,NR,NR,NR
O_ISAC_146,OPPIS Development for High-Energy Accelerators and Colliders,hybrid,NR,NR,NR,NR
O_ISAC_147,Remote Sensing of Waved Sea Surface: Combined Passive and Active Microwave Measurements During the CAPMOS'05 Experiment,wireless_fso,NR,NR,NR,NR
O_ISAC_148,DOCUMENTATION OF FLOODS AND FIRES IN MIDDLE EAST CULTURAL HERITAGE SITES THROUGH MULTI-SENSOR SATELLITE DATA AND EARTH OBSERVATION PLATFORMS,hybrid,0,10,1000,5.5
O_ISAC_149,MOBILE FLIGHT TEST SUPPORT,hybrid,NR,NR,NR,NR
O_ISAC_150,"6G Wireless Communication Systems: Applications, Requirements, Technologies, Challenges, and Research Directions",hybrid,NR,NR,NR,NR
O_ISAC_151,BigFiberNet: LLMs and Fabric Computing Empowered Large-Scale Non-Disturbance Mobile Sensing Networks,hybrid,NR,NR,NR,NR
O_ISAC_152,"Photonics-assisted System for Joint Radar Ranging, Wireless Communications and Spectrum Sensing",hybrid,NR,NR,NR,NR
O_ISAC_153,Robust Characterization of Terahertz Metasurface Sensor With Ultrahigh Frequency Selectivity and Polarization Sensitivity,terahertz,NR,NR,NR,NR
O_ISAC_154,SPACEBORNE MICROWAVE AND INFRARED RADIOMETRIC OBSERVATIONS DURING THE SUBPLINIAN ERUPTION OF CALBUCO VOLCANO IN 2015,hybrid,NR,NR,NR,NR
O_ISAC_155,Demo: Towards 6G-Enabled Multi-Robot Process Orchestration in Complex Logistics Environments,hybrid,NR,NR,NR,NR
O_ISAC_156,"Physical Layer Security for Authentication, Confidentiality, and Malicious Node Detection: A Paradigm Shift in Securing IoT Networks",hybrid,NR,NR,NR,NR
O_ISAC_157,SDOA-Net: An Efficient Deep-Learning-Based DOA Estimation Network for Imperfect Array,wireless,NR,NR,NR,NR
O_ISAC_158,6G Fabric Compiles Microdomains for Sophisticated Service Delivery,hybrid,NR,NR,NR,NR
O_ISAC_159,Photonics-Aided THz Integrated Sensing and Communication System Based on a Subcarrier-Chirp Inter-Embedded Waveform,hybrid,NR,NR,NR,NR
O_ISAC_160,Intelligent Path Loss Prediction Approach Based on ISAC for V2X,RF,NR,NR,NR,NR
O_ISAC_161,"ISAC Transceiver Hardware Architectures, Technologies, and Trends",hybrid,NR,NR,NR,NR
O_ISAC_162,A Unified Future: Integrated Sensing and Communication (ISAC) in 6G,hybrid,10,1,500,1550
O_ISAC_163,Multi-Functional and Hybrid RIS for ISAC - A Survey,hybrid,NR,NR,NR,NR
O_ISAC_164,Optical Camera-Based Integrated Sensing and Communication for V2X Applications: Model and Optimization,hybrid,NR,NR,NR,NR
O_ISAC_165,Design and modelling of InAs detection system on SOI via monolithic integration for mid-infrared integrated sensing and communication,hybrid,NR,NR,NR,NR
O_ISAC_166,Integrated Sensing and Communication Solar Skin for Health Monitoring,hybrid,NR,NR,NR,NR
O_ISAC_167,Multi-Service ISAC System for Industrial IoT,hybrid,NR,NR,NR,NR
O_ISAC_171,Frequency-Comb-Steered Ultrawideband Quasi-True-Time-Delay Beamformer for Integrated Sensing and Communication,hybrid,NR,NR,NR,NR
O_ISAC_172,Joint Break-Point Localization Sensing Based on OFDR and Non-Disruptive Communication Fiber ISAC System,cabled_fibre,NR,NR,NR,NR
O_ISAC_173,High-Performance Optical Camera Communications for ISAC Localization and Sensing,wireless_vlc,0.005,0.1,25,650
O_ISAC_185,Adaptive Visible Light Integrated Sensing and Communication for Cable-Free Virtual Reality,wireless_vlc,NR,NR,NR,NR
O_ISAC_186,Chaotic Optoelectronic Oscillators-Based Dual-Function Radar-Communication System,hybrid,NR,NR,NR,NR
O_ISAC_187,Photonic-aided Doppler-robust ISAC system based on index modulation and chirp multiplexing,hybrid,NR,NR,NR,NR
O_ISAC_188,Endogenous Integration of Communication and Interference Fading Free Sensing Using Telecom Pilots via Joint Polarization-Fraction Domain Multiplexing,cabled_fibre,NR,NR,NR,NR
O_ISAC_189,Integrated Ultra-Large Dynamic Vibration Sensing with Fronthaul Analog Radio-over-Fiber Transmission,hybrid,NR,NR,NR,NR
O_ISAC_190,Common bias-digital subcarrier multiplexing scheme for integrated sensing and communication in short-reach optical transmission systems,cabled_fibre,NR,NR,NR,NR
O_ISAC_195,Integrated Sensing and Communication System Based on a Photonic Integrated Broadband Multi-Beamformer,hybrid,2.4,0.15,100,1550
O_ISAC_199,Integrated Sensing and Communication System - MIMO FSO with FBG Sensors for 6G IoT Applications,hybrid,NR,NR,NR,NR
O_ISAC_200,Machine Learning Opportunities for Integrated Polarization Sensing and Communication in Optical Fibers,cabled_fibre,NR,NR,NR,NR
O_ISAC_202,Integrated Optical Covert Sensing and Communication,cabled_fibre,1.25,10,1000,1550
O_ISAC_203,High-Speed Flexible Near-Infrared Organic Photodetectors for Self-Powered Optical Integrated Sensing and Communications,hybrid,NR,NR,NR,NR
O_ISAC_206,Beam Pattern Modulation Embedded Hybrid Transceiver Optimization for Integrated Sensing and Communication,hybrid,NR,NR,NR,NR
O_ISAC_218,Hybrid MRR-Assisted Long-Range SDMA for RO-ISAC Systems in Industry IoT Applications,hybrid,NR,NR,NR,NR
O_ISAC_219,"Multiuser Retroreflective Optical ISAC: Waveform Design, Joint Sensing and Multiple Access",hybrid,NR,NR,NR,NR
O_ISAC_220,Advanced SMART network: empowering subsea monitoring with dense photonic integrated sensing and communication,cabled_fibre,NR,NR,NR,NR
O_ISAC_237,Coordinated FMCW and OFDM for Integrated Sensing and Communication,hybrid,NR,NR,NR,NR
O_ISAC_241,Photonics-Assisted Millimeter-Wave Integrated Sensing and Communication Based on OTFS,hybrid,15.71,0.03,1,1544.3
O_ISAC_242,Sliding window-based LSTM scheme for PAM-4 photonics-assisted W-band ISAC systems,hybrid,1.6,0.01875,1,1556.67
O_ISAC_245,MCMC-Based Sparse Bayesian Learning for Super-Resolution Receiver in ISAC Systems,wireless_fso,NR,NR,NR,NR
O_ISAC_248,Exploitation of FMF capabilities for joint communications and sensing,cabled_fibre,10,0.01,20.0,1550
O_ISAC_252,An Adaptive Control System for Satellite-Ground Laser Communication Based on Integrated Sensing and Communication,wireless_fso,NR,NR,495000,1550
O_ISAC_259,Low-PAPR OFDM-ISAC Waveform Design Based on Frequency-Domain Phase Differences,hybrid,NR,NR,NR,NR
O_ISAC_272,Three-Stage Super-Resolution Estimation of Target Parameter in OCDM ISAC Systems,hybrid,NR,NR,NR,NR
O_ISAC_276,Parallel Path Effect-Free Remote Monitoring and Sensing in Live XGS-PON Using Legacy Optical Time Domain Reflectometry,cabled_fibre,NR,NR,NR,NR
O_ISAC_280,Integration of endogenous sensing and communication based on photonics-enabled cellular base station networks with a spectrum fusion algorithm,hybrid,NR,NR,NR,NR
O_ISAC_283,Photonics-assisted self-interference cancellation for in-band full-duplex integrated sensing and communication transceiver,hybrid,NR,NR,NR,NR
O_ISAC_286,Photonics-assisted integrated sensing and communication with ranging resolution improvement by multiple signal classification,hybrid,NR,NR,NR,NR
O_ISAC_288,Development of an Integrated Communication and Sensing System Using Spread Spectrum and Photonics Technologies,hybrid,NR,NR,NR,NR
O_ISAC_291,POSTER: Holographic Optical Tag enabled Omnidirectional IoT Connection,hybrid,0.1094,0.1,4,650
O_ISAC_300,Preamble-Free Synchronization Based on Dual-chirp Waveforms for Photonic THz-ISAC,hybrid,NR,NR,NR,NR
O_ISAC_301,Demonstration of radar-aided flexible communication in a photonics-based W-band distributed integrated sensing and communication system for 6G,hybrid,68.6,0.0195,1.15,1550
O_ISAC_303,"Integrated sensing, lighting and communication based on visible light communication: A review",wireless_vlc,NR,NR,NR,NR
O_ISAC_304,Photonic joint radar and communication system using a chirp-polarity coded LFM waveform,hybrid,NR,NR,NR,NR
O_ISAC_310,Simulation of Constant-envelope THz Integrated Sensing and Communication System based on Photonics with 2D Positioning,hybrid,18.448,0.018,10,1550
O_ISAC_324,Integrated Distributed Sensing and Quantum Communication Networks,hybrid,NR,NR,NR,NR
O_ISAC_327,Channel Characterization and Modeling for VLC-IoE Applications in 6G: A Survey,hybrid,NR,NR,NR,NR
O_ISAC_340,6G-EWOC: AI-Enhanced Fiber-Wireless Optical 6G Network in Support of Connected Mobility,hybrid,0.1,Not Reported,100,1550
O_ISAC_347,Learned Digital Back-Propagation for an optical-domain waveform integrated with communication and sensing,cabled_fibre,8,,,1550
O_ISAC_348,Integrated sensing and communication in an optical fibre,hybrid,56,4,24500.0,1549.5
