paper_id,category,metric,symbol,plane,evidence,full_reasoning
O_ISAC_001,Comm Metrics,EVM,EVM,Electrical,"Fig. 1 presents the experimental performance evaluation results of the VLC CE-OFDM system, conducted using the same laboratory setup described in [8]. In the experiment, the CE-OFDM signal was generated using 64 QAM-modulated subcarriers occupying 250 MHz bandwidth... Performance was quantified in terms of the error vector magnitude (EVM) averaged over multiple transmission bursts.","The authors evaluate the performance of CE-OFDM in VLC systems, considering its potential for integrated sensing and communication (ISAC). They assess the system's performance using EVM as a metric and explore the suitability of CE-OFDM for localization tasks."
O_ISAC_001,Comm Metrics,Bandwidth,B,Electrical,"The bandwidth of the CE-OFDM signal can be expressed by [6]: $B_{CE-OFDM} = max(2pi h, 1) 	imes B_{OFDM}$, which is a root-mean-square (RMS) bandwidth, lower bounded by the bandwidth of the OFDM signal, $B_{OFDM}$.","The authors evaluate the performance of CE-OFDM in VLC systems, considering its potential for integrated sensing and communication (ISAC). They assess the system's performance using EVM as a metric and explore the suitability of CE-OFDM for localization tasks."
O_ISAC_001,Sensing (Est),Resolution,N/A,N/A,"Recent research has shown that CE-OFDM signals possess favorable ambiguity function (AF) properties that are traditionally desired in radar and localization systems. In [12] it was demonstrated that CE-OFDM with PSK symbol encoding exhibits a 'thumbtack-like' ambiguity function, characterized by high resolution in both range and Doppler...","The authors evaluate the performance of CE-OFDM in VLC systems, considering its potential for integrated sensing and communication (ISAC). They assess the system's performance using EVM as a metric and explore the suitability of CE-OFDM for localization tasks."
O_ISAC_001,Comm Metrics,SNR,SNR,Electrical,"The results clearly show that CE-OFDM achieves superior performance compared to conventional OFDM, particularly at moderate modulation indices where the EVM reaches its minimum. This behavior is attributed to the constant-envelope nature of the CE-OFDM waveform, which makes it more robust against the nonlinear distortions introduced by the directly modulated LD.","The authors evaluate the performance of CE-OFDM in VLC systems, considering its potential for integrated sensing and communication (ISAC). They assess the system's performance using EVM as a metric and explore the suitability of CE-OFDM for localization tasks."
O_ISAC_002,Sensing (Est),Range Resolution,ΔR,N/A,achieve a range resolution of 1.3 cm,"The authors evaluate sensing performance using range resolution and CRLB for range estimation. For comms, they plot data transmission rates and discuss the benefits of photonic devices and advanced signal processing."
O_ISAC_002,Sensing (Est),CRLB,CRLB,N/A,"derive key sensing metrics for the LFM-PSK waveform, including... Cramér-Rao lower bound (CRLB)","The authors evaluate sensing performance using range resolution and CRLB for range estimation. For comms, they plot data transmission rates and discuss the benefits of photonic devices and advanced signal processing."
O_ISAC_002,Comm Metrics,Data Transmission Rate,R,N/A,achieve a data transmission rate of 6 Gbit/s,"The authors evaluate sensing performance using range resolution and CRLB for range estimation. For comms, they plot data transmission rates and discuss the benefits of photonic devices and advanced signal processing."
O_ISAC_002,Comm Metrics,Data Transmission Rate,R,N/A,"achieve a high communication data rate, up to 120 Gbit/s","The authors evaluate sensing performance using range resolution and CRLB for range estimation. For comms, they plot data transmission rates and discuss the benefits of photonic devices and advanced signal processing."
O_ISAC_002,Sensing (Est),Range Resolution,ΔR,N/A,precise range resolution down to 2.5 mm,"The authors evaluate sensing performance using range resolution and CRLB for range estimation. For comms, they plot data transmission rates and discuss the benefits of photonic devices and advanced signal processing."
O_ISAC_002,Sensing (Est),Range Resolution,ΔR,N/A,achieve a range resolution of 1.3 cm,"The authors evaluate sensing performance using range resolution and CRLB for the LFM-PSK waveform. For comms, they plot data transmission rates and discuss the benefits of photonic THz technologies in ISAC systems."
O_ISAC_002,Sensing (Est),CRLB,CRLB,N/A,"derive key sensing metrics for the LFM-PSK waveform, including... Cramér-Rao lower bound (CRLB)","The authors evaluate sensing performance using range resolution and CRLB for the LFM-PSK waveform. For comms, they plot data transmission rates and discuss the benefits of photonic THz technologies in ISAC systems."
O_ISAC_002,Comm Metrics,Data Transmission Rate,R,N/A,achieve a data transmission rate of 6 Gbit/s,"The authors evaluate sensing performance using range resolution and CRLB for the LFM-PSK waveform. For comms, they plot data transmission rates and discuss the benefits of photonic THz technologies in ISAC systems."
O_ISAC_002,Comm Metrics,Data Transmission Rate,R,N/A,"achieve a high communication data rate, up to 120 Gbit/s","The authors evaluate sensing performance using range resolution and CRLB for the LFM-PSK waveform. For comms, they plot data transmission rates and discuss the benefits of photonic THz technologies in ISAC systems."
O_ISAC_003,Sensing (Est),Resolution (Delta),N/A,N/A,No direct mention of resolution or delta in the provided text.,"The authors investigate the visible light-based integrated sensing and communication channel characteristics in a vehicle-to-vehicle scenario, focusing on monostatic sensing and bi-static sensing modes. They analyze the channel impulse response, path loss, and root mean square delay spread within the effective sensing distance."
O_ISAC_003,Sensing (Est),Accuracy (RMSE/CRB),RMSE,N/A,"The authors mention the root mean square (RMS) delay spread, but not directly as a measure of accuracy.","The authors investigate the visible light-based integrated sensing and communication channel characteristics in a vehicle-to-vehicle scenario, focusing on monostatic sensing and bi-static sensing modes. They analyze the channel impulse response, path loss, and root mean square delay spread within the effective sensing distance."
O_ISAC_003,Sensing (Det),Pd (Detect Prob),N/A,N/A,No direct mention of detection probability in the provided text.,"The authors investigate the visible light-based integrated sensing and communication channel characteristics in a vehicle-to-vehicle scenario, focusing on monostatic sensing and bi-static sensing modes. They analyze the channel impulse response, path loss, and root mean square delay spread within the effective sensing distance."
O_ISAC_003,Sensing (Det),Pfa (False Alarm),N/A,N/A,No direct mention of false alarm probability in the provided text.,"The authors investigate the visible light-based integrated sensing and communication channel characteristics in a vehicle-to-vehicle scenario, focusing on monostatic sensing and bi-static sensing modes. They analyze the channel impulse response, path loss, and root mean square delay spread within the effective sensing distance."
O_ISAC_003,Sensing (Det),ROC,N/A,N/A,No direct mention of receiver operating characteristic (ROC) in the provided text.,"The authors investigate the visible light-based integrated sensing and communication channel characteristics in a vehicle-to-vehicle scenario, focusing on monostatic sensing and bi-static sensing modes. They analyze the channel impulse response, path loss, and root mean square delay spread within the effective sensing distance."
O_ISAC_003,Comm,BER,N/A,N/A,No direct mention of bit error rate (BER) in the provided text.,"The authors investigate the visible light-based integrated sensing and communication channel characteristics in a vehicle-to-vehicle scenario, focusing on monostatic sensing and bi-static sensing modes. They analyze the channel impulse response, path loss, and root mean square delay spread within the effective sensing distance."
O_ISAC_003,Comm,Capacity,N/A,N/A,No direct mention of channel capacity in the provided text.,"The authors investigate the visible light-based integrated sensing and communication channel characteristics in a vehicle-to-vehicle scenario, focusing on monostatic sensing and bi-static sensing modes. They analyze the channel impulse response, path loss, and root mean square delay spread within the effective sensing distance."
O_ISAC_003,Comm,Throughput,N/A,N/A,No direct mention of throughput in the provided text.,"The authors investigate the visible light-based integrated sensing and communication channel characteristics in a vehicle-to-vehicle scenario, focusing on monostatic sensing and bi-static sensing modes. They analyze the channel impulse response, path loss, and root mean square delay spread within the effective sensing distance."
O_ISAC_003,Comm,EVM,N/A,N/A,No direct mention of error vector magnitude (EVM) in the provided text.,"The authors investigate the visible light-based integrated sensing and communication channel characteristics in a vehicle-to-vehicle scenario, focusing on monostatic sensing and bi-static sensing modes. They analyze the channel impulse response, path loss, and root mean square delay spread within the effective sensing distance."
O_ISAC_003,Signal Quality,OSNR (Optical Plane),OPL,Optical,The authors mention the visible light optical path loss (OPL) as a measure of signal attenuation.,"The authors investigate the visible light-based integrated sensing and communication channel characteristics in a vehicle-to-vehicle scenario, focusing on monostatic sensing and bi-static sensing modes. They analyze the channel impulse response, path loss, and root mean square delay spread within the effective sensing distance."
O_ISAC_003,Signal Quality,SNR (Electrical Plane),N/A,N/A,No direct mention of signal-to-noise ratio (SNR) in the provided text.,"The authors investigate the visible light-based integrated sensing and communication channel characteristics in a vehicle-to-vehicle scenario, focusing on monostatic sensing and bi-static sensing modes. They analyze the channel impulse response, path loss, and root mean square delay spread within the effective sensing distance."
O_ISAC_003,Sensing (Est),Resolution (Delta),N/A,N/A,No direct mention of resolution or delta in the provided text.,"The authors investigate the visible light-based integrated sensing and communication (ISAC) channel characteristics in a vehicle-to-vehicle (V2V) scenario, focusing on monostatic sensing and bi-static sensing modes. They analyze the channel impulse response, path loss, and root mean square delay spread within the effective sensing distance for both modes."
O_ISAC_003,Sensing (Est),Accuracy (RMSE/CRB),N/A,N/A,No direct mention of RMSE or CRB in the provided text.,"The authors investigate the visible light-based integrated sensing and communication (ISAC) channel characteristics in a vehicle-to-vehicle (V2V) scenario, focusing on monostatic sensing and bi-static sensing modes. They analyze the channel impulse response, path loss, and root mean square delay spread within the effective sensing distance for both modes."
O_ISAC_003,Sensing (Det),Pd (Detect Prob),N/A,N/A,No direct mention of detection probability in the provided text.,"The authors investigate the visible light-based integrated sensing and communication (ISAC) channel characteristics in a vehicle-to-vehicle (V2V) scenario, focusing on monostatic sensing and bi-static sensing modes. They analyze the channel impulse response, path loss, and root mean square delay spread within the effective sensing distance for both modes."
O_ISAC_003,Sensing (Det),Pfa (False Alarm),N/A,N/A,No direct mention of false alarm rate in the provided text.,"The authors investigate the visible light-based integrated sensing and communication (ISAC) channel characteristics in a vehicle-to-vehicle (V2V) scenario, focusing on monostatic sensing and bi-static sensing modes. They analyze the channel impulse response, path loss, and root mean square delay spread within the effective sensing distance for both modes."
O_ISAC_003,Sensing (Det),ROC,N/A,N/A,No direct mention of receiver operating characteristic (ROC) in the provided text.,"The authors investigate the visible light-based integrated sensing and communication (ISAC) channel characteristics in a vehicle-to-vehicle (V2V) scenario, focusing on monostatic sensing and bi-static sensing modes. They analyze the channel impulse response, path loss, and root mean square delay spread within the effective sensing distance for both modes."
O_ISAC_003,Comm Metrics,BER,N/A,N/A,No direct mention of bit error rate (BER) in the provided text.,"The authors investigate the visible light-based integrated sensing and communication (ISAC) channel characteristics in a vehicle-to-vehicle (V2V) scenario, focusing on monostatic sensing and bi-static sensing modes. They analyze the channel impulse response, path loss, and root mean square delay spread within the effective sensing distance for both modes."
O_ISAC_003,Comm Metrics,Capacity,N/A,N/A,No direct mention of channel capacity in the provided text.,"The authors investigate the visible light-based integrated sensing and communication (ISAC) channel characteristics in a vehicle-to-vehicle (V2V) scenario, focusing on monostatic sensing and bi-static sensing modes. They analyze the channel impulse response, path loss, and root mean square delay spread within the effective sensing distance for both modes."
O_ISAC_003,Comm Metrics,Throughput,N/A,N/A,No direct mention of throughput in the provided text.,"The authors investigate the visible light-based integrated sensing and communication (ISAC) channel characteristics in a vehicle-to-vehicle (V2V) scenario, focusing on monostatic sensing and bi-static sensing modes. They analyze the channel impulse response, path loss, and root mean square delay spread within the effective sensing distance for both modes."
O_ISAC_003,Comm Metrics,EVM,N/A,N/A,No direct mention of error vector magnitude (EVM) in the provided text.,"The authors investigate the visible light-based integrated sensing and communication (ISAC) channel characteristics in a vehicle-to-vehicle (V2V) scenario, focusing on monostatic sensing and bi-static sensing modes. They analyze the channel impulse response, path loss, and root mean square delay spread within the effective sensing distance for both modes."
O_ISAC_003,Signal Quality,OSNR (Optical Plane),OPL,Optical,"The visible light optical path loss (OPL) is described, which can be related to OSNR in the optical plane.","The authors investigate the visible light-based integrated sensing and communication (ISAC) channel characteristics in a vehicle-to-vehicle (V2V) scenario, focusing on monostatic sensing and bi-static sensing modes. They analyze the channel impulse response, path loss, and root mean square delay spread within the effective sensing distance for both modes."
O_ISAC_003,Signal Quality,SNR (Electrical Plane),N/A,N/A,No direct mention of signal-to-noise ratio (SNR) in the electrical plane in the provided text.,"The authors investigate the visible light-based integrated sensing and communication (ISAC) channel characteristics in a vehicle-to-vehicle (V2V) scenario, focusing on monostatic sensing and bi-static sensing modes. They analyze the channel impulse response, path loss, and root mean square delay spread within the effective sensing distance for both modes."
O_ISAC_004,Sensing (Est),Sensitivity,S,N/A,salinity sensitivity of 0.1 nm/‰,"The authors evaluate sensing performance using sensitivity for salinity monitoring and compare it with simulation results. For comms, they plot BER vs SNR for different modulation formats."
O_ISAC_004,Comm,BER,Pb,Electrical,"BER against the SNR for the QPSK, the 16 QAM, the 32QAM, and the 64QAM modulation format","The authors evaluate sensing performance using sensitivity for salinity monitoring and compare it with simulation results. For comms, they plot BER vs SNR for different modulation formats."
O_ISAC_004,Comm,Throughput,R,Electrical,transmission rate of 128 Gbit/s,"The authors evaluate sensing performance using sensitivity for salinity monitoring and compare it with simulation results. For comms, they plot BER vs SNR for different modulation formats."
O_ISAC_004,Comm,SNR,SNR,Electrical,SNR set at 30 dB,"The authors evaluate sensing performance using sensitivity for salinity monitoring and compare it with simulation results. For comms, they plot BER vs SNR for different modulation formats."
O_ISAC_004,Sensing (Est),Sensitivity,S,N/A,salinity sensitivity of 0.1 nm/‰,"The authors evaluate sensing performance using sensitivity for salinity monitoring and compare it with simulation results. For comms, they plot BER vs SNR for different modulation formats."
O_ISAC_004,Comm,BER,Pb,Electrical,"BER against the SNR for the QPSK, the 16 QAM, the 32QAM, and the 64QAM modulation format","The authors evaluate sensing performance using sensitivity for salinity monitoring and compare it with simulation results. For comms, they plot BER vs SNR for different modulation formats."
O_ISAC_004,Comm,Throughput,R,Electrical,transmission rate of 128 Gbit/s,"The authors evaluate sensing performance using sensitivity for salinity monitoring and compare it with simulation results. For comms, they plot BER vs SNR for different modulation formats."
O_ISAC_004,Comm,SNR,SNR,Electrical,SNR set at 30 dB,"The authors evaluate sensing performance using sensitivity for salinity monitoring and compare it with simulation results. For comms, they plot BER vs SNR for different modulation formats."
O_ISAC_005,Comm Metrics,Throughput,Φ,N/A,The plot in Fig. 3 shows the end-to-end UAV throughput Φ_m and the total throughput of edge users Φ_m+Φ_gE over UAV's circular trajectory.,"The authors evaluate the performance of an O-ISAC system using FSO communication and UAV-aided relaying. They propose a framework that optimizes the UAV's trajectory using directional antenna beamwidth and bandwidth allocation to maximize network throughput for edge users in a mixed FSO-RF network. The system's performance is analyzed under various visibility conditions, and the results demonstrate the importance of optical channel sensing in optimizing system performance."
O_ISAC_005,Comm Metrics,Capacity,C_SD,Optical,The achievable backhaul rate of the FSO link for a UAV positioned along its circular trajectory is determined as C_SD = ½ Ω_o   log_2   (1 +   e φ_o^2   g_o^2   ρ^2 / (2π σ_o^2)).,"The authors evaluate the performance of an O-ISAC system using FSO communication and UAV-aided relaying. They propose a framework that optimizes the UAV's trajectory using directional antenna beamwidth and bandwidth allocation to maximize network throughput for edge users in a mixed FSO-RF network. The system's performance is analyzed under various visibility conditions, and the results demonstrate the importance of optical channel sensing in optimizing system performance."
O_ISAC_005,Sensing (Est),Accuracy,ǃ_f^2,N/A,"The imperfect estimation of the channel gain is modeled as ˆh_o = h_o + n_f, where n_f is an estimation noise, assumed to be Gaussian distributed with zero mean and variance ǃ_f^2.","The authors evaluate the performance of an O-ISAC system using FSO communication and UAV-aided relaying. They propose a framework that optimizes the UAV's trajectory using directional antenna beamwidth and bandwidth allocation to maximize network throughput for edge users in a mixed FSO-RF network. The system's performance is analyzed under various visibility conditions, and the results demonstrate the importance of optical channel sensing in optimizing system performance."
O_ISAC_005,Signal Quality,SNR,Φ_th,Optical,"The system parameters used in the numerical simulations are listed in Table I, including the optical channel sensing evaluated for two SNR threshold levels, Φ_th, specifically at 10 dB and -10 dB.","The authors evaluate the performance of an O-ISAC system using FSO communication and UAV-aided relaying. They propose a framework that optimizes the UAV's trajectory using directional antenna beamwidth and bandwidth allocation to maximize network throughput for edge users in a mixed FSO-RF network. The system's performance is analyzed under various visibility conditions, and the results demonstrate the importance of optical channel sensing in optimizing system performance."
O_ISAC_005,Comm Metrics,Throughput,Φ,N/A,The end-to-end UAV throughput Φ_m and the total throughput of edge users Φ_m + Φ_gE over the circular trajectory for visibility V=1 km.,"The authors evaluate the performance of an O-ISAC system using FSO communication and UAV-aided relaying. They propose a framework that optimizes the UAV's trajectory using directional antenna beamwidth and bandwidth allocation to maximize end-to-end network throughput for edge users. The system's performance is analyzed under various visibility conditions, and the results demonstrate the importance of optical channel sensing in optimizing system performance."
O_ISAC_005,Comm Metrics,Capacity,C_SD,Optical,The achievable backhaul rate of the FSO link for a UAV positioned along its circular trajectory as C_SD = ½ Ω_o ɣ_2 (1 + ζ_o^2 g_o^2 ρ^2 / (2π σ_o^2)).,"The authors evaluate the performance of an O-ISAC system using FSO communication and UAV-aided relaying. They propose a framework that optimizes the UAV's trajectory using directional antenna beamwidth and bandwidth allocation to maximize end-to-end network throughput for edge users. The system's performance is analyzed under various visibility conditions, and the results demonstrate the importance of optical channel sensing in optimizing system performance."
O_ISAC_005,Sensing (Est),Accuracy,σ_f^2,N/A,"The imperfect estimation of the channel gain is modeled as ˆh_o = h_o + n_f, where n_f is an estimation noise, assumed to be Gaussian distributed with zero mean and variance σ_f^2.","The authors evaluate the performance of an O-ISAC system using FSO communication and UAV-aided relaying. They propose a framework that optimizes the UAV's trajectory using directional antenna beamwidth and bandwidth allocation to maximize end-to-end network throughput for edge users. The system's performance is analyzed under various visibility conditions, and the results demonstrate the importance of optical channel sensing in optimizing system performance."
O_ISAC_005,Signal Quality,OSNR,ρ,Optical,The responsivity of the photodetector is denoted as ρ.,"The authors evaluate the performance of an O-ISAC system using FSO communication and UAV-aided relaying. They propose a framework that optimizes the UAV's trajectory using directional antenna beamwidth and bandwidth allocation to maximize end-to-end network throughput for edge users. The system's performance is analyzed under various visibility conditions, and the results demonstrate the importance of optical channel sensing in optimizing system performance."
O_ISAC_005,Comm Metrics,BER,N/A,N/A,Not explicitly mentioned in the text.,"The authors evaluate the performance of an O-ISAC system using FSO communication and UAV-aided relaying. They propose a framework that optimizes the UAV's trajectory using directional antenna beamwidth and bandwidth allocation to maximize end-to-end network throughput for edge users. The system's performance is analyzed under various visibility conditions, and the results demonstrate the importance of optical channel sensing in optimizing system performance."
O_ISAC_005,Sensing (Det),Pd,N/A,N/A,Not explicitly mentioned in the text.,"The authors evaluate the performance of an O-ISAC system using FSO communication and UAV-aided relaying. They propose a framework that optimizes the UAV's trajectory using directional antenna beamwidth and bandwidth allocation to maximize end-to-end network throughput for edge users. The system's performance is analyzed under various visibility conditions, and the results demonstrate the importance of optical channel sensing in optimizing system performance."
O_ISAC_005,Sensing (Det),Pfa,N/A,N/A,Not explicitly mentioned in the text.,"The authors evaluate the performance of an O-ISAC system using FSO communication and UAV-aided relaying. They propose a framework that optimizes the UAV's trajectory using directional antenna beamwidth and bandwidth allocation to maximize end-to-end network throughput for edge users. The system's performance is analyzed under various visibility conditions, and the results demonstrate the importance of optical channel sensing in optimizing system performance."
O_ISAC_005,Sensing (Det),ROC,N/A,N/A,Not explicitly mentioned in the text.,"The authors evaluate the performance of an O-ISAC system using FSO communication and UAV-aided relaying. They propose a framework that optimizes the UAV's trajectory using directional antenna beamwidth and bandwidth allocation to maximize end-to-end network throughput for edge users. The system's performance is analyzed under various visibility conditions, and the results demonstrate the importance of optical channel sensing in optimizing system performance."
O_ISAC_005,Signal Quality,SNR,Ω_s,Electrical,The mmWave RF link is allocated a total system bandwidth of Ω_s = 500 MHz.,"The authors evaluate the performance of an O-ISAC system using FSO communication and UAV-aided relaying. They propose a framework that optimizes the UAV's trajectory using directional antenna beamwidth and bandwidth allocation to maximize end-to-end network throughput for edge users. The system's performance is analyzed under various visibility conditions, and the results demonstrate the importance of optical channel sensing in optimizing system performance."
O_ISAC_014,Comm Metrics,Throughput,Data Rate,N/A,155 Mb/s data rate transmitted simultaneously over 1 km of SSMF,The authors experimentally demonstrate a power over fiber (PoF) system with 10W optical power and 155 Mb/s data rate transmitted simultaneously over 1 km of standard single-mode fiber (SSMF). The system's performance is evaluated in terms of optical power transfer efficiency (PTE) and data transmission stability.
O_ISAC_014,Comm Metrics,Capacity,Data Rate,N/A,155 M bit/s signal generated by the commercial small form-factor pluggable (SFP) optical module,The authors experimentally demonstrate a power over fiber (PoF) system with 10W optical power and 155 Mb/s data rate transmitted simultaneously over 1 km of standard single-mode fiber (SSMF). The system's performance is evaluated in terms of optical power transfer efficiency (PTE) and data transmission stability.
O_ISAC_014,Comm Metrics,Throughput,Data Rate,N/A,155 Mb/s data rate transmitted simultaneously over 1 km,The authors experimentally demonstrate the transmission of 10W optical power and 155Mb/s data rate over 1km of standard single-mode fiber. The optical power transmission efficiency (PTE) is measured to be around 50%. The data signal is transmitted stably over the fiber link.
O_ISAC_014,Comm Metrics,Capacity,Data Rate,N/A,155 M bit/s signal generated by the SFP optical module,The authors experimentally demonstrate the transmission of 10W optical power and 155Mb/s data rate over 1km of standard single-mode fiber. The optical power transmission efficiency (PTE) is measured to be around 50%. The data signal is transmitted stably over the fiber link.
O_ISAC_022,Comm Metrics,Data Rate,Rb,N/A,a continuous data connectivity at 32 Mbps,"The authors propose a joint visible light communication and sensing system using m-CAP modulation and RSS-based trilateration. The system's performance is evaluated in terms of illuminance, positioning accuracy, and data rate. The communication performance is assessed through the BER, while the sensing performance is evaluated using the positioning accuracy."
O_ISAC_022,Sensing (Est),Accuracy,Positioning accuracy,N/A,an error lower than 7.17 cm in 90% of the cases,"The authors propose a joint visible light communication and sensing system using m-CAP modulation and RSS-based trilateration. The system's performance is evaluated in terms of illuminance, positioning accuracy, and data rate. The communication performance is assessed through the BER, while the sensing performance is evaluated using the positioning accuracy."
O_ISAC_022,Comm Metrics,Throughput,Rb,N/A,m log_2(M) B_sc,"The authors propose a joint visible light communication and sensing system using m-CAP modulation and RSS-based trilateration. The system's performance is evaluated in terms of illuminance, positioning accuracy, and data rate. The communication performance is assessed through the BER, while the sensing performance is evaluated using the positioning accuracy."
O_ISAC_022,Comm Metrics,Throughput,Rb,Electrical,a continuous data connectivity at 32 Mbps,"The authors propose a joint visible light communication and sensing system using m-CAP modulation and RSS-based trilateration. The system's performance is evaluated in terms of illuminance, positioning accuracy, and data rate. The m-CAP modulation offers several degrees of freedom to the designer, including the number of sub-bands, their central frequencies, width, and QAM order."
O_ISAC_022,Sensing (Est),Accuracy,RMSE,N/A,positioning with an error lower than 7.17 cm in 90% of the cases,"The authors propose a joint visible light communication and sensing system using m-CAP modulation and RSS-based trilateration. The system's performance is evaluated in terms of illuminance, positioning accuracy, and data rate. The m-CAP modulation offers several degrees of freedom to the designer, including the number of sub-bands, their central frequencies, width, and QAM order."
O_ISAC_025,Sensing (Detection),SNR,SNR,Electrical,"The sensing app evaluates the quality of the reflected signals captured per BS and, if these are above a specific Signal-to-Noise-Ratio (SNR) threshold, they are used to estimate the position of the corresponding object.","The authors propose an architecture for Integrated Sensing and Communication (ISAC) services using an optical transport network. They evaluate the performance of the proposed architecture using parameters such as network utilization, sensing accuracy, and received signal strength. The sensing app uses a passive OFDM-based radar to estimate the position of objects based on the quality of the reflected signals captured by the base stations."
O_ISAC_025,Comm Metrics,Throughput,Throughput,Electrical,"A typical set of measurements for IQ streams collected for 10MHz bandwidth allocation in the wireless segment (OFDM modulated) is shown in Fig. 1-4. This set of measurements shows the throughput of the IQ streams forwarded by 'BS3', 'BS3-BS2' and 'BS3-BS2-BS1' to the edge server #1.","The authors propose an architecture for Integrated Sensing and Communication (ISAC) services using an optical transport network. They evaluate the performance of the proposed architecture using parameters such as network utilization, sensing accuracy, and received signal strength. The sensing app uses a passive OFDM-based radar to estimate the position of objects based on the quality of the reflected signals captured by the base stations."
O_ISAC_025,Sensing (Detection),Pd (Detect Prob),Pd,N/A,The object detection accuracy can be further improved combining estimations from multiple BSs.,"The authors propose an architecture for Integrated Sensing and Communication (ISAC) services using an optical transport network. They evaluate the performance of the proposed architecture using parameters such as network utilization, sensing accuracy, and received signal strength. The sensing app uses a passive OFDM-based radar to estimate the position of objects based on the quality of the reflected signals captured by the base stations."
