paper_id,category,model,status,evidence,full_reasoning
O_ISAC_034,Atmospheric,Log-Normal,ADOPTED,"h^m(t) follows a log-normal distribution, whose mean and variance can be calculated by Beers-Lambert Law and Rytov approximation, respectively.","I checked Section II where the authors define their system model and equations. The channel model is described by the equation $s_{R}(t) = h_{0}(t) s_{T}(t - 	au_{0}) + sum_{m=1}^{N_{u}-1} h_{m}(t) s_{m}(t - 	au_{m}) + n(t)$, where $h_m(t)$ depicts the influences of atmospheric losses and turbulence. The text also mentions that $h^{m}(t)$ follows a log-normal distribution."
O_ISAC_034,Turbulence,Log-Normal,ADOPTED,"h^m(t) follows a log-normal distribution, whose mean and variance can be calculated by Beers-Lambert Law and Rytov approximation, respectively.","I checked Section II where the authors define their system model and equations. The channel model is described by the equation $s_{R}(t) = h_{0}(t) s_{T}(t - 	au_{0}) + sum_{m=1}^{N_{u}-1} h_{m}(t) s_{m}(t - 	au_{m}) + n(t)$, where $h_m(t)$ depicts the influences of atmospheric losses and turbulence. The text also mentions that $h^{m}(t)$ follows a log-normal distribution."
O_ISAC_034,Atmospheric,Log-Normal,ADOPTED,h^m(t) follows log-normal distribution,"I checked Section II where the system model is defined. The authors mention that $h_m(t)$ depicts the influences of atmospheric losses and turbulence. However, they do not explicitly define a specific channel probability distribution or path loss model in this section. Instead, they mention that $h_m(t)$ can be described by statistical models and later state that $h^m(t)$ follows a log-normal distribution in the simulation configurations."
O_ISAC_034,Turbulence,Log-Normal,ADOPTED,h^m(t) follows log-normal distribution,"I checked Section II where the system model is defined. The authors mention that $h_m(t)$ depicts the influences of atmospheric losses and turbulence. However, they do not explicitly define a specific channel probability distribution or path loss model in this section. Instead, they mention that $h_m(t)$ can be described by statistical models and later state that $h^m(t)$ follows a log-normal distribution in the simulation configurations."
O_ISAC_035,Turbulence,Gamma-Gamma,ADOPTED,The probability density function of I can be expressed by: p(I) = ... (Eq 2),I checked Section II. The authors explicitly define the FSO channel model using the Gamma-Gamma model (Eq 2) for atmospheric turbulence and the Beer-Lambert Law (Eq 3) for atmospheric loss. They also define the pointing error model (Eq 4).
O_ISAC_035,Atmospheric,Beer-Lambert Law,ADOPTED,The atmospheric loss is determined by the exponential Beers-Lambert Law as: h_l(z) = exp(-σz) (Eq 3),I checked Section II. The authors explicitly define the FSO channel model using the Gamma-Gamma model (Eq 2) for atmospheric turbulence and the Beer-Lambert Law (Eq 3) for atmospheric loss. They also define the pointing error model (Eq 4).
O_ISAC_035,Pointing,Rayleigh distribution,ADOPTED,The radial displacement α follows a Rayleigh distribution (Eq 4),I checked Section II. The authors explicitly define the FSO channel model using the Gamma-Gamma model (Eq 2) for atmospheric turbulence and the Beer-Lambert Law (Eq 3) for atmospheric loss. They also define the pointing error model (Eq 4).
O_ISAC_035,Turbulence,Gamma-Gamma,ADOPTED,The probability density function of I can be expressed by: p(I) = ... (Eq 2),I checked Section II. The authors explicitly define the FSO channel model using the Gamma-Gamma model (Eq 2) for atmospheric turbulence and the Beer-Lambert Law (Eq 3) for atmospheric loss. They also define the pointing error model (Eq 4).
O_ISAC_035,Atmospheric,Beer-Lambert Law,ADOPTED,The atmospheric loss is determined by the exponential Beers-Lambert Law as: h_l(z) = exp(-σz) (Eq 3),I checked Section II. The authors explicitly define the FSO channel model using the Gamma-Gamma model (Eq 2) for atmospheric turbulence and the Beer-Lambert Law (Eq 3) for atmospheric loss. They also define the pointing error model (Eq 4).
O_ISAC_039,Multipath/Indoor,Lambertian,ADOPTED,The nth element of the LOS CIR vector can be expressed as ... where the LEDs follow a Lambertian emission pattern,"I checked Section 2. The authors explicitly define the channel model using a sparse multipath model with a line-of-sight (LOS) component and a non-line-of-sight (NLOS) component. The LOS component is modeled using a Lambertian emission pattern, while the NLOS component is modeled as a diffusion channel of the first reflection."
O_ISAC_039,Multipath/Indoor,Diffusion Channel,ADOPTED,The NLOS link is modeled as a diffusion channel of the first reflection,"I checked Section 2. The authors explicitly define the channel model using a sparse multipath model with a line-of-sight (LOS) component and a non-line-of-sight (NLOS) component. The LOS component is modeled using a Lambertian emission pattern, while the NLOS component is modeled as a diffusion channel of the first reflection."
O_ISAC_039,Multipath/Indoor,Lambertian,ADOPTED,The LOS CIR vector is expressed as [h LOS (t)]n = ((m+1)APDcosm(φ(t))cos(ψ(t))gsTs)/(2πd(t)2) rect(ψ(t)/ψFOV)δ(nts - d(t)/c),"I checked Section 2.1. The authors explicitly define the channel impulse response (CIR) vector using equations (1), (2), and (3), which describe the line-of-sight (LOS) and non-line-of-sight (NLOS) components of the indoor visible light channel. The LOS component is modeled using a Lambertian emission pattern, while the NLOS component is modeled as a diffusion channel of the first reflection."
O_ISAC_039,Multipath/Indoor,Diffusion,ADOPTED,"The NLOS link is modeled as a diffusion channel of the first reflection, where the wall can be segmented into many small surfaces regarded as reflection elements.","I checked Section 2.1. The authors explicitly define the channel impulse response (CIR) vector using equations (1), (2), and (3), which describe the line-of-sight (LOS) and non-line-of-sight (NLOS) components of the indoor visible light channel. The LOS component is modeled using a Lambertian emission pattern, while the NLOS component is modeled as a diffusion channel of the first reflection."
O_ISAC_049,Atmospheric,Lambertian,ADOPTED,"The channel gain H_m is given by Eq (3), which is based on the Lambertian emission order.","I checked Section II where the authors define their system model. The channel gain H_m is given by Eq (3), which is based on the Lambertian emission order and is used for both sensing and communication purposes. The path loss model used is based on the distance, irradiance angle, and incidence angle from the LED to the user."
O_ISAC_049,Multipath/Indoor,Lambertian,ADOPTED,"The channel gain H_m is given by Eq (3), which is based on the Lambertian emission order and is used for indoor scenarios.","I checked Section II where the authors define their system model. The channel gain H_m is given by Eq (3), which is based on the Lambertian emission order and is used for both sensing and communication purposes. The path loss model used is based on the distance, irradiance angle, and incidence angle from the LED to the user."
O_ISAC_050,Multipath/Indoor,Lambertian,ADOPTED,The radiation of LED emitters is usually described by a Lambertian pattern characterized by a Lambertian order,"I checked Section II. The authors define the channel model using a single-bounce diffuse reflection model and provide equations for the channel gain, including (11) and (12). However, no specific probability distributions are mentioned for the channel models. The channel gain is determined by the LED steering gain, path loss, reflection, and UD response gain, which depend on geometric propagation parameters."
O_ISAC_051,Turbulence,Gamma-Gamma,ADOPTED,"The scintillation index is calculated as $\sigma_{I}^{2}=\alpha^{-1}+\beta^{-1}+(\alpha\beta)^{-1}$, and the PDF of irradiance is described by the Gamma-Gamma distribution.","I checked Section II and III of the paper. The authors explicitly define the channel model for communication using the Gamma-Gamma (GG) distribution for atmospheric turbulence. However, no specific channel probability distribution is defined for the other categories (Atmospheric, Turbulence, Pointing, Multipath/Indoor). The Gamma-Gamma distribution is used to model the scintillation index and the probability density function (PDF) of irradiance."
O_ISAC_051,Turbulence,Gamma-Gamma,ADOPTED,The probability density function (PDF) of irradiance I is described by the Gamma-Gamma (GG) distribution in equation (26).,I checked Section II and Section III of the paper. The authors explicitly define the channel model using the Gamma-Gamma (GG) distribution for atmospheric turbulence in equation (26). No specific models are defined for other categories.
O_ISAC_054,Atmospheric,Lambertian,ADOPTED,The authors adopt the Lambertian model to characterize the radiation pattern of LED.,"I checked the System Model section where the authors define their equations. The authors adopt the Lambertian model to characterize the radiation pattern of LED, which is related to the Atmospheric category. However, the Lambertian model itself is not a channel probability distribution, but rather a path loss model. For channel probability distributions, the authors do not explicitly define any specific distribution. They do mention the use of additive white Gaussian noise (AWGN) in the electrical domain signal, but this is not one of the target categories. Therefore, no specific channel probability distribution is detected."
O_ISAC_054,Atmospheric,Lambertian,ADOPTED,The authors adopt the Lambertian model to characterize the radiation pattern of LED.,"I checked the System Model section where the authors define their equations. The authors adopt the Lambertian model to characterize the radiation pattern of LED. They also use the pinhole imaging principle for optical sensing, which relies solely on light intensity detection."
O_ISAC_055,Turbulence,Gamma-Gamma,ADOPTED,The atmospheric turbulence can be described by the Gamma-Gamma model [12].,I checked Section II where the authors define their system model. They explicitly mention the Gamma-Gamma model for atmospheric turbulence in the FSO channel.
O_ISAC_055,Turbulence,Gamma-Gamma,ADOPTED,The atmospheric turbulence can be described by the Gamma-Gamma model [12].,I checked Section II where the authors define their system model. They explicitly mention the Gamma-Gamma model for atmospheric turbulence in the FSO Channel subsection.
O_ISAC_061,Atmospheric,Beer-Lambert,ADOPTED,The attenuation brought by fog and haze can be derived by the Beer-Lambert law as L_a(D) = 10^(-αD/10000),I checked Section II where the authors define their system model and channel models. They explicitly mention the Beer-Lambert law for atmospheric attenuation and the log-normal distribution for atmospheric turbulence.
O_ISAC_061,Turbulence,Log-Normal,ADOPTED,The scintillation brought by the atmospheric turbulence is modelled by the log-normal distribution and can be depicted by a stochastic scintillation term L_t(D) as p(L_t; D) = 1/(L_t * sqrt(2πσ_t^2)) * exp(-1/(2σ_t^2) * (ln(L_t) + σ_t^2/2)^2),I checked Section II where the authors define their system model and channel models. They explicitly mention the Beer-Lambert law for atmospheric attenuation and the log-normal distribution for atmospheric turbulence.
O_ISAC_061,Atmospheric,Beer-Lambert,ADOPTED,The atmospheric attenuation is derived by the Beer-Lambert law as L_a(D) = 10^(-αD/10000),"I checked Section II where the authors define their system model and channel models. The atmospheric attenuation is modeled using the Beer-Lambert law, and the atmospheric turbulence is modeled using a log-normal distribution."
O_ISAC_061,Turbulence,Log-Normal,ADOPTED,The scintillation brought by the atmospheric turbulence is modeled by the log-normal distribution as p(L_t; D) = 1/(L_t * sqrt(2πσ_t^2)) * exp(-1/(2σ_t^2) * (ln(L_t) + σ_t^2/2)^2),"I checked Section II where the authors define their system model and channel models. The atmospheric attenuation is modeled using the Beer-Lambert law, and the atmospheric turbulence is modeled using a log-normal distribution."
O_ISAC_062,Multipath/Indoor,Lambertian,ADOPTED,"The LOS channel gain between the mth LED and nth PD is given by a Lambertian model, as shown in equation (9).","I checked Section II. The authors explicitly define the channel model using a diffuse-scattering model with single bounce reflection, which includes a LOS path and NLOS paths. The LOS channel gain is given by a Lambertian model, and the NLOS channel gain is given by a model that takes into account the irradiation angle, incidence angle, and reflection rate."
O_ISAC_062,Multipath/Indoor,Diffuse-scattering,ADOPTED,"The authors consider a diffuse-scattering model with single bounce reflection, as described in Section II.","I checked Section II. The authors explicitly define the channel model using a diffuse-scattering model with single bounce reflection, which includes a LOS path and NLOS paths. The LOS channel gain is given by a Lambertian model, and the NLOS channel gain is given by a model that takes into account the irradiation angle, incidence angle, and reflection rate."
O_ISAC_062,Multipath/Indoor,Lambertian,ADOPTED,"The LOS channel gain is given by (9) and the NLOS channel gain is given by (15), which are based on the Lambertian radiation model.",I checked Section II. The authors explicitly define the channel model using a diffuse-scattering model with single bounce reflection. The LOS channel gain is given by (9) and the NLOS channel gain is given by (15). The channel model is based on the Lambertian radiation model.
O_ISAC_091,Atmospheric,Beer-Lambert,ADOPTED,attenuation is given by L_a(D) = 10^{-\alpha D/10000},I checked Section II. The authors explicitly define the atmospheric channel model using the Beer-Lambert law (Eq 8) for atmospheric attenuation and the log-normal distribution (Eq 9) for atmospheric turbulence.
O_ISAC_091,Turbulence,Log-Normal,ADOPTED,scintillation can be modelled by the log-normal distribution,I checked Section II. The authors explicitly define the atmospheric channel model using the Beer-Lambert law (Eq 8) for atmospheric attenuation and the log-normal distribution (Eq 9) for atmospheric turbulence.
O_ISAC_091,Atmospheric,Beer-Lambert,ADOPTED,attenuation is given by L_a(D) = 10^(-αD/10000),I checked Section II. The authors explicitly define the atmospheric attenuation using the Beer-Lambert law (Eq 8) and the atmospheric turbulence using the log-normal distribution (Eq 9).
O_ISAC_091,Turbulence,Log-Normal,ADOPTED,"scintillation can be modelled by the log-normal distribution, p(L_t; D) = 1/(L_t * sqrt(2*pi*σ_t^2)) * exp(-1/(2*σ_t^2) * (ln(L_t) + σ_t^2/2)^2)",I checked Section II. The authors explicitly define the atmospheric attenuation using the Beer-Lambert law (Eq 8) and the atmospheric turbulence using the log-normal distribution (Eq 9).
O_ISAC_098,Pointing,Beckmann,ADOPTED,"The beam displacement at the receiving plane D = [Dx, Dy] conforms to the Beckman distribution.","I checked Section II of the paper. The authors explicitly define the channel model, including pointing error, atmospheric turbulence, and atmospheric attenuation. For pointing error, they use the Beckmann distribution. For atmospheric turbulence, they use the log-normal distribution under weak turbulence conditions and the Gamma-Gamma distribution under medium to strong turbulence conditions. For atmospheric attenuation, they use an exponential decay model."
O_ISAC_098,Turbulence,Log-Normal,ADOPTED,"For weak turbulence conditions, we utilize the lognormal fading model to characterize the atmospheric turbulence fading.","I checked Section II of the paper. The authors explicitly define the channel model, including pointing error, atmospheric turbulence, and atmospheric attenuation. For pointing error, they use the Beckmann distribution. For atmospheric turbulence, they use the log-normal distribution under weak turbulence conditions and the Gamma-Gamma distribution under medium to strong turbulence conditions. For atmospheric attenuation, they use an exponential decay model."
O_ISAC_098,Turbulence,Gamma-Gamma,ADOPTED,"For medium to strong turbulence conditions, we utilize the Gamma-Gamma turbulence model to characterize the atmospheric fading.","I checked Section II of the paper. The authors explicitly define the channel model, including pointing error, atmospheric turbulence, and atmospheric attenuation. For pointing error, they use the Beckmann distribution. For atmospheric turbulence, they use the log-normal distribution under weak turbulence conditions and the Gamma-Gamma distribution under medium to strong turbulence conditions. For atmospheric attenuation, they use an exponential decay model."
O_ISAC_098,Atmospheric,Exponential Decay,ADOPTED,"The atmospheric attenuation can be written as hl_s,o,r = 10^(-al(ls,o + lo,r)/10^4).","I checked Section II of the paper. The authors explicitly define the channel model, including pointing error, atmospheric turbulence, and atmospheric attenuation. For pointing error, they use the Beckmann distribution. For atmospheric turbulence, they use the log-normal distribution under weak turbulence conditions and the Gamma-Gamma distribution under medium to strong turbulence conditions. For atmospheric attenuation, they use an exponential decay model."
O_ISAC_100,Atmospheric,Beer-Lambert,ADOPTED,atmospheric attenuation is given by L_a(D) = exp(-beta_a * D) (Eq 3),"I checked Section II and III. The authors explicitly define the channel gain of communication and sensing using the Beer-Lambert law for atmospheric attenuation (Eq 3), the log-normal distribution for atmospheric turbulence (Eq 4), and the geometric loss (Eq 6). They also define the EADO-OFDM signal model and its non-linear distortion."
O_ISAC_100,Turbulence,Log-Normal,ADOPTED,atmospheric turbulence is modeled using the log-normal distribution (Eq 4),"I checked Section II and III. The authors explicitly define the channel gain of communication and sensing using the Beer-Lambert law for atmospheric attenuation (Eq 3), the log-normal distribution for atmospheric turbulence (Eq 4), and the geometric loss (Eq 6). They also define the EADO-OFDM signal model and its non-linear distortion."
O_ISAC_100,Multipath/Indoor,Geometric Loss,ADOPTED,geometric loss is given by L_g(D) = A_c / pi * (2 / (D * theta))^2 (Eq 6),"I checked Section II and III. The authors explicitly define the channel gain of communication and sensing using the Beer-Lambert law for atmospheric attenuation (Eq 3), the log-normal distribution for atmospheric turbulence (Eq 4), and the geometric loss (Eq 6). They also define the EADO-OFDM signal model and its non-linear distortion."
O_ISAC_107,Multipath/Indoor,Lambertian,ADOPTED,"The authors use the Lambertian model to describe the emission of the IR LED, as seen in equation (2).","I checked Section II. The authors explicitly define the system model using equations (1) to (15), but do not explicitly define a specific channel probability distribution or path loss model from the target categories. However, they do describe the optical wireless channel and its components, including the line-of-sight (LOS) and non-line-of-sight (NLOS) paths, and provide an equation (2) for the LOS channel DC-gain, which depends on the link geometry and the order of Lambertian emission of the IR LED."
O_ISAC_108,Multipath/Indoor,Lambertian,ADOPTED,"The radiation patterns of LED light sources are starkly different from those of RF antennas. Hence, our initial step models LED propagation patterns to analyze received signal strength at devices effectively. Considering the m-th O-AP with Lambertian model [5], the LED has a semi-angle at half power.",I checked Section II where the authors define their system model and channel model. The authors explicitly define the radiation pattern of the LED light source using the Lambertian model.
O_ISAC_112,Multipath/Indoor,Lambertian,ADOPTED,The paper uses the Lambertian light source model to describe the optical signal transmission.,"I checked Section II. The authors explicitly define the channel model using the Lambertian light source model and provide equations for the channel gain and optical power received. However, no specific probability distributions are mentioned for the channel model. The channel model provided is deterministic and does not involve any probability distributions."
O_ISAC_114,Multipath/Indoor,Lambertian,ADOPTED,"The LOS channel gain for communication is given by Eq (6), which resembles a Lambertian model.","I checked Section II of the paper where the authors define their system model. The channel models for communication, sensing, and energy harvesting are explicitly defined. For communication, the LOS channel gain is given by Eq (6), which resembles a Lambertian model. For sensing, the LOS channel gain under the point source model is given by Eq (10), which also resembles a Lambertian model but with an additional term to account for the reflected signal. For energy harvesting, the channel gain is given by Eq (17), which is similar to the Lambertian model used for communication. No specific turbulence or atmospheric models are mentioned, but the use of Lambertian models implies a consideration of the multipath effects in indoor environments."
O_ISAC_114,Multipath/Indoor,Lambertian with reflection,ADOPTED,"The LOS channel gain for sensing under the point source model is given by Eq (10), which resembles a Lambertian model with an additional term to account for the reflected signal.","I checked Section II of the paper where the authors define their system model. The channel models for communication, sensing, and energy harvesting are explicitly defined. For communication, the LOS channel gain is given by Eq (6), which resembles a Lambertian model. For sensing, the LOS channel gain under the point source model is given by Eq (10), which also resembles a Lambertian model but with an additional term to account for the reflected signal. For energy harvesting, the channel gain is given by Eq (17), which is similar to the Lambertian model used for communication. No specific turbulence or atmospheric models are mentioned, but the use of Lambertian models implies a consideration of the multipath effects in indoor environments."
O_ISAC_114,Multipath/Indoor,Lambertian,ADOPTED,"The channel gain for energy harvesting is given by Eq (17), which is similar to the Lambertian model used for communication.","I checked Section II of the paper where the authors define their system model. The channel models for communication, sensing, and energy harvesting are explicitly defined. For communication, the LOS channel gain is given by Eq (6), which resembles a Lambertian model. For sensing, the LOS channel gain under the point source model is given by Eq (10), which also resembles a Lambertian model but with an additional term to account for the reflected signal. For energy harvesting, the channel gain is given by Eq (17), which is similar to the Lambertian model used for communication. No specific turbulence or atmospheric models are mentioned, but the use of Lambertian models implies a consideration of the multipath effects in indoor environments."
O_ISAC_117,Turbulence,Gamma-Gamma,ADOPTED,"The probability density function of the Gamma-Gamma distribution is given in Equation 7, which describes the channel model.","I checked Section II, specifically the Channel Model subsection. The authors explicitly define the channel model using the Gamma-Gamma distribution, which is a turbulence model. The probability density function of the Gamma-Gamma distribution is given in Equation 7."
