paper_id,coupling_family,axis_x,axis_y,method,evidence,full_reasoning
O_ISAC_011,waveform_coupling,NONE detected,NONE detected,NONE detected,"The system uses OFDM waveform for both data transmission and positioning, but no explicit trade-off is formulated.","The authors propose a retroreflective optical ISAC system and analyze its performance through simulations. However, they do not explicitly formulate a trade-off between communication and sensing metrics."
O_ISAC_011,waveform_coupling,NONE detected,NONE detected,NONE detected,The system uses OFDM waveform for both data transmission and positioning.,"The authors propose a retroreflective optical ISAC system supporting 3D positioning in indoor environments. The system uses OFDM waveform for data transmission and positioning, and the cross-correlation calculation between the transmitted signal and the reflected signal to measure the distance. However, there is no explicit trade-off formulation between communication and sensing metrics."
O_ISAC_060,waveform_coupling,NONE detected,NONE detected,NONE detected,"The authors propose a unified waveform for optical wireless integrated sensing and communication, but do not explicitly formulate a trade-off between communication and sensing metrics.","The authors propose a unified waveform for optical wireless integrated sensing and communication, but do not explicitly formulate a trade-off between communication and sensing metrics."
O_ISAC_060,waveform_coupling,NONE detected,NONE detected,NONE detected,"The authors propose a unified waveform for optical wireless integrated sensing and communication, but do not explicitly formulate a trade-off between communication and sensing metrics.","The authors propose a unified waveform for optical wireless integrated sensing and communication, but do not explicitly formulate a trade-off between communication and sensing metrics."
O_ISAC_031,waveform_coupling,NONE detected,NONE detected,NONE detected,"The paper focuses on the design and performance of the proposed CCFD ISAC system, but does not explicitly formulate trade-offs between communication and sensing metrics.","The authors propose a photonics-enabled full-duplex millimeter-wave integrated sensing and communication system. However, no explicit trade-off formulation is detected between communication and sensing metrics."
O_ISAC_031,waveform_coupling,NONE detected,NONE detected,NONE detected,"The system utilizes optical-domain millimeter-wave self-interference cancellation (SIC), but no explicit trade-off is formulated.","The authors propose a photonics-enabled full-duplex millimeter-wave integrated sensing and communication system. However, no explicit trade-off formulation is detected in the provided text."
O_ISAC_032,NONE detected,NONE detected,NONE detected,NONE detected,No explicit trade-off formulation between communication and sensing metrics is found in the provided text.,"The authors propose a piecewise uniform compensation method to address the nonlinear issue of temperature response in fiber-optic vibration sensing units (FOVSUs). The method involves dividing the temperature interval into smaller steps to reduce the impact of nonlinearity on temperature compensation. However, there is no explicit trade-off formulation between communication and sensing metrics in the provided text."
O_ISAC_032,algorithmic_coupling,NONE detected,NONE detected,NONE detected,The paper focuses on temperature compensation in FOVSUs and does not explicitly formulate a trade-off between communication and sensing metrics.,"The authors propose a piecewise uniform compensation method to address the nonlinear issue of temperature response in fiber-optic vibration sensing units (FOVSUs). The method involves dividing the temperature interval into smaller steps to reduce the impact of nonlinearity on temperature compensation. However, there is no explicit trade-off formulation between communication and sensing metrics."
O_ISAC_033,NONE detected,NONE detected,NONE detected,NONE detected,No explicit trade-off formulation is presented in the provided text.,"The authors explore two fiber sensing methods that enable coexistence with data transmission on DWDM fiber networks. However, no explicit trade-off formulation is presented, and the focus is on demonstrating the feasibility of these methods."
O_ISAC_033,hardware_coupling,NONE detected,NONE detected,NONE detected,No explicit trade-off formulation is presented in the provided text.,"The authors explore two fiber sensing methods that enable coexistence with data transmission on DWDM fiber networks. However, no explicit trade-off formulation is presented in the provided text."
O_ISAC_034,waveform_coupling,NONE detected,NONE detected,NONE detected,No explicit trade-off formulation is presented in the provided text.,"The authors propose a pulse sequence sensing and pulse position modulation (PSS-PPM) method for optical ISAC, which provides sensing and communication abilities for a laser radar simultaneously. However, no explicit trade-off formulation is presented in the provided text."
O_ISAC_034,waveform_coupling,NONE detected,NONE detected,NONE detected,"The authors propose a joint waveform design for ISAC, but do not formulate an explicit trade-off between communication and sensing metrics.","The authors propose a pulse sequence sensing and pulse position modulation (PSS-PPM) method for optical integrated sensing and communication (ISAC). They derive performance metrics for both communication and sensing, including achievable rate, bit error rate (BER), mean square error (MSE), and resolution. However, no explicit trade-off formulation between communication and sensing metrics is provided."
O_ISAC_035,waveform_coupling,spectral_efficiency,ranging_accuracy,NONE,"Although this does introduce a trade-off in spectral efficiency, it allows us to decouple the sensing and communication functions, enabling more reliable and flexible performance adaptability.","The authors propose an OCDM-based FMCW waveform design for FSO-ISAC, where one OCDM subcarrier is selected for FMCW ranging and the remaining subcarriers are for communications. The design introduces a trade-off in spectral efficiency but allows for more reliable and flexible performance adaptability."
O_ISAC_035,waveform_coupling,spectral_efficiency,ranging_accuracy,NONE,"Although this does introduce a trade-off in spectral efficiency, it allows us to decouple the sensing and communication functions, enabling more reliable and flexible performance adaptability.","The authors propose an OCDM-based FMCW waveform design for FSO-ISAC, where one OCDM subcarrier is dedicated for FMCW ranging and the remaining subcarriers are used for communication. The design introduces a trade-off in spectral efficiency but allows for decoupling of sensing and communication functions."
O_ISAC_036,hardware_coupling,optical power,electro-optics bandwidth,NONE detected,"a compact, cost-efficient and fullyintegrated solution with a good trade-off between optical power, electro-optics bandwidth and driving voltage","The authors present a heterogeneous fully integrated photonics transmitter with a III-V-on-SOI laser and EAM, achieving a compact, cost-efficient, and fully-integrated solution with a good trade-off between optical power, electro-optics bandwidth, and driving voltage."
O_ISAC_036,waveform_coupling,16-QAM communication signal,LFMCW sensing signal,frequency division multiplexing,a sensing and a communication FR3 mmWave signal were multiplexed in the frequency domain and simultaneously modulated by the PIC and transmitted over the FSO link,"The authors present a heterogeneous fully integrated photonics transmitter with a III-V-on-SOI laser and EAM, achieving a compact, cost-efficient, and fully-integrated solution with a good trade-off between optical power, electro-optics bandwidth, and driving voltage."
O_ISAC_036,hardware_coupling,optical power,electro-optics bandwidth,NONE detected,"a compact, cost-efficient and fully-integrated solution with a good trade-off between optical power, electro-optics bandwidth and driving voltage","The authors present a heterogeneous fully integrated photonics transmitter with a III-V-on-SOI laser and EAM, achieving a compact, cost-efficient, and fully-integrated solution with a good trade-off between optical power, electro-optics bandwidth, and driving voltage."
O_ISAC_036,resource_coupling,data rate,sensing resolution,NONE detected,"at least 24 data rate using a 16-QAM, as well as a sensing resolution as low as 0.03 at a range up to 384","The authors present a heterogeneous fully integrated photonics transmitter with a III-V-on-SOI laser and EAM, achieving a compact, cost-efficient, and fully-integrated solution with a good trade-off between optical power, electro-optics bandwidth, and driving voltage."
