duplicate_id,duplicate_title,duplicate_doi,raw_source_database,raw_source_file,raw_source_row,raw_match_rule,duplicate_log_source_file,duplicate_log_source_row,decision_date,decision_basis,matched_in_scopus_screening_entries,master_track_id,master_title,master_doi,master_source_file,master_source_row,master_source_decision,master_match_rule,master_resolution_status,evidence_scope,notes
DEDUP_RECON_015,Integrated Positioning and Communication Relying on Wireless Optical OFDM,10.1109/JSAC.2025.3543532,Scopus,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,54,exact_title_doi,analysis/ph1_scr/screening_log.csv,85,2025-12-28,explicit_duplicate_decision_in_legacy_screening_log,yes,O_ISAC_009,Integrated Positioning and Communication Relying on Wireless Optical OFDM,10.1109/JSAC.2025.3543532,analysis/ph1_scr/included_studies_list.csv,10,Included,doi_match,resolved_to_nonduplicate_master,partial_dec28_update_workflow_only,
DEDUP_RECON_016,Bidirectional Retroreflective Optical ISAC Using Time Division Duplexing and Clipped OFDM,10.1109/LPT.2025.3541038,Scopus,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,55,exact_title_doi,analysis/ph1_scr/screening_log.csv,86,2025-12-28,explicit_duplicate_decision_in_legacy_screening_log,yes,O_ISAC_099,Bidirectional Retroreflective Optical ISAC Using Time Division Duplexing and Clipped OFDM,10.1109/LPT.2025.3541038,analysis/ph1_scr/included_studies_list.csv,98,Included,doi_match,resolved_to_nonduplicate_master,partial_dec28_update_workflow_only,
DEDUP_RECON_017,Optical Integrated Sensing and Communication With Light-Emitting Diode,10.1109/JIOT.2024.3523045,Scopus,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,59,exact_title_doi,analysis/ph1_scr/screening_log.csv,90,2025-12-28,explicit_duplicate_decision_in_legacy_screening_log,yes,O_ISAC_054,Optical Integrated Sensing and Communication With Light-Emitting Diode,10.1109/JIOT.2024.3523045,analysis/ph1_scr/included_studies_list.csv,54,Included,doi_match,resolved_to_nonduplicate_master,partial_dec28_update_workflow_only,
DEDUP_RECON_018,Free-Space Optical Integrated Sensing and Communication Based on DCO-OFDM: Performance Metrics and Resource Allocation,10.1109/JIOT.2024.3469279,Scopus,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,61,exact_title_doi,analysis/ph1_scr/screening_log.csv,92,2025-12-28,explicit_duplicate_decision_in_legacy_screening_log,yes,O_ISAC_023,Free-Space Optical Integrated Sensing and Communication Based on DCO-OFDM: Performance Metrics and Resource Allocation,10.1109/JIOT.2024.3469279,analysis/ph1_scr/included_studies_list.csv,24,Included,doi_match,resolved_to_nonduplicate_master,partial_dec28_update_workflow_only,
DEDUP_RECON_019,On the Feasibility of Cyclist Detection Using MIMO-Radar for Long-Range ISAC Scenarios,10.23919/ICMU65253.2025.11219159,Scopus,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,65,exact_title_doi,analysis/ph1_scr/screening_log.csv,96,2025-12-28,explicit_duplicate_decision_in_legacy_screening_log,yes,O_ISAC_118,On the Feasibility of Cyclist Detection Using MIMO-Radar for Long-Range ISAC Scenarios,10.23919/ICMU65253.2025.11219159,analysis/ph1_scr/included_studies_list.csv,117,Included,doi_match,resolved_to_nonduplicate_master,partial_dec28_update_workflow_only,
DEDUP_RECON_020,Signal-Signal Beating Interference: From Destructive to Constructive for Photonic THz Integrated Sensing and Communication System Using Self-Coherent OFDM,10.1109/TMTT.2025.3638469,Scopus,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,68,exact_title_doi,analysis/ph1_scr/screening_log.csv,99,2025-12-28,explicit_duplicate_decision_in_legacy_screening_log,yes,O_ISAC_082,Signal-Signal Beating Interference: From Destructive to Constructive for Photonic THz Integrated Sensing and Communication System Using Self-Coherent OFDM,10.1109/TMTT.2025.3638469,analysis/ph1_scr/included_studies_list.csv,82,Included,doi_match,resolved_to_nonduplicate_master,partial_dec28_update_workflow_only,
DEDUP_RECON_021,Passive Sensing Technique Using Cyclic Prefix in Power-Constrained Optical Wireless Communication Systems,10.1109/TVT.2025.3640107,Scopus,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,70,exact_title_doi,analysis/ph1_scr/screening_log.csv,101,2025-12-28,explicit_duplicate_decision_in_legacy_screening_log,yes,O_ISAC_133,Passive Sensing Technique Using Cyclic Prefix in Power-Constrained Optical Wireless Communication Systems,10.1109/TVT.2025.3640107,analysis/ph1_scr/included_studies_list.csv,132,Included,doi_match,resolved_to_nonduplicate_master,partial_dec28_update_workflow_only,
DEDUP_RECON_022,"Photonics-assisted System for Joint Radar Ranging, Wireless Communications and Spectrum Sensing",10.1109/JLT.2025.3632104,Scopus,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,76,exact_title_doi,analysis/ph1_scr/screening_log.csv,107,2025-12-28,explicit_duplicate_decision_in_legacy_screening_log,yes,O_ISAC_152,"Photonics-assisted System for Joint Radar Ranging, Wireless Communications and Spectrum Sensing",10.1109/JLT.2025.3632104,analysis/ph1_scr/included_studies_list.csv,151,Included,doi_match,resolved_to_nonduplicate_master,partial_dec28_update_workflow_only,
DEDUP_RECON_023,New Paradigm for Integrated Sensing and Communication with Rydberg Atomic Receiver,10.1109/MCOM.001.2500371,Scopus,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,77,exact_title_doi,analysis/ph1_scr/screening_log.csv,108,2025-12-28,explicit_duplicate_decision_in_legacy_screening_log,yes,O_ISAC_136,New Paradigm for Integrated Sensing and Communication with Rydberg Atomic Receiver,10.1109/MCOM.001.2500371,analysis/ph1_scr/included_studies_list.csv,135,Included,doi_match,resolved_to_nonduplicate_master,partial_dec28_update_workflow_only,
DEDUP_RECON_024,"Multichannel Wind-Signal Driven Digital Twin for a 50 m2 Heliostat: Compressed Sampling, Load Estimation and Edge-Cloud Hybrid Computing",10.1109/ICSPCC66825.2025.11194376,Scopus,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,78,exact_title_doi,analysis/ph1_scr/screening_log.csv,109,2025-12-28,explicit_duplicate_decision_in_legacy_screening_log,yes,O_ISAC_144,"Multichannel Wind-Signal Driven Digital Twin for a 50 m2 Heliostat: Compressed Sampling, Load Estimation and Edge–Cloud Hybrid Computing",10.1109/ICSPCC66825.2025.11194376,analysis/ph1_scr/included_studies_list.csv,143,Included,doi_match,resolved_to_nonduplicate_master,partial_dec28_update_workflow_only,
DEDUP_RECON_025,All-Optical Computing for Direction-of-Arrival Estimation Beyond Diffraction Limits,,Scopus,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,79,exact_title_doi,analysis/ph1_scr/screening_log.csv,110,2025-12-28,explicit_duplicate_decision_in_legacy_screening_log,yes,O_ISAC_121,All-Optical Computing for Direction-of-Arrival Estimation Beyond Diffraction Limits,,analysis/ph1_scr/included_studies_list.csv,120,Included,title_match,resolved_to_nonduplicate_master,partial_dec28_update_workflow_only,
DEDUP_RECON_026,Machine Learning-Enhanced Multi-Pump RFA for High-Performance Optical Backbone in Low-Altitude Sensing and Communication,10.1109/JIOT.2025.3626345,Scopus,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,83,exact_title_doi,analysis/ph1_scr/screening_log.csv,114,2025-12-28,explicit_duplicate_decision_in_legacy_screening_log,yes,O_ISAC_102,Machine Learning-Enhanced Multi-Pump RFA for High-Performance Optical Backbone in Low-Altitude Sensing and Communication,10.1109/JIOT.2025.3626345,analysis/ph1_scr/included_studies_list.csv,101,Included,doi_match,resolved_to_nonduplicate_master,partial_dec28_update_workflow_only,
DEDUP_RECON_027,Integrated Communication and In-band Spectrum Polarization-Based Sensing via Fraction-Division Non-Orthogonal Multiple Access,10.1109/JLT.2025.3625373,Scopus,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,85,exact_title_doi,analysis/ph1_scr/screening_log.csv,116,2025-12-28,explicit_duplicate_decision_in_legacy_screening_log,yes,O_ISAC_080,Integrated Communication and In-band Spectrum Polarization-Based Sensing via Fraction-Division Non-Orthogonal Multiple Access,10.1109/JLT.2025.3625373,analysis/ph1_scr/included_studies_list.csv,80,Included,doi_match,resolved_to_nonduplicate_master,partial_dec28_update_workflow_only,
DEDUP_RECON_028,Secrecy Energy Efficiency of Hybrid Wireless Body Area Networks,10.1109/TMC.2025.3618098,Scopus,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,93,exact_title_doi,analysis/ph1_scr/screening_log.csv,124,2025-12-28,explicit_duplicate_decision_in_legacy_screening_log,yes,O_ISAC_145,Secrecy Energy Efficiency of Hybrid Wireless Body Area Networks,10.1109/TMC.2025.3618098,analysis/ph1_scr/included_studies_list.csv,144,Included,doi_match,resolved_to_nonduplicate_master,partial_dec28_update_workflow_only,
DEDUP_RECON_029,Optimal Beamforming for Optical Wireless Integrated Sensing and Communication Based on Optical Phased Array,10.1109/ICC52391.2025.11160979,Scopus,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,95,exact_title_doi,analysis/ph1_scr/screening_log.csv,126,2025-12-28,explicit_duplicate_decision_in_legacy_screening_log,yes,O_ISAC_091,Optimal Beamforming for Optical Wireless Integrated Sensing and Communication Based on Optical Phased Array,10.1109/ICC52391.2025.11160979,analysis/ph1_scr/included_studies_list.csv,90,Included,doi_match,resolved_to_nonduplicate_master,partial_dec28_update_workflow_only,
DEDUP_RECON_030,Exploring Photonic THz-ISAC Systems with Integrated Waveforms,10.1109/JLT.2025.3615209,Scopus,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,96,exact_title_doi,analysis/ph1_scr/screening_log.csv,127,2025-12-28,explicit_duplicate_decision_in_legacy_screening_log,yes,O_ISAC_070,Exploring Photonic THz-ISAC Systems with Integrated Waveforms,10.1109/JLT.2025.3615209,analysis/ph1_scr/included_studies_list.csv,70,Included,doi_match,resolved_to_nonduplicate_master,partial_dec28_update_workflow_only,
DEDUP_RECON_031,Perception-Enhanced Multitask Multimodal Semantic Communication for UAV-Assisted Integrated Sensing and Communication System,10.1109/ICCWorkshops67674.2025.11162428,Scopus,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,99,exact_title_doi,analysis/ph1_scr/screening_log.csv,130,2025-12-28,explicit_duplicate_decision_in_legacy_screening_log,yes,O_ISAC_094,Perception-Enhanced Multitask Multimodal Semantic Communication for UAV-Assisted Integrated Sensing and Communication System,10.1109/ICCWorkshops67674.2025.11162428,analysis/ph1_scr/included_studies_list.csv,93,Included,doi_match,resolved_to_nonduplicate_master,partial_dec28_update_workflow_only,
DEDUP_RECON_032,A General 6G Large-scale Fading Channel Model for Multiple Frequency Bands and Scenarios,10.1109/ICCC65529.2025.11148844,Scopus,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,100,exact_title_doi,analysis/ph1_scr/screening_log.csv,131,2025-12-28,explicit_duplicate_decision_in_legacy_screening_log,yes,O_ISAC_126,A General 6G Large-scale Fading Channel Model for Multiple Frequency Bands and Scenarios,10.1109/ICCC65529.2025.11148844,analysis/ph1_scr/included_studies_list.csv,125,Included,doi_match,resolved_to_nonduplicate_master,partial_dec28_update_workflow_only,
DEDUP_RECON_033,Integrated Vibration Sensing in DSCM Systems Under ECLs Based on ANN and Digital Twin,10.1109/ICOCN67308.2025.11145413,Scopus,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,106,exact_title_doi,analysis/ph1_scr/screening_log.csv,137,2025-12-28,explicit_duplicate_decision_in_legacy_screening_log,yes,O_ISAC_072,Integrated Vibration Sensing in DSCM Systems Under ECLs Based on ANN and Digital Twin,10.1109/ICOCN67308.2025.11145413,analysis/ph1_scr/included_studies_list.csv,72,Included,doi_match,resolved_to_nonduplicate_master,partial_dec28_update_workflow_only,
DEDUP_RECON_034,Modulation Strategies for Robust Optical Wireless Communications and Sensing in 6G,10.1109/ICTON67126.2025.11125210,Scopus,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,110,exact_title_doi,analysis/ph1_scr/screening_log.csv,141,2025-12-28,explicit_duplicate_decision_in_legacy_screening_log,yes,O_ISAC_001,Modulation Strategies for Robust Optical Wireless Communications and Sensing in 6G,10.1109/ICTON67126.2025.11125210,analysis/ph1_scr/included_studies_list.csv,2,Included,doi_match,resolved_to_nonduplicate_master,partial_dec28_update_workflow_only,
DEDUP_RECON_035,Intent and Context-Aware Optical Networks,10.1109/ICTON67126.2025.11125334,Scopus,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,112,exact_title_doi,analysis/ph1_scr/screening_log.csv,143,2025-12-28,explicit_duplicate_decision_in_legacy_screening_log,yes,O_ISAC_101,Intent and Context-Aware Optical Networks,10.1109/ICTON67126.2025.11125334,analysis/ph1_scr/included_studies_list.csv,100,Included,doi_match,resolved_to_nonduplicate_master,partial_dec28_update_workflow_only,
DEDUP_RECON_036,"2025 IEEE Photonics Society Summer Topicals Meeting Series, SUM 2025 - Proceedings",,Scopus,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,115,exact_title_doi,analysis/ph1_scr/screening_log.csv,146,2025-12-28,explicit_duplicate_decision_in_legacy_screening_log,yes,,,,,,,,master_not_resolved_in_current_repo_snapshot,partial_dec28_update_workflow_only,"Duplicate decision is explicit in the legacy screening log, but a retained non-duplicate master record is not recoverable from current repo artifacts."
DEDUP_RECON_037,Sensing Assisted Localization Services for Indoor Environments,10.23919/WiOpt66569.2025.11123308,Scopus,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,116,exact_title_doi,analysis/ph1_scr/screening_log.csv,147,2025-12-28,explicit_duplicate_decision_in_legacy_screening_log,yes,O_ISAC_139,Sensing Assisted Localization Services for Indoor Environments,10.23919/WiOpt66569.2025.11123308,analysis/ph1_scr/included_studies_list.csv,138,Included,doi_match,resolved_to_nonduplicate_master,partial_dec28_update_workflow_only,
DEDUP_RECON_038,Joint communication and sensing in access networks for anthropic activities monitoring and real-time safety surveillance,10.1109/SUM65312.2025.11121744,Scopus,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,117,exact_title_doi,analysis/ph1_scr/screening_log.csv,148,2025-12-28,explicit_duplicate_decision_in_legacy_screening_log,yes,O_ISAC_104,Joint communication and sensing in access networks for anthropic activities monitoring and real-time safety surveillance,10.1109/SUM65312.2025.11121744,analysis/ph1_scr/included_studies_list.csv,103,Included,doi_match,resolved_to_nonduplicate_master,partial_dec28_update_workflow_only,
DEDUP_RECON_039,Wide-Steering Integrated Sensing and Communication OPA-Based Lidar Design with Joint Waveform and Thinned Antenna,10.23919/OECC/PSC62146.2025.11111436,Scopus,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,119,exact_title_doi,analysis/ph1_scr/screening_log.csv,150,2025-12-28,explicit_duplicate_decision_in_legacy_screening_log,yes,O_ISAC_008,Wide-Steering Integrated Sensing and Communication OPA-Based Lidar Design with Joint Waveform and Thinned Antenna,10.23919/OECC/PSC62146.2025.11111436,analysis/ph1_scr/included_studies_list.csv,9,Included,doi_match,resolved_to_nonduplicate_master,partial_dec28_update_workflow_only,
DEDUP_RECON_040,UAV-Aided Flying Retroreflective Optical ISAC with Angle Diversity Transmitters,10.23919/OECC/PSC62146.2025.11110803,Scopus,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,121,exact_title_doi,analysis/ph1_scr/screening_log.csv,152,2025-12-28,explicit_duplicate_decision_in_legacy_screening_log,yes,O_ISAC_040,UAV-Aided Flying Retroreflective Optical ISAC with Angle Diversity Transmitters,10.23919/OECC/PSC62146.2025.11110803,analysis/ph1_scr/included_studies_list.csv,41,Included,doi_match,resolved_to_nonduplicate_master,partial_dec28_update_workflow_only,
DEDUP_RECON_041,Pre-Compensation of LFM Sensing Probe via Integrated Sensing and Communication over Fiber System,10.23919/OECC/PSC62146.2025.11111272,Scopus,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,122,exact_title_doi,analysis/ph1_scr/screening_log.csv,153,2025-12-28,explicit_duplicate_decision_in_legacy_screening_log,yes,O_ISAC_024,Pre-Compensation of LFM Sensing Probe via Integrated Sensing and Communication over Fiber System,10.23919/OECC/PSC62146.2025.11111272,analysis/ph1_scr/included_studies_list.csv,25,Included,doi_match,resolved_to_nonduplicate_master,partial_dec28_update_workflow_only,
DEDUP_RECON_042,"2025 IEEE International Mediterranean Conference on Communications and Networking, MeditCom 2025",,Scopus,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,124,exact_title_doi,analysis/ph1_scr/screening_log.csv,155,2025-12-28,explicit_duplicate_decision_in_legacy_screening_log,yes,,,,,,,,master_not_resolved_in_current_repo_snapshot,partial_dec28_update_workflow_only,"Duplicate decision is explicit in the legacy screening log, but a retained non-duplicate master record is not recoverable from current repo artifacts."
DEDUP_RECON_043,Zero-Padding 2D-DFT Scheme for Photonics-Assisted W-Band Fiber-Wireless ISAC System with Orthogonal Time Frequency Space Modulation,10.1109/JLT.2025.3602312,Scopus,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,126,exact_title_doi,analysis/ph1_scr/screening_log.csv,157,2025-12-28,explicit_duplicate_decision_in_legacy_screening_log,yes,O_ISAC_047,Zero-Padding 2D-DFT Scheme for Photonics-Assisted W-Band Fiber-Wireless ISAC System With Orthogonal Time Frequency Space Modulation,10.1109/JLT.2025.3602312,analysis/ph1_scr/included_studies_list.csv,47,Included,doi_match,resolved_to_nonduplicate_master,partial_dec28_update_workflow_only,
