support_id,match_type,ieee_source_file,ieee_source_row,ieee_title,ieee_doi,scopus_source_file,scopus_source_row,scopus_title,scopus_doi,already_in_dedup_log,support_scope,notes
EXT_DEDUP_011,exact_doi,screening/external/IEEE_511_OISAC_Results.csv,23,Movable Access Point-Aided Integrated Visible Light Communication and Sensing Networks,10.1109/lwc.2024.3521192,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,48,Movable Access Point-Aided Integrated Visible Light Communication and Sensing Networks,10.1109/lwc.2024.3521192,yes,noncanonical_external_overlap_support,External IEEE 511 export DOI match against visible Scopus update export.
EXT_DEDUP_012,exact_doi,screening/external/IEEE_511_OISAC_Results.csv,25,Demonstration of Photonic Sub-THz ISAC System with Real-Time 251.03-Gbps Communication Rate and Offline 2.5-cm Sensing Resolution,10.1109/icocn63276.2024.10648485,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,254,Demonstration of Photonic Sub-THz ISAC System with Real-Time 251.03-Gbps Communication Rate and Offline 2.5-cm Sensing Resolution,10.1109/icocn63276.2024.10648485,yes,noncanonical_external_overlap_support,External IEEE 511 export DOI match against visible Scopus update export.
EXT_DEDUP_013,normalized_title_only,screening/external/IEEE_511_OISAC_Results.csv,26,Double-effect DNN-based DBP Scheme for Integrated Sensing and Communications (ISAC),,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,363,Double-effect DNN-based DBP Scheme for Integrated Sensing and Communications (ISAC),,yes,noncanonical_external_overlap_support,External IEEE 511 export normalized-title match against visible Scopus update export.
EXT_DEDUP_014,exact_doi,screening/external/IEEE_511_OISAC_Results.csv,27,Coexistence of Distributed Sensing and Ultra-Simple Coherent RoF Based Front-Haul for Radio Access Network,10.1109/jlt.2025.3555486,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,187,Coexistence of Distributed Sensing and Ultra-Simple Coherent RoF Based Front-Haul for Radio Access Network,10.1109/jlt.2025.3555486,yes,noncanonical_external_overlap_support,External IEEE 511 export DOI match against visible Scopus update export.
EXT_DEDUP_015,normalized_title_only,screening/external/IEEE_511_OISAC_Results.csv,28,Photonic THz Sensing-assisted Multipath Channel Estimation for ISAC,,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,140,Photonic THz Sensing-assisted Multipath Channel Estimation for ISAC,10.1364/ofc.2025.th2a.23,no,noncanonical_external_overlap_support,External IEEE 511 export normalized-title match against visible Scopus update export.
EXT_DEDUP_016,exact_doi,screening/external/IEEE_511_OISAC_Results.csv,29,Full-Duplex Integrated Sensing and Communication System Based on Microwave Photonics,10.1109/acp/ipoc63121.2024.10809573,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,235,Full-duplex Integrated Sensing and Communication System Based on Microwave Photonics,10.1109/acp/ipoc63121.2024.10809573,yes,noncanonical_external_overlap_support,External IEEE 511 export DOI match against visible Scopus update export.
EXT_DEDUP_017,exact_doi,screening/external/IEEE_511_OISAC_Results.csv,33,A Technical Review of Integrated Sensing and Communication in Optical Transmission System,10.1109/icocn59242.2023.10236125,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,333,A Technical Review of Integrated Sensing and Communication in Optical Transmission System,10.1109/icocn59242.2023.10236125,no,noncanonical_external_overlap_support,External IEEE 511 export DOI match against visible Scopus update export.
EXT_DEDUP_018,exact_doi,screening/external/IEEE_511_OISAC_Results.csv,34,Photonic Integrated Sensing and Communication System Harnessing Submarine Fiber Optic Cables for Coastal Event Monitoring,10.1109/mcom.002.2200191,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,348,Photonic Integrated Sensing and Communication System Harnessing Submarine Fiber Optic Cables for Coastal Event Monitoring,10.1109/mcom.002.2200191,yes,noncanonical_external_overlap_support,External IEEE 511 export DOI match against visible Scopus update export.
EXT_DEDUP_019,exact_doi,screening/external/IEEE_511_OISAC_Results.csv,38,"Optical Integrated Sensing and Communication: Architectures, Potentials and Challenges",10.1109/iotm.001.2300196,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,207,"Optical Integrated Sensing and Communication: Architectures, Potentials and Challenges",10.1109/iotm.001.2300196,yes,noncanonical_external_overlap_support,External IEEE 511 export DOI match against visible Scopus update export.
EXT_DEDUP_020,exact_doi,screening/external/IEEE_511_OISAC_Results.csv,39,Joint Visible Light Sensing and Communication Using m-CAP Modulation,10.1109/tbc.2022.3201649,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,316,Joint Visible Light Sensing and Communication Using m-CAP Modulation,10.1109/tbc.2022.3201649,yes,noncanonical_external_overlap_support,External IEEE 511 export DOI match against visible Scopus update export.
EXT_DEDUP_021,exact_doi,screening/external/IEEE_511_OISAC_Results.csv,40,Free-Space Optical Integrated Sensing and Communication Based on DCO-OFDM: Performance Metrics and Resource Allocation,10.1109/jiot.2024.3469279,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,61,Free-Space Optical Integrated Sensing and Communication Based on DCO-OFDM: Performance Metrics and Resource Allocation,10.1109/jiot.2024.3469279,yes,noncanonical_external_overlap_support,External IEEE 511 export DOI match against visible Scopus update export.
EXT_DEDUP_022,exact_doi,screening/external/IEEE_511_OISAC_Results.csv,41,Pre-Compensation of LFM Sensing Probe via Integrated Sensing and Communication over Fiber System,10.23919/oecc/psc62146.2025.11111272,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,122,Pre-Compensation of LFM Sensing Probe via Integrated Sensing and Communication over Fiber System,10.23919/oecc/psc62146.2025.11111272,yes,noncanonical_external_overlap_support,External IEEE 511 export DOI match against visible Scopus update export.
EXT_DEDUP_023,normalized_title_only,screening/external/IEEE_511_OISAC_Results.csv,43,Optical Transport Network Optimization Supporting Integrated Sensing and Communication Services,,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,142,Optical Transport Network Optimization Supporting Integrated Sensing and Communication Services,10.1364/ofc.2025.w2a.48,yes,noncanonical_external_overlap_support,External IEEE 511 export normalized-title match against visible Scopus update export.
EXT_DEDUP_024,exact_doi,screening/external/IEEE_511_OISAC_Results.csv,44,W-band Photonic-based Integration of Sensing and Communication with Frequency-division Multiplexed Waveforms in Fiber-wireless Integrated Network,10.1109/acp55869.2022.10088790,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,356,W-band Photonic-based Integration of Sensing and Communication with Frequency-division Multiplexed Waveforms in Fiber-wireless Integrated Network,10.1109/acp55869.2022.10088790,yes,noncanonical_external_overlap_support,External IEEE 511 export DOI match against visible Scopus update export.
EXT_DEDUP_025,exact_doi,screening/external/IEEE_511_OISAC_Results.csv,50,THz Integrated Sensing and Communication With Full-Photonic Direct LFM Reception and De-Chirping for D-Band Fiber-Wireless Network,10.1109/tmtt.2025.3549729,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,178,THz Integrated Sensing and Communication With Full-Photonic Direct LFM Reception and De-Chirping for D-Band Fiber-Wireless Network,10.1109/tmtt.2025.3549729,yes,noncanonical_external_overlap_support,External IEEE 511 export DOI match against visible Scopus update export.
EXT_DEDUP_026,exact_doi,screening/external/IEEE_511_OISAC_Results.csv,51,ReflexGest: Recognizing Hand Gestures Under VLC-Capable Lamps,10.1109/tmc.2025.3545340,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,52,ReflexGest: Recognizing Hand Gestures Under VLC-Capable Lamps,10.1109/tmc.2025.3545340,yes,noncanonical_external_overlap_support,External IEEE 511 export DOI match against visible Scopus update export.
EXT_DEDUP_027,exact_doi,screening/external/IEEE_511_OISAC_Results.csv,54,Photonics-Enabled Full-Duplex Millimeter-Wave Integrated Sensing and Communication,10.1109/acp/ipoc63121.2024.10810000,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,234,Photonics-enabled full-duplex millimeter-wave integrated sensing and communication,10.1109/acp/ipoc63121.2024.10810000,yes,noncanonical_external_overlap_support,External IEEE 511 export DOI match against visible Scopus update export.
EXT_DEDUP_028,normalized_title_only,screening/external/IEEE_511_OISAC_Results.csv,57,Photonics-Aided THz ISAC System Based on A Spectral Overlapping Multi-Carrier 16QAM-LFM Waveform,,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,144,Photonics-Aided THz ISAC System Based on A Spectral Overlapping Multi-Carrier 16QAM-LFM Waveform,10.1364/ofc.2025.th2a.27,no,noncanonical_external_overlap_support,External IEEE 511 export normalized-title match against visible Scopus update export.
EXT_DEDUP_029,exact_doi,screening/external/IEEE_511_OISAC_Results.csv,62,Pulse Sequence Sensing and Pulse Position Modulation for Optical Integrated Sensing and Communication,10.1109/lcomm.2023.3270184,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,310,Pulse Sequence Sensing and Pulse Position Modulation for Optical Integrated Sensing and Communication,10.1109/lcomm.2023.3270184,yes,noncanonical_external_overlap_support,External IEEE 511 export DOI match against visible Scopus update export.
EXT_DEDUP_030,exact_doi,screening/external/IEEE_511_OISAC_Results.csv,64,OCDM-Based FMCW Waveform Design for FSO Integrated Sensing and Communications,10.1109/jlt.2025.3592208,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,137,OCDM-Based FMCW Waveform Design for FSO Integrated Sensing and Communications,10.1109/jlt.2025.3592208,yes,noncanonical_external_overlap_support,External IEEE 511 export DOI match against visible Scopus update export.
EXT_DEDUP_031,exact_doi,screening/external/IEEE_511_OISAC_Results.csv,74,Visible Light Integrated Positioning and Communication: A Multi-Task Federated Learning Framework,10.1109/tmc.2022.3207164,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,303,Visible Light Integrated Positioning and Communication: A Multi-Task Federated Learning Framework,10.1109/tmc.2022.3207164,yes,noncanonical_external_overlap_support,External IEEE 511 export DOI match against visible Scopus update export.
EXT_DEDUP_032,exact_doi,screening/external/IEEE_511_OISAC_Results.csv,75,UAV-Aided Flying Retroreflective Optical ISAC with Angle Diversity Transmitters,10.23919/oecc/psc62146.2025.11110803,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,121,UAV-Aided Flying Retroreflective Optical ISAC with Angle Diversity Transmitters,10.23919/oecc/psc62146.2025.11110803,yes,noncanonical_external_overlap_support,External IEEE 511 export DOI match against visible Scopus update export.
EXT_DEDUP_033,exact_doi,screening/external/IEEE_511_OISAC_Results.csv,76,Co-Route Fiber Recognition and Status Diagnosis Based on Integrated Sensing and Communication in 6G Transport Networks,10.1109/jiot.2024.3414863,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,272,Co-Route Fiber Recognition and Status Diagnosis Based on Integrated Sensing and Communication in 6G Transport Networks,10.1109/jiot.2024.3414863,yes,noncanonical_external_overlap_support,External IEEE 511 export DOI match against visible Scopus update export.
EXT_DEDUP_034,normalized_title_only,screening/external/IEEE_511_OISAC_Results.csv,78,Photonic-based W-band Flexible TFDM Integrated Sensing and Communication System for Fiber-wireless Network,10.1364/ofc.2023.w4j.5,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,343,Photonic-based W-band Flexible TFDM Integrated Sensing and Communication System for Fiber-wireless Network,10.23919/ofc49934.2023.10116069,yes,noncanonical_external_overlap_support,External IEEE 511 export normalized-title match against visible Scopus update export.
EXT_DEDUP_035,exact_doi,screening/external/IEEE_511_OISAC_Results.csv,79,Photonic-Based W-Band Integrated Sensing and Communication System With Flexible Time- Frequency Division Multiplexed Waveforms for Fiber-Wireless Network,10.1109/jlt.2024.3354070,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,219,Photonic-Based W-Band Integrated Sensing and Communication System With Flexible Time- Frequency Division Multiplexed Waveforms for Fiber-Wireless Network,10.1109/jlt.2024.3354070,yes,noncanonical_external_overlap_support,External IEEE 511 export DOI match against visible Scopus update export.
EXT_DEDUP_036,normalized_title_only,screening/external/IEEE_511_OISAC_Results.csv,81,Co-Wavelength-Channel Integration of Ultra-Low-Frequency Distributed Acoustic Sensing and High-Capacity Communication,10.1109/acp/ipoc63121.2024.10810040,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,32,Co-wavelength-channel integration of ultra-low-frequency distributed acoustic sensing and high-capacity communication,10.1364/prj.551958,yes,noncanonical_external_overlap_support,External IEEE 511 export normalized-title match against visible Scopus update export.
EXT_DEDUP_037,exact_doi,screening/external/IEEE_511_OISAC_Results.csv,83,Monolithic III-Nitride Photonic Circuit for Integrated Sensing and Communication System,10.1109/sslchinaifws60785.2023.10399712,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,324,Monolithic III-Nitride Photonic Circuit for Integrated Sensing and Communication System,10.1109/sslchinaifws60785.2023.10399712,no,noncanonical_external_overlap_support,External IEEE 511 export DOI match against visible Scopus update export.
EXT_DEDUP_038,exact_doi,screening/external/IEEE_511_OISAC_Results.csv,84,A Photonics-Assisted D-Band ISAC System Based on A Time-Frequency Efficient Waveform,10.1109/acp/ipoc63121.2024.10809716,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,232,A Photonics-Assisted D-Band ISAC System Based on A Time-Frequency Efficient Waveform,10.1109/acp/ipoc63121.2024.10809716,no,noncanonical_external_overlap_support,External IEEE 511 export DOI match against visible Scopus update export.
EXT_DEDUP_039,exact_doi,screening/external/IEEE_511_OISAC_Results.csv,86,Zero-Padding 2D-DFT Scheme for Photonics-Assisted W-Band Fiber-Wireless ISAC System With Orthogonal Time Frequency Space Modulation,10.1109/jlt.2025.3602312,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,126,Zero-Padding 2D-DFT Scheme for Photonics-Assisted W-Band Fiber-Wireless ISAC System with Orthogonal Time Frequency Space Modulation,10.1109/jlt.2025.3602312,yes,noncanonical_external_overlap_support,External IEEE 511 export DOI match against visible Scopus update export.
EXT_DEDUP_040,exact_doi,screening/external/IEEE_511_OISAC_Results.csv,88,Simulation of Constant-Envelope THz Integrated Sensing and Communication System Based on Photonics with 2D Positioning,10.1109/acp/ipoc63121.2024.10809603,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,230,Simulation of Constant-envelope THz Integrated Sensing and Communication System based on Photonics with 2D Positioning,10.1109/acp/ipoc63121.2024.10809603,no,noncanonical_external_overlap_support,External IEEE 511 export DOI match against visible Scopus update export.
EXT_DEDUP_041,exact_doi,screening/external/IEEE_511_OISAC_Results.csv,91,Power Allocation for OFDM-Based Free Space Optical Integrated Sensing and Communication,10.1109/icc51166.2024.10622583,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,282,Power Allocation for OFDM-Based Free Space Optical Integrated Sensing and Communication,10.1109/icc51166.2024.10622583,yes,noncanonical_external_overlap_support,External IEEE 511 export DOI match against visible Scopus update export.
EXT_DEDUP_042,exact_doi,screening/external/IEEE_511_OISAC_Results.csv,92,Joint Optimization of Slot Selection and Power Allocation in Integrated Visible Light Communication and Sensing Systems,10.1109/jiot.2023.3303137,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,298,Joint Optimization of Slot Selection and Power Allocation in Integrated Visible Light Communication and Sensing Systems,10.1109/jiot.2023.3303137,yes,noncanonical_external_overlap_support,External IEEE 511 export DOI match against visible Scopus update export.
EXT_DEDUP_043,exact_doi,screening/external/IEEE_511_OISAC_Results.csv,93,Visible Light Communication-Enabled Simultaneous Position and Orientation Detection for Harnessing Multipath Interference and Random Fading,10.1109/tits.2023.3324361,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,221,Visible Light Communication-Enabled Simultaneous Position and Orientation Detection for Harnessing Multipath Interference and Random Fading,10.1109/tits.2023.3324361,yes,noncanonical_external_overlap_support,External IEEE 511 export DOI match against visible Scopus update export.
EXT_DEDUP_044,exact_doi,screening/external/IEEE_511_OISAC_Results.csv,94,Distributed Fiber Optic Sensing (DFOS) in Telecom Networks: Industry Trends and Standards Development,10.1109/jlt.2025.3597192,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,133,Distributed Fiber Optic Sensing (DFOS) in Telecom Networks: Industry Trends and Standards Development,10.1109/jlt.2025.3597192,no,noncanonical_external_overlap_support,External IEEE 511 export DOI match against visible Scopus update export.
EXT_DEDUP_045,exact_doi,screening/external/IEEE_511_OISAC_Results.csv,99,Remote Phase-Shift LiDAR With Communication,10.1109/tcomm.2023.3233962,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,317,Remote Phase-Shift LiDAR With Communication,10.1109/tcomm.2023.3233962,yes,noncanonical_external_overlap_support,External IEEE 511 export DOI match against visible Scopus update export.
EXT_DEDUP_046,exact_doi,screening/external/IEEE_511_OISAC_Results.csv,100,Adaptive Resource Allocation in ADO-OFDM for Optical Wireless Integrated Sensing and Communication,10.1109/globecom52923.2024.10901628,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,294,Adaptive Resource Allocation in ADO-OFDM for Optical Wireless Integrated Sensing and Communication,10.1109/globecom52923.2024.10901628,yes,noncanonical_external_overlap_support,External IEEE 511 export DOI match against visible Scopus update export.
EXT_DEDUP_047,exact_doi,screening/external/IEEE_511_OISAC_Results.csv,102,Integrated Sensing and Communication in the Visible Spectral Range: A Novel Closed Loop Controller,10.1109/cobcom55489.2022.9880677,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,359,Integrated Sensing and Communication in the Visible Spectral Range: A Novel Closed Loop Controller,10.1109/cobcom55489.2022.9880677,yes,noncanonical_external_overlap_support,External IEEE 511 export DOI match against visible Scopus update export.
EXT_DEDUP_048,exact_doi,screening/external/IEEE_511_OISAC_Results.csv,109,Optical Integrated Sensing and Communication With Light-Emitting Diode,10.1109/jiot.2024.3523045,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,59,Optical Integrated Sensing and Communication With Light-Emitting Diode,10.1109/jiot.2024.3523045,yes,noncanonical_external_overlap_support,External IEEE 511 export DOI match against visible Scopus update export.
EXT_DEDUP_049,exact_doi,screening/external/IEEE_511_OISAC_Results.csv,114,Free Space Optical Integrated Sensing and Communication Based on LFM and CPM,10.1109/lcomm.2023.3332658,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,283,Free Space Optical Integrated Sensing and Communication Based on LFM and CPM,10.1109/lcomm.2023.3332658,yes,noncanonical_external_overlap_support,External IEEE 511 export DOI match against visible Scopus update export.
EXT_DEDUP_050,exact_doi,screening/external/IEEE_511_OISAC_Results.csv,116,Microwave Photonics Empowered Integrated Sensing and Communication for 6G,10.1109/tmtt.2025.3532810,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,50,Microwave Photonics Empowered Integrated Sensing and Communication for 6G,10.1109/tmtt.2025.3532810,no,noncanonical_external_overlap_support,External IEEE 511 export DOI match against visible Scopus update export.
EXT_DEDUP_051,exact_doi,screening/external/IEEE_511_OISAC_Results.csv,117,Channel Characterization and Modeling for VLC-IoE Applications in 6G: A Survey,10.1109/jiot.2024.3430326,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,267,Channel Characterization and Modeling for VLC-IoE Applications in 6G: A Survey,10.1109/jiot.2024.3430326,no,noncanonical_external_overlap_support,External IEEE 511 export DOI match against visible Scopus update export.
EXT_DEDUP_052,exact_doi,screening/external/IEEE_511_OISAC_Results.csv,131,Photonic-Based Flexible Integrated Sensing and Communication With Multiple Targets Detection Capability for W-Band Fiber-Wireless Network,10.1109/tmtt.2024.3355936,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,280,Photonic-Based Flexible Integrated Sensing and Communication With Multiple Targets Detection Capability for W-Band Fiber-Wireless Network,10.1109/tmtt.2024.3355936,yes,noncanonical_external_overlap_support,External IEEE 511 export DOI match against visible Scopus update export.
EXT_DEDUP_053,exact_doi,screening/external/IEEE_511_OISAC_Results.csv,132,Terrestrial and Non-Terrestrial Networks for Integrated Sensing and Communication,10.1109/isse63315.2024.10741118,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,238,Terrestrial and Non-Terrestrial Networks for Integrated Sensing and Communication,10.1109/isse63315.2024.10741118,yes,noncanonical_external_overlap_support,External IEEE 511 export DOI match against visible Scopus update export.
EXT_DEDUP_054,exact_doi,screening/external/IEEE_511_OISAC_Results.csv,133,A Unified Waveform for Optical Wireless Integrated Sensing and Communication,10.1109/acp55869.2022.10088865,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,357,A Unified Waveform for Optical Wireless Integrated Sensing and Communication,10.1109/acp55869.2022.10088865,yes,noncanonical_external_overlap_support,External IEEE 511 export DOI match against visible Scopus update export.
EXT_DEDUP_055,exact_doi,screening/external/IEEE_511_OISAC_Results.csv,134,Photonics-Assisted Millimeter-Wave Integrated Sensing and Communication Based on OTFS,10.1109/jlt.2025.3613544,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,102,Photonics-Assisted Millimeter-Wave Integrated Sensing and Communication Based on OTFS,10.1109/jlt.2025.3613544,no,noncanonical_external_overlap_support,External IEEE 511 export DOI match against visible Scopus update export.
