paper_id,title,doi
COMST_045,"Intellicise Wireless Networks From Semantic Communications: A Survey, Research Issues, and Challenges",10.1109/COMST.2024.3443193
COMST_046,"Metaverse Communications, Networking, Security, and Applications: Research Issues, State-of-the-Art, and Future Directions",10.1109/COMST.2023.3347172
COMST_047,MIMO Satellite Communication Systems: A Survey From the PHY Layer Perspective,10.1109/COMST.2023.3294873
COMST_048,"Models, Methods, and Solutions for Multicasting in 5G/6G mmWave and Sub-THz Systems",10.1109/COMST.2023.3319354
COMST_049,Multi-Modal Data-Enhanced Foundation Models for Prediction and Control in Wireless Networks: A Survey,
COMST_050,"Navigating Industry 5.0: A Survey of Key Enabling Technologies, Trends, Challenges, and Opportunities",10.1109/COMST.2023.3329472
COMST_051,Near-Field Communications: A Comprehensive Survey,10.1109/COMST.2024.3475884
COMST_052,Network Slicing-Based Learning Techniques for IoV in 5G and Beyond Networks,10.1109/COMST.2024.3372083
COMST_053,"On the Road to 6G: Visions, Requirements, Key Technologies, and Testbeds",10.1109/COMST.2023.3249835
COMST_054,"Optical Wireless Communication in Atmosphere and Underwater: Statistical Models, Improvement Techniques, and Recent Applications",
COMST_055,Post-Quantum Blockchain Security for the Internet of Things: Survey and Research Directions,10.1109/COMST.2024.3355222
COMST_056,Precoding for High-Throughput Satellite Communication Systems: A Survey,10.1109/COMST.2023.3316283
COMST_057,"Principles, Applications, and Challenges of Reconfigurable Intelligent Surface-Enabled Backscatter Communication: A Comprehensive Survey and Outlook",10.1109/COMST.2024.3519788
COMST_058,Quantum AI-Enhanced IoT-Fog Communication: A Survey from Cybersecurity and Data Privacy Perspective,
COMST_059,"Rate-Splitting Multiple Access: Fundamentals, Survey, and Future Research Trends",10.1109/COMST.2022.3191937
COMST_060,"Reconfigurable Intelligent Surfaces in 6G Radio Localization: A Survey of Recent Developments, Opportunities, and Challenges",10.1109/COMST.2025.3536517
COMST_061,RIS-Assisted Physical Layer Security in Emerging RF and Optical Wireless Communications Systems: A Comprehensive Survey,10.1109/COMST.2024.3487112
COMST_062,RIS-Empowered Satellite-Aerial-Terrestrial Networks With PD-NOMA,10.1109/COMST.2024.3393612
COMST_063,Seamless Connectivity: The Power of Integrating Power Line and Wireless Communications,10.1109/COMST.2023.3327321
COMST_064,Security and Privacy on 6G Network Edge: A Survey,10.1109/COMST.2023.3244674
COMST_065,"Semantics-Empowered Space-Air-Ground-Sea Integrated Network: New Paradigm, Frameworks, and Challenges",10.1109/COMST.2024.3416309
COMST_066,Spectrum Sharing and Interference Management for 6G LEO Satellite–Terrestrial Network Integration,10.1109/COMST.2024.3507019
COMST_067,Terahertz Communications and Sensing for 6G and Beyond: A Comprehensive Review,10.1109/COMST.2024.3385908
COMST_068,Toward 6G Optical Fronthaul: A Survey on Enabling Technologies and Research Perspectives,10.1109/COMST.2024.3408090
COMST_069,Two Decades of Research Progress in Resource Allocation for PLC Systems: From Core Concepts to Frontiers,10.1109/COMST.2024.3380901
COMST_070,UAV-Assisted Communications With RF Energy Harvesting: A Comprehensive Survey,10.1109/COMST.2024.3425597
COMST_071,Unleashing the Power of Edge-Cloud Generative AI in Mobile Networks: A Survey of AIGC Services,10.1109/COMST.2024.3353265
COMST_072,Vehicle as a Service (VaaS): Leverage Vehicles to Build Service Networks and Capabilities for Smart Cities,10.1109/COMST.2024.3370169
COMST_073,Visible Light Positioning as a Next-Generation Indoor Positioning Technology: A Tutorial,10.1109/COMST.2024.3372153
COMST_074,WiFi Sensing on the Edge: Signal Processing Techniques and Challenges for Real-World Systems,10.1109/COMST.2022.3209144
COMST_075,"Wireless Access for V2X Communications: Research, Challenges and Opportunities",10.1109/COMST.2024.3384132
COMST_076,"Wireless Backhaul in 5G and Beyond: Issues, Challenges and Opportunities",10.1109/COMST.2022.3203578
COMST_077,"Terahertz Channel Propagation Phenomena, Measurement Techniques and Modeling for 6G Wireless Communication Applications: A Survey, Open Challenges and Future Research Directions",10.1109/COMST.2022.3205505
