paper_id,section,concept,variant,match_type,strength,rationale,quote,line_start,line_end,heading_path,llm_model_pass1,llm_label_pass1,llm_model_pass2,llm_label_pass2,llm_escalated
O_ISAC_018,5C,pareto optimal,Optimal solution,lexical,NONE,"The concept of pareto optimal is not mentioned or implied in the given context, which discusses radio-over-fiber technology and integrated sensing and communication.","Integrated sensing and communication (ISAC) has become a prominent research focus in wireless and optical fiber communication, allowing real-time network awareness and environmental sensing without additional infrastructure. When ISAC is implemented over a RoF system, it combines the strengths of both technologies, making RoF-based ISAC an optimal solution for intelligent and adaptive front-haul networks. Recent studies have demonstrated the potential of ISAC in RoF systems. Distributed acoustic sensing (DAS) utilizes Rayleigh backscattering to detect subtle changes in the fiber link, enabling real-time monitoring of external disturbances [14], [15], [16]. DAS has been successfully applied to front-haul access networks, enhancing system capabilities for both communication and sensing [17]. Furthermore, a cost-effective ISAC paradigm has recently been proposed for access networks by applying digital subcarrier multiplexing (DSCM) [18]. Expanding ISAC capabilities to RAN promises to enhance the intelligence and adaptability of front-haul and access network segments, laying the groundwork for an integrated communication and sensing framework across both optical fiber and wireless radio domains. Currently, RoF-based ISAC systems typically employ linear frequency modulation (LFM) signal as a sensing probe to perform ranging and angle estimation within wireless channels [19], [20]. However, these methods often require separate branches to generate communication and sensing signals, resulting in low hardware-sharing efficiency. Moreover, they primarily focus on sensing functionalities in the wireless domain while neglecting the potential for sensing in optical fiber",29,29,Coexistence of Distributed Sensing and Ultra-Simple Coherent RoF Based Front-Haul for Radio Access Network > I. INTRODUCTION,meta-llama/llama-4-scout-17b-16e-instruct,NONE,llama-3.3-70b-versatile,NONE,True
O_ISAC_018,5C,pareto optimal,Efficient solution,lexical,NONE,"The concept of pareto optimal is not mentioned or implied in the given context, which discusses the conclusion of a paper on coexistence of distributed sensing and coherent MMW RoF front-haul communication.","This paper proposes a compact and efficient solution for the coexistence of distributed sensing and coherent MMW RoF front-haul communication, targeting next-generation RANs. By employing an LFM carrier and a commercially available CDM, the system integrates high-accuracy sensing and stable communication in an ultra-simple architecture. The experiment evaluates the communication and sensing performance of the system under different CSPR conditions. On the communication side, the proposed design successfully demonstrates robust radio signal transmission in the MMW band of 28 GHz. A nonlinear pre-compensation algorithm for CDM is developed to optimize communication performance. On the sensing side, the system achieves a strain detection accuracy of 28 pε/<sup>√</sup> Hz, demonstrating its capability for precise environmental monitoring.",230,230,IV. CONCLUSION,meta-llama/llama-4-scout-17b-16e-instruct,NONE,llama-3.3-70b-versatile,NONE,True
O_ISAC_019,5C,pareto optimal,Efficient solution,fuzzy:88.88888888888889,NONE,"The concept of pareto optimal is not mentioned or implied in the given snippet, which discusses the technical aspects of uplink signal processing and transmission in a communication system.","The antenna array receives RF signals sent by MSs and echoes reflected off targets. These signals are down-converted to IF at the RAU and sent to the CO by fiber after being loaded to the reused optical carrier through an intensity modulation Mach-Zehnder Modulator (MZM). At CO, the optical signals are amplified, demultiplexed, optoelectronic converted and processed by digital signal processing (DSP) to extract target information and communication data. Note that bi-directional transmission of the uplink and downlink over the same fiber is proposed to improve resource utilization. While a great challenge to separate the bi-directional transmission signals with sufficient isolation is imposed that requires suppressing backscattering, reflection and leakage as high as possible.",65,65,II. PRINCIPLE > A. Downlink > B. Uplink,meta-llama/llama-4-scout-17b-16e-instruct,NONE,llama-3.3-70b-versatile,NONE,True
O_ISAC_021,5C,fisher information constraint,Cramér-Rao bound,fuzzy:93.75,INDIRECT,"The concept of fisher information constraint is related to the Cramèr-Rao Bound (CRB) mentioned in the snippet, which is used as a performance metric for sensing. Although the term 'fisher information constraint' is not explicitly mentioned, the CRB is a bound that is derived from the Fisher information, indicating an indirect relationship.","DCO-OFDM serves as another example for waveform optimization, which achieves the optimal waveform design by power allocation. On one hand, Fig. 4 indicates that a trade-off exists between the DC bias and the power on other subcarriers under the total power constraint. A guasi-concave relationship between the DC bias and the SNR on other subcarriers is revealed in [14], based on which the Newton method can be adopted to obtain the optimal DC bias for flat channels. On the other hand, once the Cramèr-Rao Bound (CRB) is selected as the performance metric, the optimal power allocation for sensing is to allocate all the power to the highest subcarrier. Since the optimal power allocation for communication follows a water-filling form in general, the power allocation on other subcarriers also embodies the trade-off between communication and sensing functionalities. Thereby, to obtain the optimal DCO-OFDM waveform for O-ISAC, a joint optimization problem can be formulated to optimize the DC bias and the power allocation for subcarriers simultaneously.",173,173,Enhancing Sensing Precision > CONSTANT-MODULUS WAVEFORM > Multi-Carrier Waveform > RESOURCE ALLOCATION AND WAVEFORM OPTIMIZATION,meta-llama/llama-4-scout-17b-16e-instruct,INDIRECT,llama-3.3-70b-versatile,INDIRECT,True
O_ISAC_023,5C,pareto optimal,Optimal solution,lexical,NONE,The concept of pareto optimal is not mentioned in this snippet.,"The spectral efficiency on each subcarrier is a quasi-concave function of b and thus can be maximized by the golden search method [38], [43]. On the contrary, the total spectral efficiency  $\tilde{C}(b, \tilde{P}(k); \tilde{L}_t)$ , as a linear combination of those on each subcarrier, is not necessarily a quasi-concave function in the equivalent frequency-selective channel. However, the golden search through  $[0, \sqrt{P_t}]$  can still achieve a suboptimal solution  $b_c^*$ , which is summarized in Algorithm 2.",399,399,"<span id=""page-6-0""></span>B. Power Allocation for DC Bias",meta-llama/llama-4-scout-17b-16e-instruct,NONE,llama-3.3-70b-versatile,NONE,True
O_ISAC_023,5C,pareto optimal,Optimal solution,lexical,NONE,The concept of pareto optimal is not mentioned in this snippet.,"As indicated by (31), the objective of (P1-2) is a concave function of  $\tilde{P}(k)$ , while the constraints are affine functions of  $\tilde{P}(k)$ . In consequence, maximizing a concave objective under affine constraints yield a convex optimization problem. Therefore, the optimal solution to (P1-2) is obtained if and only if Karush–Kuhn–Tucker (KKT) conditions hold, based on which three cases can be considered as follows.",410,410,"<span id=""page-6-0""></span>B. Power Allocation for DC Bias > <span id=""page-6-1""></span>C. Power Allocation for Subcarriers",meta-llama/llama-4-scout-17b-16e-instruct,NONE,llama-3.3-70b-versatile,NONE,True
O_ISAC_023,5C,pareto optimal,Optimal solution,lexical,NONE,The concept of pareto optimal is not mentioned in this snippet.,then the optimal solution to (35) is  $\tilde{P}_c^*(k) = \tilde{P}_c(k)$ .,425,425,"<span id=""page-6-0""></span>B. Power Allocation for DC Bias > <span id=""page-6-1""></span>C. Power Allocation for Subcarriers",meta-llama/llama-4-scout-17b-16e-instruct,NONE,llama-3.3-70b-versatile,NONE,True
O_ISAC_023,5C,pareto optimal,Optimal solution,lexical,NONE,The concept of pareto optimal is not mentioned in this snippet.,"*Proof:* As illustrated in Fig. 3, Lemma 1 indicates the existence of  $(\mu_c^*, \eta_c^*)$ , and Lemma 2 guarantees that  $(\mu^{(i)}, \eta^{(i)})$  will not leave the feasible region during the iteration. Furthermore, we have the initial points  $\mu^{(0)}$  <  $\mu_c^*, \ \eta^{(0)} < \eta_c^* \ \text{since} \ \mu_c^* > 0, \ \eta_c^* > 0.$  Supposing that  $\eta^{(j)} < \eta_c^*, \ \text{solving} \ \xi_1(\mu^{(j+1)}, \eta^{(j)}) = 1/2 \ \text{yields} \ \mu^{(j)} < \mu^{(j+1)} < \mu_c^*.$  Similarly, assuming that  $\mu^{(j+1)} < \mu_c^*, \ \text{solving} \ \xi_2(\mu^{(j+1)}, \eta^{(j+1)}) = \tilde{\zeta}_0^2 \ \text{yields} \ \eta^{(j)} < \eta^{(j+1)} < \eta_c^*.$  Therefore, the distance between the current solution and the optimal solution declines as the algorithm proceeds, i.e.,",529,529,"<span id=""page-6-0""></span>B. Power Allocation for DC Bias > <span id=""page-7-1""></span>D. Convergence Analysis",meta-llama/llama-4-scout-17b-16e-instruct,NONE,llama-3.3-70b-versatile,NONE,True
O_ISAC_023,5C,pareto optimal,Optimal solution,lexical,NONE,"The concept of pareto optimal is not mentioned or implied in the given snippet, which focuses on convex optimization problems and KKT conditions.","1) Case D: The communication constraint is first assumed to be inactive, and (50) is reduced to a linear programming problem, whose optimal solution is given by (39). If the communication constraint is satisfied by  $\tilde{P}_s(k)$ , i.e.,",609,609,"<span id=""page-8-2""></span>Algorithm 4 BCD Algorithm for Sensing-Centric Scenario > <span id=""page-8-1""></span>C. Power Allocation for Subcarriers",meta-llama/llama-4-scout-17b-16e-instruct,NONE,llama-3.3-70b-versatile,NONE,True
O_ISAC_023,5C,fisher information constraint,Cramér-Rao bound,fuzzy:87.5,INDIRECT,"The concept of Fisher information constraint is related to the Cramèr–Rao bound (CRB) mentioned in the snippet, which is an indirect reference to the concept.","<span id=""page-1-6""></span>While limited attention has been paid to multicarrier schemes in FSO-ISAC, orthogonal frequency-division multiplexing (OFDM) has gained popularity in RF-ISAC due to its time-frequency interpretation [\[23\]](#page-14-17). On the one hand, signal processing techniques have been thoroughly studied for both communication and sensing based on OFDM. For instance, the maximum-likelihood method can be utilized to approach the Cramèr–Rao bound (CRB) asymptotically for point targets in a prior, at the expense of a deteriorated ambiguity function [\[24\]](#page-14-18). Toward this end, an element-wise-division method can be adopted for OFDM-based ISAC to achieve a higher peak-to-sidelobe ratio [\[25\]](#page-14-19). On the other hand, plentiful joint optimization techniques arise from novel performance metrics. Apart from the conventional CRB metric [\[26\]](#page-14-20), mutual information and power minimization present novel objectives for OFDM-based ISAC, with constraints on the quality of communication and sensing services [\[27\]](#page-14-21), [\[28\]](#page-14-22). Furthermore, the rapid growth of OFDM also brings a promising candidate for FSO-ISAC thanks to its high spectral efficiency and resistance to frequency selectivity [\[1\]](#page-13-4). Thereby, FSO-ISAC prototypes exploiting the advantages of OFDM have been demonstrated in [\[29\]](#page-14-23) and [\[30\]](#page-14-24) to achieve a Gb/s-level data rate and a cm-level ranging resolution simultaneously.",39,39,"<span id=""page-0-5""></span><span id=""page-0-3""></span><span id=""page-0-2""></span><span id=""page-0-1""></span><span id=""page-0-0""></span>I. INTRODUCTION",meta-llama/llama-4-scout-17b-16e-instruct,NONE,llama-3.3-70b-versatile,INDIRECT,True
O_ISAC_023,5C,fisher information constraint,Fisher information bound,fuzzy:87.5,DIRECT,The context directly mentions 'instantaneous value of Fisher information' and provides a mathematical definition.,"where  $\tilde{I}(L_t)$  is defined as the instantaneous value of Fisher information, and  $\gamma_s(k)$  is the SNDR on the kth subcarrier for sensing, i.e.,",252,252,"II. SYSTEM MODEL > <span id=""page-2-1""></span>A. DCO-OFDM Signal Model > <span id=""page-3-0""></span>B. Channel Model > <span id=""page-4-1""></span>D. Sensing Subsystem",meta-llama/llama-4-scout-17b-16e-instruct,DIRECT,,,False
O_ISAC_023,5C,fisher information constraint,Fisher information bound,fuzzy:87.5,DIRECT,The context directly mentions 'Fisher information on each subcarrier' and provides a mathematical expression for maximization.,"Similarly, the Fisher information on each subcarrier is also quasi-concave due to the quasi concavity of normalized SNDR  $\tilde{\gamma}_s(k)$ . As a result, the golden search method in Algorithm 2 is also readily applicable to (P2-1) for a suboptimal  $b_s^*$ , except",575,575,"<span id=""page-7-7""></span>B. Power Allocation for DC Bias",meta-llama/llama-4-scout-17b-16e-instruct,DIRECT,,,False
O_ISAC_023,5C,resource allocation trade-off,resource allocation dilemma,fuzzy:85.18518518518519,DIRECT,"The text explicitly discusses resource allocation, specifically joint resource allocation problems and optimization of critical parameters, which directly relates to the concept of resource allocation trade-off.","In this section, we consider the joint resource allocation problem for a communication-centric scenario, which optimizes critical parameters of both DC bias b and subcarrier power allocation P(k). The joint optimization problem is first formulated in Section III-A, which is appropriately simplified for a concise result. Then, it is decomposed into a subproblem for DC bias and a subproblem for subcarrier power allocation, which are elaborated in Sections III-B and III-C, respectively. Furthermore, the convergence of proposed algorithms is demonstrated in Section III-D.",262,262,"II. SYSTEM MODEL > <span id=""page-2-1""></span>A. DCO-OFDM Signal Model > <span id=""page-3-0""></span>B. Channel Model > <span id=""page-4-0""></span>III. COMMUNICATION-CENTRIC RESOURCE ALLOCATION",meta-llama/llama-4-scout-17b-16e-instruct,INDIRECT,llama-3.3-70b-versatile,DIRECT,True
O_ISAC_023,5C,resource allocation trade-off,resource allocation trade-off,fuzzy:86.20689655172413,DIRECT,"This snippet explicitly mentions 'optimal resource allocation and tradeoff', directly referring to the concept of resource allocation trade-off.",## B. Optimal Resource Allocation and Tradeoff,722,722,"<span id=""page-9-1""></span>A. Results of the Iterative Optimization Algorithm > B. Optimal Resource Allocation and Tradeoff",meta-llama/llama-4-scout-17b-16e-instruct,DIRECT,,,False
O_ISAC_023,5C,resource allocation trade-off,resource allocation dilemma,fuzzy:85.18518518518519,DIRECT,"The snippet talks about the 'tradeoff curves for FSO-ISAC' and illustrates the relationship between spectral efficiency and sensing precision, directly discussing the trade-off in resource allocation.","<span id=""page-10-1""></span>In addition to the *duality* between communication-centric and sensing-centric scenarios, Fig. [7](#page-11-1) also shows the *marginality* of communication and sensing performances in FSO-ISAC. Specifically, while we can pursue a superior sensing precision at the cost of a declined spectral efficiency, either communication or sensing gets saturated at the margin of a tradeoff curve. For instance, when the sensing precision approaches the left margin of *c*/2ς<sup>0</sup> = 2.85 cm in Fig. [7\(](#page-11-1)c), the spectral efficiency deteriorates drastically. Furthermore, apart from the limited improvement in the sensing precision, Algorithm [3](#page-7-2) in the communication-centric scenario also takes more iterations for convergence, eliciting an unworthy rise in computational complexity. In this case, we should exploit the *duality* of (P1-2) and (P2-2), i.e., solve the resource allocation problem in the sensing-centric scenario instead.",747,747,"<span id=""page-9-1""></span>A. Results of the Iterative Optimization Algorithm > B. Optimal Resource Allocation and Tradeoff",meta-llama/llama-4-scout-17b-16e-instruct,DIRECT,,,False
O_ISAC_023,5C,resource allocation trade-off,resource allocation dilemma,fuzzy:85.18518518518519,INDIRECT,"Although the text does not directly discuss resource allocation trade-off, it mentions 'wireless resource allocation and management' as one of the research interests, which is indirectly related to the concept of resource allocation trade-off.","Assistant Professor with Boise State University, Boise, ID, USA. He is currently a John and Rebecca Moores Professor with the Electrical and Computer Engineering Department and the Computer Science Department, University of Houston, Houston, TX, USA. His main research targets on the novel game-theory-related concepts critical to enabling efficient and distributive use of wireless networks with limited resources. His other research interests include wireless resource allocation and management, wireless communications and networking, quantum computing, data science, smart grid, carbon neutralization, and security and privacy.",1024,1024,"<span id=""page-13-6""></span>APPENDIX D PROOF OF LEMMA 2 > REFERENCES",meta-llama/llama-4-scout-17b-16e-instruct,NONE,llama-3.3-70b-versatile,INDIRECT,True
O_ISAC_025,5C,resource allocation trade-off,resource allocation conflict,fuzzy:85.71428571428572,INDIRECT,"The concept of resource allocation trade-off is indirectly related to the passage, which discusses the allocation of resources such as energy, capacity, and density in the context of network architecture and design, but does not explicitly address the trade-offs involved in resource allocation.","access network is equipped with low energy consuming switching nodes with limited number of input ports and relatively small capacity (1/10GbE/port). The aggregation transport network comprises high-end optoelectronic and all-optical fast switches with higher capacity and density (10G/40G/100GbE/ports), offering much higher energy efficiency. All-optical fast switches are a key enabler that facilitates transparent routing of IQ sensing flows to the MEC servers needed to achieve acceptable transport delays. For the RAN segment, a Software Defined Radio (SDR) platform (based on USRP B210 and N310) transmitting 5G New Radio (NR) Orthogonal Frequency Division Multiplexing (OFDM) modulated signals is used (Fig. 1-2) to support the functionality of Remote Units (RUs). For the compute domain, edge servers attached to the access switches and central cloud servers connected to the aggregation/core switches are adopted. These servers are used to host containerized RAN elements (i.e. Distributed Unit (DU)/Central Unit (CU)) and sensing functions (storage of I/Q echoes and processing). The sensing app implements a passive OFDM-based radar [2] that uses as input, signals reflected on objects in the surrounding area, when connectivity between BSs and UEs is established. The sensing app evaluates the quality of the reflected signals captured per BS and, if these are above a specific Signal-to-Noise-Ratio (SNR) threshold, they are used to estimate the position of the corresponding object. These results are then communicated to the E2E orchestrator that calculates the optimal resource allocation policy needed to accommodate both communication and sensing services. This is achieved by identifying the appropriate capacity for the paths implementing ""RU-DU-CU"" and ""RU-Sensing"" function connectivity, executed by the SDN transport network controller. Finally, for the wireless channel, a dedicated virtual machine has been deployed hosting the open-source GNU Radio platform, emulating channel impairments and objects in the surrounding area using the ""Noise Source"" and ""Static Target Simulator"" blocks, respectively[3]. Sensing Information exchange between different system building blocks is based on ZeroMQ messaging platform [4].",27,27,2. System Architecture,meta-llama/llama-4-scout-17b-16e-instruct,INDIRECT,llama-3.3-70b-versatile,INDIRECT,True
O_ISAC_029,5C,pareto optimal,Optimal solution,fuzzy:87.5,NONE,The concept of pareto optimal is not mentioned in the given snippet.,"Subsequently, the achievable range resolution of the system is investigated. The range resolution in radar sensing represents the ability to distinguish between two closely spaced targets. A smaller range resolution indicates a finer capability to detect multiple targets. Typically, without employing super-resolution algorithms, the measured range resolution should approach but not exceed the theoretical limit. In other words, the measured value should be slightly larger than the theoretical value. The relationship between the range resolution and the bandwidth of <span id=""page-8-4""></span><span id=""page-8-3""></span><span id=""page-8-2""></span><span id=""page-8-1""></span>the LFM signal is given by δ*R* = *c*/2*B<sup>r</sup>* . In the experiment, the system operates in the BtB configuration, with a fixed center frequency of 134 GHz and a Vpp of 600 mV while altering the bandwidth of the LFM signal. At the receiving end, the range resolution is characterized by measuring the 3-dB width of the range profile [\[41\],](#page-12-21) [\[42\]. T](#page-12-22)he results are shown in Fig. [8\(a\).](#page-9-0) It can be observed that when the LFM bandwidth is less than 30 GHz, the measured range resolution is slightly higher than the theoretical value. There are several reasons for this discrepancy. First, measurement errors can introduce deviations from the theoretical values. Additionally, factors that degrade the range resolution of photonic-based radar systems include nonlinear effects introduced during O/E and E/O conversions [\[21\], l](#page-12-1)ong-distance fiber transmission [\[43\],](#page-12-23) and even the purity of the testing environment [\[44\]. A](#page-12-24)lthough we employed the PDC scheme at the AAU to mitigate the impact of long-distance fiber transmission on range resolution, other factors and measurement errors still contributed to the observed deviation. Considering these factors and measurement errors, we believe the test results are generally consistent with the theoretical expectations. When the LFM bandwidth exceeds 30 GHz, the achievable range resolution does not improve with increasing bandwidth. This occurs because the bandwidth of the LFM signal surpasses the device bandwidth, leading to a deterioration in range resolution. This is also why we cannot achieve the ultrahigh bandwidth-to-resolution ratio demonstrated in [\[45\]. A](#page-12-25)dditionally, the optimal resolution the system can achieve with different fiber lengths is investigated, as presented in Fig. [8\(b\).](#page-9-0) It can be found that the range resolution only changed slightly with different fiber lengths. In the 20-km SMF transmission configuration, a range resolution close to 6 mm is still achieved. This excellent performance is attributed to our direct LFM signal reception and PDC methods, which, to some extent, alleviate the impact of fiber transmission on radar performance.",234,234,"THz Integrated Sensing and Communication With Full-Photonic Direct LFM Reception and De-Chirping for D-Band Fiber-Wireless Network > <span id=""page-7-0""></span>*A. Radar Sensing Performance of the System*",meta-llama/llama-4-scout-17b-16e-instruct,NONE,llama-3.3-70b-versatile,NONE,True
O_ISAC_029,5C,pareto optimal,pareto optimal,fuzzy:85.71428571428572,NONE,The concept of pareto optimal is not mentioned in the given snippet.,"- <span id=""page-12-10""></span>[\[30\]](#page-1-10) Y. Horst et al., ""Transparent optical-THz-optical link transmission over 5/115 m at 240/190 Gbit/s enabled by plasmonics,"" in *Proc. Opt. Fiber Commun. Conf. Exhib. (OFC)*, Jun. 2021, pp. 1–3.",312,312,THz Integrated Sensing and Communication With Full-Photonic Direct LFM Reception and De-Chirping for D-Band Fiber-Wireless Network > REFERENCES,meta-llama/llama-4-scout-17b-16e-instruct,NONE,llama-3.3-70b-versatile,NONE,True
O_ISAC_034,5C,fisher information constraint,Cramér-Rao bound,lexical,INDIRECT,"The concept of Fisher information constraint is related to the Cramér-Rao Bound (CRB), which is mentioned in the snippet. Although the term 'Fisher information' is not explicitly mentioned, the CRB is a bound that is derived using Fisher information, making the connection indirect.","The Cramér-Rao Bound (CRB) is the lower bound of MSE for an unbiased estimator, which depicts the sensing",153,153,A. Communication Metrics > B. Sensing Metrics,meta-llama/llama-4-scout-17b-16e-instruct,INDIRECT,llama-3.3-70b-versatile,INDIRECT,True
O_ISAC_039,5C,pareto optimal,Optimal solution,lexical,NONE,"The concept of pareto optimal is not mentioned in the given snippet, which discusses the convergence of a cooperative training algorithm in a federated learning setting.","Although the UE agent jointly trains the global model weights to fit the environment, the local SGD updates are still performed in each UE agent, which leads to a locally optimal solution. The average stochastic gradients in (40) is a simple average over different UE agents, which may be inaccurate for the global environment. To measure the effect caused by the local inaccuracy in gradient averaging and provide a theoretical guarantee of the proposed MTFL framework, the convergence of the cooperative training algorithm as shown in Algorithm 2 is analyzed as follows.",487,487,PERFORMANCE EVALUATION AND THEORETICAL ANALYSIS > 5.2 Convergence Analysis of the MTFL Framework,meta-llama/llama-4-scout-17b-16e-instruct,NONE,llama-3.3-70b-versatile,NONE,True
