track_id,title,title_source,doi,doi_source,corpus_dir,primary_markdown_path,primary_meta_path,present_in_processed_markdowns,present_in_extraction_v4_unified,present_in_legacy_included_studies_list,present_in_excluded_fulltext_log,legacy_included_doi,legacy_included_title,legacy_screening_log_match_count,legacy_screening_log_decisions,notes
O_ISAC_014,Experimental Demonstration of Power over Fiber for Power Grid Application,meta_json_toc,10.1109/ICOCN63276.2024.10648387,legacy_included_list,data/proc_markdowns/O_ISAC_014,data/proc_markdowns/O_ISAC_014/O_ISAC_014.md,data/proc_markdowns/O_ISAC_014/O_ISAC_014/O_ISAC_014_meta.json,yes,yes,yes,no,10.1109/ICOCN63276.2024.10648387,Experimental Demonstration of Power over Fiber for Power Grid Application,0,,
O_ISAC_015,Movable Access Point-Aided Integrated Visible Light Communication and Sensing Networks,meta_json_toc,10.1109/LWC.2024.3521192,legacy_included_list,data/proc_markdowns/O_ISAC_015,data/proc_markdowns/O_ISAC_015/O_ISAC_015.md,data/proc_markdowns/O_ISAC_015/O_ISAC_015/O_ISAC_015_meta.json,yes,yes,yes,no,10.1109/LWC.2024.3521192,Movable Access Point-Aided Integrated Visible Light Communication and Sensing Networks,1,Duplicate,
O_ISAC_016,Demonstration of Photonic Sub-THz ISAC System with Real-Time 251.03-Gbps Communication Rate and Offline 2.5-cm Sensing Resolution,meta_json_toc,10.1109/ICOCN63276.2024.10648485,legacy_included_list,data/proc_markdowns/O_ISAC_016,data/proc_markdowns/O_ISAC_016/O_ISAC_016.md,data/proc_markdowns/O_ISAC_016/O_ISAC_016/O_ISAC_016_meta.json,yes,yes,yes,no,10.1109/ICOCN63276.2024.10648485,Demonstration of Photonic Sub-THz ISAC System with Real-Time 251.03-Gbps Communication Rate and Offline 2.5-cm Sensing Resolution,1,Duplicate,
O_ISAC_017,Double-effect DNN-based DBP Scheme for Integrated Sensing and Communications (ISAC),meta_json_toc,,,data/proc_markdowns/O_ISAC_017,data/proc_markdowns/O_ISAC_017/O_ISAC_017.md,data/proc_markdowns/O_ISAC_017/O_ISAC_017/O_ISAC_017_meta.json,yes,yes,yes,no,,Double-effect DNN-based DBP Scheme for Integrated Sensing and Communications (ISAC),3,Duplicate,
O_ISAC_018,Coexistence of Distributed Sensing and Ultra-Simple Coherent RoF Based Front-Haul for Radio Access Network,meta_json_toc,10.1109/JLT.2025.3555486,legacy_included_list,data/proc_markdowns/O_ISAC_018,data/proc_markdowns/O_ISAC_018/O_ISAC_018.md,data/proc_markdowns/O_ISAC_018/O_ISAC_018/O_ISAC_018_meta.json,yes,yes,yes,no,10.1109/JLT.2025.3555486,Coexistence of Distributed Sensing and Ultra-Simple Coherent RoF Based Front-Haul for Radio Access Network,1,Duplicate,
O_ISAC_019,Full-duplex Integrated Sensing and Communication System Based on Microwave Photonics,meta_json_toc,10.1109/ACP/IPOC63121.2024.10809573,legacy_included_list,data/proc_markdowns/O_ISAC_019,data/proc_markdowns/O_ISAC_019/O_ISAC_019.md,data/proc_markdowns/O_ISAC_019/O_ISAC_019/O_ISAC_019_meta.json,yes,yes,yes,no,10.1109/ACP/IPOC63121.2024.10809573,Full-Duplex Integrated Sensing and Communication System Based on Microwave Photonics,1,Duplicate,
O_ISAC_020,Photonic Integrated Sensing and Communication System Harnessing Submarine Fiber Optic Cables for Coastal Event Monitoring,meta_json_toc,10.1109/MCOM.002.2200191,legacy_included_list,data/proc_markdowns/O_ISAC_020,data/proc_markdowns/O_ISAC_020/O_ISAC_020.md,data/proc_markdowns/O_ISAC_020/O_ISAC_020/O_ISAC_020_meta.json,yes,yes,yes,no,10.1109/MCOM.002.2200191,Photonic Integrated Sensing and Communication System Harnessing Submarine Fiber Optic Cables for Coastal Event Monitoring,1,Duplicate,
O_ISAC_021,"Optical Integrated Sensing and Communication: Architectures, Potentials and Challenges",meta_json_toc,10.1109/IOTM.001.2300196,legacy_included_list,data/proc_markdowns/O_ISAC_021,data/proc_markdowns/O_ISAC_021/O_ISAC_021.md,data/proc_markdowns/O_ISAC_021/O_ISAC_021/O_ISAC_021_meta.json,yes,yes,yes,no,10.1109/IOTM.001.2300196,"Optical Integrated Sensing and Communication: Architectures, Potentials and Challenges",2,Duplicate,
O_ISAC_022,Joint Visible Light Sensing and Communication Using m-CAP Modulation,meta_json_toc,10.1109/TBC.2022.3201649,legacy_included_list,data/proc_markdowns/O_ISAC_022,data/proc_markdowns/O_ISAC_022/O_ISAC_022.md,data/proc_markdowns/O_ISAC_022/O_ISAC_022/O_ISAC_022_meta.json,yes,yes,yes,no,10.1109/TBC.2022.3201649,Joint Visible Light Sensing and Communication Using m-CAP Modulation,1,Duplicate,
O_ISAC_023,Free-Space Optical Integrated Sensing and Communication Based on DCO-OFDM: Performance Metrics and Resource Allocation,meta_json_toc,10.1109/JIOT.2024.3469279,legacy_included_list,data/proc_markdowns/O_ISAC_023,data/proc_markdowns/O_ISAC_023/O_ISAC_023.md,data/proc_markdowns/O_ISAC_023/O_ISAC_023/O_ISAC_023_meta.json,yes,yes,yes,no,10.1109/JIOT.2024.3469279,Free-Space Optical Integrated Sensing and Communication Based on DCO-OFDM: Performance Metrics and Resource Allocation,2,Duplicate,
O_ISAC_024,Pre-compensation of LFM Sensing Probe via Integrated Sensing and Communication over Fiber System,meta_json_toc,10.23919/OECC/PSC62146.2025.11111272,legacy_included_list,data/proc_markdowns/O_ISAC_024,data/proc_markdowns/O_ISAC_024/O_ISAC_024.md,data/proc_markdowns/O_ISAC_024/O_ISAC_024/O_ISAC_024_meta.json,yes,yes,yes,no,10.23919/OECC/PSC62146.2025.11111272,Pre-Compensation of LFM Sensing Probe via Integrated Sensing and Communication over Fiber System,1,Duplicate,
O_ISAC_025,Optical Transport Network Optimization Supporting Integrated Sensing and Communication Services,meta_json_toc,,,data/proc_markdowns/O_ISAC_025,data/proc_markdowns/O_ISAC_025/O_ISAC_025.md,data/proc_markdowns/O_ISAC_025/O_ISAC_025/O_ISAC_025_meta.json,yes,yes,yes,no,,Optical Transport Network Optimization Supporting Integrated Sensing and Communication Services,2,Duplicate,
O_ISAC_026,W-band Photonic-based Integration of Sensing and Communication with Frequency-division Multiplexed Waveforms in Fiber-wireless Integrated Network,meta_json_toc,10.1109/ACP55869.2022.10088790,legacy_included_list,data/proc_markdowns/O_ISAC_026,data/proc_markdowns/O_ISAC_026/O_ISAC_026.md,data/proc_markdowns/O_ISAC_026/O_ISAC_026/O_ISAC_026_meta.json,yes,yes,yes,no,10.1109/ACP55869.2022.10088790,W-band Photonic-based Integration of Sensing and Communication with Frequency-division Multiplexed Waveforms in Fiber-wireless Integrated Network,1,Duplicate,
O_ISAC_027,Low Crosstalk Deep Ocean Salinity Monitoring at 2 µm Wavelength Band,meta_json_toc,10.1109/JSEN.2025.3579715,legacy_included_list,data/proc_markdowns/O_ISAC_027,data/proc_markdowns/O_ISAC_027/O_ISAC_027.md,data/proc_markdowns/O_ISAC_027/O_ISAC_027/O_ISAC_027_meta.json,yes,yes,yes,no,10.1109/JSEN.2025.3579715,Low Crosstalk Deep Ocean Salinity Monitoring at 2 μm Wavelength Band,0,,
O_ISAC_028,Performance Improvement for Symmetric Carrier- assisted Differential Detection Receiver by Pairwise Coding,meta_json_toc,10.1109/ICWOC62055.2024.10684954,legacy_included_list,data/proc_markdowns/O_ISAC_028,data/proc_markdowns/O_ISAC_028/O_ISAC_028.md,data/proc_markdowns/O_ISAC_028/O_ISAC_028/O_ISAC_028_meta.json,yes,yes,yes,no,10.1109/ICWOC62055.2024.10684954,Performance Improvement for Symmetric Carrier-assisted Differential Detection Receiver by Pairwise Coding,0,,
O_ISAC_029,THz Integrated Sensing and Communication With Full-Photonic Direct LFM Reception and De-Chirping for D-Band Fiber-Wireless Network,meta_json_toc,10.1109/TMTT.2025.3549729,legacy_included_list,data/proc_markdowns/O_ISAC_029,data/proc_markdowns/O_ISAC_029/O_ISAC_029.md,data/proc_markdowns/O_ISAC_029/O_ISAC_029/O_ISAC_029_meta.json,yes,yes,yes,no,10.1109/TMTT.2025.3549729,THz Integrated Sensing and Communication With Full-Photonic Direct LFM Reception and De-Chirping for D-Band Fiber-Wireless Network,1,Duplicate,
O_ISAC_030,ReflexGest: Recognizing Hand Gestures Under VLC-Capable Lamps,meta_json_toc,10.1109/TMC.2025.3545340,legacy_included_list,data/proc_markdowns/O_ISAC_030,data/proc_markdowns/O_ISAC_030/O_ISAC_030.md,data/proc_markdowns/O_ISAC_030/O_ISAC_030/O_ISAC_030_meta.json,yes,yes,yes,no,10.1109/TMC.2025.3545340,ReflexGest: Recognizing Hand Gestures Under VLC-Capable Lamps,1,Duplicate,
O_ISAC_031,Photonics-enabled full-duplex millimeter-wave integrated sensing and communication,meta_json_toc,10.1109/ACP/IPOC63121.2024.10810000,legacy_included_list,data/proc_markdowns/O_ISAC_031,data/proc_markdowns/O_ISAC_031/O_ISAC_031.md,data/proc_markdowns/O_ISAC_031/O_ISAC_031/O_ISAC_031_meta.json,yes,yes,yes,no,10.1109/ACP/IPOC63121.2024.10810000,Photonics-Enabled Full-Duplex Millimeter-Wave Integrated Sensing and Communication,1,Duplicate,
O_ISAC_032,Temperature Compensation Method for Polarization-Multiplexed Fiber-Optic Vibration Sensing Unit,meta_json_toc,10.1109/JSEN.2024.3501256,legacy_included_list,data/proc_markdowns/O_ISAC_032,data/proc_markdowns/O_ISAC_032/O_ISAC_032.md,data/proc_markdowns/O_ISAC_032/O_ISAC_032/O_ISAC_032_meta.json,yes,yes,yes,no,10.1109/JSEN.2024.3501256,Temperature Compensation Method for Polarization-Multiplexed Fiber-Optic Vibration Sensing Unit,0,,
O_ISAC_033,Simultaneous Sensing and Communication in Optical Fibers,meta_json_toc,10.1063/1.5113955,markdown_extract,data/proc_markdowns/O_ISAC_033,data/proc_markdowns/O_ISAC_033/O_ISAC_033.md,data/proc_markdowns/O_ISAC_033/O_ISAC_033/O_ISAC_033_meta.json,yes,yes,yes,no,,Simultaneous Sensing and Communication in Optical Fibers,0,,
O_ISAC_034,Pulse Sequence Sensing and Pulse Position Modulation for Optical Integrated Sensing and Communication,meta_json_toc,10.1109/LCOMM.2023.3270184,legacy_included_list,data/proc_markdowns/O_ISAC_034,data/proc_markdowns/O_ISAC_034/O_ISAC_034.md,data/proc_markdowns/O_ISAC_034/O_ISAC_034/O_ISAC_034_meta.json,yes,yes,yes,no,10.1109/LCOMM.2023.3270184,Pulse Sequence Sensing and Pulse Position Modulation for Optical Integrated Sensing and Communication,1,Duplicate,
O_ISAC_035,OCDM-Based FMCW Waveform Design for FSO Integrated Sensing and Communications,meta_json_toc,10.1109/JLT.2025.3592208,legacy_included_list,data/proc_markdowns/O_ISAC_035,data/proc_markdowns/O_ISAC_035/O_ISAC_035.md,data/proc_markdowns/O_ISAC_035/O_ISAC_035/O_ISAC_035_meta.json,yes,yes,yes,no,10.1109/JLT.2025.3592208,OCDM-Based FMCW Waveform Design for FSO Integrated Sensing and Communications,1,Duplicate,
O_ISAC_036,Heterogeneous Integrated III-V-on-SOI Transmitter for 6G FiWi mmWave/FSO Integrated Sensing and Communication,meta_json_toc,10.1109/ECOC66593.2025.11263375,legacy_included_list,data/proc_markdowns/O_ISAC_036,data/proc_markdowns/O_ISAC_036/O_ISAC_036.md,data/proc_markdowns/O_ISAC_036/O_ISAC_036/O_ISAC_036_meta.json,yes,yes,yes,no,10.1109/ECOC66593.2025.11263375,Heterogeneous Integrated III-V-on-Soi Transmitter for 6G FiWi mmWave/FSO Integrated Sensing and Communication,0,,
O_ISAC_037,Linearly Polarized Mode Demultiplexing Hybrid based on Multi-Plane Light Conversion,meta_json_toc,10.1109/ICOCN63276.2024.10648374,legacy_included_list,data/proc_markdowns/O_ISAC_037,data/proc_markdowns/O_ISAC_037/O_ISAC_037.md,data/proc_markdowns/O_ISAC_037/O_ISAC_037/O_ISAC_037_meta.json,yes,yes,yes,no,10.1109/ICOCN63276.2024.10648374,Linearly Polarized Mode Demultiplexing Hybrid Based on Multi-Plane Light Conversion,0,,
O_ISAC_038,Integration of Distributed Sensing into Optical Coherent Networks through Non-Orthogonal Multiple Access,meta_json_toc,,,data/proc_markdowns/O_ISAC_038,data/proc_markdowns/O_ISAC_038/O_ISAC_038.md,data/proc_markdowns/O_ISAC_038/O_ISAC_038/O_ISAC_038_meta.json,yes,yes,yes,no,,Integration of Distributed Sensing into Optical Coherent Networks through Non-Orthogonal Multiple Access,0,,
O_ISAC_039,Visible Light Integrated Positioning and Communication: A Multi-Task Federated Learning Framework,meta_json_toc,10.1109/TMC.2022.3207164,legacy_included_list,data/proc_markdowns/O_ISAC_039,data/proc_markdowns/O_ISAC_039/O_ISAC_039.md,data/proc_markdowns/O_ISAC_039/O_ISAC_039/O_ISAC_039_meta.json,yes,yes,yes,no,10.1109/TMC.2022.3207164,Visible Light Integrated Positioning and Communication: A Multi-Task Federated Learning Framework,1,Duplicate,
O_ISAC_040,UAV-Aided Flying Retroreflective Optical ISAC with Angle Diversity Transmitters,meta_json_toc,10.23919/OECC/PSC62146.2025.11110803,legacy_included_list,data/proc_markdowns/O_ISAC_040,data/proc_markdowns/O_ISAC_040/O_ISAC_040.md,data/proc_markdowns/O_ISAC_040/O_ISAC_040/O_ISAC_040_meta.json,yes,yes,yes,no,10.23919/OECC/PSC62146.2025.11110803,UAV-Aided Flying Retroreflective Optical ISAC with Angle Diversity Transmitters,1,Duplicate,
O_ISAC_041,Co-Route Fiber Recognition and Status Diagnosis Based on Integrated Sensing and Communication in 6G Transport Networks,meta_json_toc,10.1109/JIOT.2024.3414863,legacy_included_list,data/proc_markdowns/O_ISAC_041,data/proc_markdowns/O_ISAC_041/O_ISAC_041.md,data/proc_markdowns/O_ISAC_041/O_ISAC_041/O_ISAC_041_meta.json,yes,yes,yes,no,10.1109/JIOT.2024.3414863,Co-Route Fiber Recognition and Status Diagnosis Based on Integrated Sensing and Communication in 6G Transport Networks,1,Duplicate,
O_ISAC_042,High-efficiency ISAC to enable sub-meter level vibration sensing for coherent fiber networks,meta_json_toc,,,data/proc_markdowns/O_ISAC_042,data/proc_markdowns/O_ISAC_042/O_ISAC_042.md,data/proc_markdowns/O_ISAC_042/O_ISAC_042/O_ISAC_042_meta.json,yes,yes,yes,no,,High-efficiency ISAC to enable sub-meter level vibration sensing for coherent fiber networks,0,,
O_ISAC_043,Photonic-based W-band Flexible TFDM Integrated Sensing and Communication System for Fiber-wireless Network,meta_json_toc,10.1364/OFC.2023.W4J.5,legacy_included_list,data/proc_markdowns/O_ISAC_043,data/proc_markdowns/O_ISAC_043/O_ISAC_043.md,data/proc_markdowns/O_ISAC_043/O_ISAC_043/O_ISAC_043_meta.json,yes,yes,yes,no,10.1364/OFC.2023.W4J.5,Photonic-based W-band Flexible TFDM Integrated Sensing and Communication System for Fiber-wireless Network,1,Duplicate,
O_ISAC_044,Photonic-Based W-Band Integrated Sensing and Communication System With Flexible Time- Frequency Division Multiplexed Waveforms for Fiber-Wireless Network,meta_json_toc,10.1109/JLT.2024.3354070,markdown_extract,data/proc_markdowns/O_ISAC_044,data/proc_markdowns/O_ISAC_044/O_ISAC_044.md,data/proc_markdowns/O_ISAC_044/O_ISAC_044/O_ISAC_044_meta.json,yes,yes,no,no,,,1,Duplicate,legacy_included_list_omission_resolved_by_phase2_and_repo_corpus_evidence;named_pdf_alias_added_from_extensionless_retrieved_doc
O_ISAC_045,Simultaneous Sensing and Communication Over 20 km Fiber Based on Si<sub>3</sub>N<sub>4</sub> Micro-Ring,meta_json_toc,10.1109/CLEO-PR60912.2024.10676568,legacy_included_list,data/proc_markdowns/O_ISAC_045,data/proc_markdowns/O_ISAC_045/O_ISAC_045.md,data/proc_markdowns/O_ISAC_045/O_ISAC_045/O_ISAC_045_meta.json,yes,yes,yes,no,10.1109/CLEO-PR60912.2024.10676568,Simultaneous Sensing and Communication Over 20 km Fiber Based on Si3N4 Micro-Ring,0,,
O_ISAC_046,Co-wavelength-channel Integration of Ultra-low- frequency Distributed Acoustic Sensing and High- Capacity Communication,meta_json_toc,10.1109/ACP/IPOC63121.2024.10810040,legacy_included_list,data/proc_markdowns/O_ISAC_046,data/proc_markdowns/O_ISAC_046/O_ISAC_046.md,data/proc_markdowns/O_ISAC_046/O_ISAC_046/O_ISAC_046_meta.json,yes,yes,yes,no,10.1109/ACP/IPOC63121.2024.10810040,Co-Wavelength-Channel Integration of Ultra-Low-Frequency Distributed Acoustic Sensing and High-Capacity Communication,0,,
O_ISAC_047,Zero-Padding 2D-DFT Scheme for Photonics-Assisted W-Band Fiber-Wireless ISAC System With Orthogonal Time Frequency Space Modulation,meta_json_toc,10.1109/JLT.2025.3602312,legacy_included_list,data/proc_markdowns/O_ISAC_047,data/proc_markdowns/O_ISAC_047/O_ISAC_047.md,data/proc_markdowns/O_ISAC_047/O_ISAC_047/O_ISAC_047_meta.json,yes,yes,yes,no,10.1109/JLT.2025.3602312,Zero-Padding 2D-DFT Scheme for Photonics-Assisted W-Band Fiber-Wireless ISAC System With Orthogonal Time Frequency Space Modulation,1,Duplicate,
O_ISAC_048,Power Allocation for OFDM-Based Free Space Optical Integrated Sensing and Communication,meta_json_toc,10.1109/ICC51166.2024.10622583,legacy_included_list,data/proc_markdowns/O_ISAC_048,data/proc_markdowns/O_ISAC_048/O_ISAC_048.md,data/proc_markdowns/O_ISAC_048/O_ISAC_048/O_ISAC_048_meta.json,yes,yes,yes,no,10.1109/ICC51166.2024.10622583,Power Allocation for OFDM-Based Free Space Optical Integrated Sensing and Communication,1,Duplicate,
O_ISAC_049,Joint Optimization of Slot Selection and Power Allocation in Integrated Visible Light Communication and Sensing Systems,meta_json_toc,10.1109/JIOT.2023.3303137,legacy_included_list,data/proc_markdowns/O_ISAC_049,data/proc_markdowns/O_ISAC_049/O_ISAC_049.md,data/proc_markdowns/O_ISAC_049/O_ISAC_049/O_ISAC_049_meta.json,yes,yes,yes,no,10.1109/JIOT.2023.3303137,Joint Optimization of Slot Selection and Power Allocation in Integrated Visible Light Communication and Sensing Systems,1,Duplicate,
O_ISAC_050,Visible Light Communication-Enabled Simultaneous Position and Orientation Detection for Harnessing Multipath Interference and Random Fading,meta_json_toc,10.1109/TITS.2023.3324361,legacy_included_list,data/proc_markdowns/O_ISAC_050,data/proc_markdowns/O_ISAC_050/O_ISAC_050.md,data/proc_markdowns/O_ISAC_050/O_ISAC_050/O_ISAC_050_meta.json,yes,yes,yes,no,10.1109/TITS.2023.3324361,Visible Light Communication-Enabled Simultaneous Position and Orientation Detection for Harnessing Multipath Interference and Random Fading,1,Duplicate,
O_ISAC_051,Remote Phase-Shift LiDAR With Communication,meta_json_toc,10.1109/TCOMM.2023.3233962,legacy_included_list,data/proc_markdowns/O_ISAC_051,data/proc_markdowns/O_ISAC_051/O_ISAC_051.md,data/proc_markdowns/O_ISAC_051/O_ISAC_051/O_ISAC_051_meta.json,yes,yes,yes,no,10.1109/TCOMM.2023.3233962,Remote Phase-Shift LiDAR With Communication,1,Duplicate,
O_ISAC_052,Adaptive Resource Allocation in ADO-OFDM for Optical Wireless Integrated Sensing and Communication,meta_json_toc,10.1109/GLOBECOM52923.2024.10901628,legacy_included_list,data/proc_markdowns/O_ISAC_052,data/proc_markdowns/O_ISAC_052/O_ISAC_052.md,data/proc_markdowns/O_ISAC_052/O_ISAC_052/O_ISAC_052_meta.json,yes,yes,yes,no,10.1109/GLOBECOM52923.2024.10901628,Adaptive Resource Allocation in ADO-OFDM for Optical Wireless Integrated Sensing and Communication,1,Duplicate,
O_ISAC_053,Integrated Sensing and Communication in the Visible Spectral Range: A Novel Closed Loop Controller,meta_json_toc,10.1109/CoBCom55489.2022.9880677,legacy_included_list,data/proc_markdowns/O_ISAC_053,data/proc_markdowns/O_ISAC_053/O_ISAC_053.md,data/proc_markdowns/O_ISAC_053/O_ISAC_053/O_ISAC_053_meta.json,yes,yes,yes,no,10.1109/CoBCom55489.2022.9880677,Integrated Sensing and Communication in the Visible Spectral Range: A Novel Closed Loop Controller,1,Duplicate,
O_ISAC_054,Optical Integrated Sensing and Communication With Light-Emitting Diode,meta_json_toc,10.1109/JIOT.2024.3523045,legacy_included_list,data/proc_markdowns/O_ISAC_054,data/proc_markdowns/O_ISAC_054/O_ISAC_054.md,data/proc_markdowns/O_ISAC_054/O_ISAC_054/O_ISAC_054_meta.json,yes,yes,yes,no,10.1109/JIOT.2024.3523045,Optical Integrated Sensing and Communication With Light-Emitting Diode,1,Duplicate,
O_ISAC_055,Free Space Optical Integrated Sensing and Communication Based on LFM and CPM,meta_json_toc,10.1109/LCOMM.2023.3332658,legacy_included_list,data/proc_markdowns/O_ISAC_055,data/proc_markdowns/O_ISAC_055/O_ISAC_055.md,data/proc_markdowns/O_ISAC_055/O_ISAC_055/O_ISAC_055_meta.json,yes,yes,yes,no,10.1109/LCOMM.2023.3332658,Free Space Optical Integrated Sensing and Communication Based on LFM and CPM,1,Duplicate,
O_ISAC_056,Optical ISAC: Fundamental Performance Limits and Transceiver Design,meta_json_toc,10.1109/GCWkshp64532.2024.11101062,legacy_included_list,data/proc_markdowns/O_ISAC_056,data/proc_markdowns/O_ISAC_056/O_ISAC_056.md,data/proc_markdowns/O_ISAC_056/O_ISAC_056/O_ISAC_056_meta.json,yes,yes,yes,no,10.1109/GCWkshp64532.2024.11101062,Optical ISAC: Fundamental Performance Limits and Transceiver Design,0,,
