record_group_id,title,doi,year,legacy_decision_set,legacy_rows,scopus_batch_decision,scopus_batch_row,linked_track_id,ai_scopus_decision,ai_scopus_confidence,reconstructed_stage_class,reconstructed_title_abstract_decision,reconstruction_basis,evidence_scope,notes
TA_RECON_017,6G Networks: Is This an Evolution or a Revolution? [From the Guest Editors],10.1109/MVT.2021.3116995,2021,Excluded,397,Unscreened,366,O_ISAC_385,Excluded,0.8,screened_record,Excluded,legacy_screening_log,partial_dec28_update_workflow_only,
TA_RECON_018,"6G Wireless Communication Systems: Applications, Requirements, Technologies, Challenges, and Research Directions",10.1109/OJCOMS.2020.3010270,2020,Duplicate,27;402,Duplicate,371,,,,duplicate_only,DuplicateOnly,legacy_duplicate_only,partial_dec28_update_workflow_only,
TA_RECON_019,A 3D Continuous-Space Electromagnetic Channel Model for 6G Tri-Polarized Multi-User Communications,10.1109/TWC.2024.3453378,2024,Excluded,283,Unscreened,252,O_ISAC_319,Excluded,0.9,screened_record,Excluded,legacy_screening_log,partial_dec28_update_workflow_only,
TA_RECON_020,A Beam-Scannable Photonic THz-ISAC System Based on Risley Prisms,10.1109/ACP/POEM59049.2023.10368958,2023,Excluded,357,Unscreened,326,O_ISAC_362,Excluded,0.9,screened_record,Excluded,legacy_screening_log,partial_dec28_update_workflow_only,
TA_RECON_021,A BRIEF OVERVIEW OF W-BAND APPLICATIONS IN SATELLITE COMMUNICATION SYSTEMS,10.1049/icp.2025.2221,2025,Excluded,140,Unscreened,109,O_ISAC_247,Excluded,0.9,screened_record,Excluded,legacy_screening_log,partial_dec28_update_workflow_only,
TA_RECON_022,A Broadband Dipole Antenna Implemented with Solar Cell,10.1109/iWAT57058.2023.10171779,2023,Excluded,373,Unscreened,342,O_ISAC_373,Excluded,0.9,screened_record,Excluded,legacy_screening_log,partial_dec28_update_workflow_only,
TA_RECON_023,"A Comprehensive Survey on Full-Duplex Communication: Current Solutions, Future Trends, and Open Issues",10.1109/COMST.2023.3318198,2023,Excluded,366,Unscreened,335,O_ISAC_369,Excluded,0.9,screened_record,Excluded,legacy_screening_log,partial_dec28_update_workflow_only,
TA_RECON_024,A Computational Signal Algebra Framework for Microwave Photonics Radar Integrated Sensing and Communications,10.1109/ICACCS60874.2024.10716942,2024,Excluded,272,Unscreened,241,O_ISAC_314,Excluded,0.8,screened_record,Excluded,legacy_screening_log,partial_dec28_update_workflow_only,
TA_RECON_025,Adaptive Resource Allocation in ADO-OFDM for Optical Wireless Integrated Sensing and Communication,10.1109/GLOBECOM52923.2024.10901628,2024,Duplicate,325,Duplicate,294,,,,duplicate_only,DuplicateOnly,legacy_duplicate_only,partial_dec28_update_workflow_only,
TA_RECON_026,Adaptive RIS Optimization for Secure Underwater Optical Communications,10.1109/ACCESS.2025.3602057,2025,Duplicate,17,,,,,,duplicate_only,DuplicateOnly,legacy_duplicate_only,partial_dec28_update_workflow_only,
TA_RECON_027,Adaptive visible light integrated sensing and communication for cable-free virtual reality,10.1364/PRJ.561888,2025,Included,54,Unscreened,23,O_ISAC_185,Included,0.9,screened_record,Included,legacy_screening_log,partial_dec28_update_workflow_only,
TA_RECON_028,A D-Band Concurrent 20-Beam MIMO Transmitter Array With a Four-Element Joint Static/Dynamic Beam-Multiplication Beamformer,10.1109/JSSC.2024.3487619,2025,Excluded,91,Unscreened,60,O_ISAC_214,Excluded,0.9,screened_record,Excluded,legacy_screening_log,partial_dec28_update_workflow_only,
TA_RECON_029,A D-Band Self-Packaged Low Loss Grounded Coplanar Waveguide to Rectangular Waveguide Transition With Silicon-Based Air Cavity-Backed Structure,10.1109/JMW.2024.3459909,2024,Excluded,29,,,,,,screened_record,Excluded,legacy_screening_log,partial_dec28_update_workflow_only,
TA_RECON_030,A Dual Linear-polarized Gap Waveguide Antenna Element for Radar and Communications at 77 GHz,10.23919/EuCAP60739.2024.10501068,2024,Excluded,304,Unscreened,273,O_ISAC_330,Excluded,0.9,screened_record,Excluded,legacy_screening_log,partial_dec28_update_workflow_only,
TA_RECON_031,Advanced Integration of Sensing and Communication With High DSP Compatibility for SMART Network,10.1109/LPT.2025.3593343,2025,Duplicate,9;167,Duplicate,136,,,,duplicate_only,DuplicateOnly,legacy_duplicate_only,partial_dec28_update_workflow_only,
TA_RECON_032,Advanced Signal Processing in Distributed Acoustic Sensors Based on Submarine Cables for Seismology Applications,10.1109/JLT.2023.3273268,2023,Duplicate,339,Duplicate,308,,,,duplicate_only,DuplicateOnly,legacy_duplicate_only,partial_dec28_update_workflow_only,
TA_RECON_033,Advanced SMART network: empowering subsea monitoring with dense photonic integrated sensing and communication,10.1364/PRJ.563034,2025,Included,100,Unscreened,69,O_ISAC_220,Included,0.9,screened_record,Included,legacy_screening_log,partial_dec28_update_workflow_only,
TA_RECON_034,A General 3D GBSM for 6G ISAC Systems Towards 3GPP Standardization Verified by Channel Measurements,10.1109/JSAC.2025.3612916,2025,Excluded,135,Unscreened,104,O_ISAC_243,Excluded,0.8,screened_record,Excluded,legacy_screening_log,partial_dec28_update_workflow_only,
TA_RECON_035,A General 6G Large-scale Fading Channel Model for Multiple Frequency Bands and Scenarios,10.1109/ICCC65529.2025.11148844,2025,Duplicate,131,Duplicate,100,,,,duplicate_only,DuplicateOnly,legacy_duplicate_only,partial_dec28_update_workflow_only,
TA_RECON_036,All-Optical Computing for Direction-of-Arrival Estimation Beyond Diffraction Limits,,2025,Duplicate,110,Duplicate,79,,,,duplicate_only,DuplicateOnly,legacy_duplicate_only,partial_dec28_update_workflow_only,
TA_RECON_037,All-optical computing for super-resolution direction of arrival estimation,10.1109/ACP/IPOC63121.2024.10809945,2024,Duplicate,264,Duplicate,233,,,,duplicate_only,DuplicateOnly,legacy_duplicate_only,partial_dec28_update_workflow_only,
TA_RECON_038,A low-complexity ISAC method for LFM-PSK signals using de-chirping and ISAC phase unwrapping techniques,10.1016/j.dsp.2024.104588,2024,Excluded,228,Unscreened,197,O_ISAC_285,Excluded,0.9,screened_record,Excluded,legacy_screening_log,partial_dec28_update_workflow_only,
TA_RECON_039,AmBC-Aided Integrated Sensing and Communication Systems for V2X Networks,10.1109/ICCWorkshops57953.2023.10283525,2023,Excluded,362,Unscreened,331,O_ISAC_366,Excluded,0.8,screened_record,Excluded,legacy_screening_log,partial_dec28_update_workflow_only,
TA_RECON_040,An Adaptive Control System for Satellite-Ground Laser Communication Based on Integrated Sensing and Communication,10.23919/OECC/PSC62146.2025.11110813,2025,Included,151,Unscreened,120,O_ISAC_252,Included,0.9,screened_record,Included,legacy_screening_log,partial_dec28_update_workflow_only,
TA_RECON_041,Analysis of Visible Light-Based ISAC Channel Characteristics in a V2V Scenario,10.1109/WCNC61545.2025.10978645,2025,Duplicate,200,Duplicate,169,,,,duplicate_only,DuplicateOnly,legacy_duplicate_only,partial_dec28_update_workflow_only,
TA_RECON_042,An enhanced 6G pervasive channel model towards standardization,10.1007/s11432-025-4419-9,2025,Excluded,64,Unscreened,33,O_ISAC_193,Excluded,0.8,screened_record,Excluded,legacy_screening_log,partial_dec28_update_workflow_only,
TA_RECON_043,An integrated sensing and communication solar skin for health monitoring and humanâ€“machine interaction,10.1016/j.nanoen.2025.111639,2026,Unscreened,34,Unscreened,3,O_ISAC_166,Included,0.9,screened_record,Included,legacy_unscreened_plus_ai_scopus,partial_dec28_update_workflow_only,
TA_RECON_044,An Intelligent Path Loss Prediction Approach Based on Integrated Sensing and Communications for Future Vehicular Networks,10.1109/OJCS.2024.3386733,2024,Included,24,,,,,,screened_record,Included,legacy_screening_log,partial_dec28_update_workflow_only,
TA_RECON_045,A novel Hartley-based U-OFDM dimming control approach,10.23919/ChiCC.2017.8028801,2017,Excluded,409,Excluded,378,,,,screened_record,Excluded,legacy_screening_log,partial_dec28_update_workflow_only,
TA_RECON_046,Antenna-on-Display Featuring 2-D Frequency and Phase Scanning for Integrated Sensing and Communication,10.1109/ICMMT65948.2025.11188032,2025,Excluded,111,Unscreened,80,O_ISAC_226,Excluded,0.9,screened_record,Excluded,legacy_screening_log,partial_dec28_update_workflow_only,
TA_RECON_047,An X-Band Dual Function Transceiver Utilizing Digital Predistortion for Radar and Communication in 250 nm GaN HEMT,10.1109/ACCESS.2025.3577194,2025,Excluded,197,Unscreened,166,O_ISAC_274,Excluded,0.9,screened_record,Excluded,legacy_screening_log,partial_dec28_update_workflow_only,
TA_RECON_048,A Photonics-Assisted D-Band ISAC System Based on A Time-Frequency Efficient Waveform,10.1109/ACP/IPOC63121.2024.10809716,2024,Excluded,263,Unscreened,232,O_ISAC_311,Excluded,0.9,screened_record,Excluded,legacy_screening_log,partial_dec28_update_workflow_only,
TA_RECON_049,"A Primer on Rate-Splitting Multiple Access: Tutorial, Myths, and Frequently Asked Questions",10.1109/JSAC.2023.3242718,2023,Excluded,344,Unscreened,313,O_ISAC_353,Excluded,1.0,screened_record,Excluded,legacy_screening_log,partial_dec28_update_workflow_only,
TA_RECON_050,A Reconfigurable Phase-Time Array Transmitter Achieving Keyless Secured Transmission and Multi-Receiver Localization for Low-Latency Joint Communication and Sensing,10.1109/JSSC.2023.3237462,2023,Duplicate,340,Duplicate,309,,,,duplicate_only,DuplicateOnly,legacy_duplicate_only,partial_dec28_update_workflow_only,
TA_RECON_051,A Rough Surface-Aided Non-Line-of-Sight Joint Sensing and Communication System for THz Band,10.1109/OJCOMS.2025.3552635,2025,Excluded,13,,,,,,screened_record,Excluded,legacy_screening_log,partial_dec28_update_workflow_only,
TA_RECON_052,A Spectrum-Efficient MoF Architecture for Joint Sensing and Communication in B5G Based on Polarization Interleaving and Polarization-Insensitive Filtering,10.1109/JLT.2022.3181608,2022,Duplicate,384,Duplicate,353,,,,duplicate_only,DuplicateOnly,legacy_duplicate_only,partial_dec28_update_workflow_only,
TA_RECON_053,A Subspace-Based Azimuth-Range-Doppler Estimator with Super-Resolution for OFDM Radar,10.1109/RadarConf2458775.2024.10549590,2024,Excluded,301,Unscreened,270,O_ISAC_329,Excluded,0.9,screened_record,Excluded,legacy_screening_log,partial_dec28_update_workflow_only,
TA_RECON_054,A Super-resolution Algorithm Based on Beam Improvement for Angle Estimation in Multipath Environments,10.1109/APCAP59480.2023.10470154,2023,Excluded,350,Unscreened,319,O_ISAC_357,Excluded,0.9,screened_record,Excluded,legacy_screening_log,partial_dec28_update_workflow_only,
TA_RECON_055,A Technical Review of Integrated Sensing and Communication in Optical Transmission System,10.1109/ICOCN59242.2023.10236125,2023,Included,364,Unscreened,333,O_ISAC_368,Included,0.9,screened_record,Included,legacy_screening_log,partial_dec28_update_workflow_only,
TA_RECON_056,A Unified Future: Integrated Sensing and Communication (ISAC) in 6G,10.1109/JSTEAP.2025.3603540,2025,Included,5,,,,,,screened_record,Included,legacy_screening_log,partial_dec28_update_workflow_only,
TA_RECON_057,A Unified OFDM-ISAC Signal Generation Architecture in W-Band via Photonics-Aided Frequency Multiplication and Phase Noise Mitigation,10.3390/photonics12111052,2025,Excluded,42,Unscreened,11,O_ISAC_174,Excluded,0.8,screened_record,Excluded,legacy_screening_log,partial_dec28_update_workflow_only,
TA_RECON_058,A Unified Waveform for Optical Wireless Integrated Sensing and Communication,10.1109/ACP55869.2022.10088865,2022,Duplicate,388,Duplicate,357,,,,duplicate_only,DuplicateOnly,legacy_duplicate_only,partial_dec28_update_workflow_only,
TA_RECON_059,Beam Pattern Modulation Embedded Hybrid Transceiver Optimization for Integrated Sensing and Communication,10.1109/TWC.2025.3545372,2025,Included,77,Unscreened,46,O_ISAC_206,Included,0.9,screened_record,Included,legacy_screening_log,partial_dec28_update_workflow_only,
TA_RECON_060,Bidirectional Retroreflective Optical ISAC Using Time Division Duplexing and Clipped OFDM,10.1109/LPT.2025.3541038,2025,Duplicate,86,Duplicate,55,,,,duplicate_only,DuplicateOnly,legacy_duplicate_only,partial_dec28_update_workflow_only,
TA_RECON_061,Bi-Static Sensing with 5G NR Physical Uplink Shared Channel Transmission,10.1109/JCS61227.2024.10646307,2024,Excluded,284,Unscreened,253,O_ISAC_320,Excluded,0.9,screened_record,Excluded,legacy_screening_log,partial_dec28_update_workflow_only,
TA_RECON_062,Blind and Topological Interference Managements for Bistatic Integrated Sensing and Communication,10.1109/JSAC.2025.3611944,2025,Excluded,139,Unscreened,108,O_ISAC_246,Excluded,0.8,screened_record,Excluded,legacy_screening_log,partial_dec28_update_workflow_only,
TA_RECON_063,Broadband Photon-Assisted Terahertz Communication and Sensing,10.1109/JLT.2023.3252821,2023,Duplicate,342,Duplicate,311,,,,duplicate_only,DuplicateOnly,legacy_duplicate_only,partial_dec28_update_workflow_only,
TA_RECON_064,C-Band 200 Gbit/s/λ PS-PAM-8 Transmission Over 2-km SSMF for Optical Interconnections,10.1109/JPHOT.2024.3381232,2024,Duplicate,8,,,,,,duplicate_only,DuplicateOnly,legacy_duplicate_only,partial_dec28_update_workflow_only,
TA_RECON_065,Channel Characterization and Modeling for VLC-IoE Applications in 6G: A Survey,10.1109/JIOT.2024.3430326,2024,Included,298,Unscreened,267,O_ISAC_327,Included,0.9,screened_record,Included,legacy_screening_log,partial_dec28_update_workflow_only,
TA_RECON_066,Channel modeling for NLoS visible light networks with integrated sensing and communication,10.1364/OL.520129,2024,Excluded,239,Unscreened,208,O_ISAC_295,Included,0.9,screened_record,Excluded,legacy_screening_log,partial_dec28_update_workflow_only,
TA_RECON_067,Channel Spreading Function-Inspired Channel Transfer Function Estimation for OFDM Systems With High Mobility,10.1109/LWC.2025.3565286,2025,Excluded,202,Unscreened,171,O_ISAC_275,Excluded,0.9,screened_record,Excluded,legacy_screening_log,partial_dec28_update_workflow_only,
TA_RECON_068,Channel-Training-Aided Target Sensing for Terahertz Integrated Sensing and Massive MIMO Communications,10.1109/JIOT.2024.3447584,2025,Excluded,93,Unscreened,62,O_ISAC_215,Excluded,0.9,screened_record,Excluded,legacy_screening_log,partial_dec28_update_workflow_only,
TA_RECON_069,Chaotic optoelectronic oscillators-based dual-function radar-communication system,10.1007/s11432-024-4369-2,2025,Included,55,Unscreened,24,O_ISAC_186,Included,0.9,screened_record,Included,legacy_screening_log,partial_dec28_update_workflow_only,
TA_RECON_070,Clock and Carrier Synchronization Using Optical Frequency Combs in Radio Access Networks,10.1109/ICT65093.2025.11046275,2025,Duplicate,182,Duplicate,151,,,,duplicate_only,DuplicateOnly,legacy_duplicate_only,partial_dec28_update_workflow_only,
TA_RECON_071,Code shift keying based joint radar and communications for EMCON applications,10.1016/j.dsp.2018.05.013,2018,Excluded,407,Excluded,376,,,,screened_record,Excluded,legacy_screening_log,partial_dec28_update_workflow_only,
TA_RECON_072,Coexistence of Distributed Sensing and Ultra-Simple Coherent RoF Based Front-Haul for Radio Access Network,10.1109/JLT.2025.3555486,2025,Duplicate,218,Duplicate,187,,,,duplicate_only,DuplicateOnly,legacy_duplicate_only,partial_dec28_update_workflow_only,
TA_RECON_073,Collaborative Low-Altitude Air Traffic Control Under Communication Constraints in Integrated Sensing and Communication Networks,10.1109/RADAR58436.2024.10993624,2024,Excluded,319,Unscreened,288,O_ISAC_338,Excluded,0.8,screened_record,Excluded,legacy_screening_log,partial_dec28_update_workflow_only,
TA_RECON_074,Combined laser-communications and laser-ranging transponder for Moon and Mars,10.1117/12.810431,2009,Excluded,416,Excluded,385,,,,screened_record,Excluded,legacy_screening_log,partial_dec28_update_workflow_only,
TA_RECON_075,Common bias-digital subcarrier multiplexing scheme for integrated sensing and communication in short-reach optical transmission systems,10.1364/OE.565431,2025,Included,60,Unscreened,29,O_ISAC_190,Included,0.9,screened_record,Included,legacy_screening_log,partial_dec28_update_workflow_only,
TA_RECON_076,"Conference on Infrared, Millimeter, Terahertz Waves and Applications, IMT 2022",,2023,Duplicate,376,Duplicate,345,,,,duplicate_only,DuplicateOnly,legacy_duplicate_only,partial_dec28_update_workflow_only,
TA_RECON_077,Constant Envelope OTFS Waveform Design and Performance Analysis for Mobile ISAC Systems,10.1109/TVT.2025.3600838,2025,Excluded,161,Unscreened,130,O_ISAC_258,Excluded,0.9,screened_record,Excluded,legacy_screening_log,partial_dec28_update_workflow_only,
TA_RECON_078,Continuous Event Recording Technology For Integrated Sensing And Communications In Space,10.1109/IGARSS53475.2024.10642111,2024,Duplicate,273,Duplicate,242,,,,duplicate_only,DuplicateOnly,legacy_duplicate_only,partial_dec28_update_workflow_only,
TA_RECON_079,Controlled synthesis of samarium iron oxide for dual-function laser and radar stealth applications,10.1016/j.jallcom.2025.180926,2025,Excluded,65,Unscreened,34,O_ISAC_194,Excluded,0.9,screened_record,Excluded,legacy_screening_log,partial_dec28_update_workflow_only,
TA_RECON_080,Coordinated FMCW and OFDM for Integrated Sensing and Communication,10.1109/TVT.2025.3619057,2025,Included,125,Unscreened,94,O_ISAC_237,Included,0.9,screened_record,Included,legacy_screening_log,partial_dec28_update_workflow_only,
TA_RECON_081,Coprime Sensing Reference Signal Design Based on Zadoff-Chu Sequence and Index Modulation for Uplink ISAC System,10.1109/TVT.2025.3604403,2025,Excluded,144,Unscreened,113,O_ISAC_249,Excluded,0.8,screened_record,Excluded,legacy_screening_log,partial_dec28_update_workflow_only,
TA_RECON_082,Co-Route Fiber Recognition and Status Diagnosis Based on Integrated Sensing and Communication in 6G Transport Networks,10.1109/JIOT.2024.3414863,2024,Duplicate,303,Duplicate,272,,,,duplicate_only,DuplicateOnly,legacy_duplicate_only,partial_dec28_update_workflow_only,
TA_RECON_083,Cost-Effective Vector THz Signal Generation Technique Enabled by Photonic Frequency Multiplication and Probabilistic Shaping,10.1007/978-981-97-3913-4_6,2024,Excluded,293,Unscreened,262,O_ISAC_326,Excluded,0.9,screened_record,Excluded,legacy_screening_log,partial_dec28_update_workflow_only,
TA_RECON_084,Co-wavelength-channel integration of ultra-low-frequency distributed acoustic sensing and high-capacity communication,10.1364/PRJ.551958,2025,Duplicate,63,Duplicate,32,,,,duplicate_only,DuplicateOnly,legacy_duplicate_only,partial_dec28_update_workflow_only,
TA_RECON_085,CramÃ©r-Rao Bound Optimization for Bistatic ISAC: Transceiver Design and Attention-Based ISACNet,10.1109/JSAC.2025.3607866,2025,Unscreened,149,Unscreened,118,O_ISAC_251,Excluded,0.8,screened_record,Excluded,legacy_unscreened_plus_ai_scopus,partial_dec28_update_workflow_only,
TA_RECON_086,Cross-Frequency Sensing in Bistatic ISAC Systems,10.1109/TWC.2025.3585944,2025,Excluded,180,Unscreened,149,O_ISAC_267,Excluded,0.8,screened_record,Excluded,legacy_screening_log,partial_dec28_update_workflow_only,
TA_RECON_087,DAFT-Domain Interference Cancellation Scheme for Full-Duplex AFDM ISAC System,10.1109/ICCWorkshops67674.2025.11162304,2025,Excluded,129,Unscreened,98,O_ISAC_239,Excluded,0.8,screened_record,Excluded,legacy_screening_log,partial_dec28_update_workflow_only,
TA_RECON_088,Deep learning and time series signal processing for bending detection in mining environment using optical fiber sensor,10.1016/j.yofte.2024.103819,2024,Excluded,225,Unscreened,194,O_ISAC_282,Excluded,0.9,screened_record,Excluded,legacy_screening_log,partial_dec28_update_workflow_only,
TA_RECON_089,Demo: Integrated On-site Localization and Optical Camera Communication for Drones,10.1109/WoWMoM57956.2023.00055,2023,Duplicate,370,Duplicate,339,,,,duplicate_only,DuplicateOnly,legacy_duplicate_only,partial_dec28_update_workflow_only,
TA_RECON_090,Demonstration of High Sensitivity Detection and High Precision Localization of Vibrations in Bidirectional Coherent Transmission Systems Enabled by Carrier Laser Phase Noise Retrieval,10.1109/JLT.2025.3593142,2025,Duplicate,166,Duplicate,135,,,,duplicate_only,DuplicateOnly,legacy_duplicate_only,partial_dec28_update_workflow_only,
TA_RECON_091,Demonstration of photonics-based D-band integrated localization and communication,10.1364/AO.516852,2024,Excluded,243,Unscreened,212,O_ISAC_297,Included,0.9,screened_record,Excluded,legacy_screening_log,partial_dec28_update_workflow_only,
TA_RECON_092,Demonstration of photonics-based flexible integration of sensing and communication with adaptive waveforms for a W-band fiber-wireless integrated network,10.1364/OE.472693,2022,Included,382,Unscreened,351,O_ISAC_379,Included,0.9,screened_record,Included,legacy_screening_log,partial_dec28_update_workflow_only,
TA_RECON_093,Demonstration of Photonic Sub-THz ISAC System with Real-Time 251.03-Gbps Communication Rate and Offline 2.5-cm Sensing Resolution,10.1109/ICOCN63276.2024.10648485,2024,Duplicate,285,Duplicate,254,,,,duplicate_only,DuplicateOnly,legacy_duplicate_only,partial_dec28_update_workflow_only,
TA_RECON_094,Demonstration of radar-aided flexible communication in a photonics-based W-band distributed integrated sensing and communication system for 6G,10.3788/COL202422.043901,2024,Included,247,Unscreened,216,O_ISAC_301,Included,0.9,screened_record,Included,legacy_screening_log,partial_dec28_update_workflow_only,
TA_RECON_095,Design andÂ Analysis ofÂ VLC-OCC-CDMA Rake System,10.1007/978-3-031-36625-3_10,2023,Unscreened,369,Unscreened,338,O_ISAC_371,Included,0.9,screened_record,Included,legacy_unscreened_plus_ai_scopus,partial_dec28_update_workflow_only,
TA_RECON_096,Design andÂ Analysis onÂ U-VLC-CC-CDMA Systems,10.1007/978-3-031-30237-4_16,2023,Unscreened,377,Unscreened,346,O_ISAC_375,Excluded,0.9,screened_record,Excluded,legacy_unscreened_plus_ai_scopus,partial_dec28_update_workflow_only,
TA_RECON_097,Design and modelling of InAs detection system on SOI via monolithic integration for mid-infrared integrated sensing and communication,10.1016/j.optcom.2025.132782,2026,Included,33,Unscreened,2,O_ISAC_165,Included,0.9,screened_record,Included,legacy_screening_log,partial_dec28_update_workflow_only,
TA_RECON_098,Design and Simulation of light Source Layout of Indoor Visible Light Communication System,10.1109/ICICSP54369.2021.9611832,2021,Excluded,400,Unscreened,369,O_ISAC_387,Excluded,0.9,screened_record,Excluded,legacy_screening_log,partial_dec28_update_workflow_only,
TA_RECON_099,Design of Visible Light Communication Transceiver System Based on Intelligent Terminal,10.1109/OGC52961.2021.9654303,2021,Included,399,Unscreened,368,O_ISAC_386,Included,0.8,screened_record,Included,legacy_screening_log,partial_dec28_update_workflow_only,
TA_RECON_100,Development of a Frequency Agile RF-Photonic Digital Transceiver,10.1109/JLT.2025.3612848,2025,Excluded,46,Unscreened,15,O_ISAC_177,Excluded,0.8,screened_record,Excluded,legacy_screening_log,partial_dec28_update_workflow_only,
TA_RECON_101,Development of a Modular Educational Kit for Research and Teaching on Power Electronics and Multilevel Converters,10.1109/ACCESS.2021.3112531,2021,Excluded,16,,,,,,screened_record,Excluded,legacy_screening_log,partial_dec28_update_workflow_only,
TA_RECON_102,Development of an Integrated Communication and Sensing System Using Spread Spectrum and Photonics Technologies,10.3390/photonics11090861,2024,Included,231,Unscreened,200,O_ISAC_288,Included,0.9,screened_record,Included,legacy_screening_log,partial_dec28_update_workflow_only,
TA_RECON_103,DFT-Spread-Based OTFS Waveform Design With Good Peak-to-Average Power Ratio for Joint Sensing and Communications,10.1109/ICASSP49660.2025.10890212,2025,Excluded,184,Unscreened,153,O_ISAC_270,Excluded,0.8,screened_record,Excluded,legacy_screening_log,partial_dec28_update_workflow_only,
TA_RECON_104,Digital-Twin-Assisted Clustering of Radio Frequency Multipath Components,10.1109/LAWP.2025.3583481,2025,Excluded,185,Unscreened,154,O_ISAC_271,Excluded,0.9,screened_record,Excluded,legacy_screening_log,partial_dec28_update_workflow_only,
TA_RECON_105,Digital twins for resilient and reliable 6G networks,10.1049/pbte109e_ch1,2024,Excluded,292,Unscreened,261,O_ISAC_325,Excluded,0.8,screened_record,Excluded,legacy_screening_log,partial_dec28_update_workflow_only,
TA_RECON_106,Distributed Fiber Optic Sensing (DFOS) in Telecom Networks: Industry Trends and Standards Development,10.1109/JLT.2025.3597192,2025,Excluded,164,Unscreened,133,O_ISAC_260,Excluded,0.8,screened_record,Excluded,legacy_screening_log,partial_dec28_update_workflow_only,
