record_id,title,year,doi,row_origin,phase2_source,title_decision,title_reason_exclude,fulltext_decision,fulltext_reason_exclude,is_final_included,present_in_retrieved_docs,legacy_group_size,legacy_decision_summary,reviewer_initials,date_decided,evidence_status,notes
O_ISAC_011,Retroreflective Optical ISAC Supporting 3D Positioning in Indoor Environments,2024,10.1109/ACP/IPOC63121.2024.10809915,phase2_assessed_reconstruction,phase2_extraction_dataset,Include,,Included,,yes,yes,1,Duplicate,,2025-12-28,canonical_reconstructed_assessed,matched_legacy_screening
O_ISAC_012,Phase-Coded FMCW for Optical Integrated Sensing and Communication,2024,10.1109/ACP/IPOC63121.2024.10809937,phase2_assessed_reconstruction,phase2_extraction_dataset,Include,,Included,,yes,yes,1,Duplicate,,2025-12-28,canonical_reconstructed_assessed,matched_legacy_screening
O_ISAC_013,Single-Ended > 100-km Distributed Vibration Sensor Based on OFDR Using Pearson Correlation Coefficient,2025,10.1109/JSEN.2025.3554542,phase2_assessed_reconstruction,phase2_extraction_dataset,Include,,Included,,yes,yes,1,Duplicate,,2025-12-28,canonical_reconstructed_assessed,matched_legacy_screening
O_ISAC_014,Experimental Demonstration of Power over Fiber for Power Grid Application,2024,10.1109/ICOCN63276.2024.10648387,phase2_assessed_reconstruction,phase2_extraction_dataset,Include,,Included,,yes,yes,0,,,,canonical_reconstructed_assessed,phase2_only_no_legacy_screening_match
O_ISAC_015,Movable Access Point-Aided Integrated Visible Light Communication and Sensing Networks,2025,10.1109/LWC.2024.3521192,phase2_assessed_reconstruction,phase2_extraction_dataset,Include,,Included,,yes,yes,1,Duplicate,,2025-12-28,canonical_reconstructed_assessed,matched_legacy_screening
O_ISAC_016,Demonstration of Photonic Sub-THz ISAC System with Real-Time 251.03-Gbps Communication Rate and Offline 2.5-cm Sensing Resolution,2024,10.1109/ICOCN63276.2024.10648485,phase2_assessed_reconstruction,phase2_extraction_dataset,Include,,Included,,yes,yes,1,Duplicate,,2025-12-28,canonical_reconstructed_assessed,matched_legacy_screening
O_ISAC_017,Double-effect DNN-based DBP Scheme for Integrated Sensing and Communications (ISAC),2022,,phase2_assessed_reconstruction,phase2_extraction_dataset,Include,,Included,,yes,yes,0,,,,canonical_reconstructed_assessed,phase2_only_no_legacy_screening_match
O_ISAC_018,Coexistence of Distributed Sensing and Ultra-Simple Coherent RoF Based Front-Haul for Radio Access Network,2025,10.1109/JLT.2025.3555486,phase2_assessed_reconstruction,phase2_extraction_dataset,Include,,Included,,yes,yes,1,Duplicate,,2025-12-28,canonical_reconstructed_assessed,matched_legacy_screening
O_ISAC_019,Full-duplex Integrated Sensing and Communication System Based on Microwave Photonics,2024,10.1109/ACP/IPOC63121.2024.10809573,phase2_assessed_reconstruction,phase2_extraction_dataset,Include,,Included,,yes,yes,1,Duplicate,,2025-12-28,canonical_reconstructed_assessed,matched_legacy_screening
O_ISAC_020,Photonic Integrated Sensing and Communication System Harnessing Submarine Fiber Optic Cables for Coastal Event Monitoring,2022,10.1109/MCOM.002.2200191,phase2_assessed_reconstruction,phase2_extraction_dataset,Include,,Included,,yes,yes,1,Duplicate,,2025-12-28,canonical_reconstructed_assessed,matched_legacy_screening
O_ISAC_021,"Optical Integrated Sensing and Communication: Architectures, Potentials and Challenges",2024,10.1109/IOTM.001.2300196,phase2_assessed_reconstruction,phase2_extraction_dataset,Include,,Included,,yes,yes,2,Duplicate,,2025-12-28,canonical_reconstructed_assessed,matched_legacy_screening
O_ISAC_022,Joint Visible Light Sensing and Communication Using m-CAP Modulation,2023,10.1109/TBC.2022.3201649,phase2_assessed_reconstruction,phase2_extraction_dataset,Include,,Included,,yes,yes,1,Duplicate,,2025-12-28,canonical_reconstructed_assessed,matched_legacy_screening
O_ISAC_023,Free-Space Optical Integrated Sensing and Communication Based on DCO-OFDM: Performance Metrics and Resource Allocation,2025,10.1109/JIOT.2024.3469279,phase2_assessed_reconstruction,phase2_extraction_dataset,Include,,Included,,yes,yes,2,Duplicate,,2025-12-28,canonical_reconstructed_assessed,matched_legacy_screening
O_ISAC_024,Pre-compensation of LFM Sensing Probe via Integrated Sensing and Communication over Fiber System,2025,10.23919/OECC/PSC62146.2025.11111272,phase2_assessed_reconstruction,phase2_extraction_dataset,Include,,Included,,yes,yes,1,Duplicate,,2025-12-28,canonical_reconstructed_assessed,matched_legacy_screening
O_ISAC_025,Optical Transport Network Optimization Supporting Integrated Sensing and Communication Services,2025,,phase2_assessed_reconstruction,phase2_extraction_dataset,Include,,Included,,yes,yes,0,,,,canonical_reconstructed_assessed,phase2_only_no_legacy_screening_match
O_ISAC_026,W-band Photonic-based Integration of Sensing and Communication with Frequency-division Multiplexed Waveforms in Fiber-wireless Integrated Network,2022,10.1109/ACP55869.2022.10088790,phase2_assessed_reconstruction,phase2_extraction_dataset,Include,,Included,,yes,yes,1,Duplicate,,2025-12-28,canonical_reconstructed_assessed,matched_legacy_screening
O_ISAC_027,Low Crosstalk Deep Ocean Salinity Monitoring at 2 µm Wavelength Band,2025,10.1109/JSEN.2025.3579715,phase2_assessed_reconstruction,phase2_extraction_dataset,Include,,Included,,yes,yes,0,,,,canonical_reconstructed_assessed,phase2_only_no_legacy_screening_match
O_ISAC_028,Performance Improvement for Symmetric Carrier- assisted Differential Detection Receiver by Pairwise Coding,2024,10.1109/ICWOC62055.2024.10684954,phase2_assessed_reconstruction,phase2_extraction_dataset,Include,,Included,,yes,yes,0,,,,canonical_reconstructed_assessed,phase2_only_no_legacy_screening_match
O_ISAC_029,THz Integrated Sensing and Communication With Full-Photonic Direct LFM Reception and De-Chirping for D-Band Fiber-Wireless Network,2025,10.1109/TMTT.2025.3549729,phase2_assessed_reconstruction,phase2_extraction_dataset,Include,,Included,,yes,yes,1,Duplicate,,2025-12-28,canonical_reconstructed_assessed,matched_legacy_screening
O_ISAC_030,ReflexGest: Recognizing Hand Gestures Under VLC-Capable Lamps,2025,10.1109/TMC.2025.3545340,phase2_assessed_reconstruction,phase2_extraction_dataset,Include,,Included,,yes,yes,1,Duplicate,,2025-12-28,canonical_reconstructed_assessed,matched_legacy_screening
O_ISAC_031,Photonics-enabled full-duplex millimeter-wave integrated sensing and communication,2024,10.1109/ACP/IPOC63121.2024.10810000,phase2_assessed_reconstruction,phase2_extraction_dataset,Include,,Included,,yes,yes,1,Duplicate,,2025-12-28,canonical_reconstructed_assessed,matched_legacy_screening
O_ISAC_032,Temperature Compensation Method for Polarization-Multiplexed Fiber-Optic Vibration Sensing Unit,2025,10.1109/JSEN.2024.3501256,phase2_assessed_reconstruction,phase2_extraction_dataset,Include,,Included,,yes,yes,0,,,,canonical_reconstructed_assessed,phase2_only_no_legacy_screening_match
O_ISAC_033,Simultaneous Sensing and Communication in Optical Fibers,2022,,phase2_assessed_reconstruction,phase2_extraction_dataset,Include,,Included,,yes,yes,0,,,,canonical_reconstructed_assessed,phase2_only_no_legacy_screening_match
O_ISAC_034,Pulse Sequence Sensing and Pulse Position Modulation for Optical Integrated Sensing and Communication,2023,10.1109/LCOMM.2023.3270184,phase2_assessed_reconstruction,phase2_extraction_dataset,Include,,Included,,yes,yes,1,Duplicate,,2025-12-28,canonical_reconstructed_assessed,matched_legacy_screening
O_ISAC_035,OCDM-Based FMCW Waveform Design for FSO Integrated Sensing and Communications,2025,10.1109/JLT.2025.3592208,phase2_assessed_reconstruction,phase2_extraction_dataset,Include,,Included,,yes,yes,1,Duplicate,,2025-12-28,canonical_reconstructed_assessed,matched_legacy_screening
O_ISAC_036,Heterogeneous Integrated III-V-on-SOI Transmitter for 6G FiWi mmWave/FSO Integrated Sensing and Communication,2025,10.1109/ECOC66593.2025.11263375,phase2_assessed_reconstruction,phase2_extraction_dataset,Include,,Included,,yes,yes,0,,,,canonical_reconstructed_assessed,phase2_only_no_legacy_screening_match
O_ISAC_037,Linearly Polarized Mode Demultiplexing Hybrid based on Multi-Plane Light Conversion,2024,10.1109/ICOCN63276.2024.10648374,phase2_assessed_reconstruction,phase2_extraction_dataset,Include,,Included,,yes,yes,0,,,,canonical_reconstructed_assessed,phase2_only_no_legacy_screening_match
O_ISAC_038,Integration of Distributed Sensing into Optical Coherent Networks through Non-Orthogonal Multiple Access,2025,,phase2_assessed_reconstruction,phase2_extraction_dataset,Include,,Included,,yes,yes,0,,,,canonical_reconstructed_assessed,phase2_only_no_legacy_screening_match
O_ISAC_039,Visible Light Integrated Positioning and Communication: A Multi-Task Federated Learning Framework,2023,10.1109/TMC.2022.3207164,phase2_assessed_reconstruction,phase2_extraction_dataset,Include,,Included,,yes,yes,1,Duplicate,,2025-12-28,canonical_reconstructed_assessed,matched_legacy_screening
O_ISAC_040,UAV-Aided Flying Retroreflective Optical ISAC with Angle Diversity Transmitters,2025,10.23919/OECC/PSC62146.2025.11110803,phase2_assessed_reconstruction,phase2_extraction_dataset,Include,,Included,,yes,yes,1,Duplicate,,2025-12-28,canonical_reconstructed_assessed,matched_legacy_screening
O_ISAC_041,Co-Route Fiber Recognition and Status Diagnosis Based on Integrated Sensing and Communication in 6G Transport Networks,2024,10.1109/JIOT.2024.3414863,phase2_assessed_reconstruction,phase2_extraction_dataset,Include,,Included,,yes,yes,1,Duplicate,,2025-12-28,canonical_reconstructed_assessed,matched_legacy_screening
O_ISAC_042,High-efficiency ISAC to enable sub-meter level vibration sensing for coherent fiber networks,2024,,phase2_assessed_reconstruction,phase2_extraction_dataset,Include,,Included,,yes,yes,0,,,,canonical_reconstructed_assessed,phase2_only_no_legacy_screening_match
O_ISAC_043,Photonic-based W-band Flexible TFDM Integrated Sensing and Communication System for Fiber-wireless Network,2023,10.1364/OFC.2023.W4J.5,phase2_assessed_reconstruction,phase2_extraction_dataset,Include,,Included,,yes,yes,0,,,,canonical_reconstructed_assessed,phase2_only_no_legacy_screening_match
O_ISAC_044,Photonic-Based W-Band Integrated Sensing and Communication System With Flexible Time- Frequency Division Multiplexed Waveforms for Fiber-Wireless Network,2024,10.1109/JLT.2024.3354070,phase2_assessed_reconstruction,phase2_extraction_dataset,Include,,Included,,yes,yes,1,Duplicate,,2025-12-28,canonical_reconstructed_assessed,repo_verified_included;matched_legacy_screening;named_pdf_alias_added_from_extensionless_retrieved_doc
O_ISAC_045,Simultaneous Sensing and Communication Over 20 km Fiber Based on Si<sub>3</sub>N<sub>4</sub> Micro-Ring,2024,10.1109/CLEO-PR60912.2024.10676568,phase2_assessed_reconstruction,phase2_extraction_dataset,Include,,Included,,yes,yes,0,,,,canonical_reconstructed_assessed,phase2_only_no_legacy_screening_match
O_ISAC_046,Co-wavelength-channel Integration of Ultra-low- frequency Distributed Acoustic Sensing and High- Capacity Communication,2024,10.1109/ACP/IPOC63121.2024.10810040,phase2_assessed_reconstruction,phase2_extraction_dataset,Include,,Included,,yes,yes,0,,,,canonical_reconstructed_assessed,phase2_only_no_legacy_screening_match
O_ISAC_047,Zero-Padding 2D-DFT Scheme for Photonics-Assisted W-Band Fiber-Wireless ISAC System With Orthogonal Time Frequency Space Modulation,2025,10.1109/JLT.2025.3602312,phase2_assessed_reconstruction,phase2_extraction_dataset,Include,,Included,,yes,yes,1,Duplicate,,2025-12-28,canonical_reconstructed_assessed,matched_legacy_screening
O_ISAC_048,Power Allocation for OFDM-Based Free Space Optical Integrated Sensing and Communication,2024,10.1109/ICC51166.2024.10622583,phase2_assessed_reconstruction,phase2_extraction_dataset,Include,,Included,,yes,yes,1,Duplicate,,2025-12-28,canonical_reconstructed_assessed,matched_legacy_screening
O_ISAC_049,Joint Optimization of Slot Selection and Power Allocation in Integrated Visible Light Communication and Sensing Systems,2023,10.1109/JIOT.2023.3303137,phase2_assessed_reconstruction,phase2_extraction_dataset,Include,,Included,,yes,yes,1,Duplicate,,2025-12-28,canonical_reconstructed_assessed,matched_legacy_screening
O_ISAC_050,Visible Light Communication-Enabled Simultaneous Position and Orientation Detection for Harnessing Multipath Interference and Random Fading,2024,10.1109/TITS.2023.3324361,phase2_assessed_reconstruction,phase2_extraction_dataset,Include,,Included,,yes,yes,1,Duplicate,,2025-12-28,canonical_reconstructed_assessed,matched_legacy_screening
O_ISAC_051,Remote Phase-Shift LiDAR With Communication,2023,10.1109/TCOMM.2023.3233962,phase2_assessed_reconstruction,phase2_extraction_dataset,Include,,Included,,yes,yes,1,Duplicate,,2025-12-28,canonical_reconstructed_assessed,matched_legacy_screening
O_ISAC_052,Adaptive Resource Allocation in ADO-OFDM for Optical Wireless Integrated Sensing and Communication,2024,10.1109/GLOBECOM52923.2024.10901628,phase2_assessed_reconstruction,phase2_extraction_dataset,Include,,Included,,yes,yes,1,Duplicate,,2025-12-28,canonical_reconstructed_assessed,matched_legacy_screening
O_ISAC_053,Integrated Sensing and Communication in the Visible Spectral Range: A Novel Closed Loop Controller,2022,10.1109/CoBCom55489.2022.9880677,phase2_assessed_reconstruction,phase2_extraction_dataset,Include,,Included,,yes,yes,1,Duplicate,,2025-12-28,canonical_reconstructed_assessed,matched_legacy_screening
O_ISAC_054,Optical Integrated Sensing and Communication With Light-Emitting Diode,2025,10.1109/JIOT.2024.3523045,phase2_assessed_reconstruction,phase2_extraction_dataset,Include,,Included,,yes,yes,1,Duplicate,,2025-12-28,canonical_reconstructed_assessed,matched_legacy_screening
O_ISAC_055,Free Space Optical Integrated Sensing and Communication Based on LFM and CPM,2024,10.1109/LCOMM.2023.3332658,phase2_assessed_reconstruction,phase2_extraction_dataset,Include,,Included,,yes,yes,1,Duplicate,,2025-12-28,canonical_reconstructed_assessed,matched_legacy_screening
O_ISAC_056,Optical ISAC: Fundamental Performance Limits and Transceiver Design,2024,10.1109/GCWkshp64532.2024.11101062,phase2_assessed_reconstruction,phase2_extraction_dataset,Include,,Included,,yes,yes,0,,,,canonical_reconstructed_assessed,phase2_only_no_legacy_screening_match
O_ISAC_057,60-GHz photonic millimeter-wave joint radar- communication system,2021,10.1109/ICMMT52847.2021.9618314,phase2_assessed_reconstruction,phase2_extraction_dataset,Include,,Included,,yes,yes,0,,,,canonical_reconstructed_assessed,phase2_only_no_legacy_screening_match
O_ISAC_058,Photonic-Based Flexible Integrated Sensing and Communication With Multiple Targets Detection Capability for W-Band Fiber-Wireless Network,2024,10.1109/TMTT.2024.3355936,phase2_assessed_reconstruction,phase2_extraction_dataset,Include,,Included,,yes,yes,1,Duplicate,,2025-12-28,canonical_reconstructed_assessed,matched_legacy_screening
O_ISAC_059,Terrestrial and Non-Terrestrial Networks for Integrated Sensing and Communication,2024,10.1109/ISSE63315.2024.10741118,phase2_assessed_reconstruction,phase2_extraction_dataset,Include,,Included,,yes,yes,1,Duplicate,,2025-12-28,canonical_reconstructed_assessed,matched_legacy_screening
O_ISAC_060,A Unified Waveform for Optical Wireless Integrated Sensing and Communication,2022,10.1109/ACP55869.2022.10088865,phase2_assessed_reconstruction,phase2_extraction_dataset,Include,,Included,,yes,yes,1,Duplicate,,2025-12-28,canonical_reconstructed_assessed,matched_legacy_screening
O_ISAC_061,Optical Wireless Integrated Sensing and Communication Based on Optical Phased Array: Performance Metric and Optimal Beamforming,2025,10.1109/TWC.2025.3559254,phase2_assessed_reconstruction,phase2_extraction_dataset,Include,,Included,,yes,yes,1,Duplicate,,2025-12-28,canonical_reconstructed_assessed,matched_legacy_screening
O_ISAC_062,6-DoF Location-and-Pose Estimation Toward Integrated Visible Light Communication and Sensing: Algorithm Design and Performance Limits,2024,10.1109/TSP.2024.3383285,phase2_assessed_reconstruction,phase2_extraction_dataset,Include,,Included,,yes,yes,2,Duplicate,,2025-12-28,canonical_reconstructed_assessed,matched_legacy_screening
O_ISAC_063,Simple and Precise Characterization of Full-Field Frequency Response for Coherent TOSA,2024,10.1109/JLT.2024.3352493,phase2_assessed_reconstruction,phase2_extraction_dataset,Include,,Included,,yes,yes,0,,,,canonical_reconstructed_assessed,phase2_only_no_legacy_screening_match
O_ISAC_064,Integrated Sensing and Communications for Metropolitan Environments,2025,,phase2_assessed_reconstruction,phase2_extraction_dataset,Include,,Included,,yes,yes,0,,,,canonical_reconstructed_assessed,phase2_only_no_legacy_screening_match
O_ISAC_065,THz-Over-Fiber System With Orthogonal Chirp Division Multiplexing for Integrated Sensing and Communication,2024,10.1109/JLT.2023.3311645,phase2_assessed_reconstruction,phase2_extraction_dataset,Include,,Included,,yes,yes,1,Duplicate,,2025-12-28,canonical_reconstructed_assessed,matched_legacy_screening
O_ISAC_066,Pre-Distortion of Soliton Collision in Dual-Polarization Interaction-Tolerant Soliton Transmission,2025,10.1109/JLT.2024.3483289,phase2_assessed_reconstruction,phase2_extraction_dataset,Include,,Included,,yes,yes,0,,,,canonical_reconstructed_assessed,phase2_only_no_legacy_screening_match
O_ISAC_067,Measurement-based Validation of Ray-tracing Model at sub-THz for ISAC Applications of Blockage in Industrial Scenario,2024,10.46620/URSIATRASC24/MKTB3572,phase2_assessed_reconstruction,phase2_extraction_dataset,Include,,Included,,yes,yes,1,Duplicate,,2025-12-28,canonical_reconstructed_assessed,matched_legacy_screening
O_ISAC_068,Joint Communication and Sensing Prospects: Potential Through Visible Light,2024,10.1109/CoBCom62281.2024.10631227,phase2_assessed_reconstruction,phase2_extraction_dataset,Include,,Included,,yes,yes,1,Duplicate,,2025-12-28,canonical_reconstructed_assessed,matched_legacy_screening
O_ISAC_069,Advanced Signal Processing in Distributed Acoustic Sensors Based on Submarine Cables for Seismology Applications,2023,10.1109/JLT.2023.3273268,phase2_assessed_reconstruction,phase2_extraction_dataset,Include,,Included,,yes,yes,1,Duplicate,,2025-12-28,canonical_reconstructed_assessed,matched_legacy_screening
O_ISAC_070,Exploring Photonic THz-ISAC Systems with Integrated Waveforms,2025,10.1109/JLT.2025.3615209,phase2_assessed_reconstruction,phase2_extraction_dataset,Include,,Included,,yes,yes,1,Duplicate,,2025-12-28,canonical_reconstructed_assessed,matched_legacy_screening
O_ISAC_071,Full-Duplex RO-ISAC System: Wavelength Division Duplexing and Hybrid Waveform Design,2025,10.1109/LPT.2025.3570997,phase2_assessed_reconstruction,phase2_extraction_dataset,Include,,Included,,yes,yes,1,Duplicate,,2025-12-28,canonical_reconstructed_assessed,matched_legacy_screening
O_ISAC_072,Integrated Vibration Sensing in DSCM Systems Under ECLs Based on ANN and Digital Twin,2025,10.1109/ICOCN67308.2025.11145413,phase2_assessed_reconstruction,phase2_extraction_dataset,Include,,Included,,yes,yes,1,Duplicate,,2025-12-28,canonical_reconstructed_assessed,matched_legacy_screening
O_ISAC_073,Clock and Carrier Synchronization Using Optical Frequency Combs in Radio Access Networks,2025,10.1109/ICT65093.2025.11046275,phase2_assessed_reconstruction,phase2_extraction_dataset,Include,,Included,,yes,yes,1,Duplicate,,2025-12-28,canonical_reconstructed_assessed,matched_legacy_screening
O_ISAC_074,Endogenous ISAC Enabled Interference Fading Free Sensing via Telecom Training Sequence,2025,10.23919/OECC/PSC62146.2025.11110297,phase2_assessed_reconstruction,phase2_extraction_dataset,Include,,Included,,yes,yes,0,,,,canonical_reconstructed_assessed,phase2_only_no_legacy_screening_match
O_ISAC_075,Flexible Waveform Design for RO-ISAC Based on OFDM-Embedded Maximum Length Sequence,2025,10.1109/LWC.2025.3593253,phase2_assessed_reconstruction,phase2_extraction_dataset,Include,,Included,,yes,yes,1,Duplicate,,2025-12-28,canonical_reconstructed_assessed,matched_legacy_screening
O_ISAC_076,Integrated Communication and Enhanced Forward Phase-Based Sensing Based on Frequency-Domain Pilot Tones in DSCM Systems Using 100 kHz ECLs,2025,10.1109/JLT.2024.3510371,phase2_assessed_reconstruction,phase2_extraction_dataset,Include,,Included,,yes,yes,1,Duplicate,,2025-12-28,canonical_reconstructed_assessed,matched_legacy_screening
O_ISAC_077,THz-over-fiber system with orthogonal chirp division multiplexing for integrated sensing and communication,2023,10.1109/OECC56963.2023.10209717,phase2_assessed_reconstruction,phase2_extraction_dataset,Include,,Included,,yes,yes,1,Duplicate,,2025-12-28,canonical_reconstructed_assessed,matched_legacy_screening
O_ISAC_078,O-Band DML Enabled 4×100G Short-Reach Photonic Interconnections With Weighted Decision Aided Recurrent Neural Network,2025,10.1109/JLT.2025.3565115,phase2_assessed_reconstruction,phase2_extraction_dataset,Include,,Included,,yes,yes,0,,,,canonical_reconstructed_assessed,phase2_only_no_legacy_screening_match
O_ISAC_079,LFM Carrier Enabled Integrated Sensing and Communication in Self-homodyne Coherent Detection Transmission System,2025,10.1109/ECOC66593.2025.11262927,phase2_assessed_reconstruction,phase2_extraction_dataset,Include,,Included,,yes,yes,0,,,,canonical_reconstructed_assessed,phase2_only_no_legacy_screening_match
O_ISAC_080,1,2025,10.1109/JLT.2025.3625373,phase2_assessed_reconstruction,phase2_extraction_dataset,Include,,Included,,yes,yes,1,Duplicate,,2025-12-28,canonical_reconstructed_assessed,matched_legacy_screening
O_ISAC_081,Traveling Wave Antenna-on-Display featuring Simultaneous 2-D Phase and Frequency Beam Scanning for Integrated Sensing and Communication,2025,10.23919/EuCAP63536.2025.10999638,phase2_assessed_reconstruction,phase2_extraction_dataset,Include,,Included,,yes,yes,1,Duplicate,,2025-12-28,canonical_reconstructed_assessed,matched_legacy_screening
O_ISAC_082,Signal-Signal Beating Interference: From Destructive to Constructive for Photonic THz Integrated Sensing and Communication System Using Self-Coherent OFDM,2025,10.1109/TMTT.2025.3638469,phase2_assessed_reconstruction,phase2_extraction_dataset,Include,,Included,,yes,yes,1,Duplicate,,2025-12-28,canonical_reconstructed_assessed,matched_legacy_screening
O_ISAC_083,Towards Efficient Confluent Edge Networks,2024,10.1109/EuCNC/6GSummit60053.2024.10597093,phase2_assessed_reconstruction,phase2_extraction_dataset,Include,,Included,,yes,yes,1,Duplicate,,2025-12-28,canonical_reconstructed_assessed,matched_legacy_screening
O_ISAC_084,LumiPane: Intelligent Interaction through Gesture Sensing and Ambient Light Communication,2024,10.1109/GCWkshp64532.2024.11101040,phase2_assessed_reconstruction,phase2_extraction_dataset,Include,,Included,,yes,yes,0,,,,canonical_reconstructed_assessed,phase2_only_no_legacy_screening_match
O_ISAC_085,Flexible Vibration Sensing Using Kalman Smoother Integrated in ECL-Based Communication Systems,2025,10.1109/LPT.2025.3577173,phase2_assessed_reconstruction,phase2_extraction_dataset,Include,,Included,,yes,yes,1,Duplicate,,2025-12-28,canonical_reconstructed_assessed,matched_legacy_screening
O_ISAC_086,Photonics-assisted Millimeter-Wave Multiband Integrated Sensing and Communication System Using Coherent Receiving,2023,10.1109/JSTQE.2023.3276903,phase2_assessed_reconstruction,phase2_extraction_dataset,Include,,Included,,yes,yes,1,Duplicate,,2025-12-28,canonical_reconstructed_assessed,matched_legacy_screening
O_ISAC_087,C-Band 200 Gbit/s/lambda PS-PAM-8 Transmission Over 2-km SSMF for Optical Interconnections,2024,10.1109/JPHOT.2024.3381232,phase2_assessed_reconstruction,phase2_extraction_dataset,Include,,Excluded,Repository reconciliation from the phase-2 assessed set and IEEE export abstract: paper focuses on optical interconnection transmission over SSMF without a sensing function. Excluded as pure communication / non-O-ISAC under Protocol Section 4.2.,no,no,1,Duplicate,Reconstruction-Audit,2026-03-09,canonical_reconstructed_assessed,assessed_candidate_not_in_final_corpus_or_pdf_set;matched_legacy_screening
O_ISAC_088,Optical Transport Networks Supporting Integrated Communications and Sensing in 6G,2025,10.1109/ECOC66593.2025.11263441,phase2_assessed_reconstruction,phase2_extraction_dataset,Include,,Included,,yes,yes,0,,,,canonical_reconstructed_assessed,phase2_only_no_legacy_screening_match
O_ISAC_089,"Free Space Optical Communication for Inter-Satellite Link: Architecture, Potentials and Trends",2024,10.1109/MCOM.002.2300024,phase2_assessed_reconstruction,phase2_extraction_dataset,Include,,Included,,yes,yes,1,Duplicate,,2025-12-28,canonical_reconstructed_assessed,matched_legacy_screening
O_ISAC_090,Demonstration of High Sensitivity Detection and High Precision Localization of Vibrations in Bidirectional Coherent Transmission Systems Enabled by Carrier Laser Phase Noise Retrieval,2025,10.1109/JLT.2025.3593142,phase2_assessed_reconstruction,phase2_extraction_dataset,Include,,Included,,yes,yes,1,Duplicate,,2025-12-28,canonical_reconstructed_assessed,matched_legacy_screening
O_ISAC_091,Optimal Beamforming for Optical Wireless Integrated Sensing and Communication Based on Optical Phased Array,2025,10.1109/ICC52391.2025.11160979,phase2_assessed_reconstruction,phase2_extraction_dataset,Include,,Included,,yes,yes,1,Duplicate,,2025-12-28,canonical_reconstructed_assessed,matched_legacy_screening
O_ISAC_092,PAM Waveform Design for Joint Communication and Sensing Based on Visible Light,2024,10.1109/JIOT.2024.3373447,phase2_assessed_reconstruction,phase2_extraction_dataset,Include,,Included,,yes,yes,1,Duplicate,,2025-12-28,canonical_reconstructed_assessed,matched_legacy_screening
