evidence_body_id,evidence_theme,optical_modality,number_of_studies,technical_relevance,metric_clarity,reporting_completeness,validation_maturity,reproducibility,benchmark_readiness,comparison_admissibility,limitation_transparency,overall_evidence_contribution,certainty_summary,notes
S3-communication_estimation_error_bound,Metric reporting map: communication / estimation_error_bound,VLC_LiFi|fiber,2,2,3,3,1,2,1,1,3,2,limited,"{""section"":""S3"",""deterministic_rule"":""floor_of_dimension_medians_with_n_core_median_and_adequate_share_certainty"",""substantive_for_survey_conclusion"":true,""core_median"":2,""adequate_share"":0.5,""raw_token_unique_count"":3,""raw_token_samples"":[{""token"":""other"",""count"":2},{""token"":""converged_channel_NMSE"",""count"":1},{""token"":""target_NMSE"",""count"":1}],""contributing_study_ids"":[""STC-ENDOGENOUS-TS-FRFT-DAS-2025"",""STC-SINGLETON-SCR-01081""]}"
S3-communication_imaging_reconstruction_quality,Metric reporting map: communication / imaging_reconstruction_quality,VLC_LiFi,1,3,3,3,2,2,1,1,3,3,limited,"{""section"":""S3"",""deterministic_rule"":""floor_of_dimension_medians_with_n_core_median_and_adequate_share_certainty"",""substantive_for_survey_conclusion"":true,""core_median"":2.5,""adequate_share"":1,""raw_token_unique_count"":1,""raw_token_samples"":[{""token"":""image_display_time"",""count"":1}],""contributing_study_ids"":[""STC-SINGLETON-SCR-00910""]}"
S3-communication_interference_crosstalk,Metric reporting map: communication / interference_crosstalk,FSO|fiber|other_optical|photonic_THz,5,3,3,3,2,2,2,1,3,3,high,"{""section"":""S3"",""deterministic_rule"":""floor_of_dimension_medians_with_n_core_median_and_adequate_share_certainty"",""substantive_for_survey_conclusion"":true,""core_median"":2.5,""adequate_share"":1,""raw_token_unique_count"":6,""raw_token_samples"":[{""token"":""ACLR"",""count"":2},{""token"":""crosstalk"",""count"":2},{""token"":""inter_beam_crosstalk"",""count"":2},{""token"":""adjacent_crosstalk"",""count"":1},{""token"":""crosstalk_suppression"",""count"":1},{""token"":""other"",""count"":1}],""contributing_study_ids"":[""STC-SINGLETON-SCR-00268"",""STC-SINGLETON-SCR-00356"",""STC-SINGLETON-SCR-00396"",""STC-SINGLETON-SCR-00916"",""STC-SINGLETON-SCR-00965""]}"
S3-communication_latency_complexity,Metric reporting map: communication / latency_complexity,FSO|VLC_LiFi|fiber|hybrid_optical|other_optical|photonic_THz,17,3,3,3,2,2,2,1,3,2,moderate,"{""section"":""S3"",""deterministic_rule"":""floor_of_dimension_medians_with_n_core_median_and_adequate_share_certainty"",""substantive_for_survey_conclusion"":true,""core_median"":2,""adequate_share"":1,""raw_token_unique_count"":21,""raw_token_samples"":[{""token"":""latency"",""count"":3},{""token"":""other"",""count"":3},{""token"":""RMS_delay_spread"",""count"":2},{""token"":""algorithm_convergence"",""count"":1},{""token"":""convergence_tolerance"",""count"":1},{""token"":""delay_dimension_symbols"",""count"":1},{""token"":""display_delay"",""count"":1},{""token"":""end_to_end_latency"",""count"":1},{""token"":""FTTR_latency"",""count"":1},{""token"":""input_size_latency_change"",""count"":1},{""token"":""inventory_waiting_time"",""count"":1},{""token"":""joint_cycle_latency"",""count"":1},{""token"":""latency_and_memory"",""count"":1},{""token"":""maximum_subtask_latency"",""count"":1},{""token"":""outer_convergence_iterations"",""count"":1},{""token"":""phase_decryption_delay_mismatch"",""count"":1},{""token"":""relative_time_delay"",""count"":1},{""token"":""self_delay"",""count"":1},{""token"":""time_division_cycle_latency"",""count"":1},{""token"":""training_runtime"",""count"":1}],""contributing_study_ids"":[""STC-ENDOGENOUS-TS-FRFT-DAS-2025"",""STC-ODDM-PHOTONIC-MMW-2024-2025"",""STC-SELF-HOMODYNE-MCF-OFDR-2024-2025"",""STC-SINGLETON-SCR-00009"",""STC-SINGLETON-SCR-00185"",""STC-SINGLETON-SCR-00273"",""STC-SINGLETON-SCR-00407"",""STC-SINGLETON-SCR-00496"",""STC-SINGLETON-SCR-00833"",""STC-SINGLETON-SCR-00903"",""STC-SINGLETON-SCR-00906"",""STC-SINGLETON-SCR-00910"",""STC-SINGLETON-SCR-00926"",""STC-SINGLETON-SCR-00941"",""STC-SINGLETON-SCR-00949"",""STC-SINGLETON-SCR-01059"",""STC-SINGLETON-SCR-01105""]}"
S3-communication_other_communication_metric,Metric reporting map: communication / other_communication_metric (mixed/unclassified; non-substantive),hybrid_optical|photonic_THz,2,2,1,2,2,2,1,1,2,2,unclear,"{""section"":""S3"",""deterministic_rule"":""mixed_unclassified_fallback_not_eligible_for_substantive_survey_certainty_conclusion"",""substantive_for_survey_conclusion"":false,""core_median"":2,""adequate_share"":1,""raw_token_unique_count"":2,""raw_token_samples"":[{""token"":""other"",""count"":1},{""token"":""resource_utilization"",""count"":1}],""contributing_study_ids"":[""STC-SINGLETON-SCR-00189"",""STC-SINGLETON-SCR-00436""]}"
S3-communication_physical_quantity_estimation,Metric reporting map: communication / physical_quantity_estimation,FSO|VLC_LiFi|fiber|photonic_THz,11,3,3,3,2,2,2,1,3,2,high,"{""section"":""S3"",""deterministic_rule"":""floor_of_dimension_medians_with_n_core_median_and_adequate_share_certainty"",""substantive_for_survey_conclusion"":true,""core_median"":2.5,""adequate_share"":1,""raw_token_unique_count"":12,""raw_token_samples"":[{""token"":""refractive_index_structure_parameter"",""count"":3},{""token"":""extinction_ratio"",""count"":2},{""token"":""communication_degradation"",""count"":1},{""token"":""feasible_CSPR_interval"",""count"":1},{""token"":""high_vibration_operational_limit"",""count"":1},{""token"":""nonlinear_refractive_index"",""count"":1},{""token"":""optical_element_parameters"",""count"":1},{""token"":""optical_input_domain"",""count"":1},{""token"":""other"",""count"":1},{""token"":""refractive_index"",""count"":1},{""token"":""refractive_index_structure_constant"",""count"":1},{""token"":""scintillation_index_parameter"",""count"":1}],""contributing_study_ids"":[""STC-ACO-OFDM-LFM-LIDAR-2025"",""STC-EADO-OFDM-RANGING-2024-2025"",""STC-SINGLETON-SCR-00123"",""STC-SINGLETON-SCR-00492"",""STC-SINGLETON-SCR-00589"",""STC-SINGLETON-SCR-00607"",""STC-SINGLETON-SCR-00626"",""STC-SINGLETON-SCR-00908"",""STC-SINGLETON-SCR-00925"",""STC-SINGLETON-SCR-00926"",""STC-SINGLETON-SCR-00953""]}"
S3-communication_power_energy_device_response,Metric reporting map: communication / power_energy_device_response,FSO|VLC_LiFi|fiber|hybrid_optical|photonic_THz,85,3,3,3,2,2,2,1,3,3,high,"{""section"":""S3"",""deterministic_rule"":""floor_of_dimension_medians_with_n_core_median_and_adequate_share_certainty"",""substantive_for_survey_conclusion"":true,""core_median"":2.5,""adequate_share"":1,""raw_token_unique_count"":118,""raw_token_samples"":[{""token"":""other"",""count"":15},{""token"":""link_budget"",""count"":7},{""token"":""power_penalty"",""count"":5},{""token"":""received_optical_power"",""count"":5},{""token"":""average_received_power"",""count"":4},{""token"":""optimal_launch_power"",""count"":4},{""token"":""received_power_improvement"",""count"":3},{""token"":""transmit_power"",""count"":3},{""token"":""AWG_voltage"",""count"":2},{""token"":""carrier_to_signal_power_ratio"",""count"":2},{""token"":""drive_voltage"",""count"":2},{""token"":""input_optical_power"",""count"":2},{""token"":""launch_power_sweep"",""count"":2},{""token"":""main_channel_power"",""count"":2},{""token"":""maximum_Stokes_power"",""count"":2},{""token"":""peak_to_peak_voltage"",""count"":2},{""token"":""photodetector_responsivity"",""count"":2},{""token"":""resource_allocation"",""count"":2},{""token"":""total_transmitted_power"",""count"":2},{""token"":""amplifier_noise_figure"",""count"":1}],""contributing_study_ids"":[""STC-DSCM-ANN-DT-ECL-2025-2026"",""STC-EADO-OFDM-RANGING-2024-2025"",""STC-ICP-RL-HLLB-3650KM-2024-2025"",""STC-MULTICHANNEL-LFM-QAM-THZ-2024-2026"",""STC-OCDM-THZ-OVER-FIBER-2024-2025"",""STC-ODDM-PHOTONIC-MMW-2024-2025"",""STC-OPA-OWISAC-BEAMFORMING-2024-2025"",""STC-SELF-HOMODYNE-MCF-OFDR-2024-2025"",""STC-SF-LFM-OFDM-THZ-2025-2026"",""STC-SINGLETON-SCR-00001"",""STC-SINGLETON-SCR-00009"",""STC-SINGLETON-SCR-00013"",""STC-SINGLETON-SCR-00015"",""STC-SINGLETON-SCR-00038"",""STC-SINGLETON-SCR-00056"",""STC-SINGLETON-SCR-00057"",""STC-SINGLETON-SCR-00151"",""STC-SINGLETON-SCR-00160"",""STC-SINGLETON-SCR-00238"",""STC-SINGLETON-SCR-00277"",""STC-SINGLETON-SCR-00294"",""STC-SINGLETON-SCR-00369"",""STC-SINGLETON-SCR-00376"",""STC-SINGLETON-SCR-00396"",""STC-SINGLETON-SCR-00407"",""STC-SINGLETON-SCR-00451"",""STC-SINGLETON-SCR-00456"",""STC-SINGLETON-SCR-00473"",""STC-SINGLETON-SCR-00502"",""STC-SINGLETON-SCR-00576"",""STC-SINGLETON-SCR-00594"",""STC-SINGLETON-SCR-00626"",""STC-SINGLETON-SCR-00631"",""STC-SINGLETON-SCR-00647"",""STC-SINGLETON-SCR-00679"",""STC-SINGLETON-SCR-00836"",""STC-SINGLETON-SCR-00873"",""STC-SINGLETON-SCR-00882"",""STC-SINGLETON-SCR-00884"",""STC-SINGLETON-SCR-00887"",""STC-SINGLETON-SCR-00891"",""STC-SINGLETON-SCR-00908"",""STC-SINGLETON-SCR-00912"",""STC-SINGLETON-SCR-00917"",""STC-SINGLETON-SCR-00919"",""STC-SINGLETON-SCR-00920"",""STC-SINGLETON-SCR-00922"",""STC-SINGLETON-SCR-00925"",""STC-SINGLETON-SCR-00926"",""STC-SINGLETON-SCR-00943"",""STC-SINGLETON-SCR-00949"",""STC-SINGLETON-SCR-00953"",""STC-SINGLETON-SCR-00965"",""STC-SINGLETON-SCR-00970"",""STC-SINGLETON-SCR-00974"",""STC-SINGLETON-SCR-00980"",""STC-SINGLETON-SCR-00985"",""STC-SINGLETON-SCR-00986"",""STC-SINGLETON-SCR-00990"",""STC-SINGLETON-SCR-00992"",""STC-SINGLETON-SCR-01004"",""STC-SINGLETON-SCR-01009"",""STC-SINGLETON-SCR-01010"",""STC-SINGLETON-SCR-01011"",""STC-SINGLETON-SCR-01012"",""STC-SINGLETON-SCR-01025"",""STC-SINGLETON-SCR-01030"",""STC-SINGLETON-SCR-01034"",""STC-SINGLETON-SCR-01036"",""STC-SINGLETON-SCR-01050"",""STC-SINGLETON-SCR-01059"",""STC-SINGLETON-SCR-01070"",""STC-SINGLETON-SCR-01071"",""STC-SINGLETON-SCR-01072"",""STC-SINGLETON-SCR-01073"",""STC-SINGLETON-SCR-01079"",""STC-SINGLETON-SCR-01085"",""STC-SINGLETON-SCR-01093"",""STC-SINGLETON-SCR-01103"",""STC-SINGLETON-SCR-01105"",""STC-SINGLETON-SCR-01152"",""STC-SINGLETON-SCR-01153"",""STC-SINGLETON-SCR-01165"",""STC-SINGLETON-SCR-01180"",""STC-WBAND-TFDM-DONG-2022-2024""]}"
S3-communication_received_signal_quality,Metric reporting map: communication / received_signal_quality,FSO|VLC_LiFi|fiber|hybrid_optical|other_optical|photonic_THz,32,3,3,3,2,2,2,1,3,3,moderate,"{""section"":""S3"",""deterministic_rule"":""floor_of_dimension_medians_with_n_core_median_and_adequate_share_certainty"",""substantive_for_survey_conclusion"":true,""core_median"":2.25,""adequate_share"":1,""raw_token_unique_count"":40,""raw_token_samples"":[{""token"":""EVM"",""count"":47},{""token"":""NGMI"",""count"":3},{""token"":""Q_factor"",""count"":3},{""token"":""error_vector_magnitude"",""count"":2},{""token"":""evm"",""count"":2},{""token"":""evm_limit"",""count"":2},{""token"":""FEC_threshold"",""count"":2},{""token"":""GMI_reduction"",""count"":2},{""token"":""NGMI_penalty"",""count"":2},{""token"":""NGMI_threshold"",""count"":2},{""token"":""Q_factor_dB"",""count"":2},{""token"":""ROP_threshold"",""count"":2},{""token"":""bandwidth_limit"",""count"":1},{""token"":""best_overlap_EVM"",""count"":1},{""token"":""carrier_frequency_EVM_window"",""count"":1},{""token"":""coexistence_EVM_penalty"",""count"":1},{""token"":""constellation_test_power"",""count"":1},{""token"":""Doppler_frequency_offset_tolerance"",""count"":1},{""token"":""EVM_degradation"",""count"":1},{""token"":""EVM_endpoints"",""count"":1}],""contributing_study_ids"":[""STC-DP-IMDD-THZ-RANGING-2025-2026"",""STC-SINGLETON-SCR-00086"",""STC-SINGLETON-SCR-00268"",""STC-SINGLETON-SCR-00362"",""STC-SINGLETON-SCR-00396"",""STC-SINGLETON-SCR-00406"",""STC-SINGLETON-SCR-00502"",""STC-SINGLETON-SCR-00589"",""STC-SINGLETON-SCR-00602"",""STC-SINGLETON-SCR-00680"",""STC-SINGLETON-SCR-00719"",""STC-SINGLETON-SCR-00808"",""STC-SINGLETON-SCR-00884"",""STC-SINGLETON-SCR-00891"",""STC-SINGLETON-SCR-00896"",""STC-SINGLETON-SCR-00905"",""STC-SINGLETON-SCR-00918"",""STC-SINGLETON-SCR-00944"",""STC-SINGLETON-SCR-00965"",""STC-SINGLETON-SCR-00974"",""STC-SINGLETON-SCR-00983"",""STC-SINGLETON-SCR-00990"",""STC-SINGLETON-SCR-00994"",""STC-SINGLETON-SCR-01000"",""STC-SINGLETON-SCR-01010"",""STC-SINGLETON-SCR-01020"",""STC-SINGLETON-SCR-01023"",""STC-SINGLETON-SCR-01040"",""STC-SINGLETON-SCR-01070"",""STC-SINGLETON-SCR-01071"",""STC-SINGLETON-SCR-01095"",""STC-SINGLETON-SCR-01180""]}"
S3-communication_reliability_outage,Metric reporting map: communication / reliability_outage,FSO|hybrid_optical,2,2,3,2,2,2,2,1,2,2,limited,"{""section"":""S3"",""deterministic_rule"":""floor_of_dimension_medians_with_n_core_median_and_adequate_share_certainty"",""substantive_for_survey_conclusion"":true,""core_median"":2,""adequate_share"":1,""raw_token_unique_count"":3,""raw_token_samples"":[{""token"":""benchmark_outage_boundary"",""count"":1},{""token"":""P2_outage_boundary"",""count"":1},{""token"":""subband_outage_probabilities"",""count"":1}],""contributing_study_ids"":[""STC-SINGLETON-SCR-01011"",""STC-SINGLETON-SCR-01029""]}"
S3-communication_security_resilience,Metric reporting map: communication / security_resilience,FSO|fiber|photonic_THz,3,2,3,3,2,2,2,1,3,3,moderate,"{""section"":""S3"",""deterministic_rule"":""floor_of_dimension_medians_with_n_core_median_and_adequate_share_certainty"",""substantive_for_survey_conclusion"":true,""core_median"":2,""adequate_share"":1,""raw_token_unique_count"":3,""raw_token_samples"":[{""token"":""security_window"",""count"":4},{""token"":""secret_key_rate"",""count"":3},{""token"":""monte_carlo_trials"",""count"":1}],""contributing_study_ids"":[""STC-SINGLETON-SCR-00387"",""STC-SINGLETON-SCR-00607"",""STC-SINGLETON-SCR-00977""]}"
S3-communication_sensing_resolution,Metric reporting map: communication / sensing_resolution,photonic_THz,3,3,3,3,2,2,2,1,3,3,moderate,"{""section"":""S3"",""deterministic_rule"":""floor_of_dimension_medians_with_n_core_median_and_adequate_share_certainty"",""substantive_for_survey_conclusion"":true,""core_median"":2.5,""adequate_share"":1,""raw_token_unique_count"":3,""raw_token_samples"":[{""token"":""beam_steering_resolution"",""count"":2},{""token"":""DIRQ"",""count"":2},{""token"":""IRQ"",""count"":1}],""contributing_study_ids"":[""STC-SF-LFM-OFDM-THZ-2025-2026"",""STC-SINGLETON-SCR-00362"",""STC-SUBCARRIER-CHIRP-DBAND-2025""]}"
S3-communication_sensing_task_output_or_configuration,Metric reporting map: communication / sensing_task_output_or_configuration,FSO|VLC_LiFi|fiber|hybrid_optical|other_optical|photonic_THz,27,3,3,3,2,2,2,1,3,3,high,"{""section"":""S3"",""deterministic_rule"":""floor_of_dimension_medians_with_n_core_median_and_adequate_share_certainty"",""substantive_for_survey_conclusion"":true,""core_median"":2.5,""adequate_share"":0.963,""raw_token_unique_count"":38,""raw_token_samples"":[{""token"":""beam_divergence"",""count"":2},{""token"":""target_light_fraction"",""count"":2},{""token"":""antenna_spacing"",""count"":1},{""token"":""communication_beam_angles"",""count"":1},{""token"":""communication_rate_penalty"",""count"":1},{""token"":""communication_sensing_channel_counts"",""count"":1},{""token"":""desired_angle"",""count"":1},{""token"":""FDM_joint_waveform"",""count"":1},{""token"":""incline_angle"",""count"":1},{""token"":""initial_angle"",""count"":1},{""token"":""leader_speed_sweep"",""count"":1},{""token"":""leader_velocity"",""count"":1},{""token"":""maximum_angles"",""count"":1},{""token"":""monitoring_duration"",""count"":1},{""token"":""mutual_information_at_sensing_optimum"",""count"":1},{""token"":""NDR_estimation_gap_percent"",""count"":1},{""token"":""noise_variance"",""count"":1},{""token"":""optical_angles"",""count"":1},{""token"":""optimal_phase_separation"",""count"":1},{""token"":""packet_loss_rate"",""count"":1}],""contributing_study_ids"":[""STC-EADO-OFDM-RANGING-2024-2025"",""STC-LED-OISAC-2024-2025"",""STC-OPA-OWISAC-BEAMFORMING-2024-2025"",""STC-SF-LFM-OFDM-THZ-2025-2026"",""STC-SINGLETON-SCR-00361"",""STC-SINGLETON-SCR-00369"",""STC-SINGLETON-SCR-00502"",""STC-SINGLETON-SCR-00589"",""STC-SINGLETON-SCR-00730"",""STC-SINGLETON-SCR-00836"",""STC-SINGLETON-SCR-00896"",""STC-SINGLETON-SCR-00906"",""STC-SINGLETON-SCR-00908"",""STC-SINGLETON-SCR-00910"",""STC-SINGLETON-SCR-00916"",""STC-SINGLETON-SCR-00925"",""STC-SINGLETON-SCR-00926"",""STC-SINGLETON-SCR-00944"",""STC-SINGLETON-SCR-00953"",""STC-SINGLETON-SCR-01001"",""STC-SINGLETON-SCR-01004"",""STC-SINGLETON-SCR-01034"",""STC-SINGLETON-SCR-01049"",""STC-SINGLETON-SCR-01059"",""STC-SINGLETON-SCR-01079"",""STC-SINGLETON-SCR-01086"",""STC-SUBMARINE-CABLE-DAS-HUIZHOU-2022-2026""]}"
S3-communication_sensitivity_detection_limit,Metric reporting map: communication / sensitivity_detection_limit,photonic_THz,7,3,3,3,2,2,2,1,3,3,high,"{""section"":""S3"",""deterministic_rule"":""floor_of_dimension_medians_with_n_core_median_and_adequate_share_certainty"",""substantive_for_survey_conclusion"":true,""core_median"":2.5,""adequate_share"":1,""raw_token_unique_count"":4,""raw_token_samples"":[{""token"":""receiver_sensitivity_gain"",""count"":7},{""token"":""IOP_sensitivity_improvement"",""count"":2},{""token"":""optical_sensitivity_gain"",""count"":1},{""token"":""receiving_sensitivity_improvement"",""count"":1}],""contributing_study_ids"":[""STC-MMW-OFDM-PENG-2023-2024"",""STC-ODDM-PHOTONIC-MMW-2024-2025"",""STC-SINGLETON-SCR-00808"",""STC-SINGLETON-SCR-00891"",""STC-SINGLETON-SCR-00998"",""STC-SINGLETON-SCR-01004"",""STC-SINGLETON-SCR-01018""]}"
S3-communication_spectral_efficiency,Metric reporting map: communication / spectral_efficiency,fiber|other_optical|photonic_THz,8,3,3,3,2,2,2,1,3,3,moderate,"{""section"":""S3"",""deterministic_rule"":""floor_of_dimension_medians_with_n_core_median_and_adequate_share_certainty"",""substantive_for_survey_conclusion"":true,""core_median"":2.25,""adequate_share"":1,""raw_token_unique_count"":2,""raw_token_samples"":[{""token"":""spectral_efficiency"",""count"":7},{""token"":""spectral_efficiency_loss"",""count"":1}],""contributing_study_ids"":[""STC-DP-IMDD-THZ-RANGING-2025-2026"",""STC-SINGLETON-SCR-00007"",""STC-SINGLETON-SCR-00013"",""STC-SINGLETON-SCR-00268"",""STC-SINGLETON-SCR-00274"",""STC-SINGLETON-SCR-00312"",""STC-SINGLETON-SCR-00344"",""STC-SINGLETON-SCR-00891""]}"
S3-communication_system_configuration_or_input_parameter,Metric reporting map: communication / system_configuration_or_input_parameter,FSO|VLC_LiFi|fiber|hybrid_optical|other_optical|photonic_THz,84,3,3,3,2,2,2,1,3,3,high,"{""section"":""S3"",""deterministic_rule"":""floor_of_dimension_medians_with_n_core_median_and_adequate_share_certainty"",""substantive_for_survey_conclusion"":true,""core_median"":2.5,""adequate_share"":0.9643,""raw_token_unique_count"":133,""raw_token_samples"":[{""token"":""other"",""count"":6},{""token"":""clipping_ratio"",""count"":5},{""token"":""FFT_size"",""count"":5},{""token"":""IFFT_size"",""count"":5},{""token"":""PRBS_length"",""count"":5},{""token"":""MAC_operations"",""count"":4},{""token"":""Brillouin_threshold"",""count"":3},{""token"":""pulse_duration"",""count"":3},{""token"":""upsampling_ratio"",""count"":3},{""token"":""block_size"",""count"":2},{""token"":""channel_spacing"",""count"":2},{""token"":""feasible_CSPR_width"",""count"":2},{""token"":""FEC_overhead"",""count"":2},{""token"":""FEC_threshold"",""count"":2},{""token"":""frame_duration"",""count"":2},{""token"":""Fresnel_focal_length"",""count"":2},{""token"":""room_dimensions"",""count"":2},{""token"":""SD_FEC_threshold"",""count"":2},{""token"":""sweep_period"",""count"":2},{""token"":""symbol_count"",""count"":2}],""contributing_study_ids"":[""STC-DSCM-ANN-DT-ECL-2025-2026"",""STC-EADO-OFDM-RANGING-2024-2025"",""STC-ENDOGENOUS-TS-FRFT-DAS-2025"",""STC-ICP-RL-HLLB-3650KM-2024-2025"",""STC-LED-OISAC-2024-2025"",""STC-MULTICHANNEL-LFM-QAM-THZ-2024-2026"",""STC-OCDM-THZ-OVER-FIBER-2024-2025"",""STC-SELF-HOMODYNE-MCF-OFDR-2024-2025"",""STC-SF-LFM-OFDM-THZ-2025-2026"",""STC-SINGLETON-SCR-00086"",""STC-SINGLETON-SCR-00160"",""STC-SINGLETON-SCR-00238"",""STC-SINGLETON-SCR-00362"",""STC-SINGLETON-SCR-00366"",""STC-SINGLETON-SCR-00369"",""STC-SINGLETON-SCR-00396"",""STC-SINGLETON-SCR-00492"",""STC-SINGLETON-SCR-00496"",""STC-SINGLETON-SCR-00502"",""STC-SINGLETON-SCR-00602"",""STC-SINGLETON-SCR-00607"",""STC-SINGLETON-SCR-00626"",""STC-SINGLETON-SCR-00647"",""STC-SINGLETON-SCR-00719"",""STC-SINGLETON-SCR-00730"",""STC-SINGLETON-SCR-00808"",""STC-SINGLETON-SCR-00882"",""STC-SINGLETON-SCR-00885"",""STC-SINGLETON-SCR-00891"",""STC-SINGLETON-SCR-00902"",""STC-SINGLETON-SCR-00904"",""STC-SINGLETON-SCR-00905"",""STC-SINGLETON-SCR-00906"",""STC-SINGLETON-SCR-00908"",""STC-SINGLETON-SCR-00909"",""STC-SINGLETON-SCR-00910"",""STC-SINGLETON-SCR-00912"",""STC-SINGLETON-SCR-00915"",""STC-SINGLETON-SCR-00916"",""STC-SINGLETON-SCR-00917"",""STC-SINGLETON-SCR-00918"",""STC-SINGLETON-SCR-00919"",""STC-SINGLETON-SCR-00920"",""STC-SINGLETON-SCR-00922"",""STC-SINGLETON-SCR-00925"",""STC-SINGLETON-SCR-00926"",""STC-SINGLETON-SCR-00943"",""STC-SINGLETON-SCR-00949"",""STC-SINGLETON-SCR-00953"",""STC-SINGLETON-SCR-00954"",""STC-SINGLETON-SCR-00965"",""STC-SINGLETON-SCR-00970"",""STC-SINGLETON-SCR-00974"",""STC-SINGLETON-SCR-00975"",""STC-SINGLETON-SCR-00977"",""STC-SINGLETON-SCR-00979"",""STC-SINGLETON-SCR-00986"",""STC-SINGLETON-SCR-00990"",""STC-SINGLETON-SCR-01004"",""STC-SINGLETON-SCR-01020"",""STC-SINGLETON-SCR-01021"",""STC-SINGLETON-SCR-01025"",""STC-SINGLETON-SCR-01029"",""STC-SINGLETON-SCR-01034"",""STC-SINGLETON-SCR-01036"",""STC-SINGLETON-SCR-01059"",""STC-SINGLETON-SCR-01060"",""STC-SINGLETON-SCR-01070"",""STC-SINGLETON-SCR-01072"",""STC-SINGLETON-SCR-01073"",""STC-SINGLETON-SCR-01079"",""STC-SINGLETON-SCR-01081"",""STC-SINGLETON-SCR-01085"",""STC-SINGLETON-SCR-01093"",""STC-SINGLETON-SCR-01101"",""STC-SINGLETON-SCR-01151"",""STC-SINGLETON-SCR-01152"",""STC-SINGLETON-SCR-01153"",""STC-SINGLETON-SCR-01165"",""STC-SINGLETON-SCR-01180"",""STC-SINGLETON-SCR-01188"",""STC-TUNABLE-LASER-THZ-FMCW-2025-2026"",""STC-WBAND-POLARIZATION-JRC-2023-2025"",""STC-WBAND-TFDM-DONG-2022-2024""]}"
