paper_id,year,modality,scenario,metric_name,metric_value,metric_unit,definition_class,evidence_type,heading_path,line_start,line_end,excerpt_paraphrase,excerpt_quote,notes
O_ISAC_006,2024,Fiber,Indoor,Δz,0.5,m,DZ,text,*C. Solution Utilizing the Structure of Communication Data Frames*,93,109,Fiber spatial granularity/gauge length is reported.,# *C. Solution Utilizing the Structure of Communication Data Frames* Reference [29] proposed a straightforward ISAC solution that does not require additional dedicated wavelength channels,
O_ISAC_006,2024,Fiber,Indoor,Δz,0.5,m,DZ,text,*C. Solution Utilizing the Structure of Communication Data Frames*,94,110,Fiber spatial granularity/gauge length is reported.,Reference [29] proposed a straightforward ISAC solution that does not require additional dedicated wavelength channels by utilizing the structure of communication data frames. The schematic,
O_ISAC_006,2024,Fiber,Indoor,Δz,0.5,m,DZ,text,*C. Solution Utilizing the Structure of Communication Data Frames*,95,111,Fiber spatial granularity/gauge length is reported.,Reference [29] proposed a straightforward ISAC solution that does not require additional dedicated wavelength channels by utilizing the structure of communication data frames. The schematic,
O_ISAC_006,2024,Fiber,Indoor,R,100000000000.0,bps,OTHER,text,*C. Solution Utilizing the Structure of Communication Data Frames* > D. Solution based on DSCM,103,103,Data rate/throughput is reported.,"Zihe Hu et al. [30] integrated the spectrum of sensing probes into the center of the Digital Subcarrier Multiplexing (DSCM) signal spectrum, utilizing DSCM technology",
O_ISAC_006,2024,Fiber,Indoor,Δz,4.0,m,DZ,text,*C. Solution Utilizing the Structure of Communication Data Frames*,96,112,Fiber spatial granularity/gauge length is reported.,![](_page_3_Figure_1.jpeg) Fig.7 Schematic diagram of experimental structure in scheme [29]. #### D. Solution based on DSCM Zihe Hu et al. [30] integrated the spectrum of,
O_ISAC_006,2024,Fiber,Indoor,Δz,4.0,m,DZ,text,*C. Solution Utilizing the Structure of Communication Data Frames*,97,113,Fiber spatial granularity/gauge length is reported.,![](_page_3_Figure_1.jpeg) Fig.7 Schematic diagram of experimental structure in scheme [29]. #### D. Solution based on DSCM Zihe Hu et al. [30] integrated the spectrum of,
O_ISAC_006,2024,Fiber,Indoor,Δz,4.0,m,DZ,text,*C. Solution Utilizing the Structure of Communication Data Frames*,98,114,Fiber spatial granularity/gauge length is reported.,Fig.7 Schematic diagram of experimental structure in scheme [29]. #### D. Solution based on DSCM Zihe Hu et al. [30] integrated the spectrum of sensing,
O_ISAC_006,2024,Fiber,Indoor,Δz,4.0,m,DZ,text,*C. Solution Utilizing the Structure of Communication Data Frames*,99,115,Fiber spatial granularity/gauge length is reported.,Fig.7 Schematic diagram of experimental structure in scheme [29]. #### D. Solution based on DSCM Zihe Hu et al. [30] integrated the spectrum of sensing,
O_ISAC_006,2024,Fiber,Indoor,Δz,4.0,m,DZ,text,*C. Solution Utilizing the Structure of Communication Data Frames*,100,116,Fiber spatial granularity/gauge length is reported.,#### D. Solution based on DSCM Zihe Hu et al. [30] integrated the spectrum of sensing probes into the center of the Digital Subcarrier Multiplexing,
O_ISAC_006,2024,Fiber,Indoor,Δz,4.0,m,DZ,text,*C. Solution Utilizing the Structure of Communication Data Frames* > D. Solution based on DSCM,101,117,Fiber spatial granularity/gauge length is reported.,#### D. Solution based on DSCM Zihe Hu et al. [30] integrated the spectrum of sensing probes into the center of the Digital Subcarrier Multiplexing,
O_ISAC_006,2024,Fiber,Indoor,Δz,4.0,m,DZ,text,*C. Solution Utilizing the Structure of Communication Data Frames* > D. Solution based on DSCM,102,118,Fiber spatial granularity/gauge length is reported.,"Zihe Hu et al. [30] integrated the spectrum of sensing probes into the center of the Digital Subcarrier Multiplexing (DSCM) signal spectrum, utilizing DSCM technology",
O_ISAC_006,2024,Fiber,Indoor,Δz,4.0,m,DZ,text,*C. Solution Utilizing the Structure of Communication Data Frames* > D. Solution based on DSCM,103,119,Fiber spatial granularity/gauge length is reported.,"Zihe Hu et al. [30] integrated the spectrum of sensing probes into the center of the Digital Subcarrier Multiplexing (DSCM) signal spectrum, utilizing DSCM technology",
O_ISAC_006,2024,Fiber,Indoor,R,600000000000.0,bps,OTHER,text,*C. Solution Utilizing the Structure of Communication Data Frames* > REFERENCES,168,168,Data rate/throughput is reported.,"- [25] S. Guerrier, K. Benyahya, C. Dorize, et al., ""Vibration Detection and Localization in Buried Fiber Cable after 80km of SSMF using Digital Coherent",
O_ISAC_008,2025,Hybrid,Indoor,R,4000000000.0,bps,OTHER,text,**Wide-steering Integrated Sensing and Communication OPA-based Lidar Design with Joint Waveform and Thinned Antenna**,9,9,Data rate/throughput is reported.,*Abstract: We propose an integrated sensing and communication Lidar design with joint waveform and thinned ring antenna. Evaluation results show a higher data rate of,
O_ISAC_008,2025,Hybrid,Indoor,R,4000000000.0,bps,OTHER,figure,**Wide-steering Integrated Sensing and Communication OPA-based Lidar Design with Joint Waveform and Thinned Antenna** > A. Principle of QPSK-FMCW Joint Waveform Design > B. Principle of Thinned Ring Antenna Design > A. ISAC Joint Waveform Evaluation,69,69,Data rate/throughput is reported.,The VPltransmissionMaker is utilized to evaluate the function of proposed ISAC Lidar system utilizing QPSK-FMCW joint waveform in Fig. 1 (a). Considering the actual experiment,
O_ISAC_008,2025,Hybrid,Indoor,B,8000000000.0,Hz,OTHER,figure,**Wide-steering Integrated Sensing and Communication OPA-based Lidar Design with Joint Waveform and Thinned Antenna** > A. Principle of QPSK-FMCW Joint Waveform Design > B. Principle of Thinned Ring Antenna Design > A. ISAC Joint Waveform Evaluation,69,69,Bandwidth is reported.,The VPltransmissionMaker is utilized to evaluate the function of proposed ISAC Lidar system utilizing QPSK-FMCW joint waveform in Fig. 1 (a). Considering the actual experiment,
O_ISAC_009,2025,VLC,Indoor,B,1000000000.0,Hz,OTHER,eq,"<span id=""page-0-17""></span>Integrated Positioning and Communication Relying on Wireless Optical OFDM > <span id=""page-0-5""></span><span id=""page-0-4""></span><span id=""page-0-3""></span><span id=""page-0-2""></span><span id=""page-0-1""></span>I. INTRODUCTION",25,25,Bandwidth is reported.,"<span id=""page-0-16""></span><span id=""page-0-15""></span><span id=""page-0-14""></span><span id=""page-0-13""></span><span id=""page-0-12""></span><span id=""page-0-11""></span><span id=""page-0-10""></span><span id=""page-0-9""></span><span id=""page-0-8""></span><span id=""page-0-7""></span><span id=""page-0-6""></span>To harness this spectrum, significant efforts have been invested in improving the Light Emitting",
O_ISAC_009,2025,VLC,Indoor,B,240000.0,Hz,OTHER,eq,"<span id=""page-2-0""></span>*A. Scenarios and System Description* > <span id=""page-4-3""></span>B. PD Signal Reception",253,253,Bandwidth is reported.,"model of (6) to be free of inter-symbol interference, the CP length has to be higher than the maximum delay, i.e. $M_{cp} > \max_{\forall p}",
O_ISAC_009,2025,VLC,Indoor,B,240000.0,Hz,OTHER,figure,"<span id=""page-2-0""></span>*A. Scenarios and System Description* > <span id=""page-5-2""></span>B. Optical OFDM Radar Sensing",364,364,Bandwidth is reported.,"<span id=""page-6-1""></span>Property 2 is confirmed by Fig. 2, which exemplifes the CIRs experienced by a VLPC-DCO-OFDM system that models a LED, a PD and a",
O_ISAC_009,2025,VLC,Indoor,B,240000.0,Hz,OTHER,figure,"<span id=""page-2-0""></span>*A. Scenarios and System Description* > <span id=""page-7-1""></span>C. Hybrid Radar-RSS Sensing > <span id=""page-8-2""></span>D. Maximum Achievable Rates",486,486,Bandwidth is reported.,Fig. 6. Power of each CIR for VLPC-DCO-OFDM with different bandwidths $BW = M \cdot SCS$ in multipath scenario. The subfigures are (a) Pair A,
O_ISAC_009,2025,VLC,Indoor,B,240000.0,Hz,OTHER,figure,"<span id=""page-2-0""></span>*A. Scenarios and System Description* > <span id=""page-9-1""></span>A. Simulation Parameters",512,512,Bandwidth is reported.,"environment of Fig. 5 is considered, where the configurations are summarized in Table V. The LEDs are equi-spaced on the ceiling with 2 m distances",
O_ISAC_009,2025,VLC,Indoor,sigma_r,2.2,m,OTHER,figure,"<span id=""page-2-0""></span>*A. Scenarios and System Description* > <span id=""page-10-1""></span>C. Positioning Accuracy",547,547,Estimator accuracy/RMSE is reported.,"Fig. 7 characterizes the Root Mean Squared Error (RMSE) of positioning functionality in a LoS-only scenario. Based on the simulation parameters of Sec. VI-A, the",
O_ISAC_009,2025,VLC,Indoor,sigma_r,1.0,m,OTHER,figure,"<span id=""page-2-0""></span>*A. Scenarios and System Description* > <span id=""page-10-1""></span>C. Positioning Accuracy",557,557,Estimator accuracy/RMSE is reported.,"However, in the rich scattering multipath scenario of Fig. [8,](#page-10-3) the conventional RSS-based VLP schemes suffer from severe performance degradation, where their ranging RMSEs become",
O_ISAC_009,2025,VLC,Indoor,R,100000000.0,bps,OTHER,figure,"<span id=""page-2-0""></span>*A. Scenarios and System Description* > <span id=""page-11-0""></span>*D. Communication Data Rates and BERs*",571,571,Data rate/throughput is reported.,"Fig. [11](#page-11-1) demonstrates the CCMC rates of the VLPC-DCO-OFDM communication functionality, when the CSI is either obtained from the sensing functionality or estimated in the",
O_ISAC_009,2025,VLC,Indoor,R,100000000.0,bps,OTHER,figure,"<span id=""page-2-0""></span>*A. Scenarios and System Description* > <span id=""page-11-0""></span>*D. Communication Data Rates and BERs*",579,579,Data rate/throughput is reported.,"We note that the CCMC rate evaluation of [\(28\)](#page-8-4) can only be approached for idealistic Gaussian-distributed input and output signals through channel coding, and this",
O_ISAC_009,2025,VLC,Indoor,sigma_r,1.0,m,OTHER,figure,"<span id=""page-2-0""></span>*A. Scenarios and System Description* > <span id=""page-12-0""></span>*E. Overall Illumination Functionality*",609,609,Estimator accuracy/RMSE is reported.,"Fig. 18. Positioning functionality: Average localization error of VLPC-DCO-OFDM in multipath scenario, where we have P<sup>t</sup> = −20dBm. The subfigures are average RMSE on ranging",
O_ISAC_009,2025,VLC,Indoor,R,100000000.0,bps,OTHER,figure,"<span id=""page-2-0""></span>*A. Scenarios and System Description* > <span id=""page-14-2""></span>F. Overall Positioning Functionality > <span id=""page-14-3""></span>G. Overall Communication Functionality",629,629,Data rate/throughput is reported.,"Finally, Fig. 19 portrays the communication data rate distribution in multipath scenarios, where OOK is used by the RSS scheme, while QPSK is used by",
O_ISAC_009,2025,VLC,Indoor,B,245760000.0,Hz,OTHER,figure,"<span id=""page-2-0""></span>*A. Scenarios and System Description* > <span id=""page-14-2""></span>F. Overall Positioning Functionality > <span id=""page-14-3""></span>G. Overall Communication Functionality",629,629,Bandwidth is reported.,"Finally, Fig. 19 portrays the communication data rate distribution in multipath scenarios, where OOK is used by the RSS scheme, while QPSK is used by",
O_ISAC_009,2025,VLC,Indoor,R,2805000000.0,bps,OTHER,eq,"<span id=""page-2-0""></span>*A. Scenarios and System Description* > REFERENCES",659,659,Data rate/throughput is reported.,"- <span id=""page-15-16""></span>[\[18\]](#page-1-3) Y.-H. Chang et al., ""2.805 Gbit/s high-bandwidth phosphor white light visible light communication utilizing an InGaN/GaN semipolar blue micro-LED,"" *Opt. Exp.*, vol.",
O_ISAC_009,2025,VLC,Indoor,B,1500000000.0,Hz,OTHER,eq,"<span id=""page-2-0""></span>*A. Scenarios and System Description* > REFERENCES",661,661,Bandwidth is reported.,"- <span id=""page-15-18""></span>[\[20\]](#page-1-5) A. Rashidi, M. Monavarian, A. Aragon, A. Rishinaramangalam, and D. Feezell, ""Nonpolar m -plane InGaN/GaN micro-scale light-emitting diode with 1.5 GHz modulation",
O_ISAC_009,2025,VLC,Indoor,R,10000000000.0,bps,OTHER,eq,"<span id=""page-2-0""></span>*A. Scenarios and System Description* > REFERENCES",663,663,Data rate/throughput is reported.,"- <span id=""page-15-20""></span>[\[22\]](#page-1-7) M. S. Islim et al., ""Towards 10 Gb/s orthogonal frequency division multiplexing-based visible light communication using a GaN violet micro-LED,"" *Photon. Res.*,",
O_ISAC_010,2024,Fiber,Unknown,R,117000000000.0,bps,OTHER,text,High-speed DMT signal and power-over-fiber simultaneous transmission over weakly-coupled multicore Fiber > Wei Chen,69,69,Data rate/throughput is reported.,Abstract—We experimentally demonstrate transmission of 50 and 60 GBaud 64-level quadrature amplitude modulation (QAM) high-speed optical discrete multi-tone (DMT) signal corresponding to the data rate,
O_ISAC_010,2024,Fiber,Unknown,R,9000000000.0,bps,OTHER,text,High-speed DMT signal and power-over-fiber simultaneous transmission over weakly-coupled multicore Fiber > I. INTRODUCTION,81,81,Data rate/throughput is reported.,"In recent years, PoF schemes based on double-clad fiber (DCF), standard single-mode fiber (SSMF), multi-mode fiber (MMF), multicore fiber (MCF), and hollow-core fiber (HCF) with",
O_ISAC_010,2024,Fiber,Unknown,R,114000000000.0,bps,OTHER,table,High-speed DMT signal and power-over-fiber simultaneous transmission over weakly-coupled multicore Fiber > I. INTRODUCTION,83,83,Data rate/throughput is reported.,"However, the primary challenges confronting systems capable of simultaneously transmitting optical signals and PoF are twofold. First, the transmission rate of the signal light is",
O_ISAC_010,2024,Fiber,Unknown,B,40000000000.0,Hz,OTHER,figure,High-speed DMT signal and power-over-fiber simultaneous transmission over weakly-coupled multicore Fiber > II. EXPERIMENTAL SETUP,87,87,Bandwidth is reported.,"First, wemeasured the transmission of 1064 nm PoF signal over 1 to 3 km of SMF, asshown in Fig. (a). Ahigh power fiber laser(HPFL) is",
O_ISAC_010,2024,Fiber,Unknown,R,117000000000.0,bps,OTHER,figure,High-speed DMT signal and power-over-fiber simultaneous transmission over weakly-coupled multicore Fiber > II. EXPERIMENTAL SETUP,97,97,Data rate/throughput is reported.,"In the following, the experimental setup for co-transmission over 1-km 7-core single-mode WC-MCF with high-power PoF signal and IM-DD based high-speed DMT signal is shown",
O_ISAC_010,2024,Fiber,Unknown,B,45000000000.0,Hz,OTHER,figure,High-speed DMT signal and power-over-fiber simultaneous transmission over weakly-coupled multicore Fiber > II. EXPERIMENTAL SETUP,97,97,Bandwidth is reported.,"In the following, the experimental setup for co-transmission over 1-km 7-core single-mode WC-MCF with high-power PoF signal and IM-DD based high-speed DMT signal is shown",
O_ISAC_010,2024,Fiber,Unknown,B,45000000000.0,Hz,OTHER,figure,High-speed DMT signal and power-over-fiber simultaneous transmission over weakly-coupled multicore Fiber > II. EXPERIMENTAL SETUP,103,103,Bandwidth is reported.,"polarization state of the output light of ECL. Then, the optical carrier is fed into a LiNbO3-based electro-optic Mach-Zehnder modulator (MZM) with a 3 dB",
O_ISAC_010,2024,Fiber,Unknown,R,117000000000.0,bps,OTHER,figure,III. RESULTS AND DISCUSSIONS,119,119,Data rate/throughput is reported.,"To validate the performance of the DMT signal light with the 60 W PoF signal in any fiber core, the optical DMT signal is fed",
O_ISAC_010,2024,Fiber,Unknown,R,117000000000.0,bps,OTHER,table,IV. CONCLUSION,141,141,Data rate/throughput is reported.,"In conclusion, we experimentally demonstrate the simultaneous transmission of 60 W PoF signal with 117 Gbit/s and 140 Gbit/s highspeed DMT signal in an IM-DD",
O_ISAC_011,2024,Hybrid,Indoor,sigma_r,2.95,m,OTHER,figure,B. Simulation Results,165,165,Estimator accuracy/RMSE is reported.,Fig. 7. Positioning RMSE distribution when Tx1 and Tx4 are located at the height of 2.95m.,
O_ISAC_011,2024,Hybrid,Indoor,sigma_r,1.0,m,OTHER,figure,B. Simulation Results,167,167,Estimator accuracy/RMSE is reported.,"To explore the positioning capability of the system at different positions in space when ensure the time delay will be correctly measured, we move the",
O_ISAC_011,2024,Hybrid,Indoor,sigma_r,2.5,m,OTHER,figure,B. Simulation Results,171,171,Estimator accuracy/RMSE is reported.,Fig. 8. Positioning RMSE distribution when Tx1 and Tx4 are located at the height of 2.5m,
O_ISAC_012,2023,FSO,Outdoor,R,1000000000.0,bps,OTHER,text,Phase-Coded FMCW for Optical Integrated Sensing and Communication,11,11,Data rate/throughput is reported.,"*Abstract*—A scheme for optical integrated sensing and communication using phase coded frequency-modulated continuous wave (PC-FMCW) is proposed. By using phase modulation, communication codes are carried",
O_ISAC_012,2023,FSO,Outdoor,R,1000000000.0,bps,OTHER,eq,I. INTRODUCTION > II. OPERATION PRINCIPLE,37,37,Data rate/throughput is reported.,where ϕs(t) represents the phase shift corresponding to the communication code. The encoded light is transmitted into free space and partially received at the target,
O_ISAC_012,2023,FSO,Outdoor,B,10000000000.0,Hz,OTHER,eq,I. INTRODUCTION > II. OPERATION PRINCIPLE,37,37,Bandwidth is reported.,where ϕs(t) represents the phase shift corresponding to the communication code. The encoded light is transmitted into free space and partially received at the target,
O_ISAC_012,2023,FSO,Outdoor,R,1000000000.0,bps,OTHER,figure,I. INTRODUCTION > *B. Communication* > III. SIMULATION AND RESULT,105,105,Data rate/throughput is reported.,"The simulation system is shown in Fig. 2 where the system is divided into three parts, Transmitter, Communication (target) and Sensing. Linear Frequency Modulation (LFM)",
O_ISAC_012,2023,FSO,Outdoor,B,10000000000.0,Hz,OTHER,figure,I. INTRODUCTION > *B. Communication* > III. SIMULATION AND RESULT,105,105,Bandwidth is reported.,"The simulation system is shown in Fig. 2 where the system is divided into three parts, Transmitter, Communication (target) and Sensing. Linear Frequency Modulation (LFM)",
O_ISAC_012,2023,FSO,Outdoor,R,1000000000.0,bps,OTHER,text,I. INTRODUCTION > *B. Communication* > IV. CONCLUSION,119,119,Data rate/throughput is reported.,"In summary, we propose a phase-coded FMCW scheme for optical sensing and communication and simulate the communication and sensing results of the scheme using OptiSystem",
O_ISAC_013,2025,Fiber,Unknown,Δz,15.3,m,DZ,text,,1,11,Fiber spatial granularity/gauge length is reported.,"![](_page_0_Picture_2.jpeg) # Single-Ended > 100-km Distributed Vibration Sensor Based on OFDR Using Pearson Correlation Coefficient Haohan Guo, Kun Liu , Yuanyao Li , Ji Liu,",
O_ISAC_013,2025,Fiber,Unknown,Δz,15.3,m,DZ,text,,1,12,Fiber spatial granularity/gauge length is reported.,"![](_page_0_Picture_2.jpeg) # Single-Ended > 100-km Distributed Vibration Sensor Based on OFDR Using Pearson Correlation Coefficient Haohan Guo, Kun Liu , Yuanyao Li , Ji Liu,",
O_ISAC_013,2025,Fiber,Unknown,Δz,15.3,m,DZ,text,,1,13,Fiber spatial granularity/gauge length is reported.,"![](_page_0_Picture_2.jpeg) # Single-Ended > 100-km Distributed Vibration Sensor Based on OFDR Using Pearson Correlation Coefficient Haohan Guo, Kun Liu , Yuanyao Li , Ji Liu,",
O_ISAC_013,2025,Fiber,Unknown,Δz,15.3,m,DZ,text,,1,14,Fiber spatial granularity/gauge length is reported.,"![](_page_0_Picture_2.jpeg) # Single-Ended > 100-km Distributed Vibration Sensor Based on OFDR Using Pearson Correlation Coefficient Haohan Guo, Kun Liu , Yuanyao Li , Ji Liu,",
O_ISAC_013,2025,Fiber,Unknown,Δz,15.3,m,DZ,text,,1,15,Fiber spatial granularity/gauge length is reported.,"![](_page_0_Picture_2.jpeg) # Single-Ended > 100-km Distributed Vibration Sensor Based on OFDR Using Pearson Correlation Coefficient Haohan Guo, Kun Liu , Yuanyao Li , Ji Liu,",
