paper_id,category,tag,status,evidence,full_reasoning
O_ISAC_002,Source,Optical Frequency Comb,USED (Experiment),the system uses the optical frequency comb's coherence,"The authors describe a photonic terahertz integrated sensing and communication system, focusing on integrated waveform design, optical processing, and algorithms. They propose a radar-centric waveform that combines linear frequency modulation with phase shift keying and demonstrate its effectiveness in a proof-of-concept experiment. The system uses optical frequency comb's coherence and applies a coherent fusion sensing algorithm to achieve high communication data rates and precise range resolution."
O_ISAC_002,Modulation,LFM-PSK,USED (Experiment),We have proposed a radar-centric waveform that combines linear frequency modulation (LFM) with phase shift keying (PSK),"The authors describe a photonic terahertz integrated sensing and communication system, focusing on integrated waveform design, optical processing, and algorithms. They propose a radar-centric waveform that combines linear frequency modulation with phase shift keying and demonstrate its effectiveness in a proof-of-concept experiment. The system uses optical frequency comb's coherence and applies a coherent fusion sensing algorithm to achieve high communication data rates and precise range resolution."
O_ISAC_002,Modulation,QAM,USED (Experiment),a multichannel photonic THz-ISAC system has been developed that combines integrated LFM with quadrature amplitude modulation (QAM) waveforms,"The authors describe a photonic terahertz integrated sensing and communication system, focusing on integrated waveform design, optical processing, and algorithms. They propose a radar-centric waveform that combines linear frequency modulation with phase shift keying and demonstrate its effectiveness in a proof-of-concept experiment. The system uses optical frequency comb's coherence and applies a coherent fusion sensing algorithm to achieve high communication data rates and precise range resolution."
O_ISAC_002,Detector,None,NOT MENTIONED,No detector is mentioned in the text,"The authors describe a photonic terahertz integrated sensing and communication system, focusing on integrated waveform design, optical processing, and algorithms. They propose a radar-centric waveform that combines linear frequency modulation with phase shift keying and demonstrate its effectiveness in a proof-of-concept experiment. The system uses optical frequency comb's coherence and applies a coherent fusion sensing algorithm to achieve high communication data rates and precise range resolution."
O_ISAC_002,Beamforming,None,NOT MENTIONED,No beamforming technique is mentioned in the text,"The authors describe a photonic terahertz integrated sensing and communication system, focusing on integrated waveform design, optical processing, and algorithms. They propose a radar-centric waveform that combines linear frequency modulation with phase shift keying and demonstrate its effectiveness in a proof-of-concept experiment. The system uses optical frequency comb's coherence and applies a coherent fusion sensing algorithm to achieve high communication data rates and precise range resolution."
O_ISAC_002,Impairments,Frequency-selective effects,MENTIONED,the system can effectively compensate for the frequency-selective effects of a 20-meter wireless channel,"The authors describe a photonic terahertz integrated sensing and communication system, focusing on integrated waveform design, optical processing, and algorithms. They propose a radar-centric waveform that combines linear frequency modulation with phase shift keying and demonstrate its effectiveness in a proof-of-concept experiment. The system uses optical frequency comb's coherence and applies a coherent fusion sensing algorithm to achieve high communication data rates and precise range resolution."
O_ISAC_003,Source,LED,USED (Simulation),"the commercially available LED OSRAM SYNIOS P2720 KR DMLQ32.23, with a 60 half-angle of view, positioned at the rear of the car.",The authors describe a simulation setup using ray tracing method in Zemax software to analyze the visible light-based integrated sensing and communication channel characteristics in a vehicle-to-vehicle scenario. They study the difference of the channel impulse response at different distances under mono-static sensing and bi-static sensing modes.
O_ISAC_003,Detector,PD,USED (Simulation),The 3D scene layout for V2V in Zemax shown in Fig. 2 is used to study the VL-based ISAC channel characteristics through a simulation setup.,The authors describe a simulation setup using ray tracing method in Zemax software to analyze the visible light-based integrated sensing and communication channel characteristics in a vehicle-to-vehicle scenario. They study the difference of the channel impulse response at different distances under mono-static sensing and bi-static sensing modes.
O_ISAC_003,Modulation,IM/DD,IMPLIED (Simulation),The visible light optical path loss (OPL) can describe the attenuation of the power during the propagation of an optical signal through space.,The authors describe a simulation setup using ray tracing method in Zemax software to analyze the visible light-based integrated sensing and communication channel characteristics in a vehicle-to-vehicle scenario. They study the difference of the channel impulse response at different distances under mono-static sensing and bi-static sensing modes.
O_ISAC_003,Beamforming,None,NOT MENTIONED,"No mention of beamforming techniques or technologies such as OPA, RIS, or Lens Arrays.",The authors describe a simulation setup using ray tracing method in Zemax software to analyze the visible light-based integrated sensing and communication channel characteristics in a vehicle-to-vehicle scenario. They study the difference of the channel impulse response at different distances under mono-static sensing and bi-static sensing modes.
O_ISAC_003,Impairments,Multipath,ANALYZED (Simulation),The multipath components of the ISAC channel and their proportion are further explored.,The authors describe a simulation setup using ray tracing method in Zemax software to analyze the visible light-based integrated sensing and communication channel characteristics in a vehicle-to-vehicle scenario. They study the difference of the channel impulse response at different distances under mono-static sensing and bi-static sensing modes.
O_ISAC_003,Source,LED,USED (Simulation),"the commercially available LED OSRAM SYNIOS P2720 KR DMLQ32.23, with a 60 ° half-angle of view, positioned at the rear of the car.",The authors describe a simulation setup in Section II using a commercially available LED OSRAM SYNIOS P2720 KR DMLQ32.23 as the light source and a photodetector (PD) with a field of view (FOV) of 180° and a radial size of 100 mm. They analyze the characteristics of VL-based ISAC channels in two typical sensing modes: mono-static sensing and bi-static sensing.
O_ISAC_003,Detector,Photodetector (PD),USED (Simulation),"FOV of PD: 180 °, Radial size of PD: 100 mm",The authors describe a simulation setup in Section II using a commercially available LED OSRAM SYNIOS P2720 KR DMLQ32.23 as the light source and a photodetector (PD) with a field of view (FOV) of 180° and a radial size of 100 mm. They analyze the characteristics of VL-based ISAC channels in two typical sensing modes: mono-static sensing and bi-static sensing.
O_ISAC_003,Modulation,IM/DD,IMPLIED (Simulation),"The authors use a photodetector (PD) to detect the received power of the signal, which implies the use of Intensity Modulation/Direct Detection (IM/DD).",The authors describe a simulation setup in Section II using a commercially available LED OSRAM SYNIOS P2720 KR DMLQ32.23 as the light source and a photodetector (PD) with a field of view (FOV) of 180° and a radial size of 100 mm. They analyze the characteristics of VL-based ISAC channels in two typical sensing modes: mono-static sensing and bi-static sensing.
O_ISAC_003,Impairments,Multipath,ANALYZED (Simulation),"The authors analyze the multipath components of the ISAC channel and their proportion, and study the effect of multipath propagation on the signal quality.",The authors describe a simulation setup in Section II using a commercially available LED OSRAM SYNIOS P2720 KR DMLQ32.23 as the light source and a photodetector (PD) with a field of view (FOV) of 180° and a radial size of 100 mm. They analyze the characteristics of VL-based ISAC channels in two typical sensing modes: mono-static sensing and bi-static sensing.
O_ISAC_003,Impairments,Delay Spread,ANALYZED (Simulation),The authors calculate the root mean square delay spread (RMS DS) of the ISAC channel and analyze its effect on the signal quality.,The authors describe a simulation setup in Section II using a commercially available LED OSRAM SYNIOS P2720 KR DMLQ32.23 as the light source and a photodetector (PD) with a field of view (FOV) of 180° and a radial size of 100 mm. They analyze the characteristics of VL-based ISAC channels in two typical sensing modes: mono-static sensing and bi-static sensing.
O_ISAC_004,Source,Supercontinuum Laser,USED (Experiment),a supercontinuum (SC) laser light source,"The authors describe an experimental setup and simulation model for an adiabatic-tapered few-mode-fiber-based system integrating optical fiber sensing and telecommunication. The system uses a supercontinuum laser, a continuum wave laser, and a dual-polarization IQ Modulator for signal transmission."
O_ISAC_004,Source,Continuum Wave Laser,USED (Experiment),continuum wave (CW) laser source,"The authors describe an experimental setup and simulation model for an adiabatic-tapered few-mode-fiber-based system integrating optical fiber sensing and telecommunication. The system uses a supercontinuum laser, a continuum wave laser, and a dual-polarization IQ Modulator for signal transmission."
O_ISAC_004,Modulation,IQ Modulator,USED (Experiment),dual-polarization (DP) IQ Modulator (DP-IQ-MOD),"The authors describe an experimental setup and simulation model for an adiabatic-tapered few-mode-fiber-based system integrating optical fiber sensing and telecommunication. The system uses a supercontinuum laser, a continuum wave laser, and a dual-polarization IQ Modulator for signal transmission."
O_ISAC_004,Modulation,"QPSK, 16QAM, 32QAM, 64QAM",USED (Simulation),"QPSK, 16QAM, 32QAM, and 64QAM modulation formats are applied for the testing of the proposed system","The authors describe an experimental setup and simulation model for an adiabatic-tapered few-mode-fiber-based system integrating optical fiber sensing and telecommunication. The system uses a supercontinuum laser, a continuum wave laser, and a dual-polarization IQ Modulator for signal transmission."
O_ISAC_004,Detector,Coherent Receiver,USED (Experiment),a coherent receiver and real-time operation system are utilized to process the transmitted signal,"The authors describe an experimental setup and simulation model for an adiabatic-tapered few-mode-fiber-based system integrating optical fiber sensing and telecommunication. The system uses a supercontinuum laser, a continuum wave laser, and a dual-polarization IQ Modulator for signal transmission."
O_ISAC_004,Impairments,Dispersion,CONSIDERED (Simulation),dispersion of 20 ps/km.nm are applied for the study,"The authors describe an experimental setup and simulation model for an adiabatic-tapered few-mode-fiber-based system integrating optical fiber sensing and telecommunication. The system uses a supercontinuum laser, a continuum wave laser, and a dual-polarization IQ Modulator for signal transmission."
O_ISAC_004,Source,Supercontinuum Laser,USED (Experiment),a supercontinuum (SC) laser light source,"The authors describe an experimental setup and simulation model for an adiabatic-tapered few-mode-fiber-based system integrating optical fiber sensing and telecommunication. The system uses a supercontinuum laser, a continuum wave laser source, and a dual-polarization IQ Modulator for signal transmission. The sensing head is formed by single-mode fiber and few-mode fiber, and the interference dips are generated by the modal interference of the LP01 mode and the LP02 mode."
O_ISAC_004,Source,Continuum Wave Laser,USED (Experiment),continuum wave (CW) laser source,"The authors describe an experimental setup and simulation model for an adiabatic-tapered few-mode-fiber-based system integrating optical fiber sensing and telecommunication. The system uses a supercontinuum laser, a continuum wave laser source, and a dual-polarization IQ Modulator for signal transmission. The sensing head is formed by single-mode fiber and few-mode fiber, and the interference dips are generated by the modal interference of the LP01 mode and the LP02 mode."
O_ISAC_004,Modulation,IQ Modulator,USED (Experiment),dual-polarization (DP) IQ Modulator (DP-IQ-MOD),"The authors describe an experimental setup and simulation model for an adiabatic-tapered few-mode-fiber-based system integrating optical fiber sensing and telecommunication. The system uses a supercontinuum laser, a continuum wave laser source, and a dual-polarization IQ Modulator for signal transmission. The sensing head is formed by single-mode fiber and few-mode fiber, and the interference dips are generated by the modal interference of the LP01 mode and the LP02 mode."
O_ISAC_004,Modulation,"QPSK, 16QAM, 32QAM, 64QAM",USED (Simulation),"QPSK, 16QAM, 32QAM, and 64QAM modulation formats are applied for the testing of the proposed system","The authors describe an experimental setup and simulation model for an adiabatic-tapered few-mode-fiber-based system integrating optical fiber sensing and telecommunication. The system uses a supercontinuum laser, a continuum wave laser source, and a dual-polarization IQ Modulator for signal transmission. The sensing head is formed by single-mode fiber and few-mode fiber, and the interference dips are generated by the modal interference of the LP01 mode and the LP02 mode."
O_ISAC_004,Detector,Coherent Receiver,USED (Experiment),a coherent receiver and real-time operation system are utilized to process the transmitted signal,"The authors describe an experimental setup and simulation model for an adiabatic-tapered few-mode-fiber-based system integrating optical fiber sensing and telecommunication. The system uses a supercontinuum laser, a continuum wave laser source, and a dual-polarization IQ Modulator for signal transmission. The sensing head is formed by single-mode fiber and few-mode fiber, and the interference dips are generated by the modal interference of the LP01 mode and the LP02 mode."
O_ISAC_004,Impairments,Insertion Loss,MENTIONED,the limitation of the proposed system is based on the insertion loss of the LP11 mode in FMF2,"The authors describe an experimental setup and simulation model for an adiabatic-tapered few-mode-fiber-based system integrating optical fiber sensing and telecommunication. The system uses a supercontinuum laser, a continuum wave laser source, and a dual-polarization IQ Modulator for signal transmission. The sensing head is formed by single-mode fiber and few-mode fiber, and the interference dips are generated by the modal interference of the LP01 mode and the LP02 mode."
O_ISAC_005,Source,Laser Diode,NOT MENTIONED,No mention of laser diode in the text.,"The authors propose a novel O-ISAC framework that utilizes the backscattered light from the FSO communication signal to estimate the FSO channel gain and optimize the UAV's trajectory. The system model is presented in Section II, which includes the FSO backhaul communication, FSO backhaul sensing, UAV-user communication, and GBS-user communication. The problem formulation and resource allocation are discussed in Section III. The simulation results are presented in Section IV, which demonstrate the importance of optical channel sensing in optimizing system performance."
O_ISAC_005,Source,VCSELs,NOT MENTIONED,No mention of VCSELs in the text.,"The authors propose a novel O-ISAC framework that utilizes the backscattered light from the FSO communication signal to estimate the FSO channel gain and optimize the UAV's trajectory. The system model is presented in Section II, which includes the FSO backhaul communication, FSO backhaul sensing, UAV-user communication, and GBS-user communication. The problem formulation and resource allocation are discussed in Section III. The simulation results are presented in Section IV, which demonstrate the importance of optical channel sensing in optimizing system performance."
O_ISAC_005,Source,LEDs,NOT MENTIONED,No mention of LEDs in the text.,"The authors propose a novel O-ISAC framework that utilizes the backscattered light from the FSO communication signal to estimate the FSO channel gain and optimize the UAV's trajectory. The system model is presented in Section II, which includes the FSO backhaul communication, FSO backhaul sensing, UAV-user communication, and GBS-user communication. The problem formulation and resource allocation are discussed in Section III. The simulation results are presented in Section IV, which demonstrate the importance of optical channel sensing in optimizing system performance."
O_ISAC_005,Source,Frequency Combs,NOT MENTIONED,No mention of frequency combs in the text.,"The authors propose a novel O-ISAC framework that utilizes the backscattered light from the FSO communication signal to estimate the FSO channel gain and optimize the UAV's trajectory. The system model is presented in Section II, which includes the FSO backhaul communication, FSO backhaul sensing, UAV-user communication, and GBS-user communication. The problem formulation and resource allocation are discussed in Section III. The simulation results are presented in Section IV, which demonstrate the importance of optical channel sensing in optimizing system performance."
O_ISAC_005,Modulation,IM/DD,USED (Simulation),"The received electrical signal can be denoted as $s_0 = \rho g_0 q_0 x_0 + z_0$, which indicates the use of IM/DD modulation.","The authors propose a novel O-ISAC framework that utilizes the backscattered light from the FSO communication signal to estimate the FSO channel gain and optimize the UAV's trajectory. The system model is presented in Section II, which includes the FSO backhaul communication, FSO backhaul sensing, UAV-user communication, and GBS-user communication. The problem formulation and resource allocation are discussed in Section III. The simulation results are presented in Section IV, which demonstrate the importance of optical channel sensing in optimizing system performance."
O_ISAC_005,Modulation,"Coherent (MZM, IQ Modulators)",NOT MENTIONED,No mention of coherent modulation or MZM/IQ modulators in the text.,"The authors propose a novel O-ISAC framework that utilizes the backscattered light from the FSO communication signal to estimate the FSO channel gain and optimize the UAV's trajectory. The system model is presented in Section II, which includes the FSO backhaul communication, FSO backhaul sensing, UAV-user communication, and GBS-user communication. The problem formulation and resource allocation are discussed in Section III. The simulation results are presented in Section IV, which demonstrate the importance of optical channel sensing in optimizing system performance."
O_ISAC_005,Detectors,PIN,NOT MENTIONED,No mention of PIN detectors in the text.,"The authors propose a novel O-ISAC framework that utilizes the backscattered light from the FSO communication signal to estimate the FSO channel gain and optimize the UAV's trajectory. The system model is presented in Section II, which includes the FSO backhaul communication, FSO backhaul sensing, UAV-user communication, and GBS-user communication. The problem formulation and resource allocation are discussed in Section III. The simulation results are presented in Section IV, which demonstrate the importance of optical channel sensing in optimizing system performance."
O_ISAC_005,Detectors,APD,NOT MENTIONED,No mention of APD detectors in the text.,"The authors propose a novel O-ISAC framework that utilizes the backscattered light from the FSO communication signal to estimate the FSO channel gain and optimize the UAV's trajectory. The system model is presented in Section II, which includes the FSO backhaul communication, FSO backhaul sensing, UAV-user communication, and GBS-user communication. The problem formulation and resource allocation are discussed in Section III. The simulation results are presented in Section IV, which demonstrate the importance of optical channel sensing in optimizing system performance."
O_ISAC_005,Detectors,Balanced PD,NOT MENTIONED,No mention of balanced PD detectors in the text.,"The authors propose a novel O-ISAC framework that utilizes the backscattered light from the FSO communication signal to estimate the FSO channel gain and optimize the UAV's trajectory. The system model is presented in Section II, which includes the FSO backhaul communication, FSO backhaul sensing, UAV-user communication, and GBS-user communication. The problem formulation and resource allocation are discussed in Section III. The simulation results are presented in Section IV, which demonstrate the importance of optical channel sensing in optimizing system performance."
O_ISAC_005,Detectors,Coherent Receivers,NOT MENTIONED,No mention of coherent receivers in the text.,"The authors propose a novel O-ISAC framework that utilizes the backscattered light from the FSO communication signal to estimate the FSO channel gain and optimize the UAV's trajectory. The system model is presented in Section II, which includes the FSO backhaul communication, FSO backhaul sensing, UAV-user communication, and GBS-user communication. The problem formulation and resource allocation are discussed in Section III. The simulation results are presented in Section IV, which demonstrate the importance of optical channel sensing in optimizing system performance."
O_ISAC_005,Beamforming,OPA,NOT MENTIONED,No mention of OPA in the text.,"The authors propose a novel O-ISAC framework that utilizes the backscattered light from the FSO communication signal to estimate the FSO channel gain and optimize the UAV's trajectory. The system model is presented in Section II, which includes the FSO backhaul communication, FSO backhaul sensing, UAV-user communication, and GBS-user communication. The problem formulation and resource allocation are discussed in Section III. The simulation results are presented in Section IV, which demonstrate the importance of optical channel sensing in optimizing system performance."
O_ISAC_005,Beamforming,RIS,NOT MENTIONED,No mention of RIS in the text.,"The authors propose a novel O-ISAC framework that utilizes the backscattered light from the FSO communication signal to estimate the FSO channel gain and optimize the UAV's trajectory. The system model is presented in Section II, which includes the FSO backhaul communication, FSO backhaul sensing, UAV-user communication, and GBS-user communication. The problem formulation and resource allocation are discussed in Section III. The simulation results are presented in Section IV, which demonstrate the importance of optical channel sensing in optimizing system performance."
O_ISAC_005,Beamforming,Lens Arrays,NOT MENTIONED,No mention of lens arrays in the text.,"The authors propose a novel O-ISAC framework that utilizes the backscattered light from the FSO communication signal to estimate the FSO channel gain and optimize the UAV's trajectory. The system model is presented in Section II, which includes the FSO backhaul communication, FSO backhaul sensing, UAV-user communication, and GBS-user communication. The problem formulation and resource allocation are discussed in Section III. The simulation results are presented in Section IV, which demonstrate the importance of optical channel sensing in optimizing system performance."
O_ISAC_005,Impairments,Linewidth,NOT MENTIONED,No mention of linewidth in the text.,"The authors propose a novel O-ISAC framework that utilizes the backscattered light from the FSO communication signal to estimate the FSO channel gain and optimize the UAV's trajectory. The system model is presented in Section II, which includes the FSO backhaul communication, FSO backhaul sensing, UAV-user communication, and GBS-user communication. The problem formulation and resource allocation are discussed in Section III. The simulation results are presented in Section IV, which demonstrate the importance of optical channel sensing in optimizing system performance."
O_ISAC_005,Impairments,Phase Noise,NOT MENTIONED,No mention of phase noise in the text.,"The authors propose a novel O-ISAC framework that utilizes the backscattered light from the FSO communication signal to estimate the FSO channel gain and optimize the UAV's trajectory. The system model is presented in Section II, which includes the FSO backhaul communication, FSO backhaul sensing, UAV-user communication, and GBS-user communication. The problem formulation and resource allocation are discussed in Section III. The simulation results are presented in Section IV, which demonstrate the importance of optical channel sensing in optimizing system performance."
O_ISAC_005,Impairments,Nonlinearity,NOT MENTIONED,No mention of nonlinearity in the text.,"The authors propose a novel O-ISAC framework that utilizes the backscattered light from the FSO communication signal to estimate the FSO channel gain and optimize the UAV's trajectory. The system model is presented in Section II, which includes the FSO backhaul communication, FSO backhaul sensing, UAV-user communication, and GBS-user communication. The problem formulation and resource allocation are discussed in Section III. The simulation results are presented in Section IV, which demonstrate the importance of optical channel sensing in optimizing system performance."
O_ISAC_005,Source,Laser Diode,NOT MENTIONED,No mention of laser diode in the text.,"The authors propose a novel O-ISAC framework that utilizes the backscattered light from the FSO communication signal to estimate the FSO channel gain and optimize the UAV's trajectory dynamically. The system model is presented in Section II, which includes the FSO backhaul communication, FSO backhaul sensing, UAV-user communication, and GBS-user communication. The problem formulation and resource allocation are discussed in Section III. The simulation results are presented in Section IV, which demonstrate the importance of optical channel sensing in optimizing system performance."
O_ISAC_005,Source,VCSEL,NOT MENTIONED,No mention of VCSEL in the text.,"The authors propose a novel O-ISAC framework that utilizes the backscattered light from the FSO communication signal to estimate the FSO channel gain and optimize the UAV's trajectory dynamically. The system model is presented in Section II, which includes the FSO backhaul communication, FSO backhaul sensing, UAV-user communication, and GBS-user communication. The problem formulation and resource allocation are discussed in Section III. The simulation results are presented in Section IV, which demonstrate the importance of optical channel sensing in optimizing system performance."
O_ISAC_005,Source,LED,NOT MENTIONED,No mention of LED in the text.,"The authors propose a novel O-ISAC framework that utilizes the backscattered light from the FSO communication signal to estimate the FSO channel gain and optimize the UAV's trajectory dynamically. The system model is presented in Section II, which includes the FSO backhaul communication, FSO backhaul sensing, UAV-user communication, and GBS-user communication. The problem formulation and resource allocation are discussed in Section III. The simulation results are presented in Section IV, which demonstrate the importance of optical channel sensing in optimizing system performance."
